index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,36978.6,2001-06-14T10:51:54,-0.5612367420452271,0.00030225,7.358e-05,4.4,3.8435999999999995e-16,7.968599999999999e-16,2.3196000000000003e-16,1.346
1,40580.4,2010-01-27T01:02:52,1.0,,,3.0,4.0603999999999994e-16,8.647e-16,1.0504e-16,1.14
2,75682.2,2010-01-29T14:46:35,-0.8293384467881111,0.0001565,7.021e-06,5.0,3.9742000000000006e-16,6.381799999999999e-16,1.9641000000000002e-16,1.866
3,171955.9,2012-01-18T14:26:38,-0.08663938800925101,0.00011866666666666666,2.232e-05,15.0,7.6986000000000005e-16,1.0409400000000001e-15,5.354999999999999e-16,3.1700000000000004
7,160215.7,2012-01-21T08:54:47,-1.0,0.00013245,5.235e-06,11.8,5.69136e-15,7.75378e-15,3.5191099999999997e-15,2.7139999999999995
4,75554.3,2012-01-26T22:21:59,2.139126712328767,0.0001437,1.764e-05,4.8,3.407e-16,6.33614e-16,2.1504e-16,1.4419999999999997
5,184208.0,2012-01-31T15:24:33,-0.8736894042185767,0.00011607666666666666,6.893e-06,14.6,3.5498e-16,4.8774e-16,2.657e-16,2.876
6,158013.8,2012-02-03T10:00:00,0.48350681718223126,0.00011245,4.8129999999999995e-06,9.8,1.112726e-15,1.7372599999999998e-15,4.58106e-16,2.4699999999999998
8,119479.4,2012-04-04T03:00:56,3.884181888845706,8.465999999999999e-05,3.3300000000000003e-06,8.2,3.112e-16,6.0724e-16,1.9886e-16,2.27
10,46281.0,2012-04-05T19:03:53,0.4447396386822529,0.00016035000000000002,5.028e-05,4.2,5.2672e-16,8.3752e-16,2.3484e-16,1.75
9,69689.2,2012-04-06T18:15:48,-0.16268980477223427,0.000127465,5.707e-06,5.2,1.08232e-15,1.8159599999999996e-15,3.81808e-16,1.952
