#angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,name,ra,dec
0.787977,5.6635220173247,-72.0430974488858,0.003,0.002,90,4689641878184890624,5.66359824706,0.0894,-72.04311014763,0.0725,0.2850,0.0905,5.458,0.187,-2.949,0.138,0,2.00676e+03,2.32479e+00,17.432129,1.36133e+03,1.89026e+01,17.516483,1.60421e+03,2.23846e+01,16.748764,0.767719,,,0,,,,,,0.001258,0.015076,0.015150,2CXO J002239.1-720234,5.663292211054227,-72.04289035033365
0.406977,5.6702516201784,-72.1562471747110,0.002,0.001,90,4689637200964271872,5.67032776015,0.0464,-72.15625711406,0.0419,0.2044,0.0510,5.419,0.101,-2.308,0.079,0,4.61411e+03,2.15074e+01,16.528145,2.34519e+03,7.90693e+01,16.925943,4.08199e+03,6.15885e+01,15.734740,1.191203,,,0,4885.00,,,,,0.005061,0.036606,0.016381,2CXO J002240.9-720922,5.670419236549037,-72.15614646657401
0.850231,5.6818214941616,-72.1607777460135,0.020,0.017,90,4689637205260969472,5.68191628955,0.6125,-72.16078719599,0.5661,1.2920,0.6510,6.745,1.268,-2.195,1.079,0,1.86847e+02,1.17702e+00,20.009651,2.82825e+02,3.83742e+01,19.222591,3.11299e+02,1.03892e+01,18.528975,0.693617,,,0,,,,,,0.006839,0.147314,0.036235,2CXO J002243.5-720939,5.681440574035548,-72.1609830785117
0.878479,5.6819290970216,-72.1611758220565,0.027,0.024,0,4689637205253867904,5.68202959214,0.7450,-72.16120222957,0.8029,-2.1190,0.8542,7.150,1.545,-6.133,1.757,0,1.11525e+02,1.22482e+00,20.569937,,,,,,,,,,0,,,,,,0.011924,,,2CXO J002243.5-720939,5.681440574035548,-72.1609830785117
0.824192,5.6924121403754,-72.0217805995922,0.010,0.009,90,4689642664178027776,5.69248905956,0.3607,-72.02179565130,0.3539,0.3687,0.4312,5.514,0.661,-3.496,0.580,0,2.50335e+02,1.15706e+00,19.692060,2.69234e+02,2.97446e+01,19.276064,4.44422e+02,1.03249e+01,18.142431,1.133633,,,0,,,,,,0.005018,0.119951,0.025224,2CXO J002246.1-720119,5.6924977094552105,-72.02200801323231
0.657269,5.6933821363154,-72.1726446191670,0.004,0.002,90,4689637136535115136,5.69338213632,3.6762,-72.17264461917,1.6181,,,,,,,0,8.57289e+01,2.26688e+00,20.855547,,,,,,,,,,0,,,,,,0.028709,,,2CXO J002246.2-721021,5.692876463151833,-72.17254783715339
0.620966,5.7284927356934,-72.1238379202835,0.016,0.011,90,4689637510222021504,5.72860148740,0.4827,-72.12385091222,0.3485,-0.0841,0.4020,7.753,1.057,-3.017,0.692,0,3.53717e+02,1.79069e+00,19.316725,2.99895e+02,5.54502e+01,19.158966,3.97157e+02,3.52432e+00,18.264515,0.894451,,,0,,,,,,0.005497,0.200751,0.009635,2CXO J002254.9-720726,5.728945120483104,-72.12394024237216
0.665716,5.7789357123696,-72.0982789853216,0.027,0.011,90,4689638648362441600,5.77924092688,0.4746,-72.09830634871,0.6036,5.2866,0.6995,21.790,1.720,-6.355,0.706,0,5.04846e+02,3.59534e+00,18.930470,,,,,,,,,,0,,,,,,0.007732,,,2CXO J002306.9-720554,5.778782726131396,-72.09845782726131
0.788641,5.8051725804652,-72.1424221138971,0.016,0.012,90,4689637548858634368,5.80526284579,0.3328,-72.14242997070,0.4487,1.4049,0.3919,6.429,1.009,-1.825,0.792,0,3.53311e+02,1.84690e+00,19.317972,4.30657e+02,2.06485e+01,18.766060,6.98821e+02,1.75155e+02,17.651005,1.115055,,,0,,,,,,0.005676,0.052057,0.272132,2CXO J002313.3-720832,5.80561266397433,-72.14224955100708
0.655247,5.8360290724337,-72.0044180355322,0.009,0.008,0,4689642324855365760,5.83607286431,0.2261,-72.00442737332,0.1949,0.1044,0.2359,3.142,0.512,-2.169,0.574,0,5.18867e+02,1.49720e+00,18.900726,4.53343e+02,2.44449e+01,18.710321,5.97587e+02,1.24632e+01,17.820917,0.889404,,,0,,,,,,0.003133,0.058545,0.022644,2CXO J002320.5-720015,5.835820292649203,-72.00424783477733
0.392070,5.8570744396920,-71.9578115788960,0.048,0.028,0,4689643458724013312,5.85716811623,0.6322,-71.95783186439,0.8961,1.0795,0.9905,6.739,1.798,-4.711,3.069,0,1.96137e+02,1.34319e+00,19.956966,,,,,,,,,,0,,,,,,0.007435,,,2CXO J002325.6-715728,5.856843965761357,-71.95789383280065
0.185372,5.8780493427424,-72.3454628522136,0.005,0.004,90,4689573021264770688,5.87804425944,0.1583,-72.34546325272,0.1264,-0.0130,0.1569,-0.358,0.339,-0.093,0.261,0,1.51594e+03,1.00116e+01,17.736664,1.32189e+03,2.32359e+01,17.548399,2.10688e+03,2.35678e+01,16.452822,1.095577,,,0,,,,,,0.007170,0.019085,0.012145,2CXO J002330.7-722043,5.878169734633218,-72.34542654362319
0.941376,5.8930351937761,-72.1420401099557,0.003,0.002,90,4689625827912472192,5.89311834790,0.0941,-72.14205507466,0.0702,0.3033,0.0896,5.923,0.225,-3.476,0.153,0,2.52166e+03,3.02803e+00,17.184149,1.90974e+03,3.96036e+01,17.148950,2.20458e+03,3.43377e+01,16.403605,0.745346,,,0,,,,,,0.001304,0.022516,0.016911,2CXO J002334.2-720832,5.892761715152119,-72.14228779051147
0.473167,5.9007265182346,-72.0677422682456,0.018,0.014,90,4689638850247661824,5.90091581059,0.4715,-72.06777885069,0.4732,-3.2226,0.5086,13.536,1.149,-8.497,0.917,0,3.25014e+03,2.63074e+01,16.908610,4.79413e+03,9.89311e+01,16.149612,5.30400e+03,1.00029e+02,15.450411,0.699202,,,0,5095.63,,,,,0.008788,0.022405,0.020476,2CXO J002336.2-720403,5.901094048933373,-72.0676754100641
