#angDist,name,ra,dec,err_ellipse_r0,conf_flag,extent_flag,sat_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w,significance,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,var_intra_index_b,var_intra_index_w,var_inter_index_b,var_inter_index_w,solution_id,designation,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_bad_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,astrometric_primary_flag,nu_eff_used_in_astrometry,pseudocolour,pseudocolour_error,ra_pseudocolour_corr,dec_pseudocolour_corr,parallax_pseudocolour_corr,pmra_pseudocolour_corr,pmdec_pseudocolour_corr,astrometric_matched_transits,visibility_periods_used,astrometric_sigma5d_max,matched_transits,new_matched_transits,matched_transits_removed,ipd_gof_harmonic_amplitude,ipd_gof_harmonic_phase,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,dr2_rv_template_fe_h,l,b,ecl_lon,ecl_lat
0.818893,2CXO J162229.9-263753,245.62494597083105,-26.631414096700755,6.256461418508207,0,0,0,1.0473585663752E-14,5.1253717077933E-15,1.5598957371545E-14,,,,4.4999999999999485,0.34853216739538,0.078076202373516,0.56152404747033,-0.37851342910681,-0.56777014366021,-0.16427232979388,,,0,,1636042515805110273,Gaia EDR3 6045470110440052608,6045470110440052608,968836934,2016.0,245.62479029679065,0.03534479,-26.63159403473561,0.019702135,0.8919152817757092,0.038959038,22.89367,8.15984,5.459690997862706,0.0523886,-6.064219285331578,0.036138,-0.40542883,-0.012490127,-0.048292298,0.08674414,-0.011022595,0.091584794,0.34582078,-0.13035412,-0.12662382,-0.26612747,575,0,572,3,-0.3840814,574.95386,0.0,0.0,31,false,1.4280498,,,,,,,,65,17,0.07455956,67,11,0,0.032740027,22.077497,0,0,0.98803055,0.4374117,0.69137037,0.42438427,0.33074838,8.621573,16.700912,12.711795,25.04597,false,585,8112.44734828808,2.390498,3393.6223,15.914487,63,3202.289867213508,8.116318,394.5496,16.57489,61,7128.957627635989,9.779172,728.994,15.115331,0,63,0,61,0,1.2735057,1.4595594,0.66040325,0.7991562,,,0,,,,350.7209864918444,16.080453375803113,248.26334038975372,-5.013054107404312
0.644656,2CXO J162322.9-262216,245.84555895576727,-26.37121951674056,0.7290308062066396,0,0,0,2.769436680491E-12,2.7407428341082E-12,2.7981305268738E-12,,,,124.82976636349605,-0.25234228607121,-0.26670830730793,-0.2367270455965,-0.54840724547158,-0.55527795128045,-0.54028732042473,10,,8,,1636042515805110273,Gaia EDR3 6045503336308078208,6045503336308078208,1108547979,2016.0,245.84547251753295,0.014753025,-26.371380975911467,0.008878586,10.003575757740526,0.015949385,627.2076,39.43803,-17.768614917682626,0.020510389,-35.20844450847601,0.015306364,-0.46833274,0.018308088,0.034907475,-0.08636347,-0.030401781,-0.03962576,0.4545811,-0.16236337,-0.06915641,-0.30668905,543,543,538,5,1.3172991,1165.69,0.08929446,11.994541,31,false,1.5645015,,,,,,,,61,17,0.029780287,64,9,0,0.037493013,21.00985,0,0,1.0399829,,,,,,,,,true,554,3070314.5753626474,1772.3446,1732.3463,9.46941,62,1674416.7462249282,3265.5925,512.7452,9.778883,62,2013253.5925805592,2875.4539,700.1516,8.98815,0,2,0,0,0,1.2010725,0.79073334,0.30947304,0.4812603,-2.6191576,2.4971995,3,5750.0,4.5,0.0,351.0595896253186,16.110023885115158,248.41601805047296,-4.723966070926302
0.542707,2CXO J162323.3-263211,245.84726788884882,-26.536541311436338,0.9737261251984184,0,0,0,1.4836562693686E-15,8.1247843322564E-16,2.1195089562408E-15,,,,3.0526315789473357,0.99937539038101,0.75390381011868,1.0,-0.99937539038101,-1.0,0.13429106808245,0,,3,,1636042515805110273,Gaia EDR3 6045465952911308800,6045465952911308800,757747571,2016.0,245.84717911396848,0.071467,-26.536413177726658,0.04205672,0.5160904266774815,0.077361465,6.6711564,21.99279,-11.691425561217281,0.103541374,-18.627758691376755,0.07176033,-0.41815704,-0.12490121,0.20453437,-0.14341971,0.134322,-0.10307093,0.523552,-0.17407696,-0.017423326,-0.19979681,505,0,503,2,1.221244,559.98,0.06781584,0.1783546,31,false,1.472478,,,,,,,,59,16,0.1472597,61,8,0,0.052429758,14.875728,0,0,1.0382673,0.37787795,0.67282677,0.43967995,0.30614114,13.166848,15.04405,15.179244,25.461584,false,495,2742.912159687272,1.6739876,1638.5498,17.091837,51,1205.1018575318876,10.044112,119.98093,17.635983,51,2243.4918793258553,11.2391405,199.61418,16.370584,0,15,0,15,0,1.2572746,1.265398,0.5441456,0.72125244,,,0,,,,350.93366740339405,15.997800062989546,248.4445819705893,-4.886532335934066
0.697052,2CXO J162325.4-262911,245.85624868696596,-26.486536772448368,2.109192114316408,0,0,0,,,,,,,2.578947368421133,0.99937539038101,-0.28169893816365,1.0,-0.99937539038101,-1.0,-0.68019987507808,,,5,,1636042515805110273,Gaia EDR3 6045477944460616704,6045477944460616704,1806602295,2016.0,245.85637047677272,0.054182947,-26.486696798730517,0.031995893,0.4865812001433179,0.05846572,8.322504,22.294434,-11.301424050714605,0.075074814,-19.217688490509147,0.055509903,-0.42902982,-0.13687763,0.12386152,-0.14552364,0.09740137,-0.13451874,0.5026272,-0.1968592,0.016118195,-0.3217714,463,0,462,1,0.63933307,497.0394,0.0,0.0,31,false,1.4811361,,,,,,,,54,16,0.10999515,57,8,0,0.050751623,17.377485,0,0,1.0204872,0.39723572,0.6593136,0.48065478,0.28022444,7.40926,14.7206745,12.524347,24.947191,false,470,4406.074534490292,15.394789,286.2056,16.577238,50,1969.195993736289,20.797241,94.68544,17.10282,50,3546.744223800853,48.975124,72.4193,15.873321,0,10,0,11,0,1.2518945,1.2294989,0.52558136,0.7039175,,,0,,,,350.9776717873657,16.025191763513096,248.44457680924674,-4.836140210700719
0.649145,2CXO J162329.5-262839,245.87325714725716,-26.477651678070902,0.9244555176686411,0,0,0,0.0,0.0,5.172461912538E-16,,,,4.499999999999959,0.19113054341037,-0.22923173016864,0.51655215490319,0.99937539038101,0.47532792004997,1.0,0,,6,,1636042515805110273,Gaia EDR3 6045478322409848448,6045478322409848448,175834145,2016.0,245.87345857561547,0.12140117,-26.47765421817999,0.07014061,0.32835627517820465,0.13511276,2.4302387,22.254938,-12.410948958715943,0.18461429,-18.472968956242205,0.119165935,-0.40521386,-0.07446056,0.1911627,-0.09703491,0.16838136,-0.043693535,0.51047343,-0.20178099,0.016066687,-0.12753981,476,0,475,1,1.3405894,534.18036,0.10438965,0.15781994,31,false,1.4541966,,,,,,,,56,15,0.25894558,58,7,0,0.066956066,14.474859,0,0,1.0433229,0.436837,0.6915151,0.46751127,0.34723356,15.775663,15.460397,16.452587,24.756351,false,484,1245.8474012636768,1.2468733,999.17725,17.948706,54,491.9873634754806,6.7286673,73.1181,18.608658,54,1042.8442923369557,6.9723673,149.56818,17.202347,0,54,0,54,0,1.231958,1.406311,0.65995216,0.7463589,,,0,,,,350.9953407181744,16.019966686890253,248.45823931663193,-4.8247223394248895
0.119350,2CXO J162333.7-263405,245.89075266751797,-26.568257425573528,0.7598049126046876,0,0,0,6.8483785868127E-16,4.9063010771195E-16,8.6882414907325E-16,,,,3.6111111111110485,0.19862585883823,-0.29044347282948,0.62023735165522,-0.75577763897564,-0.91005621486571,-0.5577763897564,1,,5,,1636042515805110273,Gaia EDR3 6045464922118910720,6045464922118910720,897752409,2016.0,245.89075227458173,0.06573776,-26.568290576536604,0.04136668,0.5696041119368322,0.07271467,7.8334136,23.180819,-12.872043526482798,0.09714206,-19.27850630832147,0.07113779,-0.43145776,-0.10662692,0.17829241,-0.1825821,0.1637093,-0.11221482,0.57593507,-0.27544624,0.09895404,-0.19486137,433,0,433,0,0.79448575,471.42984,0.010206132,0.0048686224,31,false,1.4540458,,,,,,,,50,16,0.13906066,54,7,0,0.04963787,15.555871,0,1,1.0264918,0.36836195,0.65581304,0.40951335,0.30517986,13.904364,15.4251,15.925664,26.954119,false,428,3443.276418980869,2.0763626,1658.3213,16.844936,43,1410.6743489090084,13.393408,105.32602,17.464975,40,2945.1071178173547,13.762152,214.00049,16.075142,0,1,0,1,0,1.2650107,1.3898335,0.620039,0.76979446,,,0,,,,350.9364458229837,15.947518194773949,248.48839965070528,-4.911620487381385
0.221727,2CXO J162334.2-262956,245.8928089271575,-26.498907863962142,0.7204473023583706,0,0,0,1.1846185153511E-14,1.0756704773906E-14,1.2935665533117E-14,,,,18.114043175451798,-0.25733916302311,-0.3791380387258,-0.13304184884447,-0.19612742036227,-0.28169893816365,-0.10680824484697,0,,8,,1636042515805110273,Gaia EDR3 6045466502667300096,6045466502667300096,519608741,2016.0,245.89277495647895,0.02408198,-26.498961428548988,0.014950662,0.47682130010829427,0.024398332,19.543192,22.0122,-12.329597154426331,0.0400081,-18.235075122483913,0.02930624,-0.37477714,-0.041896347,0.39087716,-0.13638932,-4.0033515E-4,-0.11695562,0.65943456,0.00611593,-0.10994401,-0.22757873,397,0,396,1,4.8674383,532.6676,0.048584927,1.1120857,31,false,1.4054611,,,,,,,,46,14,0.057827808,48,5,0,0.037025843,19.690596,1,0,1.1781145,0.3650815,0.66316885,0.42143345,0.25852898,7.312047,15.436449,13.052734,24.823006,false,358,37803.45385496088,18.006496,2099.434,14.243538,44,14080.394451242693,49.190556,286.24182,14.967005,44,35453.10833163285,81.76239,433.61145,13.373759,0,44,0,44,0,1.3102905,1.5932455,0.7234669,0.86977863,,,0,,,,350.9910486121006,15.992839703358062,248.478845172225,-4.842924218246535
0.265152,2CXO J162335.5-262708,245.898257532054,-26.452354834100618,1.434209383987063,0,0,0,2.7496349433788E-15,1.9698877206296E-15,3.529382166128E-15,,,,7.7677280352574325,-0.37476577139288,-0.6264834478451,-0.14803247970019,-0.32479700187383,-0.4366021236727,-0.20799500312305,0,,0,,1636042515805110273,Gaia EDR3 6045478459856719104,6045478459856719104,1427699845,2016.0,245.89819438057515,0.044998314,-26.452307631906386,0.027052999,0.41261803782248835,0.04871908,8.469332,5.111022,-3.257581020127262,0.06382753,-3.938364052915566,0.047224585,-0.43714008,-0.037826113,0.022579337,-0.07558133,0.030495929,-0.032803748,0.44419703,-0.18603085,-0.044670537,-0.2669482,497,0,497,0,-0.2484438,503.58447,0.0,0.0,31,false,1.3980848,,,,,,,,57,17,0.091716014,60,8,0,0.029588722,22.096992,0,0,0.9914147,0.42837614,0.6668861,0.4515395,0.34329027,9.029928,16.9272,14.125493,26.492691,false,502,5683.191390522745,4.8818307,1164.1517,16.300886,56,1994.792033201911,5.795791,344.1794,17.088799,55,5378.48581291324,18.083324,297.42795,15.421246,0,1,0,2,0,1.2973833,1.667553,0.78791237,0.8796406,,,0,,,,351.03035056905026,16.02064110272295,248.4760153813853,-4.796103728071504
0.777597,2CXO J162335.9-263101,245.89991096695587,-26.517124920411874,0.760264807621284,0,0,0,1.4980805018192E-15,1.1293222244483E-15,1.8437913868544E-15,,,,4.64516129032259,0.32729544034978,0.08682073703935,0.53653966271081,-0.037476577139288,-0.29668956901936,0.2317301686446,2,,0,,1636042515805110273,Gaia EDR3 6045465918551512704,6045465918551512704,656661135,2016.0,245.89970637742536,0.017594123,-26.5170102812281,0.010736841,0.5082637914022913,0.018790817,27.048521,22.930794,-12.223794702387181,0.022584833,-19.401034713131494,0.017090982,-0.5431467,-0.26468158,0.18234362,-0.2044603,0.19180027,-0.1792568,0.5000618,-0.19324984,-0.0021790972,-0.3409961,481,481,469,12,-0.37831834,1055.9686,0.10223705,14.569317,31,true,1.3292903,,,,,,,,55,16,0.03369149,58,8,1,0.019336691,30.188095,0,0,0.9868915,,,,,,,,,false,492,1548156.053632834,666.34735,2323.347,10.21283,55,413103.93697762955,481.31,858.2908,11.298394,54,1683453.3932836517,1475.7068,1140.7777,9.182393,0,54,0,39,0,1.3542287,2.1160011,1.0855646,1.0304365,72.69699,0.22268043,5,4500.0,3.0,0.0,350.98150233725545,15.976106073747788,248.4879400472817,-4.859720344683439
0.187601,2CXO J162342.3-263038,245.926452053003,-26.510636543290122,0.7951276188442615,0,0,0,3.7371010794063E-16,8.7199025186148E-17,6.6022119069512E-16,,,,4.411764705882308,-0.99937539038101,-1.0,-0.2792004996877,-0.58213616489694,-0.81011867582761,-0.30168644597127,2,,6,,1636042515805110273,Gaia EDR3 6045466262148847232,6045466262148847232,840638161,2016.0,245.92639398629692,0.028990034,-26.51064049770239,0.01793205,2.832547564883002,0.031234339,90.686966,7.776488,-5.366380617891102,0.04109302,-5.628118645717316,0.030674981,-0.35417858,-0.0030661302,0.094356015,-5.386706E-4,0.01713,0.03846472,0.4574478,-0.12834214,-0.009958355,-0.15962036,463,0,460,3,9.485364,801.3206,0.15882859,8.206739,31,false,1.3766272,,,,,,,,54,17,0.057794046,57,9,0,0.0406199,19.72001,4,0,1.3295748,0.42974526,0.63978994,0.42419833,0.3050315,8.522462,16.148733,14.159806,28.465616,false,460,22038.87939350937,13.180449,1672.0887,14.829393,51,7637.301938760459,22.571033,338.3674,15.631192,51,23716.930717370236,37.518593,632.13806,13.810249,0,51,0,51,0,1.4226781,1.8209429,0.8017988,1.019144,,,0,,,,351.00311588440553,15.962723982742721,248.510545031313,-4.849544868689574
