#name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
 2CXO J000701.5+730308, 00 07 01.57,+73 03 08.13,      1,     0.16,     0.06,     0.71,     0.71,      0.0,    15.50,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,1.959e-14,1.740e-14,2.178e-14
 2CXO J002316.8+092323, 00 23 16.89,+09 23 23.96,      2,     0.26,     0.06,     0.72,     0.72,    179.6,     6.39,                TRUE,FALSE,FALSE,FALSE,1.737e-14,1.466e-14,2.009e-14,         ,         ,         
 2CXO J010111.0-642230, 01 01 11.09,-64 22 30.64,      5,     0.66,     0.06,     0.73,     0.73,    177.4,     4.89,                TRUE,FALSE,FALSE,FALSE,3.574e-14,2.843e-14,4.305e-14,         ,         ,         
 2CXO J024818.6+602134, 02 48 18.65,+60 21 34.97,     10,     0.21,     0.07,     0.82,     0.79,     68.7,     1.84,                TRUE,FALSE,FALSE,FALSE,3.911e-15,1.726e-15,5.982e-15,         ,         ,         
 2CXO J043715.8-471508, 04 37 15.82,-47 15 08.64,     13,     0.77,     0.06,     0.71,     0.71,      0.0,   113.03,                TRUE,FALSE,FALSE,FALSE,6.181e-13,6.052e-13,6.303e-13,         ,         ,         
2CXO J043715.9-471509X, 04 37 15.92,-47 15 09.43,     13,     0.57,     0.14,     1.71,     1.71,      0.0,    25.17,                TRUE,     ,     , TRUE,         ,         ,         ,         ,         ,         
 2CXO J063344.1+063230, 06 33 44.14,+06 32 30.41,     20,     0.80,     0.06,     0.71,     0.71,      0.3,    14.54,                TRUE,FALSE,FALSE,FALSE,8.413e-14,7.845e-14,8.982e-14,         ,         ,         
 2CXO J063354.3+174614, 06 33 54.33,+17 46 14.78,     21,     0.59,     0.06,     0.71,     0.71,     26.8,    90.71,                TRUE, TRUE,FALSE,FALSE,4.279e-13,4.215e-13,4.339e-13,         ,         ,         
 2CXO J065948.1+141421, 06 59 48.18,+14 14 21.19,     22,     0.32,     0.06,     0.71,     0.71,      0.0,   227.02,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,1.621e-11,1.613e-11,1.628e-11
 2CXO J083520.6-451034, 08 35 20.61,-45 10 34.65,     27,     0.22,     0.06,     0.71,     0.71,      0.0,   397.20,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,2.596e-11,2.587e-11,2.605e-11
 2CXO J102827.8-581906, 10 28 27.87,-58 19 06.60,     34,     0.39,     0.06,     0.73,     0.72,    108.6,     6.70,                TRUE,FALSE,FALSE,FALSE,6.348e-14,5.398e-14,7.297e-14,         ,         ,         
 2CXO J104432.8-573719, 10 44 32.86,-57 37 19.10,     35,     0.58,     0.06,     0.74,     0.73,     73.1,     4.57,                TRUE,FALSE,FALSE,FALSE,3.220e-14,2.495e-14,3.904e-14,         ,         ,         
 2CXO J111214.8-610330, 11 12 14.88,-61 03 30.72,     39,     0.69,     0.06,     0.72,     0.72,      0.0,    11.04,                TRUE,FALSE,FALSE,FALSE,4.466e-14,4.147e-14,4.766e-14,         ,         ,         
 2CXO J111914.2-612749, 11 19 14.28,-61 27 49.20,     40,     0.23,     0.06,     0.71,     0.71,     96.9,    19.93,                TRUE, TRUE,FALSE,FALSE,4.202e-14,3.958e-14,4.431e-14,         ,         ,         
 2CXO J112401.1-365319, 11 24 01.13,-36 53 19.13,     41,     0.18,     0.06,     0.73,     0.72,    113.5,    10.27,                TRUE,FALSE,FALSE,FALSE,6.004e-14,5.418e-14,6.589e-14,         ,         ,         
 2CXO J112439.1-591619, 11 24 39.16,-59 16 19.46,     42,     0.70,     0.06,     0.71,     0.71,     99.8,   144.29,                TRUE,FALSE,FALSE,FALSE,8.254e-13,8.172e-13,8.331e-13,         ,         ,         
 2CXO J123111.3-141143, 12 31 11.30,-14 11 43.92,     45,     0.12,     0.06,     0.72,     0.72,    168.3,     9.99,                TRUE,FALSE,FALSE,FALSE,1.517e-13,1.356e-13,1.668e-13,         ,         ,         
 2CXO J135702.5-642929, 13 57 02.53,-64 29 29.94,     46,     0.72,     0.06,     0.71,     0.71,     87.5,    18.02,                TRUE,FALSE,FALSE,FALSE,7.092e-14,6.692e-14,7.493e-14,         ,         ,         
 2CXO J141330.2-620535, 14 13 30.22,-62 05 35.97,     48,     0.63,     0.08,     0.92,     0.86,    143.9,     3.00,                TRUE, TRUE,FALSE,FALSE,1.215e-14,8.103e-15,1.621e-14,         ,         ,         
 2CXO J142008.1-604817, 14 20 08.19,-60 48 17.33,     50,     0.84,     0.06,     0.72,     0.72,     81.8,    12.86,                TRUE, TRUE,FALSE,FALSE,6.833e-14,6.353e-14,7.312e-14,         ,         ,         
 2CXO J142958.5-591136, 14 29 58.50,-59 11 36.03,     51,     0.63,     0.06,     0.75,     0.74,    132.8,     4.19,                TRUE,FALSE,FALSE,FALSE,1.809e-14,1.377e-14,2.241e-14,         ,         ,         
 2CXO J145930.2-605320, 14 59 30.25,-60 53 20.27,     53,     0.85,     0.06,     0.74,     0.73,    160.9,     3.88,                TRUE,FALSE,FALSE,FALSE,3.139e-14,2.305e-14,3.924e-14,         ,         ,         
 2CXO J150927.1-585056, 15 09 27.16,-58 50 56.26,     54,     0.39,     0.06,     0.71,     0.71,     11.0,    14.23,                TRUE,FALSE,FALSE,FALSE,2.910e-14,2.746e-14,3.065e-14,         ,         ,         
 2CXO J151355.6-590809, 15 13 55.63,-59 08 09.21,     55,     0.33,     0.06,     0.71,     0.71,      0.0,    94.01,                TRUE,FALSE,FALSE,FALSE,2.041e-12,2.001e-12,2.081e-12,         ,         ,         
 2CXO J151419.0-494615, 15 14 19.08,-49 46 15.95,     56,     0.43,     0.08,     1.03,     0.84,     94.9,     2.63,                TRUE,FALSE,FALSE,FALSE,4.925e-15,3.015e-15,6.834e-15,         ,         ,         
 2CXO J153127.8-561055, 15 31 27.90,-56 10 55.33,     57,     0.19,     0.07,     0.80,     0.79,    174.9,     3.31,                TRUE,FALSE,FALSE,FALSE,1.872e-14,1.291e-14,2.420e-14,         ,         ,         
 2CXO J161436.5-223031, 16 14 36.51,-22 30 31.06,     59,     0.26,     0.06,     0.72,     0.71,    169.0,     9.04,                TRUE,FALSE,FALSE,FALSE,2.187e-14,1.943e-14,2.430e-14,         ,         ,         
 2CXO J165839.3-532406, 16 58 39.35,-53 24 06.95,     62,     0.19,     0.09,     1.05,     1.05,      0.0,     4.26,                TRUE,FALSE,FALSE,FALSE,1.138e-14,8.489e-15,1.427e-14,         ,         ,         
 2CXO J170252.4-412848, 17 02 52.49,-41 28 48.25,     63,     0.28,     0.07,     0.80,     0.77,    170.9,     2.61,                TRUE,FALSE,FALSE,FALSE,6.868e-15,3.815e-15,9.768e-15,         ,         ,         
 2CXO J171813.6-382517, 17 18 13.60,-38 25 17.96,     66,     0.57,     0.06,     0.72,     0.72,     80.1,    15.54,                TRUE,FALSE,FALSE,FALSE,7.847e-14,7.327e-14,8.337e-14,         ,         ,         
 2CXO J174429.4-113454, 17 44 29.40,-11 34 54.92,     71,     0.09,     0.06,     0.71,     0.71,     87.6,    14.80,                TRUE,FALSE,FALSE,FALSE,1.944e-14,1.813e-14,2.074e-14,         ,         ,         
 2CXO J181037.3+174437, 18 10 37.31,+17 44 37.37,     78,     0.24,     0.06,     0.75,     0.73,     10.9,     6.27,                TRUE,FALSE,FALSE,FALSE,1.835e-14,1.539e-14,2.130e-14,         ,         ,         
 2CXO J181323.7-124600, 18 13 23.77,-12 46 00.30,     79,     0.72,     0.06,     0.71,     0.71,      1.9,    33.38,                TRUE,FALSE,FALSE,FALSE,5.424e-13,5.262e-13,5.586e-13,         ,         ,         
