#index,ra,dec,
1,00:02:58.1,+62:16:09.4,
2,00:06:04.8,+18:34:59,
3,00:07:01.7,+73:03:07.4,
4,00:11:34,+08:10,
5,00:14:17.7,+47:46:33.4,
6,00:21:51.4,-09:09:58.7,
7,00:23:16.8,+09:23:23.8,
8,00:24:05.6,-72:04:52.6,
9,00:24:08.1,-72:04:47.6,
10,00:23:50.3,-72:04:31.5,
11,00:24:13.8,-72:04:43.8,
12,00:24:11.1,-72:05:20.1,
13,00:24:03.8,-72:04:42.8,
14,00:24:07.9,-72:04:39.7,
15,00:24:06.7,-72:04:06.8,
16,00:24:07.9,-72:04:39.6,
17,00:23:59.4,-72:03:58.7,
18,00:24:03.7,-72:04:56.9,
19,00:23:54.4,-72:05:30.7,
20,00:24:09.1,-72:04:28.8,
21,00:24:04.6,-72:04:53.7,
22,00:24:20,-72:04:10,
23,00:24:16.4,-72:04:25.1,
24,00:24:07.5,-72:04:50.3,
25,00:24:03.9,-72:04:42.3,
26,00:24:08.5,-72:04:38.9,
27,00:24:09.8,-72:03:59.6,
28,00:24:05.6,-72:04:52.6,
29,00:24:06.0,-72:04:49.0,
30,00:24:22.3,-72:01:17.4,
31,00:24:01.4,-72:04:41.8,
32,00:24:06.0,-72:05:01.4,
33,00:26:50.5,+63:20:00.8,
34,00:30:27.4,+04:51:39.7,
35,00:33,+57:00,
36,00:33,+61:00,
37,00:34:21.8,-05:34:36.7,
38,00:34:08.8,-07:21:53.4,
39,00:34,+69:43,
40,00:38:10.2,-25:01:30.7,
41,00:39:06,+35:45,
42,00:40:32.3,+57:16:24.8,
43,00:43:25,-73:11,
44,00:45:25.6,-70:42:07.1,
45,00:45:35.1,-73:19:03.0,
46,00:48:33.9,+34:12:08.0,
47,00:50:31,+03:48,
48,00:51:30.1,+04:22:49,
49,00:52:28,-72:05,
50,00:54,+66:00,
51,00:54:28,+69:26,
52,00:54:59.1,+69:46:16.8,
53,00:55:45.3,+51:17:24.6,
54,00:56:25.5,+47:56:10.5,
55,00:57:44.0,-72:01:19,
56,00:58:09.9,+49:50:26.0,
57,00:58,+61:25,
58,00:59:30,+69:55,
59,01:00:43.0,-72:11:33.6,
60,01:00:16.0,+80:23:41.7,
61,01:01:11.1,-64:22:30.1,
62,01:03,+48:00,
63,01:02:32.9,+65:37:13.4,
64,01:03:37,+54:02,
65,01:06:25.0,+48:55:51.8,
66,01:07:39.9,+13:22:31.7,
67,01:08:08.3,-14:31:50.1,
68,01:08:22.5,+66:08:34.4,
69,01:08:29.5,+69:05:52.6,
70,01:11:21.8,+66:24:10.8,
71,01:11:28.7,-71:31:46.8,
72,01:13:11.0,-72:20:32.2,
73,01:15:45.8,+63:25:50.8,
74,01:17:38.6,+59:14:38.3,
75,01:22:01.3,+14:16:17,
76,01:25:10,-23:27:26,
77,01:26,+62:35,
78,01:31:28.5,-73:10:09.3,
79,01:33:32.4,-69:57:29.6,
80,01:34:18.6,-29:37:17.0,
81,01:37:23.8,+16:54:42.1,
82,01:37:13.3,+63:49:34.3,
83,01:39:57.2,+33:36:59.7,
84,01:39:38.5,+56:21:36.8,
85,01:39:19.7,+58:14:31.8,
86,01:41:39.9,+60:09:32.3,
87,01:41,+63:08,
88,01:46:15,+31:04,
89,01:46:22.4,+61:45:02.8,
90,01:47:44.6,+59:22:03.2,
91,01:51:22.7,-06:35:02.9,
92,01:52:23.7,+09:48:10,
93,01:52:10.8,-16:37:53.6,
94,01:54:36.8,+18:33:50.7,
95,01:56:01,+04:02,
96,01:56:55.2,+39:49:29,
97,01:57:49.9,+62:12:26.6,
98,01:58:29,+21:08,
99,02:01:41.3,+70:05:18.1,
100,02:05:37.9,+64:49:41.3,
101,02:06:01.2,-40:28:03.6,
102,02:10:55.4,+58:45:04,
103,02:11:59.0,-81:59:36.2,
104,02:12:52.1,+52:22:49.5,
105,02:14:55.2,+52:22:40.9,
106,02:15:56.6,+62:18:33.3,
107,02:18:06.3,+42:32:17.3,
108,02:20:50,+36:22,
109,02:29:03,+20:58,
110,02:31:13.9,+70:26:33.8,
111,02:41:46,+16:04,
112,02:42:35,+62:56:50,
113,02:43,+60:27,
114,02:44:51,+14:27,
115,02:48:18.6,+60:21:34.7,
116,02:50:17.7,+58:54:01.3,
117,02:51:08,+26:05,
118,02:55:56.2,-53:04:21.2,
119,03:02:31.9,+22:52:12.1,
120,03:04:33.1,+19:32:51.4,
121,03:05:06,+11:23,
122,03:08,+74:00,
123,03:17:54,+13:29,
124,03:23:26.6,+39:44:52.4,
125,03:24:55.4,+52:39:31.3,
126,03:25:05.1,+67:44:59.3,
127,03:29:08.5,+16:54:02,
128,03:32:59.4,+54:34:43.3,
129,03:32:45,+79:10,
130,03:35:16.6,+45:55:53.4,
131,03:35:57.0,+66:23:23.6,
132,03:37:43.8,+17:15:14.8,
133,03:40:23.2,+41:30:45.2,
134,03:41,+57:11,
135,03:43:27.9,-30:00:27.5,
136,03:43:12.9,+53:12:53.4,
137,03:44:37.4,-09:01:02.6,
138,03:48:43.6,+04:32:11.4,
139,03:49:57.3,+23:40:53,
140,03:57:52.5,+32:05:25,
141,03:57:44.8,+52:36:57.4,
142,03:58:03.1,+41:55:19.0,
143,03:58:53.7,+54:13:13.7,
144,03:58:37.9,+66:27:46.5,
145,03:59:26.0,+54:14:55.7,
146,04:01:51.7,-76:08:12.9,
147,04:06:30.0,+61:38:41.4,
148,04:07:54.9,+16:07:16.4,
149,04:08,+55:00,
150,04:08,+55:00,
151,04:10:39,-31:07:29,
152,04:13,+58:00,
