#name,ra,dec,pileup_flag,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_s,photflux_aper_avg_b,photflux_aper_avg_h,photflux_aper_avg_m,photflux_aper_avg_s,flux_aper_avg_b,flux_aper_avg_h,flux_aper_avg_m,flux_aper_avg_s,flux_powlaw_aper_b,flux_powlaw_aper_h,flux_powlaw_aper_m,flux_powlaw_aper_s,flux_bb_aper_b,flux_bb_aper_h,flux_bb_aper_m,flux_bb_aper_s,flux_brems_aper_b,flux_brems_aper_h,flux_brems_aper_m,flux_brems_aper_s,flux_apec_aper_b,flux_apec_aper_h,flux_apec_aper_m,flux_apec_aper_s,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,hard_hm,var_inter_hard_prob_hs,var_inter_hard_sigma_hs,hard_ms,var_inter_hard_prob_ms,var_inter_hard_sigma_ms,ks_intra_prob_b,ks_intra_prob_h,ks_intra_prob_m,ks_intra_prob_s
 2CXO J095724.3+023518, 09 57 24.36,+02 35 18.35,FALSE,1.137E-05,2.308E-06,2.589E-06,5.398E-06,6.324E-14,1.509E-14,5.849E-15,4.256E-14,1.137E-05,2.308E-06,2.589E-06,5.398E-06,6.324E-14,1.509E-14,5.849E-15,4.256E-14,3.056E-14,1.432E-14,6.005E-15,1.006E-14,2.946E-14,1.257E-14,6.223E-15,6.891E-15,2.871E-14,1.344E-14,6.039E-15,9.215E-15,3.329E-14,1.595E-14,6.106E-15,8.632E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0512,         ,         ,-0.3623,         ,         ,0.645,0.328,0.888,0.342
 2CXO J095743.3+024823, 09 57 43.34,+02 48 23.56,FALSE,4.268E-06,8.234E-07,1.154E-06,1.881E-06,1.199E-14,5.994E-15,2.849E-15,3.601E-15,4.268E-06,8.234E-07,1.154E-06,1.881E-06,1.199E-14,5.994E-15,2.849E-15,3.601E-15,1.214E-14,5.243E-15,2.78E-15,3.715E-15,1.165E-14,4.608E-15,2.899E-15,2.543E-15,1.14E-14,4.918E-15,2.799E-15,3.404E-15,1.321E-14,5.854E-15,2.825E-15,3.197E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.1636,         ,         ,-0.2698,         ,         ,0.987,0.849,0.542,0.805
 2CXO J095746.1+015712, 09 57 46.18,+01 57 12.74,FALSE,6.966E-06,1.609E-06,1.388E-06,3.228E-06,1.803E-14,1.153E-14,2.923E-15,4.149E-15,6.966E-06,1.609E-06,1.388E-06,3.228E-06,1.803E-14,1.153E-14,2.923E-15,4.149E-15,1.779E-14,9.593E-15,3.143E-15,5.851E-15,1.748E-14,8.407E-15,3.264E-15,4.084E-15,1.678E-14,8.999E-15,3.162E-15,5.384E-15,1.956E-14,1.069E-14,3.199E-15,5.063E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.0837,         ,         ,-0.4222,         ,         ,0.107,0.738,0.003,0.841
 2CXO J095753.4+024735, 09 57 53.50,+02 47 35.87,FALSE,2.397E-06,5.158E-07,6.131E-07,9.803E-07,7.946E-15,4.588E-15,1.549E-15,2.331E-15,2.397E-06,5.158E-07,6.131E-07,9.803E-07,7.946E-15,4.588E-15,1.549E-15,2.331E-15,6.922E-15,3.481E-15,1.564E-15,2.047E-15,6.828E-15,3.067E-15,1.636E-15,1.441E-15,6.536E-15,3.269E-15,1.576E-15,1.888E-15,7.611E-15,3.878E-15,1.591E-15,1.784E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.075,         ,         ,-0.2686,         ,         ,0.545,0.855,0.795,0.948
 2CXO J095755.0+024806, 09 57 55.08,+02 48 06.21,FALSE,1.326E-05,2.737E-06,3.388E-06,4.819E-06,3.825E-14,1.784E-14,8.232E-15,1.26E-14,1.326E-05,2.737E-06,3.388E-06,4.819E-06,3.825E-14,1.784E-14,8.232E-15,1.26E-14,3.821E-14,1.846E-14,8.628E-15,1.002E-14,3.764E-14,1.626E-14,9.011E-15,7.035E-15,3.608E-14,1.734E-14,8.688E-15,9.23E-15,4.199E-14,2.056E-14,8.775E-15,8.715E-15,3.212E-14,2.037,4.992,8.958E-06,1.316,2.196E-14,0.5137,3.751E-06,3.429E-05,3.328,3.043E-14,3.533,7.369E-06,9.908E-06,1.441,-0.0999,         ,         ,-0.1874,         ,         ,0.994,0.992,0.929,0.058
 2CXO J095756.7+024840, 09 57 56.79,+02 48 40.70,FALSE,6.545E-06,1.75E-06,1.272E-06,2.645E-06,1.926E-14,1.098E-14,3.103E-15,5.58E-15,6.545E-06,1.75E-06,1.272E-06,2.645E-06,1.926E-14,1.098E-14,3.103E-15,5.58E-15,1.871E-14,1.17E-14,3.21E-15,5.431E-15,1.84E-14,1.031E-14,3.347E-15,3.807E-15,1.766E-14,1.099E-14,3.231E-15,5.003E-15,2.054E-14,1.303E-14,3.264E-15,4.719E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.1624,         ,         ,-0.3673,         ,         ,0.134,0.337,0.179,0.8
 2CXO J095852.0+025156, 09 58 52.10,+02 51 56.65,FALSE,1.118E-05,2.644E-06,2.953E-06,4.861E-06,3.882E-14,2.095E-14,7.104E-15,1.168E-14,1.118E-05,2.644E-06,2.953E-06,4.861E-06,3.882E-14,2.095E-14,7.104E-15,1.168E-14,3.403E-14,1.698E-14,7.147E-15,9.481E-15,3.128E-14,1.488E-14,7.367E-15,6.208E-15,3.169E-14,1.593E-14,7.181E-15,8.596E-15,3.632E-14,1.895E-14,7.25E-15,7.972E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0475,         ,         ,-0.2636,         ,         ,0.295,0.741,0.53,0.525
 2CXO J100117.1+025255, 10 01 17.12,+02 52 55.29,FALSE,9.713E-06,1.699E-06,2.519E-06,4.338E-06,2.4E-14,9.164E-15,5.864E-15,9.25E-15,9.713E-06,1.699E-06,2.519E-06,4.338E-06,2.4E-14,9.164E-15,5.864E-15,9.25E-15,2.684E-14,1.066E-14,5.992E-15,8.572E-15,2.606E-14,9.377E-15,6.275E-15,5.936E-15,2.526E-14,9.996E-15,6.037E-15,7.875E-15,2.932E-14,1.191E-14,6.09E-15,7.428E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.1924,         ,         ,-0.2773,         ,         ,0.89,0.928,0.216,0.846
 2CXO J100135.4+025405, 10 01 35.44,+02 54 05.73,FALSE,3.938E-06,8.36E-07,8.669E-07,1.926E-06,7.784E-15,4.135E-15,1.701E-15,2.388E-15,3.938E-06,8.36E-07,8.669E-07,1.926E-06,7.784E-15,4.135E-15,1.701E-15,2.388E-15,9.559E-15,4.775E-15,1.864E-15,3.37E-15,9.397E-15,4.204E-15,1.94E-15,2.358E-15,9.019E-15,4.487E-15,1.876E-15,3.103E-15,1.049E-14,5.311E-15,1.896E-15,2.923E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.0037,         ,         ,-0.4047,         ,         ,0.282,0.019,0.667,0.196
 2CXO J100136.5+025303, 10 01 36.50,+02 53 03.24,FALSE,2.839E-05,6.41E-06,6.645E-06,1.019E-05,6.134E-14,3.544E-14,1.288E-14,1.313E-14,2.839E-05,6.41E-06,6.645E-06,1.019E-05,6.134E-14,3.544E-14,1.288E-14,1.313E-14,6.262E-14,3.327E-14,1.308E-14,1.599E-14,6.173E-14,2.934E-14,1.364E-14,1.123E-14,5.913E-14,3.128E-14,1.317E-14,1.474E-14,6.874E-14,3.699E-14,1.331E-14,1.39E-14,5.453E-14,1.989,12.54,1.568E-05,1.009,3.829E-14,0.5669,1.091E-06,3.905E-05,3.045,5.441E-14,5.01,1.706,1.508E-05,1.125,-0.0187,         ,         ,-0.2124,         ,         ,0.16,0.178,0.361,0.269
