#name,ra,dec,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_s,photflux_aper_avg_b,photflux_aper_avg_h,photflux_aper_avg_m,photflux_aper_avg_s,flux_aper_avg_b,flux_aper_avg_h,flux_aper_avg_m,flux_aper_avg_s,flux_powlaw_aper_b,flux_powlaw_aper_h,flux_powlaw_aper_m,flux_powlaw_aper_s,flux_bb_aper_b,flux_bb_aper_h,flux_bb_aper_m,flux_bb_aper_s,flux_brems_aper_b,flux_brems_aper_h,flux_brems_aper_m,flux_brems_aper_s,flux_apec_aper_b,flux_apec_aper_h,flux_apec_aper_m,flux_apec_aper_s,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_norm,brems_stat,hard_hm,var_inter_hard_prob_hs,var_inter_hard_sigma_hs,hard_ms,var_inter_hard_prob_ms,var_inter_hard_sigma_ms,ks_intra_prob_b,ks_intra_prob_h,ks_intra_prob_m,ks_intra_prob_s
 2CXO J000701.5+730308, 00 07 01.57,+73 03 08.13,         ,         ,         ,         ,         ,         ,         ,         ,1.94E-05,5.945E-06,3.172E-06,5.378E-06,6.003E-14,4.508E-14,7.49E-15,8.27E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.854,0.981,0.422,0.373
 2CXO J002316.8+092323, 00 23 16.89,+09 23 23.96,9.318E-06,5.255E-07,1.101E-06,6.098E-06,1.737E-14,1.949E-15,2.869E-15,1.253E-14,9.318E-06,5.255E-07,1.101E-06,6.098E-06,1.737E-14,1.949E-15,2.869E-15,1.253E-14,2.339E-14,         ,2.67E-15,1.118E-14,2.72E-14,         ,2.765E-15,9.531E-15,2.288E-14,         ,2.685E-15,1.078E-14,2.804E-14,         ,2.711E-15,1.055E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.3198,0.808,0.2439,-0.6996,0.175,0.03447,0.868,         ,0.761,0.686
 2CXO J010111.0-642230, 01 01 11.09,-64 22 30.64,1.319E-05,1.029E-06,2.765E-06,9.122E-06,3.574E-14,5.439E-15,7.053E-15,2.464E-14,1.319E-05,1.029E-06,2.765E-06,9.122E-06,3.574E-14,5.439E-15,7.053E-15,2.464E-14,3.748E-14,         ,7.166E-15,1.948E-14,3.76E-14,         ,7.524E-15,1.392E-14,3.551E-14,         ,7.222E-15,1.803E-14,4.144E-14,         ,7.292E-15,1.711E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,-0.4447,         ,         ,-0.5572,         ,         ,0.147,         ,0.093,0.256
 2CXO J024818.6+602134, 02 48 18.65,+60 21 34.97,1.992E-06,0,0,2.396E-06,3.911E-15,         ,         ,3.862E-15,1.992E-06,0,0,2.396E-06,3.911E-15,         ,         ,3.862E-15,6.923E-15,         ,         ,2.749E-15,6.803E-15,         ,         ,2.315E-15,6.526E-15,         ,         ,2.684E-15,8.116E-15,         ,         ,2.667E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.9981,         ,         ,-0.9994,         ,         ,0.6,         ,         ,0.6
 2CXO J043715.8-471508, 04 37 15.82,-47 15 08.64,0.0003723,3.452E-05,6.11E-05,0.0001751,6.181E-13,1.748E-13,1.453E-13,2.992E-13,         ,         ,         ,0.0002063,         ,         ,         ,         ,8.077E-13,2.226E-13,1.468E-13,3.004E-13,1.024E-12,1.924E-13,1.528E-13,2.721E-13,8.062E-13,2.068E-13,1.478E-13,2.939E-13,9.975E-13,2.498E-13,1.492E-13,2.908E-13,5.563E-13,3.184,15.32,0.0003122,1.218,4.276E-13,0.2751,2.198E-07,0.008503,3.359,5.438E-13,1.272,4.815E-06,0.000346,1.134,-0.2773,1,0.4739,-0.4834,1,0.1409,0.949,0.852,0.962,0.827
 2CXO J063344.1+063230, 06 33 44.14,+06 32 30.41,4.211E-05,4.042E-06,3.369E-06,2.603E-05,8.413E-14,2.381E-14,8.062E-15,5.153E-14,4.211E-05,4.042E-06,3.369E-06,2.603E-05,8.413E-14,2.381E-14,8.062E-15,5.153E-14,1.399E-13,2.696E-14,8.417E-15,3.813E-14,1.462E-13,2.307E-14,8.688E-15,3.495E-14,1.327E-13,2.498E-14,8.464E-15,3.766E-14,1.688E-13,3.039E-14,8.576E-15,3.754E-14,6.145E-14,3.391,3.157E-06,2.122E-05,1.548,4.49E-14,0.174,2.623E-06,0.007895,3.803,5.082E-14,0.4614,1.28E-06,0.0001205,2.678,0.0974,         ,         ,-0.7708,         ,         ,0.643,0.709,0.898,0.752
 2CXO J063354.3+174614, 06 33 54.33,+17 46 14.78,0.0001255,2.752E-05,2.795E-05,4.693E-05,4.279E-13,1.992E-13,7.167E-14,1.575E-13,0.0001282,2.913E-05,2.739E-05,4.937E-05,4.271E-13,2.064E-13,7.041E-14,1.606E-13,3.768E-13,1.926E-13,7.428E-14,6.69E-14,3.894E-13,1.692E-13,7.765E-14,5.517E-14,3.593E-13,1.809E-13,7.481E-14,6.431E-14,4.407E-13,2.148E-13,7.58E-14,6.246E-14,3.21E-13,1.868,1.037,7.106E-05,1.315,2.189E-13,0.5448,2.723E-07,0.0002479,3.939,3.045E-13,4.357,1.267E-06,8.545E-05,1.46,-0.0075,0.375,0.0311,-0.2548,0.315,0.06882,0.963,0.867,0.977,0.98
 2CXO J102827.8-581906, 10 28 27.87,-58 19 06.60,2.345E-05,5.394E-06,3.74E-06,1.163E-05,6.348E-14,3.564E-14,9.206E-15,2.132E-14,2.345E-05,5.394E-06,3.74E-06,1.163E-05,6.348E-14,3.564E-14,9.206E-15,2.132E-14,9.353E-14,3.89E-14,1.054E-14,1.102E-14,8.72E-14,3.359E-14,1.093E-14,8.367E-15,8.729E-14,3.633E-14,1.061E-14,1.069E-14,1.091E-13,4.381E-14,1.082E-14,1.077E-14,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.1886,         ,         ,-0.5309,         ,         ,0.156,0.256,0.924,0.752
 2CXO J104432.8-573719, 10 44 32.86,-57 37 19.10,1.11E-05,1.89E-06,1.489E-06,8.126E-06,3.22E-14,1.054E-14,3.691E-15,1.943E-14,1.11E-05,1.89E-06,1.489E-06,8.126E-06,3.22E-14,1.054E-14,3.691E-15,1.943E-14,3.926E-14,1.35E-14,4.097E-15,8.934E-15,3.827E-14,1.177E-14,4.26E-15,7.443E-15,3.697E-14,1.265E-14,4.124E-15,8.716E-15,4.592E-14,1.511E-14,4.194E-15,8.659E-15,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,         ,0.1387,         ,         ,-0.7083,         ,         ,0.446,0.701,0.776,0.834
 2CXO J111214.8-610330, 11 12 14.88,-61 03 30.72,1.015E-05,5.368E-06,1.648E-06,3.774E-07,4.466E-14,4.029E-14,4.401E-15,4.664E-16,1.015E-05,5.368E-06,1.648E-06,3.774E-07,4.466E-14,4.029E-14,4.401E-15,4.664E-16,4.039E-14,3.827E-14,4.438E-15,4.397E-16,3.826E-14,3.284E-14,4.584E-15,3.589E-16,3.765E-14,3.562E-14,4.464E-15,4.305E-16,4.752E-14,4.31E-14,4.548E-15,4.311E-16,4E-14,1.447,107,9.864E-06,0.423,3.756E-14,1.171,26.35,2.552E-06,0.683,4.03E-14,13.58,109.1,1.441E-05,0.449,0.5334,0.162,0.009964,0.6221,0.203,0.03219,0.584,0.715,0.667,0.41
 2CXO J111914.2-612749, 11 19 14.28,-61 27 49.20,1.559E-05,4.665E-06,5.171E-06,1.233E-06,4.202E-14,2.788E-14,1.253E-14,1.868E-15,1.666E-05,5.032E-06,5.581E-06,         ,4.51E-14,3.02E-14,1.357E-14,         ,6.373E-14,3.159E-14,1.308E-14,1.663E-15,6.079E-14,2.676E-14,1.344E-14,1.414E-15,5.918E-14,2.918E-14,1.314E-14,1.638E-15,7.586E-14,3.578E-14,1.336E-14,1.645E-15,3.675E-14,3.019,115.7,5.482E-05,1.045,3.099E-14,0.5679,46,4.337E-05,1.933,3.522E-14,1.908,84.9,3.67E-05,1.274,-0.045,0.113,0.06247,0.6121,0.212,0.08383,0.849,0.75,0.587,0.786
