,A_NAME,A_RA,A_DEC,A_COUNT_RATE,A_COUNT_RATE_ERROR,A_FLUX,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,B_SIGNIFICANCE,B_B_FLUX_AP,B_B_FLUX_AP_HI,B_B_FLUX_AP_LO,B_M_FLUX_AP,B_M_FLUX_AP_HI,B_M_FLUX_AP_LO,XOFFSET_
0,CXOGLB J002404.9-720506,6.020883,-72.085058,0.0003368,8.643e-05,2.338e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.6-720509 ,6.019509,-72.085948,2.318,0.0,9.20E-17      ,0.00E+00      ,0.0,              ,              ,0.059
1,CXOGLB J002404.9-720506,6.02065,-72.085022,5.856e-05,1.853e-05,3.543e-16,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.6-720509 ,6.019509,-72.085948,2.318,0.0,9.20E-17      ,0.00E+00      ,0.0,              ,              ,0.059
2,CXOGLB J002406.0-720456,6.024962,-72.082272,0.00444,0.0002626,3.157e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,2.773,2.91e-16,5.11E-16      ,7.02E-17      ,1.94e-16,3.54E-16      ,2.53E-17      ,0.083
3,CXOGLB J002406.0-720456,6.024983,-72.082272,0.003116,0.0001089,1.807e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,2.773,2.91e-16,5.11E-16      ,7.02E-17      ,1.94e-16,3.54E-16      ,2.53E-17      ,0.082
4,XMMSL2 J002402.8-720447,6.02072,-72.081412,1.152,0.4801,3.638e-12,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002406.4-720451 ,6.026713,-72.081007,2.773,2.91e-16,5.11E-16      ,7.02E-17      ,1.94e-16,3.54E-16      ,2.53E-17      ,0.113
5,CXOGLB J002405.6-720449,6.023521,-72.080333,0.001938,8.645e-05,1.329e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,2.773,2.91e-16,5.11E-16      ,7.02E-17      ,1.94e-16,3.54E-16      ,2.53E-17      ,0.071
6,CXOGLB J002405.6-720449,6.023529,-72.080314,0.001001,0.000133,8.148e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,2.773,2.91e-16,5.11E-16      ,7.02E-17      ,1.94e-16,3.54E-16      ,2.53E-17      ,0.072
7,CXOGLB J002406.0-720456,6.024962,-72.082272,0.00444,0.0002626,3.157e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,2.636,0.0,1.56E-16      ,0.00E+00      ,9.39e-17,1.88E-16      ,0.00E+00      ,0.099
8,CXOGLB J002406.0-720456,6.024983,-72.082272,0.003116,0.0001089,1.807e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,2.636,0.0,1.56E-16      ,0.00E+00      ,9.39e-17,1.88E-16      ,0.00E+00      ,0.099
9,CXOGLB J002405.6-720449,6.023521,-72.080333,0.001938,8.645e-05,1.329e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,2.636,0.0,1.56E-16      ,0.00E+00      ,9.39e-17,1.88E-16      ,0.00E+00      ,0.074
10,CXOGLB J002405.6-720449,6.023529,-72.080314,0.001001,0.000133,8.148e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,2.636,0.0,1.56E-16      ,0.00E+00      ,9.39e-17,1.88E-16      ,0.00E+00      ,0.074
11,CXOGLB J002406.3-720443,6.026558,-72.078611,0.01404,0.0002268,9.186e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720446X,6.027507,-72.079717,34.89,0.0,              ,              ,0.0,              ,              ,0.069
12,CXOGLB J002405.6-720449,6.023521,-72.080333,0.001938,8.645e-05,1.329e-14,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720446X,6.027507,-72.079717,34.89,0.0,              ,              ,0.0,              ,              ,0.082
13,CXOGLB J002405.6-720449,6.023529,-72.080314,0.001001,0.000133,8.148e-15,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.6-720446X,6.027507,-72.079717,34.89,0.0,              ,              ,0.0,              ,              ,0.082
