index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,40580.4,2010-01-27T01:02:52,0.5612468900921996,0.0003325066666666667,2.068733333333333e-05,8.4,8.346000000000001e-16,1.241e-15,5.757000000000001e-16,2.084
1,75682.2,2010-01-29T14:46:35,0.9872122762148338,0.0002479,1.8271e-05,12.4,6.9586e-16,9.650000000000001e-16,4.7912e-16,2.8080000000000007
2,171955.9,2012-01-18T14:26:38,2.0938530734632685,0.0001970666666666667,2.1621e-05,22.2,6.2304e-16,8.4832e-16,4.4788e-16,3.6399999999999997
6,160215.7,2012-01-21T08:54:47,0.2279489904357067,0.00025562,4.5515e-05,34.2,1.0435e-15,1.2798e-15,8.4468e-16,4.6160000000000005
3,75554.3,2012-01-26T22:21:59,0.5492827394724665,0.00019592666666666666,1.2158333333333334e-05,10.2,8.292739999999999e-15,1.318446e-14,3.1567920000000002e-15,2.6
4,184208.0,2012-01-31T15:24:33,0.9261013737565135,0.000137164,1.0597799999999999e-05,25.6,1.02218e-15,1.3431999999999998e-15,6.9062e-16,4.116
5,158013.8,2012-02-03T10:00:00,1.7936099889827397,0.00015402666666666667,4.393666666666667e-05,16.0,5.4886e-16,7.110940000000001e-16,3.93972e-16,3.0839999999999996
7,119479.4,2012-04-04T03:00:56,0.6462596169585857,0.00015736,9.338e-05,12.2,5.012e-16,6.912400000000001e-16,3.4900000000000005e-16,2.75
9,46281.0,2012-04-05T19:03:53,1.4109840463080614,0.0001631,4.98335e-05,3.8,3.4266e-16,1.5216999999999999e-15,1.7448e-16,1.666
8,69689.2,2012-04-06T18:15:48,0.5308586762075135,0.00020459999999999999,6.66e-05,6.0,3.7424000000000004e-16,6.724600000000001e-16,2.4169800000000003e-16,1.6600000000000001
