,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_
0,CXOGLB J002404.9-720506,6.020883,-72.085058,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.6-720509 ,6.019509,-72.085948,0.059
1,CXOGLB J002404.9-720506,6.02065,-72.085022,GC47TUCCXO      ,CHANDRA      ,2CXO J002404.6-720509 ,6.019509,-72.085948,0.059
2,CXOGLB J002406.0-720456,6.024962,-72.082272,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.083
3,CXOGLB J002407.9-720454,6.032975,-72.081883,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.127
4,CXOGLB J002407.9-720454,6.033017,-72.081878,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.128
5,CXOGLB J002406.0-720456,6.024983,-72.082272,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.082
6,CXOGLB J002404.9-720455,6.020471,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.131
7,XMMSL2 J002402.8-720447,6.02072,-72.081412,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.113
8,CXOGLB J002404.9-720455,6.020575,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.129
9,XMMSL2 J002402.8-720447,6.017688,-72.08105,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.167
10,CXOGLB J002406.3-720443,6.026558,-72.078611,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.144
11,CXOGLB J002405.6-720449,6.023521,-72.080333,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.071
12,CXOGLB J002405.6-720449,6.023529,-72.080314,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.072
13,CXOGLB J002406.3-720443,6.026542,-72.078603,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.4-720451 ,6.026713,-72.081007,0.144
14,CXOGLB J002406.0-720456,6.024962,-72.082272,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.099
15,CXOGLB J002407.9-720454,6.032975,-72.081883,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.125
16,CXOGLB J002407.9-720454,6.033017,-72.081878,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.125
17,CXOGLB J002406.0-720456,6.024983,-72.082272,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.099
18,CXOGLB J002404.9-720455,6.020471,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.146
19,XMMSL2 J002402.8-720447,6.02072,-72.081412,XMMSLEWCLN      ,XMM-NEWTON   ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.126
20,CXOGLB J002404.9-720455,6.020575,-72.082044,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.144
21,CXOGLB J002406.3-720443,6.026558,-72.078611,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.131
22,CXOGLB J002405.6-720449,6.023521,-72.080333,GC47TUCCXO      ,CHANDRA      ,2CXO J002406.5-720450 ,6.027229,-72.080783,0.074
