index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,BH,BH0001,1A 0620-00          ,41932.7,23.63,3822.529,2000-02-29T04:03:25,1.18358e-05,0.9964000000000001,7.8,0.0025371399999999994,0.00118278,0.00125702,0.00012125599999999999,0.49779999999999996,0.5988,0.4218,1.0,14.10226627227136,14.232231357465015,14.161932082639916,3.5346199999999997e-06,2.6721000000000002e-06,3.10766e-06,5.048711062722328,5.732359017654084,5.814174640387038,6.241618058225325,5.578396073130169,5.092427421201449,5.8338660296948905,5.896538377905295,6.590912630552165,5.640923773940737,5.0090399003178,5.65521487736734,5.74521031260279,6.057942316158605,5.523748203992967,13.769551078621726,14.029792641193145,14.414877813693185,15.45717457304082,14.408378961786681,13.81559251458768,14.135963817274225,14.499900808084277,15.781727146428553,14.473531487530522,13.72792621249999,13.944621668625,14.347947151751894,15.27351730321517,14.354675998437706,0.0974,-0.1761,-0.2673,,,,,,,,,,,,,,,,,0.2255,-0.0381,-0.0606,-0.2954,-0.1655,-0.3679,,,,,,,,,,,,,,,,,,,,
1,BH,BH0001,1A 0620-00          ,39623.0,23.63,3822.529,2005-08-20T09:03:34,1.18358e-05,0.9964000000000001,7.8,0.00335796,0.0032610800000000004,0.00330598,3.4747e-05,0.4264,0.46719999999999995,0.18380000000000002,0.0,13.6773094413256,13.763468784416245,13.717297243156692,9.4052e-06,7.601999999999999e-06,8.517e-06,4.628932137728264,5.384365531122584,5.266321344322912,5.679645967182328,5.127785436602414,4.659754238432068,5.4579218536643745,5.3128278954052,5.991825815993574,5.17063189201118,4.601886308269497,5.324680016660707,5.224316750973956,5.499763525174361,5.088789106862447,13.324130044681043,13.626904012921273,13.9072793553159,15.023283295636618,13.938547520912806,13.354774288464585,13.698102282804792,13.953895212753961,15.367745223315286,13.98171569157347,13.297138829427071,13.569119053547109,13.865185629679539,14.84043280676638,13.899284913426918,-0.1324,-0.2898,-0.1624,13.369267107182804,2.451,23.29,1.971e-05,0.836,13.489186989487504,13.450751443145943,13.537302591898284,0.4657,1.986e-06,7.262e-05,1.936,13.385313657717987,2.481,11.05,0.859,-0.0468,-0.2217,-0.2105,-0.3691,-0.0956,-0.228,13.331334584545507,13.406935568341282,2.686,2.239,29.79,17.38,2.405e-05,1.625e-05,6.822e-05,9.334e-05,13.433798281145087,13.353400248279627,3.134,2.0,15.48,6.992,0.5002,0.4332,1.035,
2,BH,BH0001,1A 0620-00          ,29673.9,23.63,3822.529,2013-12-09T01:11:41,1.18358e-05,0.9964000000000001,7.8,0.007894179999999999,0.004828519999999999,0.005101260000000001,0.00042634179999999995,0.42919999999999997,0.5602,0.35459999999999997,0.4,13.339159176967849,13.413232714189364,13.376213344258261,1.8542000000000003e-05,1.4035999999999999e-05,1.6290200000000002e-05,4.41510365586255,4.993533957750769,5.031003673351687,4.941953769604718,4.916855856856948,4.441291429466834,5.039053804266168,5.0745847629157534,5.254300773397494,4.964570261815451,4.390512310146715,4.95233580539844,4.991399828238082,4.762205006726077,4.873868592738016,12.979638717352293,13.207608310501746,13.641874714723352,inf,13.68507994400758,13.00533097817447,13.258218303856834,13.685922008220787,inf,13.732593581247096,12.95546023960759,13.164816930150955,13.602059991327963,14.706195640080663,13.642065152999546,0.04,-0.0912,-0.1299,13.030770520137358,2.193,23.98,3.559e-05,0.846,13.114469166811908,13.079720105367052,13.147154181985004,0.592,1.225e-07,6.391e-05,1.743,13.044167989767578,3.44,13.14,0.814,0.1068,-0.0281,-0.0194,-0.1618,-0.0618,-0.1968,13.00256992620253,13.063787955679752,2.379,2.02,30.6,17.94,4.25e-05,2.99e-05,6.046e-05,7.81e-05,13.083177715404087,13.01399006814674,4.313,2.799,17.89,8.83,0.6263,0.5576,0.8602,
0,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-21T04:45:23,0.0039601224,0.9928000000000001,7.2,2.903,2.891,2.897,0.006242,0.942,0.987,0.154,0.0,10.015742798294584,10.021180613267157,10.018453194954764,0.008574,0.008467,0.00852,,2.0695604052333,,,,,2.0722704402283454,,,,,2.066816520825386,,,,,10.018453194954764,,,,,10.021180613267157,,,,,10.015742798294584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-21T11:42:23,0.0039601224,0.9928000000000001,7.2,3.219,3.219,3.219,0.0002681,0.965,0.974,0.013,0.0,9.825358807339551,9.83061950468805,9.827981190575443,0.01362,0.01346,0.01354,,1.8683813356508745,,,,,1.870954940112042,,,,,1.8658228924232336,,,,,9.827981190575443,,,,,9.83061950468805,,,,,9.825358807339551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BH,BH0002,1E 1740.7-2942      ,5023.0,166.94,151803.0,2002-08-17T13:17:17,0.0039601224,0.9928000000000001,7.2,0.5615887500000001,0.56067325,0.5609745,0.000289975,0.3425,0.45575,0.1555,0.0,10.986952433754338,10.99991723135935,10.993434274005377,0.0013218724,0.00128002744,0.0013008650000000002,2.464832514885056,2.517126416391246,4.708853238268114,5.377268034835281,4.936291440608582,2.4712118082251036,2.5236031732746698,4.780677491580663,6.2618539112879406,5.044793462458058,2.458545571252411,2.5106040782728707,4.647431613820691,5.105573162035812,4.853871964321762,10.599634726650061,10.59260909552927,13.274006741075278,inf,13.73423908328239,10.606073993414164,10.598944274228156,13.34524606674707,inf,13.842543231865774,10.59328954139021,10.586197483230649,13.212752119668046,14.86043573382415,13.651695136951838,0.9869,0.9919,0.2586,10.694648630553376,4.625,1561.0,1.822,1.591,10.715794932298206,10.70818731253288,10.728623128105925,0.7512,1020.0,0.02714,2.033,10.702677285794698,1.601,1254.0,1.797,0.9888,0.985,0.9938,0.9913,0.3779,0.138,10.685922008220787,10.709075440617246,4.76,4.465,1609.0,1510.0,2.383,1.401,0.02307,0.03205,10.713992877920525,10.694433686484697,1.686,1.523,1290.0,1219.0,0.7705,0.7323,1055.0,987.1
3,BH,BH0002,1E 1740.7-2942      ,11611.1,166.94,151803.0,2001-07-20T18:19:53,0.0039601224,0.9928000000000001,7.2,4.403,0.8292,2.571,1.033,1.0,0.999,1.0,10.0,10.268491816403975,10.275970027064401,10.272214825817095,0.007958,0.007822,0.00789,,2.10292299679058,,,,,2.106682188383888,,,,,2.0991960651896306,,,,,10.272214825817095,,,,,10.275970027064401,,,,,10.268491816403975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BH,BH0002,1E 1740.7-2942      ,14448.3,166.94,151803.0,2006-06-27T16:57:50,0.0039601224,0.9928000000000001,7.2,0.9659863333333333,0.08422000000000002,0.42913500000000004,0.1491486,0.8206666666666665,0.932,0.8569999999999999,5.333333333333333,11.427458308190074,11.47556513718065,11.46738199305328,0.001155072,0.0010592768000000001,0.0011071817999999999,2.5086383061657274,2.655018586072742,5.00052146632069,3.686765708305276,5.141402655005307,2.516698047641833,2.6629402736794754,5.121133663043275,4.163802519221075,5.372839047625225,2.5008630054626173,2.6470460882899123,4.90622821850127,3.464832514885056,4.997833938243493,11.072219150652625,11.067627717852085,13.972650392225244,inf,14.097072903982736,11.080242219498105,11.075669015291322,14.095392636184553,inf,14.350275814070478,11.064341613899366,11.059732608553988,13.877129077135564,11.878440155812498,13.9381706927053,0.9906,0.9931,0.1399,11.105850153232078,1.406,1271.0,0.004179,0.836,11.102537861986937,11.091568601033993,11.123493495734118,1.775,922.8,0.0002464,0.849,11.095663207797505,46.27,1247.0,0.836,0.9925,0.9888,0.9963,0.9913,0.3654,-0.0743,11.090818524022147,11.136617651559213,1.59,1.227,1362.0,1185.0,0.005822,0.003032,0.0002016,0.0003013,11.119701008574248,11.085921414610889,268.6,21.71,1319.0,1184.0,1.886,1.675,982.4,866.5
5,BH,BH0002,1E 1740.7-2942      ,9952.4,166.94,151803.0,2006-06-28T16:40:11,0.0039601224,0.9928000000000001,7.2,0.667027,0.097963,0.36643400000000004,0.12243745,0.62225,0.79075,0.7072499999999999,3.75,11.358994545728235,11.412896664140247,11.38514362221754,0.001321702,0.0012003486,0.0012610724,2.4509967379742124,2.59773861754532,4.782779344355482,3.667965722972482,5.0422969584511685,2.459920911195827,2.6067758836387025,4.895171596346344,4.367036831832739,5.295592072613159,2.4421320384319776,2.5890541413122254,4.698102282804792,3.4127381503074656,4.890421453095613,11.012333735073726,11.007667440952536,13.777283528852417,11.988429556402721,14.028584976615004,11.021363051615525,11.016689514205884,13.891773343625072,12.789949150124862,14.308388125785584,11.00348832784582,10.998699066979581,13.686765708305275,11.723078867934227,13.859806321421368,0.9869,0.9931,0.2661,11.050414848673348,1.479,1359.0,0.005561,1.181,11.05134256785868,11.037062711569998,11.0768596439748,1.744,987.3,0.0003039,1.187,11.045275209020938,32.08,1327.0,1.18,0.99,0.985,0.995,0.99,0.4803,0.0556,11.03574036980315,11.104301273040694,1.697,1.268,1471.0,1254.0,0.00824,0.003791,0.0002395,0.0003859,11.068237111518823,11.03390522055383,144.0,16.29,1415.0,1242.0,1.872,1.632,1062.0,917.6
6,BH,BH0002,1E 1740.7-2942      ,15241.3,166.94,151803.0,2006-07-01T14:10:58,0.0039601224,0.9928000000000001,7.2,1.037799,0.135922,0.5249803333333333,0.19481839666666667,0.13999999999999999,0.22066666666666665,0.7126666666666667,6.0,11.363877425696336,11.378792321323429,11.371495777514802,0.001445716,0.0013304255999999999,0.0013880772,2.4151036558625503,2.561141340579438,4.871923987331285,3.485186705000715,5.110362199593332,2.4220488722702447,2.5681539543012746,4.9714287473074625,3.8250684064715577,5.31443738884177,2.4082677610481644,2.554240163511369,4.795337488251781,3.2967946293045136,4.972242795309446,10.976336081802206,10.971428747307462,13.884722408604098,inf,14.584692707774433,10.983384452442822,10.978810700930062,13.986741334716484,inf,14.920456992597094,10.96940027803405,10.964570261815451,13.802168306671097,13.493630282904496,14.404944910240696,0.9906,0.9944,0.2511,11.004452550524862,1.144,1116.0,0.003168,0.88,11.005111204635089,10.99610883376309,11.020451625295905,1.922,822.3,0.0002302,0.899,10.99956592252068,100.0,1172.0,0.885,0.9925,0.9888,0.9963,0.9925,0.4441,0.0631,10.993962045002682,11.029420694285148,1.299,0.993,1190.0,1046.0,0.004188,0.002423,0.0001935,0.0002741,11.014977917890464,10.99012436628784,,59.62,1205.0,1143.0,2.036,1.821,870.1,777.3
