index,exp_time,date,hardness,var_mean,var_sigma,cnts_aper,flux_aper,flux_aper_hilim,flux_aper_lolim,flux_significance
0,36978.6,2001-06-14T10:51:54,-1.8454376163873372,0.00036045,2.2065e-05,11.2,2.45846e-15,3.2672e-15,1.67522e-15,2.646
1,40580.4,2010-01-27T01:02:52,11.489051094890511,0.0003163,4.5147250000000004e-05,10.6,2.59244e-15,3.3832240000000006e-15,1.80194e-15,2.496
2,75682.2,2010-01-29T14:46:35,-0.2454458293384468,0.0002805,1.989e-05,17.4,1.73946e-15,2.2607800000000004e-15,1.28592e-15,3.382
3,171955.9,2012-01-18T14:26:38,2.234189723320158,0.000281525,3.2030749999999995e-05,39.2,2.48006e-15,2.8971600000000003e-15,2.0986399999999997e-15,4.723999999999999
7,160215.7,2012-01-21T08:54:47,-0.009146341463414632,0.000274125,2.8800000000000002e-05,35.8,1.9987200000000003e-15,2.34496e-15,1.6645999999999999e-15,4.497999999999999
4,75554.3,2012-01-26T22:21:59,-0.5428898208158598,0.00030045,4.860575e-05,19.2,9.1324e-15,1.3427e-14,4.62448e-15,3.6
5,184208.0,2012-01-31T15:24:33,-0.9483985765124554,0.0002652,1.857875e-05,40.0,1.81448e-15,2.1277e-15,1.52298e-15,5.01
6,158013.8,2012-02-03T10:00:00,-3.2350936967632027,0.0002998,3.361e-05,38.6,1.87694e-15,2.193164e-15,1.5707399999999998e-15,4.712
8,119479.4,2012-04-04T03:00:56,-1.1191450659390632,0.000210675,3.557e-05,21.0,1.42806e-15,1.92326e-15,1.1078e-15,3.724
10,46281.0,2012-04-05T19:03:53,-1.0695187165775402,0.000266625,1.49005e-05,10.4,9.925579999999999e-15,1.67662e-14,3.0801199999999996e-15,2.672
9,69689.2,2012-04-06T18:15:48,-2.192504258943782,0.0002503,4.714333333333333e-05,12.6,1.26842e-15,1.66116e-15,8.949e-16,2.902
