index,class,hea_class,B_M_FLUX_AP,B_B_FLUX_AP_AVG,B_B_FLUX_BB_AP,B_B_FLUX_BREMS_AP,B_B_FLUX_BREMS_AP90,B_B_FLUX_PLAW_AP,B_B_FLUX_PLAW_AP90,B_B_KP_INTRA_PROB,B_B_KS_INTRA_PROB,B_B_PHOTFLUX_AP,B_B_PHOTFLUX_AP90,B_B_PHOTFLUX_AP90_AVG,B_B_PHOTFLUX_AP_AVG,B_B_VAR_INTER_INDEX,B_B_VAR_INTER_PROB,B_B_VAR_INTER_SIGMA,B_B_VAR_INTRA_INDEX,B_B_VAR_INTRA_PROB,B_BB_AMPL,B_BB_AMPL_RHAT,B_BB_KT,B_BB_KT_RHAT,B_BB_NH,B_BB_NH_RHAT,B_BB_STAT,B_BREMS_KT,B_BREMS_KT_RHAT,B_BREMS_NH,B_BREMS_NH_RHAT,B_BREMS_NORM,B_BREMS_NORM_RHAT,B_BREMS_STAT,B_FLUX_APEC,B_FLUX_BB,B_FLUX_BREMS,B_FLUX_PLAW,B_H_FLUX_AP,B_H_FLUX_AP90,B_H_FLUX_AP90_AVG,B_H_FLUX_AP_AVG,B_H_FLUX_APEC_AP,B_H_FLUX_APEC_AP90,B_H_FLUX_BB_AP,B_H_FLUX_BB_AP90,B_H_FLUX_BREMS_AP,B_H_FLUX_BREMS_AP90,B_H_FLUX_PLAW_AP,B_H_FLUX_PLAW_AP90,B_H_KP_INTRA_PROB,B_H_KS_INTRA_PROB,B_H_PHOTFLUX_AP,B_H_PHOTFLUX_AP90,B_H_PHOTFLUX_AP90_AVG,B_H_PHOTFLUX_AP_AVG,B_H_VAR_INTER_INDEX,B_H_VAR_INTER_PROB,B_H_VAR_INTER_SIGMA,B_H_VAR_INTRA_INDEX,B_H_VAR_INTRA_PROB,B_HARDNESS_RATIO_HM,B_HARDNESS_RATIO_HS,B_HARDNESS_RATIO_MS,B_M_FLUX_AP90,B_M_FLUX_AP90_AVG,B_M_FLUX_AP_AVG,B_M_FLUX_APEC_AP,B_M_FLUX_APEC_AP90,B_M_FLUX_BB_AP,B_M_FLUX_BB_AP90,B_M_FLUX_BREMS_AP,B_M_FLUX_BREMS_AP90,B_M_FLUX_PLAW_AP,B_M_FLUX_PLAW_AP90,B_M_KP_INTRA_PROB,B_M_KS_INTRA_PROB,B_M_PHOTFLUX_AP,B_M_PHOTFLUX_AP90,B_M_PHOTFLUX_AP90_AVG,B_M_PHOTFLUX_AP_AVG,B_M_VAR_INTER_INDEX,B_M_VAR_INTER_PROB,B_M_VAR_INTER_SIGMA,B_M_VAR_INTRA_INDEX,B_M_VAR_INTRA_PROB,B_POWLAW_AMPL,B_POWLAW_AMPL_RHAT,B_POWLAW_GAMMA,B_POWLAW_GAMMA_RHAT,B_POWLAW_NH,B_POWLAW_NH_RHAT,B_POWLAW_STAT,B_S_FLUX_AP,B_S_FLUX_AP90,B_S_FLUX_AP90_AVG,B_S_FLUX_AP_AVG,B_S_FLUX_APEC_AP,B_S_FLUX_APEC_AP90,B_S_FLUX_BB_AP,B_S_FLUX_BB_AP90,B_S_FLUX_BREMS_AP,B_S_FLUX_BREMS_AP90,B_S_FLUX_PLAW_AP,B_S_FLUX_PLAW_AP90,B_S_KP_INTRA_PROB,B_S_KS_INTRA_PROB,B_S_PHOTFLUX_AP,B_S_PHOTFLUX_AP90,B_S_PHOTFLUX_AP90_AVG,B_S_PHOTFLUX_AP_AVG,B_S_VAR_INTER_INDEX,B_S_VAR_INTER_PROB,B_S_VAR_INTER_SIGMA,B_S_VAR_INTRA_INDEX,B_S_VAR_INTRA_PROB
0,0.0,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19e-07,1.34e-07,1.12e-07,9.49e-08,0,0.184,7.21e-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.999,-0.999,-0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-08,1.21e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93e-08,9.79e-08,7.79e-08,7.64e-08,3,0.449,7.13e-08,0,0.0
1,0.0,1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19e-07,1.34e-07,1.12e-07,9.49e-08,0,0.184,7.21e-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.999,-0.999,-0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41e-08,1.21e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93e-08,9.79e-08,7.79e-08,7.64e-08,3,0.449,7.13e-08,0,0.0
2,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
3,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
4,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
5,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
6,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
7,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
8,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
9,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
10,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
11,0.0,1600,1.94e-16,8.89e-16,9.38e-16,7.23e-16,5.67e-16,7.2e-16,5.65e-16,0.845,0.755,3.49e-07,2.66e-07,4.81e-07,5.85e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52e-08,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.41e-16,6.8e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.66e-08,0.0,2.78e-07,2.99e-07,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4e-16,0.0,3.85e-16,4.65e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.622,0.0,0.0,2.32e-07,2.83e-07,0,0.0,0.0,0,0.0
