index_compiled,index,class,B_M_FLUX_AP,B_B_FLUX_AP_AVG,B_B_FLUX_BB_AP,B_B_FLUX_BREMS_AP,B_B_FLUX_BREMS_AP90,B_B_FLUX_PLAW_AP,B_B_FLUX_PLAW_AP90,B_B_KP_INTRA_PROB,B_B_KS_INTRA_PROB,B_B_PHOTFLUX_AP,B_B_PHOTFLUX_AP90,B_B_PHOTFLUX_AP90_AVG,B_B_PHOTFLUX_AP_AVG,B_B_VAR_INTER_INDEX,B_B_VAR_INTER_PROB,B_B_VAR_INTER_SIGMA,B_B_VAR_INTRA_INDEX,B_B_VAR_INTRA_PROB,B_BB_AMPL,B_BB_AMPL_RHAT,B_BB_KT,B_BB_KT_RHAT,B_BB_NH,B_BB_NH_RHAT,B_BB_STAT,B_BREMS_KT,B_BREMS_KT_RHAT,B_BREMS_NH,B_BREMS_NH_RHAT,B_BREMS_NORM,B_BREMS_NORM_RHAT,B_BREMS_STAT,B_FLUX_APEC,B_FLUX_BB,B_FLUX_BREMS,B_FLUX_PLAW,B_H_FLUX_AP,B_H_FLUX_AP90,B_H_FLUX_AP90_AVG,B_H_FLUX_AP_AVG,B_H_FLUX_APEC_AP,B_H_FLUX_APEC_AP90,B_H_FLUX_BB_AP,B_H_FLUX_BB_AP90,B_H_FLUX_BREMS_AP,B_H_FLUX_BREMS_AP90,B_H_FLUX_PLAW_AP,B_H_FLUX_PLAW_AP90,B_H_KP_INTRA_PROB,B_H_KS_INTRA_PROB,B_H_PHOTFLUX_AP,B_H_PHOTFLUX_AP90,B_H_PHOTFLUX_AP90_AVG,B_H_PHOTFLUX_AP_AVG,B_H_VAR_INTER_INDEX,B_H_VAR_INTER_PROB,B_H_VAR_INTER_SIGMA,B_H_VAR_INTRA_INDEX,B_H_VAR_INTRA_PROB,B_HARDNESS_RATIO_HM,B_HARDNESS_RATIO_HS,B_HARDNESS_RATIO_MS,B_M_FLUX_AP90,B_M_FLUX_AP90_AVG,B_M_FLUX_AP_AVG,B_M_FLUX_APEC_AP,B_M_FLUX_APEC_AP90,B_M_FLUX_BB_AP,B_M_FLUX_BB_AP90,B_M_FLUX_BREMS_AP,B_M_FLUX_BREMS_AP90,B_M_FLUX_PLAW_AP,B_M_FLUX_PLAW_AP90,B_M_KP_INTRA_PROB,B_M_KS_INTRA_PROB,B_M_PHOTFLUX_AP,B_M_PHOTFLUX_AP90,B_M_PHOTFLUX_AP90_AVG,B_M_PHOTFLUX_AP_AVG,B_M_VAR_INTER_INDEX,B_M_VAR_INTER_PROB,B_M_VAR_INTER_SIGMA,B_M_VAR_INTRA_INDEX,B_M_VAR_INTRA_PROB,B_POWLAW_AMPL,B_POWLAW_AMPL_RHAT,B_POWLAW_GAMMA,B_POWLAW_GAMMA_RHAT,B_POWLAW_NH,B_POWLAW_NH_RHAT,B_POWLAW_STAT,B_S_FLUX_AP,B_S_FLUX_AP90,B_S_FLUX_AP90_AVG,B_S_FLUX_AP_AVG,B_S_FLUX_APEC_AP,B_S_FLUX_APEC_AP90,B_S_FLUX_BB_AP,B_S_FLUX_BB_AP90,B_S_FLUX_BREMS_AP,B_S_FLUX_BREMS_AP90,B_S_FLUX_PLAW_AP,B_S_FLUX_PLAW_AP90,B_S_KP_INTRA_PROB,B_S_KS_INTRA_PROB,B_S_PHOTFLUX_AP,B_S_PHOTFLUX_AP90,B_S_PHOTFLUX_AP90_AVG,B_S_PHOTFLUX_AP_AVG,B_S_VAR_INTER_INDEX,B_S_VAR_INTER_PROB,B_S_VAR_INTER_SIGMA,B_S_VAR_INTRA_INDEX,B_S_VAR_INTRA_PROB
0,194,0.0,0.00022234042553191487,0.0,8.78892733564014e-05,7.368421052631579e-05,0.0001515625,6.866197183098591e-05,0.00013985507246376812,1.0,0.9990000000000001,0.00011330049261083745,0.00026224783861671466,0.000717579250720461,0.00015432098765432098,0.625,0.885,0.0003608597285067873,0.1,0.5660000000000001,0.0001889830508474576,0.0,0.0014380403458213256,0.0,3.80184331797235e-10,0.0,0.018705035971223024,0.036699999999999997,0.0,0.0013245033112582781,0.0,2.1398601398601394e-05,0.0,0.01595744680851064,0.0,2.6849894291754758e-05,3.6344969199178646e-05,3.714285714285714e-05,2.0637898686679174e-05,3.9999999999999996e-05,0.0,0.0,2.985386221294363e-05,6.216216216216216e-05,3.064066852367688e-05,6.3855421686747e-05,3.043478260869565e-05,6.263736263736263e-05,3.0260047281323877e-05,6.275510204081633e-05,0.9990000000000001,1.0,3.0482115085536547e-05,6.654929577464789e-05,0.000248943661971831,8.03203661327231e-05,0.75,0.968,6.228571428571429e-06,0.1,0.578,0.06756756756756757,-0.19719719719719717,-0.26126126126126126,0.0009786729857819906,0.0,0.0,0.000246242774566474,0.0010095923261390887,0.00024971428571428573,0.001026128266033254,0.00024678362573099413,0.0010170731707317075,0.0002464705882352941,0.0010171990171990173,1.0,0.965,0.0002489208633093525,0.0010178571428571428,0.004336206896551724,0.0002468292682926829,0.0,0.335,0.0018058823529411765,0.0,0.35600000000000004,5.8285714285714284e-05,0.0,0.211,0.0,0.005059171597633136,0.0,0.024597701149425288,0.0005604265402843603,0.0013141210374639767,0.0,0.0,0.0005849753694581282,0.005694956949569496,0.0005976253298153034,0.005885486018641813,0.0005831295843520784,0.005643203883495145,0.000579136690647482,0.0055673758865248234,1.0,1.0,0.0004891846921797005,0.0019133333333333333,0.0038940397350993375,0.0006213991769547326,0.5,0.621,0.012926829268292684,0.1,0.504
1,464,0.0,0.00010531914893617021,0.0,4.325259515570935e-05,3.703007518796992e-05,7.8125e-05,3.4788732394366196e-05,7.318840579710145e-05,0.963,0.9079999999999999,5.652709359605912e-05,0.0001345821325648415,0.00015763688760806916,3.32716049382716e-05,0.0,0.39299999999999996,0.0002771493212669683,0.0,0.244,0.00036610169491525427,0.0,0.0009711815561959655,0.0,2.5115207373271887e-10,0.0,0.014388489208633094,0.0209,0.0,4.635761589403974e-10,0.0,1.076923076923077e-05,0.0,0.008601823708206687,0.0,1.0274841437632134e-05,1.455852156057495e-05,1.5959183673469386e-05,7.636022514071295e-06,1.418518518518518e-05,0.0,0.0,9.54070981210856e-06,2.054054054054054e-05,9.860724233983286e-06,2.132530120481928e-05,9.718670076726342e-06,2.082417582417582e-05,9.645390070921986e-06,2.0765306122448983e-05,0.996,0.95,9.642301710730948e-06,2.1760563380281688e-05,2.954225352112676e-05,9.610983981693363e-06,0.375,0.5710000000000001,7.657142857142857e-05,0.0,0.47100000000000003,-0.12412412412412412,-0.49649649649649646,-0.39639639639639634,0.0004644549763033177,0.0,0.0,0.00011502890173410404,0.0004748201438848921,0.00011714285714285715,0.0004845605700712589,0.0001152046783625731,0.000478048780487805,0.00011529411764705884,0.0004766584766584766,0.912,0.682,0.00011654676258992806,0.00047976190476190476,0.0007198275862068966,4.1121951219512196e-05,0.0,0.0139,0.000947058823529412,0.1,0.664,2.0190476190476192e-05,0.0,0.219,0.0,5.621301775147929e-09,0.0,0.009885057471264367,0.00039218009478672995,0.0009596541786743514,0.0,0.0,0.0003756157635467981,0.0037392373923739236,0.0003786279683377309,0.003808255659121173,0.0003765281173594132,0.003725728155339805,0.00037649880095923255,0.003699763593380615,0.975,0.866,0.00030948419301164725,0.00124,0.0014900662251655628,0.00023045267489711936,0.0,0.0892,0.00899390243902439,0.0,0.376
2,1496,1.0,3.8404255319148934e-05,0.00016078098471986418,1.823529411764706e-05,1.6278195488721804e-05,3.4765625e-05,1.5528169014084508e-05,3.282608695652174e-05,0.529,0.439,2.3399014778325123e-05,5.677233429394813e-05,0.0007377521613832853,0.00015987654320987653,0.625,0.8540000000000001,0.00010237556561085972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1519699812382738e-05,2.3814814814814812e-05,0.00030851851851851846,0.00015666041275797372,1.221294363256785e-05,2.7117117117117116e-05,1.2479108635097492e-05,2.77710843373494e-05,1.2352941176470587e-05,2.7307692307692305e-05,1.2293144208037825e-05,2.7295918367346937e-05,0.9,0.8590000000000001,1.3421461897356142e-05,3.126760563380282e-05,0.00043661971830985915,0.00014530892448512585,0.625,0.7929999999999999,2.8571428571428567e-05,0.0,0.0,0.4684684684684684,0.4304304304304304,-0.05755755755755755,0.0001635071090047394,0.002421221864951769,0.00014667931688804552,4.30635838150289e-05,0.00016810551558752996,4.3485714285714284e-05,0.00017030878859857482,4.309941520467836e-05,0.00016926829268292684,4.311764705882353e-05,0.00016953316953316954,0.0246,0.28300000000000003,4.676258992805756e-05,0.00018452380952380953,0.002758620689655172,0.00015999999999999999,0.375,0.47600000000000003,0.000688235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.433649289099526e-05,0.00011873198847262246,0.002055393586005831,0.0004763157894736843,6.133004926108376e-05,0.0004587945879458795,6.240105540897098e-05,0.00047003994673768315,6.112469437652813e-05,0.000453883495145631,6.091127098321342e-05,0.0004491725768321513,0.38299999999999995,0.7,5.6738768718802e-05,0.000174,0.003033112582781457,0.0004804526748971194,0.0,0.462,0.0021036585365853664,0.0,0.0
3,588,0.0,1.0691489361702126e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.869458128078818e-06,6.916426512968298e-06,6.48414985590778e-06,1.3209876543209874e-06,0.0,0.27699999999999997,0.0002737556561085973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.161741835147745e-07,7.218309859154929e-07,0.0,0.0,0.0,0.012,4.485714285714285e-06,0.0,0.0,-0.7167167167167167,-0.7227227227227226,0.007507507507507507,5.6161137440758305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2733812949640287e-05,5.845238095238095e-05,6.85344827586207e-05,3.4390243902439025e-06,0.0,0.111,0.00022470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4454976303317535e-05,2.481268011527377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3444259567387687e-05,3.88e-05,4.099337748344371e-05,7.911522633744858e-06,0.0,0.273,0.009131097560975611,0.0,0.0
4,1059,1.0,4.6702127659574465e-06,8.777589134125636e-07,2.4290657439446367e-06,2.2631578947368417e-06,4.296874999999999e-06,2.176056338028169e-06,4.08695652173913e-06,0.752,0.565,3.349753694581281e-06,7.0317002881844365e-06,7.0317002881844365e-06,1.6790123456790122e-06,0.75,0.9740000000000001,1.8438914027149323e-05,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.046904315196997e-07,8.407407407407405e-07,8.407407407407405e-07,5.046904315196997e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.424572317262832e-07,1.8485915492957745e-06,1.8485915492957745e-06,6.933638443935926e-07,0.625,0.78,7.657142857142856e-06,0.0,0.0,0.17617617617617617,0.0,0.0,2.369668246445498e-05,3.215434083601286e-05,1.666034155597723e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.474820143884892e-06,2.851190476190476e-05,4.129310344827586e-05,2.195121951219512e-06,0.5,0.603,0.0003270588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.179802955665025e-05,0.0002078720787207872,2.0844327176781004e-05,0.00020106524633821578,2.2249388753056235e-05,0.00021116504854368928,2.2781774580335728e-05,0.00021394799054373525,0.304,0.305,0.0,0.0,0.0,0.0,0.625,0.875,0.0011448170731707319,0.0,0.47200000000000003
5,741,1.0,4.6968085106382975e-05,0.0,1.453287197231834e-05,1.3308270676691729e-05,2.84375e-05,1.2781690140845068e-05,2.695652173913044e-05,0.977,0.99,1.7733990147783254e-05,4.265129682997118e-05,4.755043227665706e-05,9.938271604938271e-06,0.5,0.674,3.042986425339366e-05,0.0,0.0,4.067796610169491e-05,0.0,0.0013602305475504323,0.0,1.1359447004608294e-10,0.0,0.008992805755395683,0.0232,0.0,0.0021026490066225166,0.0,4.790209790209789e-06,0.0,0.012188449848024318,0.0,4.756871035940803e-06,5.585215605749487e-06,5.816326530612245e-06,3.0206378986866794e-06,5.703703703703703e-06,0.0,0.0,3.987473903966598e-06,8.693693693693694e-06,4.094707520891365e-06,8.975903614457832e-06,4.040920716112532e-06,8.79120879120879e-06,4.018912529550828e-06,8.775510204081633e-06,0.955,0.919,4.074650077760498e-06,9.366197183098591e-06,1.232394366197183e-05,3.993135011441647e-06,0.625,0.809,1.754285714285714e-05,0.0,0.0,-0.14514514514514512,-0.31231231231231227,-0.17517517517517514,0.0002156398104265403,0.0,0.0,5.092485549132948e-05,0.0002175059952038369,5.131428571428571e-05,0.00021971496437054631,5.105263157894737e-05,0.00021926829268292683,5.105882352941177e-05,0.0002194103194103194,0.93,0.894,5.136690647482015e-05,0.00022083333333333335,0.0003439655172413793,1.8878048780487805e-05,0.0,0.198,0.0006647058823529413,0.0,0.0,1.4571428571428571e-05,0.0,0.255,0.0,0.008254437869822485,0.0,0.017471264367816094,0.00010509478672985782,0.0002636887608069164,0.0,0.0,0.00010788177339901479,0.0010885608856088561,0.00010395778364116095,0.0010599201065246342,0.00010953545232273842,0.0010983009708737863,0.00011151079136690649,0.0011111111111111113,0.934,0.978,8.419301164725458e-05,0.0003406666666666667,0.00033973509933774834,5.390946502057613e-05,0.5,0.575,0.002332317073170732,0.0,0.0
6,436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1748768472906404e-06,0.0,4.495677233429395e-06,2.530864197530864e-06,0.0,0.18,3.427601809954751e-05,0.0,0.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.116640746500778e-07,0.0,2.0880281690140842e-06,5.503432494279175e-07,0.0,0.0,0.0,0.0,0.0,0.0,-0.4634634634634634,0.0,1.23696682464455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2916666666666666e-05,0.0,2.9609756097560976e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2440758293838865e-05,1.4899135446685878e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3460898502495841e-05,2.533333333333333e-05,0.00011390728476821192,2.561728395061728e-05,0.0,0.33399999999999996,0.004207317073170733,0.0,0.451
7,15,1.0,0.005638297872340425,0.0,0.00286159169550173,0.0023947368421052633,0.004921875,0.0022359154929577464,0.0045507246376811595,0.244,0.537,0.003682266009852217,0.008530259365994235,0.008587896253602305,0.0018580246913580247,0.0,0.0,0.0,0.0,0.0637,0.07838983050847456,0.0,0.0007377521613832854,0.0,4.0783410138248846e-11,0.0,0.024532374100719425,0.00815,0.0,0.0008311258278145695,0.0,0.001636363636363636,0.0,0.02142857142857143,0.0,0.0007272727272727271,0.0007967145790554414,0.0007795918367346937,0.00012607879924953093,0.0002648148148148148,0.0,0.0,0.00024008350730688933,0.0005495495495495496,0.0002456824512534819,0.0005650602409638555,0.00024271099744245522,0.0005549450549450548,0.00024113475177304963,0.0005561224489795918,0.0113,0.0615,0.0002441679626749611,0.0005880281690140844,0.0,0.0,0.0,0.0,0.0,0.0,0.386,-0.4834834834834834,-0.8048048048048048,-0.5255255255255254,0.025118483412322277,0.0,0.0,0.006416184971098266,0.026618705035971222,0.006514285714285715,0.027078384798099767,0.006432748538011695,0.026829268292682926,0.006411764705882353,0.026781326781326782,0.684,0.32899999999999996,0.006489208633093525,0.026785714285714288,0.03862068965517241,0.0021853658536585365,0.0,0.0,0.0,0.0,0.111,0.0037428571428571433,0.0,0.422,0.0,0.008846153846153846,0.0,0.050114942528735634,0.0283175355450237,0.06743515850144093,0.0,0.0,0.028817733990147792,0.2816728167281673,0.029419525065963063,0.2916111850865513,0.02872860635696822,0.27912621359223294,0.028537170263788974,0.2754137115839244,0.158,0.38,0.024126455906821966,0.09466666666666665,0.09735099337748343,0.015329218106995885,0.0,0.0,0.0,0.0,0.0887
8,387,0.0,8.77659574468085e-06,0.0,3.771626297577855e-06,3.172932330827067e-06,8.75e-06,2.9577464788732396e-06,8.043478260869565e-06,0.9059999999999999,0.898,4.864532019704433e-06,1.5072046109510086e-05,1.5706051873198847e-05,2.851851851851852e-06,0.375,0.479,2.2511312217194567e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2676056338028167e-06,8.873239436619718e-07,0.0,0.0,0.09,7.199999999999999e-05,0.0,0.0,-1.0,-1.0,-0.39639639639639634,3.933649289099526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2244604316546764e-05,4.3333333333333334e-05,0.0,2.673170731707317e-06,0.375,0.56,0.0033058823529411767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.146919431279622e-05,0.0001057636887608069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9390000000000001,0.948,3.311148086522463e-05,0.00013733333333333336,0.00018609271523178805,2.6851851851851855e-05,0.0,0.382,0.002515243902439025,0.0,0.0
9,672,0.0,8.085106382978723e-06,9.711375212224107e-07,4.048442906574394e-06,3.4248120300751878e-06,6.9375e-06,3.2112676056338023e-06,6.434782608695653e-06,0.765,0.846,5.172413793103448e-06,1.1671469740634005e-05,1.138328530259366e-05,2.5987654320987657e-06,0.375,0.44,8.190045248868778e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.341463414634145e-07,1.3703703703703702e-06,1.2999999999999996e-06,5.966228893058162e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.984447900466564e-07,2.4507042253521125e-06,2.295774647887324e-06,6.979405034324942e-07,0.0,0.0448,9.999999999999999e-06,0.0,0.0,0.01121121121121121,-0.49649649649649646,-0.4914914914914914,3.4834123222748817e-05,4.437299035369775e-05,2.732447817836812e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.697841726618707e-06,3.80952380952381e-05,5.267241379310345e-05,3.04390243902439e-06,0.0,0.212,0.0004352941176470589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.732227488151659e-05,7.406340057636887e-05,7.259475218658892e-05,2.0723684210526315e-05,3.706896551724138e-05,0.00030258302583025833,3.759894459102903e-05,0.0003102529960053263,3.704156479217604e-05,0.0003009708737864077,3.693045563549161e-05,0.0002978723404255319,0.125,0.111,3.0782029950083196e-05,0.00010333333333333333,0.00010066225165562912,1.9650205761316873e-05,0.375,0.38,0.006737804878048781,0.0,0.0
