name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
2CXO J000701.5+730308, 00 07 01.57,+73 03 08.13,      3,     0.81,     0.06,     0.71,     0.71,      0.0,    15.50,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,1.959e-14,1.740e-14,2.178e-14
2CXO J002350.3-720431, 00 23 50.39,-72 04 31.56,     10,     0.42,     0.06,     0.76,     0.73,     50.1,     5.09,                TRUE,FALSE,FALSE,FALSE,3.794e-16,2.820e-16,4.768e-16,         ,         ,         
2CXO J002354.5-720530, 00 23 54.52,-72 05 30.87,     19,     0.51,     0.06,     0.75,     0.73,     43.4,     6.29,                TRUE,FALSE,FALSE,FALSE,7.953e-16,6.515e-16,9.294e-16,         ,         ,         
2CXO J002359.4-720358, 00 23 59.43,-72 03 58.86,     17,     0.22,     0.06,     0.72,     0.71,     33.4,    10.04,                TRUE,FALSE,FALSE,FALSE,2.842e-15,2.546e-15,3.120e-15,         ,         ,         
2CXO J002401.4-720441, 00 24 01.44,-72 04 41.92,     31,     0.21,     0.06,     0.73,     0.72,     40.8,     5.63,                TRUE,FALSE,FALSE,FALSE,5.271e-16,4.070e-16,6.472e-16,         ,         ,         
2CXO J002403.8-720457, 00 24 03.81,-72 04 57.08,     18,     0.54,     0.06,     0.72,     0.72,     90.2,     8.83,                TRUE, TRUE,FALSE,FALSE,3.195e-15,2.718e-15,3.672e-15,         ,         ,         
2CXO J002403.9-720442, 00 24 03.95,-72 04 42.59,     13,     0.83,     0.06,     0.72,     0.71,     47.5,    11.17,                TRUE, TRUE,FALSE,FALSE,2.207e-15,1.935e-15,2.478e-15,         ,         ,         
2CXO J002403.9-720442, 00 24 03.95,-72 04 42.59,     25,     0.46,     0.06,     0.72,     0.71,     47.5,    11.17,                TRUE, TRUE,FALSE,FALSE,2.207e-15,1.935e-15,2.478e-15,         ,         ,         
2CXO J002404.6-720453, 00 24 04.67,-72 04 53.84,     21,     0.31,     0.06,     0.72,     0.71,     84.2,     8.61,                TRUE, TRUE,FALSE,FALSE,1.602e-15,1.261e-15,1.944e-15,         ,         ,         
2CXO J002405.7-720452, 00 24 05.73,-72 04 52.56,      8,     0.67,     0.06,     0.75,     0.74,     60.9,     3.05,                TRUE,FALSE,FALSE,FALSE,7.634e-17,0.000e+00,1.596e-16,         ,         ,         
2CXO J002405.7-720452, 00 24 05.73,-72 04 52.56,     28,     0.67,     0.06,     0.75,     0.74,     60.9,     3.05,                TRUE,FALSE,FALSE,FALSE,7.634e-17,0.000e+00,1.596e-16,         ,         ,         
2CXO J002406.0-720449, 00 24 06.08,-72 04 49.15,     29,     0.40,     0.06,     0.71,     0.71,     86.8,    13.73,                TRUE, TRUE,FALSE,FALSE,9.515e-15,8.804e-15,1.023e-14,         ,         ,         
2CXO J002406.0-720501, 00 24 06.06,-72 05 01.56,     32,     0.37,     0.06,     0.72,     0.72,     85.6,     7.63,                TRUE,FALSE,FALSE,FALSE,9.585e-16,8.219e-16,1.085e-15,         ,         ,         
2CXO J002406.7-720406, 00 24 06.72,-72 04 06.91,     15,     0.11,     0.06,     0.72,     0.72,     67.5,     6.58,                TRUE,FALSE,FALSE,FALSE,7.895e-16,6.534e-16,9.166e-16,         ,         ,         
2CXO J002407.3-720449, 00 24 07.36,-72 04 49.45,     24,     0.92,     0.06,     0.71,     0.71,     72.9,     9.19,                TRUE, TRUE,FALSE,FALSE,5.307e-15,4.617e-15,5.951e-15,         ,         ,         
2CXO J002407.5-720450, 00 24 07.58,-72 04 50.47,     24,     0.53,     0.06,     0.72,     0.72,      0.0,     5.93,                TRUE, TRUE,FALSE,FALSE,2.050e-15,1.827e-15,2.274e-15,         ,         ,         
2CXO J002407.9-720439, 00 24 07.97,-72 04 39.80,     14,     0.36,     0.06,     0.72,     0.72,     38.7,     8.80,                TRUE, TRUE,FALSE,FALSE,1.401e-15,1.182e-15,1.620e-15,         ,         ,         
2CXO J002407.9-720439, 00 24 07.97,-72 04 39.80,     16,     0.36,     0.06,     0.72,     0.72,     38.7,     8.80,                TRUE, TRUE,FALSE,FALSE,1.401e-15,1.182e-15,1.620e-15,         ,         ,         
2CXO J002407.9-720448, 00 24 07.98,-72 04 48.50,      9,     0.99,     0.06,     0.76,     0.74,     56.4,     2.55,                TRUE, TRUE,FALSE,FALSE,5.860e-16,4.454e-16,7.267e-16,         ,         ,         
2CXO J002408.1-720447, 00 24 08.19,-72 04 47.75,      9,     0.46,     0.06,     0.73,     0.73,     19.9,     3.69,                TRUE, TRUE,FALSE,FALSE,3.842e-16,2.228e-16,5.455e-16,         ,         ,         
2CXO J002408.5-720438, 00 24 08.56,-72 04 38.90,     26,     0.30,     0.06,     0.73,     0.73,      3.0,     4.21,                TRUE,FALSE,FALSE,FALSE,8.376e-16,5.330e-16,1.142e-15,         ,         ,         
2CXO J002409.2-720428, 00 24 09.21,-72 04 28.88,     20,     0.52,     0.06,     0.72,     0.72,      8.9,     5.64,                TRUE,FALSE,FALSE,FALSE,7.600e-16,6.041e-16,9.062e-16,         ,         ,         
2CXO J002409.8-720359, 00 24 09.85,-72 03 59.71,     27,     0.29,     0.06,     0.72,     0.72,     78.5,     7.81,                TRUE,FALSE,FALSE,FALSE,1.209e-15,1.047e-15,1.360e-15,         ,         ,         
