index_compiled,class,B_B_FLUX_AP,B_M_FLUX_AP,B_B_FLUX_AP90,B_B_FLUX_AP90_AVG,B_B_FLUX_AP_AVG,B_B_FLUX_BB_AP,B_B_FLUX_BB_AP90,B_B_FLUX_BREMS_AP,B_B_FLUX_BREMS_AP90,B_B_FLUX_PLAW_AP,B_B_FLUX_PLAW_AP90,B_B_KP_INTRA_PROB,B_B_KS_INTRA_PROB,B_B_PHOTFLUX_AP,B_B_PHOTFLUX_AP90,B_B_PHOTFLUX_AP90_AVG,B_B_PHOTFLUX_AP_AVG,B_B_VAR_INTER_INDEX,B_B_VAR_INTER_PROB,B_B_VAR_INTER_SIGMA,B_B_VAR_INTRA_INDEX,B_B_VAR_INTRA_PROB,B_BB_AMPL,B_BB_AMPL_RHAT,B_BB_KT,B_BB_KT_RHAT,B_BB_NH,B_BB_NH_RHAT,B_BB_STAT,B_BII,B_BREMS_KT,B_BREMS_KT_RHAT,B_BREMS_NH,B_BREMS_NH_RHAT,B_BREMS_NORM,B_BREMS_NORM_RHAT,B_BREMS_STAT,B_FLUX_BB,B_FLUX_BREMS,B_FLUX_PLAW,B_H_FLUX_AP,B_H_FLUX_AP90,B_H_FLUX_AP90_AVG,B_H_FLUX_AP_AVG,B_H_FLUX_APEC_AP,B_H_FLUX_BB_AP,B_H_FLUX_BB_AP90,B_H_FLUX_BREMS_AP,B_H_FLUX_BREMS_AP90,B_H_FLUX_PLAW_AP,B_H_FLUX_PLAW_AP90,B_H_KP_INTRA_PROB,B_H_KS_INTRA_PROB,B_H_PHOTFLUX_AP,B_H_PHOTFLUX_AP90,B_H_PHOTFLUX_AP90_AVG,B_H_PHOTFLUX_AP_AVG,B_H_POSITION_ANGLE,B_H_VAR_INTER_INDEX,B_H_VAR_INTER_PROB,B_H_VAR_INTER_SIGMA,B_H_VAR_INTRA_INDEX,B_H_VAR_INTRA_PROB,B_HARDNESS_RATIO_HM,B_HARDNESS_RATIO_HS,B_HARDNESS_RATIO_MS,B_M_FLUX_AP90,B_M_FLUX_AP90_AVG,B_M_FLUX_AP_AVG,B_M_FLUX_BB_AP,B_M_FLUX_BB_AP90,B_M_FLUX_BREMS_AP,B_M_FLUX_BREMS_AP90,B_M_FLUX_PLAW_AP,B_M_FLUX_PLAW_AP90,B_M_KP_INTRA_PROB,B_M_KS_INTRA_PROB,B_M_PHOTFLUX_AP,B_M_PHOTFLUX_AP90,B_M_PHOTFLUX_AP90_AVG,B_M_PHOTFLUX_AP_AVG,B_M_POSITION_ANGLE,B_M_VAR_INTER_INDEX,B_M_VAR_INTER_PROB,B_M_VAR_INTER_SIGMA,B_M_VAR_INTRA_INDEX,B_M_VAR_INTRA_PROB,B_NH_GAL,B_PHOT_NSRCS,B_POWLAW_AMPL,B_POWLAW_AMPL_RHAT,B_POWLAW_GAMMA,B_POWLAW_GAMMA_RHAT,B_POWLAW_NH,B_POWLAW_NH_RHAT,B_POWLAW_STAT,B_S_FLUX_AP,B_S_FLUX_AP90,B_S_FLUX_AP90_AVG,B_S_FLUX_AP_AVG,B_S_FLUX_BB_AP,B_S_FLUX_BB_AP90,B_S_FLUX_BREMS_AP,B_S_FLUX_BREMS_AP90,B_S_FLUX_PLAW_AP,B_S_FLUX_PLAW_AP90,B_S_KP_INTRA_PROB,B_S_KS_INTRA_PROB,B_S_PHOTFLUX_AP,B_S_PHOTFLUX_AP90,B_S_PHOTFLUX_AP90_AVG,B_S_PHOTFLUX_AP_AVG,B_S_VAR_INTER_INDEX,B_S_VAR_INTER_PROB,B_S_VAR_INTER_SIGMA,B_S_VAR_INTRA_INDEX,B_S_VAR_INTRA_PROB,B_U_FLUX_AP,B_U_FLUX_AP90,B_U_FLUX_AP90_AVG,B_U_FLUX_AP_AVG,B_U_FLUX_BB_AP,B_U_FLUX_BB_AP90,B_U_FLUX_BREMS_AP,B_U_FLUX_BREMS_AP90,B_U_FLUX_PLAW_AP,B_U_FLUX_PLAW_AP90,B_U_KP_INTRA_PROB,B_U_KS_INTRA_PROB,B_U_PHOTFLUX_AP,B_U_PHOTFLUX_AP90,B_U_PHOTFLUX_AP90_AVG,B_U_PHOTFLUX_AP_AVG,B_U_VAR_INTER_INDEX,B_U_VAR_INTER_PROB,B_U_VAR_INTER_SIGMA,B_U_VAR_INTRA_INDEX,B_U_VAR_INTRA_PROB,B_VAR_INTER_HARD_PROB_HM,B_VAR_INTER_HARD_PROB_HS,B_VAR_INTER_HARD_PROB_MS,B_VAR_INTER_HARD_SIGMA_HM,B_VAR_INTER_HARD_SIGMA_HS,B_VAR_INTER_HARD_SIGMA_MS
0,0.0,5.54e-16,0.0,2.842105263157895e-06,0.0,0.0,2.401384083044983e-06,6.235772357723578e-06,2.184210526315789e-06,5.015625e-06,2.0880281690140842e-06,4.746376811594204e-06,0.817,0.463,3.0295566502463056e-06,7.80979827089337e-06,1.0461095100864553e-05,3.5221674876847294e-06,0.5,0.653,2.115384615384615e-05,0.1,0.634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4671633831131763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.221388367729831e-07,1.462962962962963e-06,0.0,0.0,3.5699373695198326e-07,3.649025069637883e-07,2.2289156626506024e-06,3.60613810741688e-07,2.186813186813187e-06,3.5933806146572105e-07,2.1836734693877553e-06,0.0727,0.357,3.6702954898911354e-07,2.3873239436619716e-06,2.693661971830986e-06,5.023328149300156e-07,0,0.0,0.085,4.302857142857143e-06,0.0,0.0,-0.26626626626626626,-0.5705705705705705,-0.3103103103103103,0.0,0.0,0.0,8.114285714285714e-06,0.00013120000000000002,8.07017543859649e-06,0.00013140495867768593,8.058823529411765e-06,0.0001305785123966942,0.849,0.904,8.575539568345324e-06,5.78448275862069e-05,7.551724137931035e-05,9.985422740524781e-06,0,0.0,0.183,0.0019971346704871057,0.0,0.0,0.020219298245614036,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0844327176781004e-05,0.00021837549933422103,2.188264058679707e-05,0.00022572815533980582,2.2182254196642683e-05,0.00022695035460992905,0.789,0.34,1.8302828618968388e-05,7.133333333333334e-05,8.609271523178808e-05,2.1869488536155205e-05,0.625,0.838,0.0028653846153846156,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4311926605504587e-05,0.0,1.7224287484510528e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0128,0.0,0.1855,0.2345,0.238
1,1.0,5e-14,6.329787234042554e-05,0.0002144736842105263,0.0,0.0,8.062283737024221e-05,0.0001788617886178862,6.766917293233081e-05,0.00013203125,6.302816901408451e-05,0.00012246376811594204,1.0,1.0,0.00010394088669950741,0.00022881844380403458,0.00018040345821325647,7.832512315270936e-05,0.375,0.471,0.0009739819004524887,0.0,0.0,4.211864406779661e-06,0.0,0.35467128027681655,0.0,4.845238095238096e-09,0.0,0.017697841726618705,-0.5702758459853108,0.136,0.0,0.14024896265560166,0.0,7.307692307692309e-05,0.0,0.04756838905775076,8.985200845665961e-05,8.973305954825462e-05,7.510204081632653e-05,9.061913696060037e-05,0.00018148148148148147,0.0,0.0,9.290187891440501e-05,9.526462395543176e-05,0.00020963855421686747,9.411764705882352e-05,0.00020604395604395604,9.361702127659576e-05,0.0002056122448979592,0.992,0.985,9.533437013996889e-05,0.0002204225352112676,0.00015528169014084506,6.640746500777605e-05,0.0,0.5,0.614,5.2742857142857136e-05,0.0,0.0,0.8738738738738738,0.7707707707707708,-0.3163163163163163,0.0003096153846153846,0.0,0.0,5.999999999999999e-05,0.0007304000000000001,5.906432748538012e-05,0.000728099173553719,5.8823529411764714e-05,0.0007231404958677686,0.431,0.722,5.971223021582734e-05,0.0003120689655172414,0.00026120689655172413,5.160349854227406e-05,0,0.0,0.0685,0.03209169054441261,0.0,0.0,0.02320175438596491,0.42857142857142855,5.9809523809523814e-05,0.0,0.10554371002132196,0.0,0.09305555555555554,0.0,0.07218390804597702,0.00015876777251184833,0.000284149855907781,0.0,0.0,0.0001596306068601583,0.001203728362183755,0.000156479217603912,0.001154126213592233,0.00015467625899280577,0.0011394799054373524,0.789,0.889,0.00013111480865224626,0.00039133333333333327,0.0004880794701986755,0.00019047619047619048,0.0,0.277,0.06480769230769232,0.0,0.0,7.198581560283687e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9908256880733946e-05,0.0,0.0,0.0,0.0,0.19,0.0005627906976744186,0.0,0.0,1.0,1.0,2.76e-05,0.02835,0.056,0.1635
2,1.0,5.29e-15,3.48936170212766e-05,2.368421052631579e-05,0.0,0.0,1.356401384083045e-05,3.2357723577235776e-05,1.1541353383458646e-05,2.4375e-05,1.0809859154929577e-05,2.2608695652173914e-05,0.794,0.784,1.7733990147783254e-05,4.207492795389049e-05,4.121037463976945e-05,1.7364532019704436e-05,0.0,0.0526,0.0001090497737556561,0.0,0.0,6.610169491525424e-06,0.0,0.15484429065743943,0.0,0.014821428571428572,0.0,0.0053669064748201436,-0.5703953427122553,0.034300000000000004,0.0,0.048132780082987554,0.0,9.755244755244755e-06,0.0,0.013328267477203648,8.118393234672303e-06,7.227926078028748e-06,7.816326530612246e-06,8.536585365853658e-06,1.6888888888888888e-05,0.0,0.0,1.0501043841336116e-05,1.0807799442896935e-05,2.355421686746988e-05,1.0664961636828645e-05,2.3076923076923076e-05,1.0591016548463359e-05,2.3010204081632654e-05,0.756,0.716,1.0668740279937792e-05,2.4225352112676055e-05,2.3309859154929576e-05,1.0295489891135303e-05,0.0,0.0,0.311,9.6e-06,0.0,0.0,0.44244244244244246,0.6276276276276276,0.25225225225225223,0.00021987179487179486,0.0,0.0,3.874285714285714e-05,0.0005672,3.8187134502923975e-05,0.0005644628099173552,3.811764705882353e-05,0.0005603305785123967,0.362,0.563,3.827338129496404e-05,0.0002396551724137931,0.00022500000000000002,3.644314868804665e-05,0,0.0,0.291,0.012492836676217764,0.0,0.0,0.02320175438596491,0.14285714285714285,3.933333333333334e-05,0.0,0.26119402985074625,0.0,0.06944444444444443,0.0,0.021402298850574715,2.890995260663507e-05,7.23342939481268e-05,0.0,0.0,3.20580474934037e-05,0.00033288948069241014,3.166259168704157e-05,0.00032402912621359224,3.1534772182254194e-05,0.0003203309692671395,0.907,0.914,2.6289517470881868e-05,0.00010866666666666666,0.00010529801324503312,2.6807760141093478e-05,0.0,0.32,0.005846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.974326059050065e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00735,1.0,1.0,0.0995,0.685,0.59
3,1.0,0.0,0.0,0.0,2.429824561403509e-05,1.0036968576709797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.121037463976945e-05,1.8226600985221676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2736737645088445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0148148148148148e-05,5.178236397748592e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3028169014084506e-05,5.894245723172629e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022861736334405146,3.882978723404256e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002525862068965517,4.373177842565598e-05,0,0.0,0.0,0.0,0.0,0.0,0.029649122807017543,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016676384839650146,7.696139476961394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026490066225165563,7.707231040564374e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2937685459940651e-05,1.3220858895705521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007211895910780668,0.000534862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,7.29e-16,1.047872340425532e-05,3.6666666666666666e-06,0.0,0.0,4.394463667820069e-06,1e-05,3.6766917293233077e-06,7.429687500000001e-06,3.433098591549296e-06,6.862318840579711e-06,0.739,0.897,5.652709359605912e-06,1.2853025936599423e-05,1.1988472622478386e-05,5.381773399014779e-06,0.375,0.479,2.8846153846153842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5703972483585493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21575984990619e-07,1.351851851851852e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1586314152410577e-06,2.5880281690140845e-06,2.232394366197183e-06,9.64230171073095e-07,0,0.0,0.313,2.4685714285714284e-06,0.0,0.0,-0.02002002002002002,-0.3613613613613613,-0.3303303303303303,6.153846153846154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2143884892086332e-05,7.206896551724137e-05,6.775862068965517e-05,1.1311953352769679e-05,0,0.0,0.232,0.0014928366762177651,0.0,0.0,0.02320175438596491,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1398104265402844e-05,6.59942363112392e-05,0.0,0.0,3.324538258575198e-05,0.0002929427430093209,3.2518337408312955e-05,0.00028155339805825246,3.2254196642685845e-05,0.0002777777777777778,0.752,0.896,2.7287853577371052e-05,9.533333333333332e-05,8.609271523178808e-05,2.6984126984126987e-05,0.625,0.69,0.0018673076923076924,0.0,0.0,1.8226950354609928e-06,1.7820512820512819e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3853211009174314e-05,5.5584082156611045e-05,4.622057001239157e-05,3.8899082568807336e-05,0.0,0.032,6.705426356589148e-05,0.0,0.0,0.0,0.0212,1.0,0.0414,0.212,0.405
5,0.0,1.74e-14,0.00023617021276595748,7.894736842105263e-05,7.894736842105263e-05,3.216266173752311e-05,0.0001096885813148789,0.00026585365853658543,0.0001,0.00021484375,9.647887323943662e-05,0.00020507246376811597,0.539,0.829,0.00013793103448275863,0.00033141210374639765,0.00033141210374639765,0.00013793103448275863,0.0,0.0,0.0,0.0,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04358956276508413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2645403377110694e-05,2.5407407407407407e-05,2.5407407407407407e-05,1.2645403377110694e-05,1.8455114822546974e-05,1.883008356545961e-05,4.144578313253012e-05,1.8644501278772377e-05,4.0769230769230773e-05,1.8581560283687945e-05,4.081632653061225e-05,0.866,0.616,2.052877138413686e-05,4.71830985915493e-05,4.71830985915493e-05,2.052877138413686e-05,0,0.0,0.0,0.0,0.0,0.441,-0.2122122122122122,-0.5555555555555556,-0.3853853853853854,0.001375,0.0013794212218649518,0.00023617021276595748,0.0002748571428571428,0.0036880000000000003,0.0002730994152046783,0.003694214876033057,0.0002729411764705882,0.003669421487603306,0.621,0.832,0.0002920863309352518,0.001663793103448276,0.001663793103448276,0.0002959183673469388,0.0,0.0,0.0,0.0,0.0,0.179,0.14166666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007665876777251184,0.001829971181556196,0.0018513119533527696,0.0008057285180572851,0.0008007915567282322,0.007896138482023968,0.0007799511002444989,0.007572815533980582,0.0007733812949640287,0.007458628841607565,0.498,0.682,0.000762063227953411,0.003013333333333333,0.0029933774834437084,0.0008077601410934745,0.0,0.0,0.0,0.0,0.12,1.570921985815603e-05,2.330128205128205e-06,2.1572700296735903e-06,1.3588957055214722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013853211009174312,0.0001668806161745828,0.000161090458488228,0.00013853211009174312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,1.58e-15,1.175531914893617e-05,7.456140350877194e-06,0.0,0.0,6.020761245674741e-06,1.4634146341463416e-05,5.0375939849624065e-06,1.0859375e-05,4.6830985915492955e-06,1e-05,0.91,0.968,7.733990147783251e-06,1.8789625360230545e-05,1.7780979827089337e-05,7.500000000000001e-06,0.625,0.747,3.054298642533937e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5703371061615097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026266416510319e-06,4.185185185185185e-06,0.0,0.0,2.4843423799582464e-06,2.5431754874651814e-06,5.7409638554216865e-06,2.514066496163683e-06,5.659340659340659e-06,2.5059101654846336e-06,5.6122448979591834e-06,0.876,0.598,2.5349922239502335e-06,5.985915492957746e-06,5.457746478873239e-06,2.3172628304821154e-06,0,0.0,0.5,4.982857142857142e-06,0.0,0.0,0.28528528528528524,-0.16216216216216217,-0.4224224224224224,7.596153846153846e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3539568345323743e-05,8.879310344827585e-05,8.96551724137931e-05,1.4169096209912537e-05,0,0.0,0.361,0.0012206303724928366,0.0,0.0,0.02324561403508772,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.348341232227488e-05,9.481268011527378e-05,0.0,0.0,4.656992084432718e-05,0.0004327563249001331,4.547677261613692e-05,0.00041504854368932035,4.520383693045564e-05,0.00041016548463356975,0.759,0.911,3.810316139767055e-05,0.00014066666666666665,0.00012781456953642382,3.7389770723104055e-05,0.0,0.355,0.0010846153846153848,0.0,0.0,2.546099290780142e-07,1.3557692307692307e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.605504587155963e-05,1.386392811296534e-05,1.1102850061957866e-05,1.4495412844036698e-05,0.5,0.652,0.0002364341085271318,0.0,0.0,0.00538,0.0736,0.0301,0.01585,0.0585,0.0317
7,1.0,3.32e-13,0.0024308510638297873,0.0014605263157894737,0.0,0.0,0.001273356401384083,0.003016260162601626,0.0010676691729323308,0.002234375,0.0009964788732394366,0.002065217391304348,0.926,0.535,0.001637931034482759,0.003861671469740634,0.004956772334293948,0.0021305418719211825,0.0,0.0,0.0,0.8,1.0,0.008177966101694916,0.0,0.05934256055363322,0.0,8.511904761904762e-11,0.0,0.05690647482014389,-0.5702659366245818,0.044500000000000005,0.0,5.684647302904565e-11,0.0,0.0002265734265734266,0.0,0.051367781155015196,0.0002621564482029598,0.0004763860369609857,0.0005020408163265307,0.000375234521575985,0.0007555555555555555,0.0,0.0,0.0003903966597077244,0.0004011142061281337,0.0008795180722891567,0.00039641943734015347,0.0008681318681318682,0.00039479905437352243,0.0008673469387755103,0.999,1.0,0.00039813374805598755,0.0009225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.992,0.15915915915915915,-0.33733733733733734,-0.47147147147147145,0.014647435897435897,0.0,0.0,0.0026857142857142856,0.03784,0.002654970760233918,0.03776859504132231,0.0026470588235294116,0.03752066115702479,0.565,0.248,0.002676258992805756,0.016120689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.491,0.02320175438596491,0.5714285714285714,0.000521904761904762,0.0,0.2036247334754797,0.0,1.2268518518518519e-10,0.0,0.054712643678160915,0.010485781990521326,0.025446685878962535,0.0,0.0,0.010514511873350925,0.10585885486018641,0.010256723716381418,0.10157766990291262,0.010191846522781775,0.10023640661938535,0.649,0.749,0.008602329450915143,0.0344,0.04112582781456954,0.01125220458553792,0.0,0.0,0.0,0.6,0.958,0.00020567375886524825,0.0001794871794871795,0.0,0.0,0.005707317073170732,0.03459214501510574,0.005784148397976392,0.0335,0.0057322834645669295,0.028253968253968254,0.921,0.643,0.006,0.00821566110397946,0.0,0.0,0.0,0.0,0.0,0.0,0.396,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,0.0,9.361702127659576e-06,2.3157894736842105e-06,0.0,0.0,2.923875432525952e-06,1.7317073170731708e-05,2.4473684210526314e-06,1.28125e-05,2.2816901408450703e-06,1.1811594202898553e-05,0.978,0.752,3.7561576354679805e-06,2.2132564841498556e-05,2.8126801152737753e-05,9.852216748768473e-06,0.75,0.937,8.133484162895928e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5702811944992426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.426056338028169e-06,1.547433903576983e-06,0.0,0.0,0.0318,1.1885714285714285e-05,0.0,0.0,-0.15715715715715717,-1.0,-0.5235235235235235,0.0001217948717948718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.636,0.199,1.4143884892086331e-05,0.00015517241379310346,0.0001646551724137931,2.055393586005831e-05,0,0.625,0.786,0.012664756446991403,0.0,0.0,0.02320175438596491,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8933649289099524e-05,0.00015706051873198848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.594,0.594,4.3760399334442597e-05,0.00023933333333333334,0.00026225165562913905,7.019400352733687e-05,0.625,0.773,0.007692307692307693,0.0,0.0,1.0425531914893618e-06,4.294871794871795e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.44954128440367e-05,3.273427471116816e-05,0.0,0.0,0.0,0.0476,0.0003767441860465116,0.0,0.0,0.0,0.0,0.0523,0.03955,0.0,0.106
9,1.0,7.63e-17,0.0,7.719298245614035e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.142857142857143e-06,5.907780979827089e-06,6.368876080691643e-06,2.6970443349753693e-06,0.0,0.00997,1.0542986425339365e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5702882962077651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7579737335834896e-07,5.555555555555555e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28149300155521e-07,7.605633802816901e-07,8.521126760563381e-07,3.8569206842923796e-07,0,0.0,0.0,0.0,0.0,0.0,-0.4174174174174174,-0.7217217217217217,-0.40840840840840836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.41726618705036e-06,4.422413793103448e-05,4.2413793103448274e-05,9.023323615160351e-06,0,0.375,0.449,0.002515759312320917,0.0,0.0,0.02324561403508772,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4407582938388623e-05,6.1671469740634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2129783693843596e-05,9.266666666666665e-05,8.47682119205298e-05,2.1869488536155205e-05,0.0,0.186,0.002326923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2201834862385325e-05,4.287548138639281e-05,0.0,0.0,0.5,0.654,0.00047441860465116285,0.0,0.0,0.0,1.0,0.0,0.0,0.369,0.0
