index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,NS,NS0001,[MCS2008] 193        ,9630.0,39.61,10034.99,2006-02-10T19:57:08,0.00022424250000000002,0.9510000000000001,7.25,0.08792624,0.07255364,0.08030002,0.0075800419999999995,0.7938000000000001,0.8652,0.6786,2.8,11.40578429762942,11.669772972834338,11.514883600806085,0.00035695200000000006,0.000301198,0.000329606,0.5684,0.6608,0.1462,11.433444669116945,0.56,17.45,0.0002176,0.953,11.469672210221914,11.456180194857343,11.484523558617624,1.422,8.729e-07,0.0001085,1.258,11.495393229358045,100.0,68.43,1.638,0.5878,0.5478,0.6864,0.6352,0.1955,0.0981,11.419987887470576,11.44502654166676,0.633,0.489,22.89,12.48,0.0002403,0.0001973,0.0001013,0.0001181,11.510322708336302,11.482804102050025,,92.65,74.38,62.87,1.469,1.402,0.5392,
0,NS,NS0002,[MCS2008] 91         ,7908.2,17.27,2017.249,2003-12-15T15:35:16,7.363699999999999e-05,0.9269999999999999,7.2,0.009391,0.0034472500000000002,0.0044325,0.0012537499999999997,0.7795,0.7265,0.652,1.5,13.38149378118677,13.538063497905759,13.454069728487562,1.12268e-05,7.591400000000001e-06,9.2084e-06,0.2623,0.1749,-0.0912,,,,,,,,,,,,,,,,,0.4029,0.1093,0.3254,0.0206,0.0756,-0.2517,,,,,,,,,,,,,,,,,,,,
1,NS,NS0002,[MCS2008] 91         ,9336.3,17.27,2017.249,2006-02-06T07:44:39,7.363699999999999e-05,0.9269999999999999,7.2,0.025050999999999997,0.02045975,0.021208249999999998,0.000828315,0.17550000000000002,0.10775000000000001,0.23925,0.5,12.512344174666602,12.577377334897612,12.545783416421997,7.5194e-05,6.0168000000000004e-05,6.503399999999999e-05,0.5921,0.5884,-0.01,12.199901819825225,0.626,9.727,4.036e-05,1.316,12.223008415143594,12.192194467729376,12.261536560538048,1.351,2.294e-06,2.29e-05,1.406,12.2539109569438,100.0,51.3,2.009,0.6365,0.5465,0.6452,0.529,0.0931,-0.1093,12.16902660267735,12.231435890486427,0.777,0.481,20.6,0.5395,4.95e-05,3.306e-05,1.906e-05,2.732e-05,12.293879890297296,12.221053272031384,,71.52,64.64,40.21,1.446,1.266,1.847,
2,NS,NS0002,[MCS2008] 91         ,7655.4,17.27,2017.249,2004-12-19T13:38:50,7.363699999999999e-05,0.9269999999999999,7.2,0.01876014,0.018487200000000002,0.01862138,8.3594e-05,0.295,0.35840000000000005,0.1574,0.0,12.585474540292617,12.650115855687956,12.616568490219997,5.478e-05,4.5866600000000006e-05,5.0375400000000006e-05,0.5197,0.6096,0.1312,12.276790689594888,0.773,13.7,4.131e-05,1.264,12.319573829141854,12.290645224165605,12.359319846722334,1.185,2.587e-06,2.847e-05,1.399,12.336110701377338,100.0,33.69,1.718,0.569,0.4691,0.6577,0.559,0.218,0.0418,12.246876755318288,12.311669181887734,0.924,0.627,21.77,6.743,4.985e-05,3.428e-05,2.386e-05,3.381e-05,12.369877357140687,12.305570309042917,,67.9,41.15,27.47,1.264,1.112,1.328,
3,NS,NS0002,[MCS2008] 91         ,7851.3,17.27,2017.249,2004-12-19T11:13:41,7.363699999999999e-05,0.9269999999999999,7.2,0.016632249999999998,0.013997499999999998,0.014954499999999999,0.0009286525,0.6222500000000001,0.6769999999999999,0.35225,0.5,12.613965005259367,12.706098988851377,12.657510206125556,5.8504e-05,3.9736e-05,4.9149999999999995e-05,0.5447,0.6109,0.0937,12.304781081094848,0.867,28.1,4.666e-05,0.897,12.349304020239389,12.314975214894286,12.401647290130716,1.205,2.298e-06,2.511e-05,1.183,12.330311291943792,100.0,52.63,1.1,0.604,0.4841,0.6827,0.5353,0.2242,-0.0319,12.265120197207372,12.34736693191689,1.105,0.645,46.75,13.28,6.413e-05,3.456e-05,1.97e-05,3.148e-05,12.374893424596532,12.29362364416031,,42.46,65.87,41.56,1.314,1.112,4.891,
4,NS,NS0002,[MCS2008] 91         ,7905.0,17.27,2017.249,2003-12-15T13:09:15,7.363699999999999e-05,0.9269999999999999,7.2,0.0035795,0.00267345,0.002948,0.0002680525,0.513,0.37675000000000003,0.35875,0.5,13.360513510731414,13.704736462502092,13.555396292568187,2.19644e-05,6.6442e-06,1.4474800000000002e-05,0.3935,0.1849,-0.2324,,,,,,,,,,,,,,,,,0.5628,0.2042,0.3979,-0.0319,0.0081,-0.4466,,,,,,,,,,,,,,,,,,,,
5,NS,NS0002,[MCS2008] 91         ,6853.6,17.27,2017.249,2000-12-10T14:05:32,7.363699999999999e-05,0.9269999999999999,7.2,10250.004202,0.0049506,137.204179,1176.6000192,0.3168,0.24820000000000003,0.2082,0.0,13.196006493306793,13.339439963054968,13.26149690799459,1.85098e-05,1.2197e-05,1.5441399999999998e-05,0.4185,0.4247,0.005,,,,,,,,,,,,,,,,,0.5328,0.2942,0.5453,0.2929,0.173,-0.1605,,,,,,,,,,,,,,,,,,,,
6,NS,NS0002,[MCS2008] 91         ,7563.1,17.27,2017.249,2002-06-22T13:43:34,7.363699999999999e-05,0.9269999999999999,7.2,0.00253005,0.0009387750000000001,0.001121525,0.00029201,0.733,0.5549999999999999,0.6094999999999999,1.0,13.649647298292242,13.991306166979601,13.807142742055275,6.674800000000001e-06,2.03218e-06,3.1643999999999997e-06,0.4247,0.2623,-0.2024,,,,,,,,,,,,,,,,,0.6552,0.148,0.549,-0.0481,0.158,-0.5091,,,,,,,,,,,,,,,,,,,,
7,NS,NS0002,[MCS2008] 91         ,7655.4,17.27,2017.249,2000-12-10T11:27:24,7.363699999999999e-05,0.9269999999999999,7.2,0.00629925,0.00249125,0.00333125,0.000925975,0.6982499999999999,0.68875,0.63575,1.0,13.00034757463392,13.368442598699813,13.143192593373383,2.2699e-05,9.219e-06,1.59722e-05,0.6084,0.3423,-0.3485,,,,,,,,,,,,,,,,,0.7364,0.4653,0.5153,0.1618,-0.1143,-0.554,,,,,,,,,,,,,,,,,,,,
8,NS,NS0002,[MCS2008] 91         ,7905.0,17.27,2017.249,2003-12-15T18:01:15,7.363699999999999e-05,0.9269999999999999,7.2,,,,,,,,,12.287210605950024,12.781297530938618,12.475673993875844,2.9330000000000002e-05,3.0894e-06,1.55926e-05,-0.416,-0.9994,-0.4247,,,,,,,,,,,,,,,,,-0.0006,-1.0,-0.3691,-1.0,-0.1181,-0.6752,,,,,,,,,,,,,,,,,,,,
