name ,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper
0,8.355125e-05,0.633,4.0,0.055155,0.05462,0.054845000000000005,0.00021445,0.11449999999999999,0.08299999999999999,0.0985,0.0,6.391816e-13,4.720918999999999e-13,5.540490000000001e-13,8.435659999999999e-05,5.7468060000000004e-05,6.82482e-05
0,5.903333333333332e-08,0.67425,4.0,0.00106105,0.00067095,0.00070695,7.055000000000001e-05,0.32,0.4355,0.46499999999999997,0.0,5.53906e-15,2.68624e-15,4.0691799999999996e-15,1.3644199999999997e-06,5.612e-07,8.517400000000001e-07
0,5.37315e-08,0.44899999999999995,2.0,0.0025375,0.0013245,0.00144,0.0001895,0.5980000000000001,0.7749999999999999,0.481,0.5,4.24028e-15,2.24202e-15,3.20398e-15,2.1872e-06,1.1804440000000001e-06,1.5985599999999998e-06
0,,,,0.0018545000000000002,0.00110315,0.0014275,0.0002916,0.728,0.7324999999999999,0.486,0.0,2.68205e-14,1.0944825000000001e-14,1.8948500000000003e-14,3.4343e-06,1.3005999999999999e-06,2.3345e-06
1,,,,,,,,,,,,1.3780600000000002e-14,0.0,0.0,1.1461800000000001e-05,0.0,0.0
2,,,,,,,,,,,,5.1136e-15,0.0,0.0,3.88184e-06,0.0,0.0
3,,,,,,,,,,,,8.341e-15,0.0,0.0,9.03964e-06,0.0,0.0
4,,,,,,,,,,,,5.61766e-15,0.0,0.0,6.85324e-06,0.0,0.0
5,,,,,,,,,,,,9.6336e-15,0.0,0.0,1.128786e-05,0.0,0.0
6,,,,,,,,,,,,9.563199999999999e-15,0.0,0.0,1.08627e-05,0.0,0.0
0,7.6575e-07,0.7130000000000001,3.5,0.0020835,0.0013844999999999999,0.0017225,0.00033175,0.683,0.907,0.5075,1.0,1.4147580000000002e-14,3.9028e-15,6.218e-15,1.4072999999999999e-05,1.9562799999999997e-06,2.8366e-06
1,7.6575e-07,0.7130000000000001,3.5,0.0022635,0.0017360000000000001,0.0018165,0.000102095,0.154,0.2865,0.2335,0.0,1.67675e-14,6.403e-15,1.1639249999999999e-14,1.5813119999999997e-05,1.74354e-06,2.5594e-06
0,0.000507937325,0.859,6.0,0.005239250000000001,0.00519525,0.0052165,1.9981e-05,0.24150000000000002,0.218,0.09500000000000001,0.0,2.5630659999999995e-14,2.05412e-14,2.3043999999999998e-14,1.0994020000000002e-05,9.0154e-06,9.9584e-06
