index,class,src_id,src_name,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,NS,NS0001,1A 1742-289         ,35796.9,167.36,21.89294,2000-10-26T22:18:33,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.977252108942997,inf,inf,5.5835e-07,0.0,0.0,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.0806,1.0,-0.1443,0.1755,-1.0,,,,,,,,,,,,,,,,,,,,
1,NS,NS0001,1A 1742-289         ,13506.7,167.36,21.89294,2001-07-14T02:05:23,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.619849081155621,inf,inf,8.512333333333334e-07,0.0,0.0,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.0244,,,,,,,,,,,,,,,,,,,,,,,,
2,NS,NS0001,1A 1742-289         ,37677.7,167.36,21.89294,2002-05-22T23:20:43,0.0022575110000000002,0.7596,5.2,,,,,,,,,15.071348153346305,inf,inf,7.035699999999999e-07,0.0,2.7379999999999998e-08,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.4116,1.0,0.1805,0.1493,-1.0,,,,,,,,,,,,,,,,,,,,
3,NS,NS0001,1A 1742-289         ,12369.5,167.36,21.89294,2002-02-19T14:43:23,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.81528728075898,inf,inf,3.2170000000000003e-07,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2492,0.2017,-1.0,0.0581,-1.0,,,,,,,,,,,,,,,,,,,,
4,NS,NS0001,1A 1742-289         ,11855.5,167.36,21.89294,2002-03-23T12:42:56,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.432209289466464,inf,inf,4.22975e-07,0.0,0.0,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.0406,1.0,-0.2929,0.0344,-1.0,,,,,,,,,,,,,,,,,,,,
5,NS,NS0001,1A 1742-289         ,11589.4,167.36,21.89294,2002-04-19T10:59:51,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.610475991798722,inf,inf,2.10548e-06,0.0,0.0,0.9994,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.2242,0.188,-1.0,0.0406,-1.0,,,,,,,,,,,,,,,,,,,,
6,NS,NS0001,1A 1742-289         ,12452.1,167.36,21.89294,2002-05-07T09:39:15,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.723906008240784,inf,inf,3.0553333333333333e-07,0.0,0.0,0.9994,,,,,,,,,,,,,,,,,,,1.0,-0.2405,,,,,,,,,,,,,,,,,,,,,,,,
7,NS,NS0001,1A 1742-289         ,166689.2,167.36,21.89294,2002-05-25T15:34:27,0.0022575110000000002,0.7596,5.2,,,,,,,,,15.307743699800076,inf,15.633250277415105,4.971e-08,0.0,0.0,0.9994,0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,0.3554,1.0,0.0943,0.1305,-1.0,,,,,,,,,,,,,,,,,,,,
8,NS,NS0001,1A 1742-289         ,158025.6,167.36,21.89294,2002-05-28T05:53:07,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.862618666942005,15.234483437656833,15.030685683430812,3.6141e-07,9.096539999999999e-08,1.46886e-07,0.9994,0.6833,-0.9994,,,,,,,,,,,,,,,,,1.0,0.8051,0.8738,0.4379,-0.3329,-1.0,,,,,,,,,,,,,,,,,,,,
9,NS,NS0001,1A 1742-289         ,24788.0,167.36,21.89294,2003-06-19T18:46:37,0.0022575110000000002,0.7596,5.2,,,,,,,,,14.44290202164774,16.030351159519274,15.07727454200674,3.6795750000000003e-06,8.575000000000001e-08,4.1095e-07,0.9994,,,,,,,,,,,,,,,,,,,1.0,0.564,,,,,,,,,,,,,,,,,,,,,,,,
