SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,XOFFSET_,DOWNLOADED
NS0001,[MCS2008] 193         ,16.802625,-72.592722,SMCWINGCXO      ,CHANDRA      ,2CXO J010712.5-723534 ,16.802232,-72.592805,0.009,
NS0002,[MCS2008] 91          ,15.527875,-71.687722,SMCWINGCXO      ,CHANDRA      ,2CXO J010206.6-714116 ,15.527892,-71.687826,0.006,
NS0003,1A 1742-294           ,266.523,-29.515,IBISCAT         ,INTEGRAL     ,2CXO J174605.2-293053 ,266.52171,-29.514876,0.068,
NS0004,1A 1744-361           ,267.08,-36.121389,INTREFCAT       ,INTEGRAL     ,2CXO J174819.2-360716 ,267.080098,-36.121268,0.009,
NS0005,1RXS J043714.5-471503 ,69.310417,-47.250833,RASS2MASS       ,ROSAT        ,2CXO J043715.8-471508 ,69.315921,-47.252399,0.243,
NS0006,1RXS J065948.1+141431 ,104.950417,14.241944,RASS2MASS       ,ROSAT        ,2CXO J065948.1+141421 ,104.950734,14.239219,0.165,
NS0007,1RXS J083520.6-451035 ,128.835833,-45.176389,RASS2MASS       ,ROSAT        ,2CXO J083520.6-451034 ,128.835887,-45.176291,0.006,
NS0008,1RXS J151354.6-590815 ,228.4775,-59.1375,RASS2MASS       ,ROSAT        ,2CXO J151355.6-590809 ,228.481812,-59.135892,0.164,
NS0009,1RXS J183334.2-103414 ,278.3925,-10.570556,RASS2MASS       ,ROSAT        ,2CXO J183333.5-103407 ,278.38986,-10.568861,0.186,
NS0010,1RXS J184624.7-025854 ,281.602917,-2.981667,RASS2MASS       ,ROSAT        ,2CXO J184624.5-025840 ,281.602496,-2.978006,0.221,
NS0011,1WGA J2301.1+5852     ,345.284583,58.879944,WGACAT          ,ROSAT        ,2CXO J230108.2+585244 ,345.284506,58.878949,0.06,
NS0012,2E 1145.5-6155        ,177,-62.207,IBISCAT         ,INTEGRAL     ,2CXO J114800.0-621224 ,177.000126,-62.206866,0.009,
NS0013,2E 1613.5-5053        ,244.40125,-51.040278,INTREFCAT       ,INTEGRAL     ,2CXO J161736.2-510224 ,244.400927,-51.04022,0.013,
NS0014,2EG J1825-1307        ,276.555,-13.579722,INTREFCAT       ,INTEGRAL     ,2CXO J182613.1-133446 ,276.554876,-13.579608,0.01,
NS0015,2EG J1825-1307        ,276.555,-13.579722,INTREFCAT       ,INTEGRAL     ,2CXO J182612.6-133447 ,276.552526,-13.57976,0.144,
NS0016,2XMM J004723.5-731226 ,11.84792,-73.20778,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J004723.3-731227 ,11.847283,-73.207624,0.014,
NS0017,2XMM J004942.2-732312 ,12.42556,-73.38701,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J004942.0-732314 ,12.425003,-73.387415,0.026,
NS0018,2XMM J005044.8-731603 ,12.68657,-73.26778,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005044.6-731605 ,12.686215,-73.268134,0.022,
NS0019,2XMM J005152.0-731032 ,12.96625,-73.17572,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005152.0-731034 ,12.966979,-73.176218,0.032,
NS0020,2XMM J005455.4-724511 ,13.7306,-72.75322,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005455.8-724510 ,13.732883,-72.753042,0.042,
NS0021,2XMM J005456.0-722647 ,13.73196,-72.44663,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005456.0-722658 ,13.733657,-72.449535,0.177,
NS0022,2XMM J005535.0-722906 ,13.89442,-72.48507,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005535.1-722906 ,13.8963,-72.485243,0.035,
NS0023,2XMM J005749.6-720238 ,14.45525,-72.0436,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005749.5-720236 ,14.456568,-72.043345,0.029,
NS0024,2XMM J005750.4-720757 ,14.45938,-72.13254,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J005750.3-720756 ,14.459945,-72.132301,0.018,
NS0025,2XMM J010102.9-720659 ,15.2618,-72.11652,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J010102.9-720658 ,15.262087,-72.116384,0.01,
NS0026,2XMM J010120.7-721118 ,15.33581,-72.18859,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J010120.6-721118 ,15.336083,-72.188594,0.005,
NS0027,2XMM J010206.3-714113 ,15.52622,-71.68767,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J010206.6-714116 ,15.527892,-71.687826,0.033,
NS0028,2XMM J010313.9-720914 ,15.80822,-72.15411,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J010313.9-720914 ,15.808059,-72.153974,0.009,
NS0029,2XMM J010337.4-720133 ,15.906,-72.02613,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J010337.5-720133 ,15.906455,-72.025913,0.016,
NS0030,2XMM J031747.6-663009 ,49.44867,-66.50272,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J031749.2-663016 ,49.455184,-66.504607,0.193,
NS0031,2XMM J053746.7-691017 ,84.44443,-69.17141,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J053747.4-691019 ,84.447521,-69.172182,0.081,
NS0032,2XMM J054010.8-691954 ,85.04516,-69.33173,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J054010.8-691954 ,85.045294,-69.331887,0.01,
NS0033,2XMM J063354.2+174614 ,98.47625,17.77069,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J063354.3+174614 ,98.476366,17.770773,0.008,
NS0034,2XMM J063354.2+174614 ,98.47625,17.77069,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J063354.2+174616 ,98.476132,17.77113,0.027,
NS0035,2XMM J073751.4-303940 ,114.46381,-30.66116,XMMSSCLWBS      ,XMM-NEWTON   ,2CXO J073751.2-303940 ,114.463516,-30.661306,0.018,
