index,class,livetime,significance,likelihood,gti_obs,var_inter_sigma,var_inter_prob,var_inter_index,var_max,var_min,var_mean,var_sigma,kp_prob,ks_prob,var_prob,var_index,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,hard_hm,hard_hs,hard_ms,flux_powlaw,powlaw_gamma,powlaw_nh,powlaw_ampl,powlaw_stat,flux_bb,flux_bb_hilim,flux_bb_lolim,bb_kt,bb_nh,bb_ampl,bb_stat,flux_brems,brems_kt,brems_nh,brems_stat,hard_hm_hilim,hard_hm_lolim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,flux_powlaw_hilim,flux_powlaw_lolim,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl_hilim,powlaw_ampl_lolim,bb_ampl_lolim,bb_ampl_hilim,flux_brems_lolim,flux_brems_hilim,brems_kt_hilim,brems_kt_lolim,brems_nh_hilim,brems_nh_lolim,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim
0,PULSAR,49484.3,15.5,755.179,2003-04-13T10:26:27,,,,0.0034891400000000004,0.00262942,0.0028550800000000003,0.000192942,0.73,0.6628000000000001,0.364,0.6,13.56574735192373,13.645868501580791,13.603887869388522,8.3744e-06,6.8042e-06,7.5960000000000015e-06,0.3036,0.05,-0.2586,13.297569463554474,1.257,1.815,6.546e-06,0.931,13.452717692036696,13.41510365586255,13.500312917381596,0.7137,5.064e-07,1.414e-05,3.025,13.261774551857496,95.3,0.6618,0.936,0.3754,0.2305,0.1218,-0.0244,-0.1843,-0.3292,13.263364502313179,13.330683119433887,1.44,1.121,7.443,,7.878e-06,5.753e-06,1.316e-05,1.808e-05,13.428524096318057,13.144905048841379,4544.0,20.05,5.112,,0.7702,0.6584,0.667,
0,PULSAR,3903.9,6.39,409.5469,2011-08-29T04:49:28,1.295925e-06,0.53925,2.25,0.0024975,0.000667,0.0011019,0.00050265,0.974,0.777,0.77,3.5,13.834862553746632,14.241224318867527,14.01196750941144,9.440800000000001e-06,2.8308400000000003e-06,4.491e-06,0.0862,-0.6296,-0.6533,,,,,,,,,,,,,,,,,0.4691,-0.3467,-0.3804,-0.8351,-0.4354,-0.8264,,,,,,,,,,,,,,,,,,,,
1,PULSAR,12791.8,6.39,409.5469,2011-11-28T00:50:56,1.295925e-06,0.53925,2.25,0.0021053,0.0013373999999999999,0.001486,0.0001737525,0.6357499999999999,0.548,0.43724999999999997,0.5,14.067434921317274,14.305043997750182,14.199255435594894,7.66928e-06,3.577478e-06,5.66372e-06,-0.5884,-0.9157,-0.7021,,,,,,,,,,,,,,,,,-0.2592,-0.8501,-0.8301,-0.9813,-0.5778,-0.8076,,,,,,,,,,,,,,,,,,,,
0,PULSAR,9643.5,4.89,140.7185,2013-02-17T01:03:49,,,,0.0026279999999999997,0.0019303333333333334,0.0020126666666666665,0.00012991999999999998,0.3506666666666667,0.16533333333333333,0.28633333333333333,0.0,13.635960516324065,13.875789316563782,13.739499302260912,8.201e-06,4.8485749999999996e-06,6.526500000000001e-06,-0.4447,-0.8095,-0.5572,,,,,,,,,,,,,,,,,-0.1743,-0.6889,-0.6765,-0.9088,-0.3991,-0.6914,,,,,,,,,,,,,,,,,,,,
0,PULSAR,9219.4,1.84,85.76846,2012-09-25T02:15:46,,,,0.0005933,0.0004154,0.0004283,3.02e-05,0.404,0.6,0.473,0.0,14.221776373233904,14.76573587562121,14.410441327958495,1.8626e-06,4.83975e-07,1.097e-06,0.9981,-0.9994,-0.9994,,,,,,,,,,,,,,,,,1.0,-0.258,-0.7352,-1.0,-0.7914,-1.0,,,,,,,,,,,,,,,,,,,,
0,PULSAR,19917.4,14.54,1398.947,2009-12-11T19:32:20,,,,0.0061584,0.005612400000000001,0.0058814,0.00021953799999999997,0.6704,0.7858,0.2904,0.4,13.38741956784321,13.482252673875752,13.432004908403044,2.5006000000000004e-05,1.94202e-05,2.2230200000000003e-05,0.0974,-0.7295,-0.7708,13.205651396103917,3.391,3.157e-06,2.122e-05,1.548,13.349304020239389,13.311847244408433,13.407046428452134,0.174,2.623e-06,0.007895,3.803,13.30803489723264,0.4614,1.28e-06,2.678,0.2317,-0.0431,-0.6765,-0.7789,-0.7277,-0.8089,13.183559832043862,13.23995467203419,3.596,3.208,1.938,,2.294e-05,1.984e-05,0.005637,0.01119,13.448306084872776,13.191721490417232,0.5227,0.4097,1.286,,0.1856,0.1631,1.175,
0,PULSAR,18796.2,29.9,5200.666,2004-02-07T13:19:39,4.35455e-07,0.099,0.0,0.029058999999999998,0.0280405,0.02854975,0.000506533,0.489,0.499,0.242,0.5,,,,,,,,,,12.520568662802264,2.131,7.884e-07,7.717e-05,1.222,12.774949303861952,12.756961951313706,12.80271944187438,0.303,1.586e-07,0.002223,4.87,12.572351628813067,3.63,2.924e-07,2.52,,,,,,,12.50251746263263,12.538351431936546,2.198,2.071,0.394,,7.974e-05,7.48e-05,0.002147,0.002699,12.595166283380062,12.554395796726402,4.01,3.312,3.858,,0.318,0.2888,0.1865,
1,PULSAR,103680.0,29.9,5200.666,2013-01-25T08:14:32,4.35455e-07,0.099,0.0,0.00034744999999999996,0.00017745,0.00022825,5.457425e-05,0.715,0.6972499999999999,0.63475,1.0,15.166024628720093,inf,15.684187036129115,2.7989999999999996e-07,2.262e-08,1.5072999999999997e-07,0.4622,-0.0962,-0.5609,,,,,,,,,,,,,,,,,0.8326,-0.0256,0.4054,-0.5615,-0.0531,-0.8926,,,,,,,,,,,,,,,,,,,,
2,PULSAR,22762.4,29.9,5200.666,2013-03-27T04:17:49,4.35455e-07,0.099,0.0,0.0003287333333333333,0.00022552666666666665,0.0002312733333333333,1.3848333333333334e-05,0.15333333333333335,0.12633333333333333,0.47266666666666673,0.0,12.855414377392728,13.79621582057806,13.1008984467666,2.0767533333333334e-05,6.012666666666667e-07,1.0613166666666667e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PULSAR,96253.7,29.9,5200.666,2013-04-22T17:56:01,4.35455e-07,0.099,0.0,0.00026586666666666666,0.00018491000000000002,0.0001879933333333333,9.119666666666668e-06,0.4506666666666666,0.43733333333333335,0.44166666666666665,0.0,15.251986501376274,inf,inf,1.469525e-07,0.0,1.99225e-08,0.9994,0.2399,-0.6908,,,,,,,,,,,,,,,,,1.0,0.0468,0.9313,-0.1805,0.1818,-1.0,,,,,,,,,,,,,,,,,,,,
