,src_n,src_id,significance,clf_type,true_class,th_class,is_ok,truth,pred_class,pred_prob,BH_prob,NS_prob,var_inter_index,var_inter_prob,var_inter_sigma,photflux_aper_hilim_u,flux_aper_hilim_u,photflux_aper_u,var_max,var_sigma,photflux_aper_hilim,photflux_aper_hilim_h,hard_hs,flux_aper_hilim_h,hard_hs_lolim,photflux_aper_hilim_m,var_mean,var_min,flux_aper_lolim_s,photflux_aper_h,photflux_aper_hilim_b,photflux_aper_lolim_s,hard_hs_hilim,photflux_aper_m,flux_aper_hilim_s,flux_aper_hilim_m,photflux_aper_hilim_s,flux_aper_hilim_b,flux_aper_m,hard_hm_lolim,flux_aper_h,bb_ampl_hilim,photflux_aper_lolim,photflux_aper_b,hard_ms_hilim,photflux_aper_s,hard_ms,hard_hm,hard_hm_hilim,hard_ms_lolim,photflux_aper_lolim_b,flux_aper_b,flux_aper_hilim,photflux_aper_lolim_m,flux_aper_lolim,flux_aper,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,bb_ampl,photflux_aper,ks_prob,photflux_aper_lolim_u,flux_aper_s,photflux_aper_lolim_h,var_prob,powlaw_gamma,powlaw_gamma_hilim,kp_prob,powlaw_ampl_lolim,bb_ampl_lolim,bb_kt,powlaw_ampl,bb_kt_hilim,var_index,powlaw_ampl_hilim,powlaw_gamma_lolim,flux_aper_lolim_u,bb_kt_lolim,brems_stat,powlaw_nh,bb_nh_hilim,flux_powlaw_hilim,powlaw_nh_hilim,flux_aper_u,bb_nh,flux_powlaw_lolim,bb_stat,powlaw_nh_lolim,powlaw_stat,flux_bb_hilim,flux_brems,flux_brems_lolim,flux_bb,bb_nh_lolim,flux_brems_hilim,flux_powlaw,flux_bb_lolim
0,SAXWFC J1744.9-2921.,NS0068,9.04,train,NS,NS,1,1,NS,0.9767418053398753,0.023258194660124736,0.9767418053398753,0.5625,0.7643020594965676,0.0002450649621241291,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.0017932936824346891,0.0008121224918721783,0.4988289148663249,0.5358740610305863,0.3919457254244504,0.6235649098011021,0.3919457254244504,0.3919457254244504,0.006600124744930655,0.005974701458617412,0.3919457254244504,0.5028958979472342,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.5749214362966227,0.3919457254244504,0.6228709424613911,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.6509122162395655,0.3919457254244504,0.7248993663275336,0.6917771174435591,0.3919457254244504,0.6172119977247754,0.3919457254244504,0.3919457254244504,0.5576464200761928,0.4479565129857057,0.3919457254244504,0.3919457254244504,0.5432538186416038,0.7356188873698601,0.3919457254244504,0.3919457254244504,0.3336012861736335,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.2173913043478261,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
1,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,1.0,0.0,1.0,1.0,1.0,0.00032892791530235113,0.7161834427546783,0.6005124124112057,0.3919457254244504,0.0016621440728085918,0.0008027321424480924,0.6856660532652461,0.5193490747078334,0.5206123674204522,0.5310942289168863,0.2802002503128911,0.5548160266425902,0.009680435686148335,0.008762228317011693,0.3508484623755756,0.4605383475869188,0.5102424110091207,0.4041710368541995,0.7453658536585366,0.4639154975950983,0.4866052536893541,0.5355511974547318,0.5190120165309823,0.5399726835623782,0.4491767111713005,0.3746849480794435,0.4518365771457339,0.3919457254244504,0.5649280169509324,0.5007511983036279,0.6504859335038363,0.4520466366511594,0.41189713828296975,0.5993596157694617,0.7849120576393303,0.21974181182704774,0.5307075814355313,0.4884631931935904,0.5726002377810129,0.460048252368093,0.5573796493958217,0.535209613375882,0.44582264493345375,0.4340183587528785,0.5052976435045935,0.3919457254244504,0.5350509104456718,0.4338634990940207,0.3919457254244504,0.3800645070343068,0.4214704301446424,0.4990009464717636,0.3919457254244504,0.3919457254244504,0.7063906752411576,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.10869565217391304,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
2,1WGA J0748.5-6745   ,NS0076,6.77,train,NS,NS,1,1,NS,0.8730992581431216,0.12690074185687827,0.8730992581431216,0.46875,0.6756292906178488,3.1447540197285096e-05,0.17879754411623866,0.3919457254244504,0.3919457254244504,0.0001147559084228356,3.4138302319616556e-05,0.30729343508708196,0.3121095833910331,0.5306183710226136,0.438796648498947,0.3452315394242803,0.2726907503891303,0.0007728873058146521,0.000760665020729171,0.3432432000225766,0.2627962240873373,0.2994158988273636,0.3710675249381374,0.7075224646983311,0.15437665210813534,0.3109776328992436,0.25008690499910785,0.31000906585749466,0.4267821758560707,0.14014988907070386,0.5963302752293578,0.3658048305459453,0.3919457254244504,0.4524902715961894,0.31106857425735635,0.4313043478260869,0.2621123525876611,0.2443966379827897,0.7762657594556734,0.9139648230557322,0.10141496138451997,0.3975298575396265,0.3822245651755168,0.3909446638558304,0.13567312308775425,0.5253706167017438,0.4561249469936662,0.12263206963873485,0.41269070774167216,0.4409665122987598,0.3919457254244504,0.3564062451419281,0.20938192067646466,0.3919457254244504,0.21316850569113,0.3036023917095553,0.4432642759491008,0.3919457254244504,0.3919457254244504,0.19661039657020365,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.036231884057971016,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
3,J1745-2900          ,BH0027,337.0,train,BH,BH,1,1,BH,0.9834847894550011,0.9834847894550011,0.016515210544999135,0.875,0.8057208237986271,0.02162070380224074,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.4614393821676047,0.5463074069410033,1.0,0.5510135300146302,0.7348185231539424,0.3939673609092091,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.4837365831375746,0.4536380019394508,0.3919457254244504,1.0,0.3919457254244504,0.3828026598790372,0.37113108983883547,0.3858711920286032,0.5416778201087245,0.3919457254244504,0.8186309103740297,0.4540761961472695,0.3919457254244504,0.4766488657375644,0.4276619622785656,0.5725319693094629,0.3919457254244504,0.0,1.0,1.0,0.0,0.3677583162638293,0.4621919155685773,0.5084773530619083,0.3919457254244504,0.3553321767685591,0.5244902760139262,0.3919457254244504,0.3919457254244504,0.28027284977777106,0.3919457254244504,0.4874925289790564,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.4319708194227293,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
4,SAXWFC J1748.1-2446.,NS0072,19.47,train,NS,NS,1,1,NS,0.9910194284228566,0.008980571577143279,0.9910194284228566,0.5,0.6455949656750573,4.9443530109702195e-05,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.0014139936515318245,0.00039811763634660754,0.417872473116928,0.4956802596680113,0.9706323794276566,0.5509245501521297,0.9455819774718398,0.4055290188595164,0.0056241686729554255,0.005407888189881961,0.11687255021721996,0.4824712085534082,0.4240001882729425,0.1952606251851483,0.9897304236200256,0.3448217240010177,0.15187259473852185,0.3829223936806381,0.17874734890444008,0.5449171400115398,0.32589465219600555,0.7865208186309104,0.5171849139352449,0.3919457254244504,0.6053685433979723,0.4473306403723429,0.9482352941176472,0.11476957522914298,0.8737242345407245,0.8212427456473884,0.849756304301759,0.8788545013811375,0.5347961649038785,0.5232439328485763,0.50778536603712,0.4702925902660245,0.6617521611483579,0.5825665255370389,0.4463203941947692,0.5969914141404881,0.5871321766044052,0.3919457254244504,0.5062024221527169,0.5697604187638414,0.3919457254244504,0.026467300702112086,0.5556260375928305,0.5887404914642268,0.3919457254244504,0.3919457254244504,0.479970525187567,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.10869565217391304,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
5,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,1.0,0.0,1.0,1.0,1.0,0.00032892791530235113,0.8869631477373189,0.5648371265465449,0.8661582998658992,0.0016178367722592345,0.000866586518531876,0.8247940166255376,0.4821437996219962,0.20937562537522514,0.4826010854991088,0.0687859824780976,0.5246060948367541,0.009156161763186435,0.007930973926697242,0.5068732811380238,0.4152628621509403,0.5019803865693999,0.5356836268858295,0.4137098844672657,0.4229223623874193,0.5815351659725709,0.4596085580799991,0.5908356926675289,0.5089698575954341,0.3627087303616182,0.3350136102429681,0.3930490205776049,0.3919457254244504,0.6733103759355724,0.4901737121784909,0.35140664961636825,0.5324173103765671,0.16624974984990992,0.5856013608164898,0.7981563890654799,0.04926997012232935,0.514090797850424,0.4536246878797953,0.5368983194378567,0.3541124097816783,0.5353904370303384,0.5663209822492288,0.3332045355489145,0.3112884806594756,0.4672165315432488,0.3919457254244504,0.7982690824398433,0.6945842560901953,0.6967297181790604,0.4906066325131265,0.3046376550412307,0.4106635818698075,0.3919457254244504,0.3919457254244504,0.4782958199356913,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.0,0.3919457254244504,0.3919457254244504,0.3872865323034836,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.485882403721274,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
6,SAXWFC J1819.4-2524.,BH0030,2.24,train,BH,X,1,2,BH,0.7840824376894843,0.7840824376894843,0.21591756231051548,0.09375,0.20223112128146456,6.485251923740652e-06,0.07042926560028698,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.1846379223370578,0.15944796012086815,1.0,0.3919457254244504,0.0,0.2708655168616728,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.14524054261136618,0.3919457254244504,1.0,0.14733649791111014,0.3919457254244504,0.22457995367459693,0.14235094021717667,0.09774187468525784,0.11157562946471182,0.0,0.3919457254244504,0.3919457254244504,0.0966360115931969,0.3919457254244504,1.0,0.3919457254244504,1.0,0.0,0.5016422970968425,0.5936636788995997,0.3919457254244504,0.3919457254244504,0.12244168431009525,0.08695986613604728,0.11690921662044453,0.14239694730079552,0.059003061767349985,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.10004194372853913,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
7,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,1.0,0.0,1.0,1.0,1.0,0.00032892791530235113,0.8263183034229177,0.6618698517674254,0.3919457254244504,0.00191115110189598,0.0007942808279664152,0.7775212921977886,0.5692989947346427,0.6050130078046828,0.6002529326138459,0.3971464330413016,0.6088895786538489,0.011360800823846736,0.010387882129526328,0.3509387951213231,0.5233707866792162,0.5570248395341723,0.3651329232741591,0.8036970474967907,0.5359474224541331,0.5586532260958247,0.5823416446879023,0.5389149095527477,0.6101693521706246,0.5119845258776403,0.3986288940417381,0.5370070860561084,0.3919457254244504,0.6277362326860711,0.5545990589258203,0.7399488491048593,0.4693836805344206,0.5231138683209926,0.5724934960976585,0.7193791057427421,0.3605614747167257,0.5964504369481707,0.5707928954409028,0.6453784898039743,0.5708769174793418,0.6419236832947717,0.6060995401085546,0.5473847361469941,0.5554604663101146,0.5980818737174333,0.3919457254244504,0.582311858490427,0.8163881618683309,0.3919457254244504,0.4543847733245058,0.5289722108017805,0.4579871700494269,0.3919457254244504,0.3919457254244504,0.6045685959271169,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.036231884057971016,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
8,CXOU J100514.2-07423,BH0018,16.29,train,BH,BH,1,1,BH,0.9938348498961671,0.9938348498961671,0.006165150103832824,0.6,0.7796338672768879,1.7198679595877962e-05,0.27060653659845024,0.3832909543086708,0.1653019066624425,0.0001574238388518667,0.00022866956351809737,0.3287438317095861,0.1928720167342652,0.1769061436862117,0.16989490321276776,0.052515644555694616,0.2990260517879215,0.0008250458396888104,0.0004157886037767034,0.3675387898158405,0.11643911830858054,0.2733727423590539,0.4054431968749954,0.3367394094993581,0.1980598140644997,0.3104856828322157,0.2693026557846721,0.3244069470974044,0.2562349555686309,0.17495830182507496,0.17315253553785664,0.3919457254244504,0.3919457254244504,0.44183994802411225,0.2844268451538297,0.4319181585677749,0.2831679912670352,0.27626575945567344,0.3812287372423454,0.592339478703115,0.15987372456170018,0.37183844707332653,0.20274611752563265,0.2928926260545307,0.28486648383213986,0.3729482474854961,0.26713254924314944,0.2595897554850643,0.3919457254244504,0.27793385551871785,0.3919457254244504,0.3964583135696949,0.7257902154217839,0.13426817789815826,0.21973206189647226,0.3919457254244504,0.6162582816279315,0.3919457254244504,0.3919457254244504,0.8139067524115756,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.10869565217391304,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
9,1WGA J0748.5-6745   ,NS0076,6.77,train,NS,NS,1,1,NS,0.903364332227275,0.09663566777272521,0.903364332227275,0.46875,0.6756292906178488,3.1447540197285096e-05,0.3430505388274405,0.33272074581640143,0.2527788161266795,9.703298820309259e-05,5.150418852122597e-05,0.3761560835077087,0.3544125987337133,1.0,0.43765201992353614,0.8080100125156445,0.3144164104811001,0.0008323050170836674,0.0007898530794182058,0.3919457254244504,0.3064454379984827,0.2915070770162034,0.3919457254244504,1.0,0.20162840510350874,0.3919457254244504,0.28130603805737764,0.1600617647443386,0.42645870849041856,0.1755993892175813,0.6007662062707934,0.36459207273468175,0.3919457254244504,0.4596074127062779,0.2939435954792694,1.0,0.3919457254244504,1.0,0.7793676205723433,0.9126403899131172,0.6640735103444387,0.3639051366959372,0.3725899138289111,0.4029975711478048,0.2047551730827797,0.5096147852373746,0.4481720349180773,0.18126941122032603,0.41169893733212815,0.413844584885619,0.3919457254244504,0.43225667317814376,0.1343869538957117,0.2895400856711907,0.3919457254244504,0.3439919314019099,0.3917341465979598,0.3919457254244504,0.3919457254244504,0.33008440514469456,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.0,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504,0.3919457254244504
