name,ra,dec,usrid,separation,probability,err_ellipse_r0,err_ellipse_r1,err_ellipse_ang,significance,likelihood_class,conf_flag,sat_src_flag,streak_src_flag,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_w,flux_aper_lolim_w,flux_aper_hilim_w
 2CXO J000701.5+730308, 00 07 01.57,+73 03 08.13,1,0.16,0.06,0.71,0.71,0,15.5,                TRUE,FALSE,FALSE,FALSE,         ,         ,         ,1.959E-14,1.74E-14,2.178E-14
 2CXO J002316.8+092323, 00 23 16.89,+09 23 23.96,2,0.26,0.06,0.72,0.72,179.6,6.39,                TRUE,FALSE,FALSE,FALSE,1.737E-14,1.466E-14,2.009E-14,         ,         ,         
 2CXO J010111.0-642230, 01 01 11.09,-64 22 30.64,5,0.66,0.06,0.73,0.73,177.4,4.89,                TRUE,FALSE,FALSE,FALSE,3.574E-14,2.843E-14,4.305E-14,         ,         ,         
 2CXO J024818.6+602134, 02 48 18.65,+60 21 34.97,10,0.21,0.07,0.82,0.79,68.7,1.84,                TRUE,FALSE,FALSE,FALSE,3.911E-15,1.726E-15,5.982E-15,         ,         ,         
 2CXO J043715.8-471508, 04 37 15.82,-47 15 08.64,13,0.77,0.06,0.71,0.71,0,113.03,                TRUE,FALSE,FALSE,FALSE,6.181E-13,6.052E-13,6.303E-13,         ,         ,         
 2CXO J063344.1+063230, 06 33 44.14,+06 32 30.41,20,0.8,0.06,0.71,0.71,0.3,14.54,                TRUE,FALSE,FALSE,FALSE,8.413E-14,7.845E-14,8.982E-14,         ,         ,         
 2CXO J063354.3+174614, 06 33 54.33,+17 46 14.78,21,0.59,0.06,0.71,0.71,26.8,90.71,                TRUE, TRUE,FALSE,FALSE,4.279E-13,4.215E-13,4.339E-13,         ,         ,         
 2CXO J102827.8-581906, 10 28 27.87,-58 19 06.60,34,0.39,0.06,0.73,0.72,108.6,6.7,                TRUE,FALSE,FALSE,FALSE,6.348E-14,5.398E-14,7.297E-14,         ,         ,         
 2CXO J104432.8-573719, 10 44 32.86,-57 37 19.10,35,0.58,0.06,0.74,0.73,73.1,4.57,                TRUE,FALSE,FALSE,FALSE,3.22E-14,2.495E-14,3.904E-14,         ,         ,         
 2CXO J111214.8-610330, 11 12 14.88,-61 03 30.72,39,0.69,0.06,0.72,0.72,0,11.04,                TRUE,FALSE,FALSE,FALSE,4.466E-14,4.147E-14,4.766E-14,         ,         ,         
 2CXO J111914.2-612749, 11 19 14.28,-61 27 49.20,40,0.23,0.06,0.71,0.71,96.9,19.93,                TRUE, TRUE,FALSE,FALSE,4.202E-14,3.958E-14,4.431E-14,         ,         ,         
 2CXO J112401.1-365319, 11 24 01.13,-36 53 19.13,41,0.18,0.06,0.73,0.72,113.5,10.27,                TRUE,FALSE,FALSE,FALSE,6.004E-14,5.418E-14,6.589E-14,         ,         ,         
 2CXO J112439.1-591619, 11 24 39.16,-59 16 19.46,42,0.7,0.06,0.71,0.71,99.8,144.29,                TRUE,FALSE,FALSE,FALSE,8.254E-13,8.172E-13,8.331E-13,         ,         ,         
 2CXO J123111.3-141143, 12 31 11.30,-14 11 43.92,45,0.12,0.06,0.72,0.72,168.3,9.99,                TRUE,FALSE,FALSE,FALSE,1.517E-13,1.356E-13,1.668E-13,         ,         ,         
 2CXO J135702.5-642929, 13 57 02.53,-64 29 29.94,46,0.72,0.06,0.71,0.71,87.5,18.02,                TRUE,FALSE,FALSE,FALSE,7.092E-14,6.692E-14,7.493E-14,         ,         ,         
 2CXO J141330.2-620535, 14 13 30.22,-62 05 35.97,48,0.63,0.08,0.92,0.86,143.9,3,                TRUE, TRUE,TRUE,FALSE,1.215E-14,8.103E-15,1.621E-14,         ,         ,         
 2CXO J142008.1-604817, 14 20 08.19,-60 48 17.33,50,0.84,0.06,0.72,0.72,81.8,12.86,                TRUE, TRUE,FALSE,FALSE,6.833E-14,6.353E-14,7.312E-14,         ,         ,         
 2CXO J142958.5-591136, 14 29 58.50,-59 11 36.03,51,0.63,0.06,0.75,0.74,132.8,4.19,                TRUE,FALSE,FALSE,FALSE,1.809E-14,1.377E-14,2.241E-14,         ,         ,         
 2CXO J145930.2-605320, 14 59 30.25,-60 53 20.27,53,0.85,0.06,0.74,0.73,160.9,3.88,                TRUE,FALSE,FALSE,FALSE,3.139E-14,2.305E-14,3.924E-14,         ,         ,         
 2CXO J150927.1-585056, 15 09 27.16,-58 50 56.26,54,0.39,0.06,0.71,0.71,11,14.23,                TRUE,FALSE,FALSE,FALSE,2.91E-14,2.746E-14,3.065E-14,         ,         ,         
 2CXO J151355.6-590809, 15 13 55.63,-59 08 09.21,55,0.33,0.06,0.71,0.71,0,94.01,                TRUE,FALSE,FALSE,FALSE,2.041E-12,2.001E-12,2.081E-12,         ,         ,         
