,PSR
*,2726
RRAT,80
HE,71
NRAD,62
"AXP,NRAD",19
NRAD[fermi21],15
HE[sbc+19],15
NRAD[nie+20],12
RRAT[ttm18],10
RRAT[dsm+16],8
"XINS,NRAD",8
HE[fermi21],5
HE[drc+21],5
HE[lsg+15],5
HE[egc+13],5
"HE[trr+21,fermi21]",5
HE[ckr+15],5
RRAT[gac+20],4
RRAT(?)[ttm18],3
"AXP,HE",3
"HE[mhl+02,fermi21]",3
HE[brj+21],3
"HE[kbm+03,fermi21]",3
BINARY[ccb+20],2
"HE[hrm+11,fermi21]",2
HE[cck+16],2
HE[waa+10],2
HE[aaa+09f],2
HE[tpc+11],2
HE[bwt+04],2
HE[wcp+18],2
"HE[jlm+92,fermi21]",2
"HE[fsk+04,fermi21]",2
RRAT[pab+18],2
HE[wlz+18],1
HE[ncb+19],1
"HE[jah+16,aps+17]",1
HE[tkt+98],1
"HE[btlb00,aaa+09e]",1
HE[aaa+10b],1
"HE[ghd02,aaa+10m]",1
"HE[tsn+01,waa+10]",1
HE[oklk10],1
"AXP,HE[mgz+13,efk+13]",1
"HE[lbh+15,sbc+19]",1
HE[mkz+03],1
"HE[dsm+13,fermi21]",1
"HE[chmm89,rfk+96,srg+97,w",1
NRAD[plca18],1
"HE[hg73,tfko75]",1
"HE[ojk+08,fermi21]",1
HE[lzg+11],1
"HE[dmd+88,fermi21]",1
HE[cpw+18],1
HE[aaa+09d],1
NRAD[cwp+17],1
HE[aaa+10g],1
HE[mp85],1
"HE[qpl+19,fermi21]",1
"RRAT,HE",1
"HE[rrj01,waa+10]",1
"HE[kmk+18,fermi21]",1
"HE[ncb+15,fermi21]",1
"HE[mlc+01,fermi21]",1
"HE[lfl+06,fermi21]",1
"HE[cnv+21,cms+21]",1
HE[wob+04],1
"HE[hcg+01,ppp+09,aaa+09i]",1
HE[pbh+17],1
"HE[pdb+15,jrr+15]",1
"HE[btb+15,fermi21]",1
"HE[slr+14,fermi21]",1
UL[nie21],1
HE[zkgl09],1
HE[naa+11],1
"HE[bt99,aaa+09f]",1
NRAD[pvc19],1
"HE[lbh+15,fermi21]",1
"HE[klm+00,aaa+09i]",1
HE[faa+11],1
"HE[nab+13,fermi21]",1
"HE[sof95,aaa+10m]",1
"HE[goc+19,fermi21]",1
"HE[bt93,aaa+09f]",1
"HE[cgm+07,gkj+13]",1
"HE[fermi21,frm+18]",1
"HE[mld+96,fermi21]",1
"HE[khvb98,aaa+09f]",1
"HE[cck+16,fermi21]",1
HE[brs+19],1
HE[to05],1
"HE[lnl+95,fermi21]",1
"HE[ccb+20,fermi21]",1
"NRAD,AXP(?)",1
HE[ksr+12],1
"HE[lsg+15,fermi21]",1
"HE[skk+97,bvs+11]",1
"HE[abb+15,fermi21]",1
NRAD[frm+18],1
HE[to07],1
HE[aaa+10m],1
HE[hsp+03],1
RRAT(?)[ttm+18],1
"HE[sbl+96,wkh+12]",1
NRAD[cpw+18],1
"HE[kls+15,fermi21]",1
HE[gkc+07],1
HE[rpp+20],1
"HE[cdt69,fhm+69,hjm+70]",1
"HE[wob+04,aaa+09f]",1
HE[yhh94],1
"HE[umw+93,ppp+09]",1
HE[tst+01],1
HE[aaa+09],1
