obs_id,src_n,src_id,significance,clf_type,true_class,th_class,is_ok,truth,pred_class,pred_prob,BH_prob,NS_prob,bb_nh_lolim,powlaw_nh_hilim,powlaw_nh,bb_nh_hilim,bb_nh,powlaw_nh_lolim,photflux_aper_u,photflux_aper_hilim_u,flux_aper_hilim_u,photflux_aper_lolim_s,photflux_aper_m,bb_kt_lolim,photflux_aper_hilim_s,bb_kt,flux_aper_lolim_m,photflux_aper,powlaw_gamma_hilim,flux_aper_hilim_s,photflux_aper_lolim_m,flux_aper_hilim_h,photflux_aper_hilim,photflux_aper_lolim,photflux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_m,flux_aper_lolim,kp_prob,photflux_aper_hilim_b,hard_ms_hilim,flux_aper_hilim_b,hard_ms_lolim,var_prob,hard_ms,powlaw_gamma,powlaw_gamma_lolim,flux_aper_hilim,flux_aper,hard_hm_hilim,ks_prob,var_max,photflux_aper_s,flux_bb_lolim,var_min,flux_aper_lolim_s,photflux_aper_lolim_u,hard_hs_lolim,flux_aper_b,hard_hm,var_sigma,var_mean,bb_ampl_hilim,bb_ampl,bb_stat,flux_aper_s,flux_aper_h,flux_powlaw,flux_aper_m,flux_brems_hilim,hard_hm_lolim,powlaw_ampl_hilim,hard_hs_hilim,photflux_aper_h,photflux_aper_lolim_b,flux_aper_lolim_b,flux_brems,hard_hs,flux_brems_lolim,brems_stat,flux_powlaw_hilim,flux_powlaw_lolim,photflux_aper_b,powlaw_ampl,powlaw_ampl_lolim,photflux_aper_lolim_h,flux_bb,var_index,flux_bb_hilim,flux_aper_lolim_h,powlaw_stat,bb_ampl_lolim,flux_aper_u,flux_aper_lolim_u
NS_OBS_408,SAXWFC J1748.1-2446.,NS0072,19.47,train,NS,NS,1,1,NS,0.9989237173557248,0.0010762826442752439,0.9989237173557248,42.0,104.0,83.0,42.0,28.0,65.0,-4.0,-5.870954940112043,-15.122340755888393,-7.186218921825918,-6.1637391971415125,0.0,-6.528561592610703,0.0,-14.852632892206213,-5.845606462043003,3.0,-15.215668051977852,-6.3029451077274254,-13.695078838099107,-5.710901800943383,-5.930337082099477,-5.557206774060232,-14.613679426105952,-6.064039531010834,-14.191682323967006,0.2753333333333334,-5.35144484433733,0.7689,-13.661742769753745,0.3367,0.425,0.5646,2.0,2.0,-14.03841660980033,-14.112243207778974,0.6565,0.322,0.0014035999999999999,-6.7361273231347765,-12.0,0.0008218,-15.87321942298799,-5.0,0.7639,-13.719421629631924,0.5547,7.064333333333334e-05,0.0008487,0.0,0.0,1.0,-15.423198104171087,-13.763966852882366,-12.0,-14.713319030645067,-12.0,0.4428,0.0,0.9338,-5.625985259708089,-5.475344287642223,-13.785951320588055,-12.0,0.857,-12.0,1.0,-12.0,-12.0,-5.409046764812014,0.0,0.0,-5.707743928643524,-12.0,0.3333333333333333,-12.0,-13.846185135655473,1.0,0.0,-13.0,-14.0
NS_OBS_255,XMMU J004245.2+41172,NS0046,4.71,train,NS,NS,1,1,NS,0.9881175521477362,0.011882447852263712,0.9881175521477362,43.0,104.0,83.0,42.0,29.0,66.0,-4.0,-6.3260580013659125,-15.96018944585165,-5.0,-5.0,0.0,-6.801893001126598,0.0,-14.0,-7.406049704736012,3.0,-15.37345434097287,-5.0,-14.923723744595785,-6.595867876304688,-8.748556464966638,-6.8077113874318815,-15.665948559653108,-7.005023326350309,-16.787013815263332,0.0,-6.416121401501374,0.123,-14.962972120244224,-1.0,0.0,-0.9994,2.0,2.0,-15.217584712223251,-15.738213913434244,1.0,0.0,0.0,-5.0,-12.0,0.0,-14.0,-5.0,-0.6402,-15.222718208328983,0.7883,0.0,0.0,0.0,0.0,1.0,-15.674484336636851,-13.0,-12.0,-15.986320302708807,-12.0,-0.0968,0.0,0.6752,-5.0,-8.04958646063062,-16.088043810927314,-12.0,-0.0112,-12.0,1.0,-12.0,-12.0,-6.7070797003999925,0.0,0.0,-5.0,-12.0,0.0,-12.0,-14.0,1.0,0.0,-13.0,-14.0
NS_OBS_420,1WGA J0748.5-6745   ,NS0076,6.77,train,NS,NS,1,1,NS,0.9768817102461446,0.023118289753855516,0.9768817102461446,50.0,113.0,92.0,50.0,39.0,73.0,-4.0,-5.991399828238082,-13.0,-6.97798426018228,-7.020087589665282,0.0,-6.36713795989977,0.0,-16.658367664221945,-6.520228963139153,3.0,-15.152550737500825,-8.041292808912715,-14.138585081364006,-6.1898885097134935,-6.802943954314194,-6.331241458249044,-15.368251925603433,-6.7512912643990814,-14.85021451791194,0.19966666666666666,-5.9446216686249995,-0.1118,-14.147520006363145,-0.8201,0.462,-0.5109,2.0,2.0,-14.41116547612562,-14.573981055331096,0.8376,0.214,0.00023480000000000004,-6.565910361582109,-12.0,0.00015153333333333332,-15.763462738511304,-5.0,-0.3104,-14.276626432981017,0.5522,8.401333333333332e-06,0.00015663333333333334,0.0,0.0,1.0,-15.351347304868774,-14.327625021253919,-12.0,-15.637140697041321,-12.0,0.183,0.0,0.4304,-6.525055664534613,-6.25845448322379,-14.461175011062096,-12.0,0.0612,-12.0,1.0,-12.0,-12.0,-6.073914913074857,0.0,0.0,-6.916139199133427,-12.0,0.3333333333333333,-12.0,-14.700057099977233,1.0,0.0,-13.0,-14.0
BH_OBS_114,CXOU J100517.1-07421,BH0022,11.12,train,BH,BH,1,1,BH,0.9968339410610311,0.9968339410610311,0.003166058938968927,117.0,315.0,240.0,181.0,130.0,186.0,-5.933674074637962,-5.654822383457296,-15.957818405484236,-6.814174640387037,-6.879097182385474,0.0,-6.329197715739057,0.0,-15.93704216591549,-6.319519443758037,3.0,-15.06981534770138,-7.305131672017544,-15.0515870342214,-6.095208743727731,-6.813829380486588,-6.644740094472621,-15.270916242956385,-6.668370282370068,-15.629227928294373,0.9625,-6.0496838360754,-0.1268,-14.744245213356955,-0.7277,0.7084999999999999,-0.461,2.0,2.0,-15.077004813203445,-15.278420190803844,0.4741,0.9575,0.00032985,-6.5012760292520975,-12.0,0.000125615,-15.554863031286695,-6.933674074637962,-0.7477,-14.88907375773358,0.075,5.028e-05,0.00016035000000000002,0.0,0.0,1.0,-15.2419969907002,-15.35261702988538,-12.0,-15.487048920027508,-12.0,-0.3829,0.0,-0.0656,-6.90622821850127,-6.36997914888659,-15.107961079658706,-12.0,-0.4335,-12.0,1.0,-12.0,-12.0,-6.180916924256297,0.0,0.0,-7.665948559653107,-12.0,1.5,-12.0,-14.0,1.0,0.0,-13.0,-14.0
NS_OBS_220,XMMU J004245.2+41172,NS0044,49.26,train,NS,NS,1,1,NS,0.9994618586778625,0.0005381413221376219,0.9994618586778625,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-3.6757175447023074,-12.927015255372071,-5.792904459580782,-4.940815382368629,0.0,-4.927750102386487,0.0,-14.26680273489343,-4.794568259571175,3.0,-14.111090740736469,-5.166151950468851,-13.380593589113223,-4.1938200260161125,-4.987339902364353,-4.666351243485299,-13.893809102736585,-4.793174123968151,-13.968704669045383,0.4266666666666667,-4.225264117448247,0.539,-13.283829652140145,-0.163,0.35766666666666663,0.1836,2.0,2.0,-13.33261616614044,-13.775001039460545,0.4254,0.6643333333333333,0.007734333333333333,-5.173148052179356,-12.0,0.005424333333333333,-14.976336081802206,-5.0,0.0181,-13.389126999619947,0.1674,0.0007668333333333332,0.006559333333333335,0.0,0.0,1.0,-14.356547323513812,-13.52826834851995,-12.0,-14.041436116778033,-12.0,-0.1131,0.0,0.6665,-4.813891620186793,-4.469672210221914,-13.52826834851995,-12.0,0.35600000000000004,-12.0,1.0,-12.0,-12.0,-4.330497165895657,0.0,0.0,-5.03919637508823,-12.0,0.3333333333333333,-12.0,-13.753501419204195,1.0,0.0,-13.0,-14.0
NS_OBS_359,J1824-2452          ,NS0062,92.0,train,NS,NS,1,1,NS,0.8244233270688378,0.1755766729311663,0.8244233270688378,49.0,29.66,28.08,0.07748,2.031e-07,26.53,-5.041675068355947,-4.985479461242076,-13.917573699139226,-4.560351570436526,-4.46344155742847,0.8078,-4.536704390037998,0.8109999999999999,-13.0762380391713,-4.244529149859919,1.592,-13.328456914737425,-4.473014931440004,-12.383524486111435,-4.235704284905837,-4.253843943766066,-4.235300936201632,-13.057793457722905,-4.454569170534648,-12.675467742860675,0.999,-3.8016178699917056,0.1131,-12.27188981589966,0.0806,0.9914,0.0962,1.554,1.517,-12.659647116413579,-12.667238464390195,0.2605,0.9964,0.06010296,-4.548367052543009,-12.402853512166304,0.001331066,-13.352128234693769,-5.110530216030494,0.3217,-12.277201603129097,0.2473,0.01451518,0.02084156,9.406e-05,9.293e-05,2.24,-13.34008379993015,-12.391902053674722,-12.326794718220954,-13.066613958096946,-12.324680016660707,0.2342,0.0001033,0.3504,-4.243668232678942,-3.8127613801685216,-12.282995592959454,-12.331520897067414,0.336,-12.33856594960608,1.055,-12.320118057887138,-12.334512819217188,-3.807153884811158,9.918e-05,9.519e-05,-4.252821328639835,-12.395665926897086,9.2,-12.388807939131565,-12.401100112936115,1.054,9.181e-05,-13.977984260182279,-14.047837425785534
BH_OBS_37,XTE J1550-564       ,BH0010,29.24,train,BH,BH,1,1,BH,0.9555516959374664,0.9555516959374664,0.0444483040625329,10.73,111.9,88.48,32.89,20.75,69.64,-4.0,-6.349595330131968,-15.525055664534614,-5.848323769152953,-5.150273555803672,0.7183,-5.642065152999545,0.8051,-13.785951320588055,-5.082368474057585,2.491,-14.461803421650545,-5.20100426555612,-13.184422251675732,-5.0362395529522574,-5.128952738694499,-5.014798141635429,-13.689944262249107,-5.104853810624007,-13.550712948521992,0.732,-4.589222766622791,0.6652,-13.076704159344494,0.4978,0.261,0.5846,2.152,1.857,-13.459967248430786,-13.503344292787974,0.1793,0.7665,0.0047975000000000005,-5.729787145103757,-13.301029995663981,0.0039296750000000005,-14.66796572297248,-5.0,0.5678,-13.110082316563794,0.0987,0.0001869625,0.004099175,2.651e-05,1.707e-05,1.676,-14.549596913844633,-13.235973392307965,-13.16621562534352,-13.735418270761919,-13.130005999878259,0.0169,5.676e-05,0.7202,-5.0663102910421065,-4.658763376761308,-13.146240966925232,-13.182897595743075,0.6471,-13.286425462227928,1.104,-13.119186407719207,-13.224535190654262,-4.622693748931801,3.789e-05,2.632e-05,-5.124822940185296,-13.217169194797409,0.25,-13.167491087293765,-13.294478386577332,1.087,1.136e-05,-13.0,-14.0
NS_OBS_395,SAXWFC J1748.1-2446.,NS0072,19.47,train,NS,NS,1,1,NS,0.9975838108248964,0.0024161891751037353,0.9975838108248964,42.0,103.0,83.0,42.0,28.0,65.0,-4.0,-4.0,-13.0,-7.530177984021837,-6.392223396258308,0.0,-6.595679532778269,0.0,-15.209644453585614,-5.782720090509198,3.0,-15.315423912611545,-6.60537323572779,-13.68909437062386,-5.701955157399019,-5.884339572288418,-5.528121800692708,-14.854182285508173,-6.249877473216599,-14.13440246628809,0.4463333333333333,-5.380384994257194,0.7389,-13.675717544702305,0.1268,0.3453333333333333,0.4497,2.0,2.0,-13.964143182144468,-14.039790924481395,0.8226,0.20233333333333334,0.001118,-6.848936746646251,-12.0,0.0007684666666666666,-16.249954687988232,-5.0,0.8051,-13.744486287180465,0.7283,4.580666666666666e-05,0.0007887666666666666,0.0,0.0,1.0,-15.568636235841012,-13.764219129672439,-12.0,-14.996539467890491,-12.0,0.619,0.0,0.9613,-5.603277721496227,-5.530325227448202,-13.826522356547006,-12.0,0.8932,-12.0,1.0,-12.0,-12.0,-5.44891613481422,0.0,0.0,-5.700274846024362,-12.0,0.0,-12.0,-13.861066059743075,1.0,0.0,-13.0,-14.0
BH_OBS_157,J1745-2900          ,BH0027,337.0,train,BH,BH,1,1,BH,0.7146070630411905,0.7146070630411905,0.2853929369588026,42.0,104.0,83.0,42.0,29.0,66.0,-4.0,-4.0,-13.0,-5.0,-5.0,0.0,-6.031096969696172,0.0,-14.0,-5.0,3.0,-14.85047298624565,-5.0,-13.578231598793074,-5.823696471081573,-6.0,-5.0,-14.81559251458768,-6.224535190654263,-14.0,0.0,-5.5265130299354315,0.0,-13.721246399047173,0.0,0.0,0.0,2.0,2.0,-13.91766351290894,-14.492481444423575,0.0,0.0,0.0,-5.0,-12.0,0.0,-14.0,-5.0,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,1.0,-14.0,-13.890421453095612,-12.0,-14.0,-12.0,0.0,0.0,0.0,-5.0,-5.0,-13.0,-12.0,0.0,-12.0,1.0,-12.0,-12.0,-5.0,0.0,0.0,-5.0,-12.0,0.0,-12.0,-14.0,1.0,0.0,-13.0,-14.0
NS_OBS_90,EXO 1745-248        ,NS0020,23.47,train,NS,NS,1,1,NS,0.9989237173557248,0.0010762826442752439,0.9989237173557248,41.0,103.0,83.0,42.0,28.0,67.0,-4.0,-4.0,-13.0,-6.658763376761308,-5.8326826652518236,0.0,-6.150580586203103,0.0,-14.536853863273649,-5.829518258687018,3.0,-14.979224511806445,-5.953895212753961,-14.04875964967566,-5.730294467872982,-5.964100197388536,-6.091354161092888,-14.32550628270365,-5.742321425130816,-14.432544259483251,0.4525,-5.385524633909607,0.6864,-13.908684840302778,0.3029,0.625,0.5072,2.0,2.0,-14.1698445588095,-14.281035614727486,-0.2342,0.6015,0.00116695,-6.33423144928062,-12.0,0.0005079725,-15.456428576037636,-5.0,-0.2667,-13.983384452442822,-0.4572,9.481e-05,0.0005595000000000001,0.0,0.0,1.0,-15.15533647175976,-14.220908796154498,-12.0,-14.415668775632467,-12.0,-0.6627,0.0,0.3979,-6.284163724835006,-5.555330769061476,-14.074069402131526,-12.0,0.0775,-12.0,1.0,-12.0,-12.0,-5.459670525209127,0.0,0.0,-6.639595945270061,-12.0,1.0,-12.0,-14.510322708336306,1.0,0.0,-13.0,-14.0
