,flux_bb,flux_bb_lolim,flux_bb_hilim,flux_brems,flux_brems_hilim,flux_brems_lolim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,photflux_aper,photflux_aper_lolim,photflux_aper_hilim,flux_aper,flux_aper_lolim,flux_aper_hilim,photflux_aper_b,photflux_aper_h,photflux_aper_m,photflux_aper_u,photflux_aper_s,photflux_aper_lolim_b,photflux_aper_lolim_h,photflux_aper_lolim_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_h,photflux_aper_hilim_m,photflux_aper_hilim_u,photflux_aper_hilim_s,flux_aper_b,flux_aper_h,flux_aper_m,flux_aper_u,flux_aper_s,flux_aper_lolim_b,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_lolim_u,flux_aper_lolim_s,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_hilim_m,flux_aper_hilim_u,flux_aper_hilim_s
0,,,,,,,,,,3.10176e-06,9.93e-07,5.33984e-06,6.842999999999999e-16,3.9408e-16,1.3040200000000002e-15,4.409e-06,,7.348e-07,8.147999999999999e-06,2.217e-06,2.853e-06,,2.8940000000000004e-07,6.036e-07,1.219e-06,5.878e-06,7.912e-07,1.18e-06,1.569e-05,3.16e-06,1.9719999999999997e-15,,4.988e-16,,9.507e-16,1.262e-15,,1.965e-16,,5.119e-16,2.6420000000000003e-15,1.082e-15,8.011000000000001e-16,6.3e-16,1.365e-15
1,,,,,,,,,,9.81848e-06,5.9938e-06,1.34738e-05,5.806999999999998e-15,3.52918e-15,7.9926e-15,8.273999999999999e-06,8.834e-07,1.393e-06,3.469e-05,3.852e-06,6.3329999999999985e-06,3.48e-07,7.96e-07,1.983e-05,2.662e-06,1.021e-05,1.419e-06,1.957e-06,4.874e-05,5.043e-06,5.388e-15,1.6210000000000001e-15,1.227e-15,1.7919999999999995e-14,2.879e-15,4.108e-15,6.079e-16,7.01e-16,1.024e-14,1.989e-15,6.668000000000001e-15,2.634e-15,1.723e-15,2.5169999999999998e-14,3.768e-15
2,1.1059999999999999e-14,9.868e-15,1.212e-14,1.321e-14,1.432e-14,1.175e-14,1.737e-14,1.622e-14,1.866e-14,6.9122e-06,6.227740000000002e-06,7.5922e-06,1.0390799999999998e-14,9.296599999999999e-15,1.1468999999999999e-14,1.319e-05,1.1309999999999998e-06,1.442e-06,1.211e-05,6.6879999999999985e-06,1.23e-05,8.767e-07,1.22e-06,1.058e-05,6.162000000000001e-06,1.407e-05,1.372e-06,1.665e-06,1.364e-05,7.214e-06,2.126e-14,6.326e-15,3.514e-15,9.314e-15,1.154e-14,1.986e-14,4.885e-15,2.971e-15,8.137000000000003e-15,1.063e-14,2.267e-14,7.688e-15,4.057e-15,1.0490000000000001e-14,1.244e-14
3,9.243000000000001e-15,7.217e-15,1.034e-14,1.277e-14,1.4069999999999999e-14,1.1440000000000001e-14,1.555e-14,1.446e-14,1.692e-14,6.17822e-06,5.50252e-06,6.857999999999999e-06,9.8658e-15,8.676400000000002e-15,1.10558e-14,1.129e-05,9.301e-07,1.4430000000000004e-06,1.171e-05,5.518e-06,1.045e-05,6.976e-07,1.209e-06,1.014e-05,5.016e-06,1.214e-05,1.163e-06,1.678e-06,1.329e-05,6.019e-06,1.925e-14,6.3920000000000005e-15,3.513e-15,1.065e-14,9.524e-15,1.78e-14,4.769e-15,2.943e-15,9.212e-15,8.658e-15,2.07e-14,8.016e-15,4.0829999999999995e-15,1.209e-14,1.039e-14
4,9.97e-15,8.896e-15,1.087e-14,1.252e-14,1.359e-14,1.129e-14,1.5280000000000002e-14,1.413e-14,1.685e-14,5.78566e-06,5.1643799999999995e-06,6.400200000000002e-06,8.711e-15,7.704400000000001e-15,9.7076e-15,1.104e-05,9.253e-07,1.238e-06,1.016e-05,5.565e-06,1.024e-05,7.009e-07,1.031e-06,8.764e-06,5.086e-06,1.183e-05,1.15e-06,1.445e-06,1.156e-05,6.016000000000001e-06,1.697e-14,4.810000000000001e-15,3.097e-15,9.503e-15,9.175e-15,1.574e-14,3.626e-15,2.579e-15,8.193e-15,8.384e-15,1.82e-14,5.994e-15,3.615e-15,1.081e-14,9.919e-15
5,9.44e-15,8.015000000000001e-15,1.041e-14,1.215e-14,1.3090000000000001e-14,1.116e-14,1.319e-14,1.215e-14,1.437e-14,5.78632e-06,5.18348e-06,6.38754e-06,8.354599999999999e-15,7.3778e-15,9.321e-15,1.006e-05,5.976e-07,1.391e-06,1.191e-05,4.9730000000000005e-06,9.322e-06,4.254e-07,1.178e-06,1.046e-05,4.532e-06,1.079e-05,7.697e-07,1.604e-06,1.336e-05,5.414e-06,1.548e-14,3.795e-15,3.4e-15,1.0659999999999999e-14,8.438e-15,1.4340000000000002e-14,2.618e-15,2.879e-15,9.363e-15,7.689e-15,1.663e-14,4.908e-15,3.920000000000001e-15,1.1959999999999999e-14,9.187e-15
6,,,,,,,,,,3.6035999999999993e-06,2.54186e-06,5.67952e-06,6.8664e-15,4.785400000000001e-15,1.2430199999999998e-14,1.086e-05,,1.34e-06,,5.817999999999998e-06,8.017e-06,,5.913000000000001e-07,,4.101e-06,1.353e-05,8.895999999999998e-07,2.05e-06,4.488e-06,7.44e-06,2.104e-14,,3.032e-15,,1.0259999999999999e-14,1.536e-14,,1.338e-15,,7.229000000000001e-15,2.638e-14,1.6419999999999995e-14,4.638e-15,1.603e-15,1.3109999999999999e-14
7,2.152e-13,1.858e-13,2.354e-13,2.283e-13,2.579e-13,1.713e-13,2.397e-13,2.128e-13,2.657e-13,0.0001028836,8.5061e-05,0.00012014220000000002,1.61224e-13,1.414888e-13,1.8068e-13,0.0002355,3.188e-06,3.793e-05,0.0001087,0.0001291,0.0002158,1.195e-06,3.223e-05,5.978e-05,0.0001163,0.0002552,5.081e-06,4.363e-05,0.00015490000000000002,0.0001419,3.864e-13,1.6380000000000005e-14,8.734e-14,3.21e-14,2.839e-13,3.54e-13,6.144e-15,7.422e-14,1.728e-14,2.558e-13,4.187e-13,2.6110000000000002e-14,1.005e-13,4.6089999999999996e-14,3.12e-13
8,2.824e-13,2.746e-13,2.896e-13,3.129e-13,3.209e-13,3.032e-13,3.029e-13,2.946e-13,3.102e-13,0.000104462,9.856800000000001e-05,0.000110352,1.6183e-13,1.54398e-13,1.6924e-13,0.000216,1.209e-05,3.892e-05,0.00015419999999999998,0.0001011,0.0002102,1.092e-05,3.714e-05,0.00013700000000000002,9.758e-05,0.0002217,1.327e-05,4.069e-05,0.0001714,0.0001047,3.6000000000000003e-13,6.261e-14,9.47e-14,8.924e-14,2.026e-13,3.503e-13,5.6510000000000004e-14,9.037999999999999e-14,7.93e-14,1.955e-13,3.696e-13,6.871e-14,9.902e-14,9.917000000000001e-14,2.097e-13
9,,,,,,,,,,8.8158e-05,7.041480000000001e-05,0.00011984599999999999,2.119825e-13,1.6326249999999998e-13,2.591525e-13,0.0002611,1.25e-05,6.079e-05,,0.0001064,0.0002198,4.464e-06,4.606e-05,,8.175e-05,0.0003025,2.053e-05,7.461e-05,7.049e-05,0.0001311,4.22e-13,5.922999999999998e-14,1.499e-13,,2.168e-13,3.518e-13,2.115e-14,1.136e-13,,1.665e-13,4.882e-13,9.731e-14,1.84e-13,,2.671e-13
