index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
0,BH_OBS_0,BH,1A 0620-00          ,BH0001,41932.7,23.63,3822.529,False,False,False,2000-02-29T04:03:25,10.45,5.8,7.46,4.97,1.85,-14.354675998437706,-15.27351730321517,-14.347947151751894,-13.944621668625,-13.72792621249999,-14.473531487530522,-15.781727146428553,-14.499900808084277,-14.135963817274225,-13.81559251458768,-14.408378961786681,-15.45717457304082,-14.414877813693185,-14.029792641193145,-13.769551078621726,-5.523748203992967,-6.057942316158605,-5.74521031260279,-5.65521487736734,-5.0090399003178,-5.640923773940737,-6.590912630552165,-5.896538377905295,-5.8338660296948905,-5.092427421201449,-5.578396073130169,-6.241618058225325,-5.814174640387038,-5.732359017654084,-5.048711062722328,-14.102266272271358,-14.232231357465015,-14.161932082639916,-5.451657269497614,-5.573147292964631,-5.507566502162335,,,,,,,,,,1.0,0.4218,0.5988,0.49779999999999996,0.00012125599999999999,0.00125702,0.00118278,0.00253714,7.8,0.9964000000000001,1.18358e-05,0.0974,0.2255,-0.0381,-0.1761,-0.2673,-0.0606,-0.2954,-0.1655,-0.3679,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,BH_OBS_1,BH,1A 0620-00          ,BH0001,39623.0,23.63,3822.529,False,False,False,2005-08-20T09:03:34,15.08,9.85,10.64,6.6,1.95,-13.899284913426918,-14.84043280676638,-13.865185629679539,-13.569119053547109,-13.297138829427071,-13.98171569157347,-15.367745223315286,-13.953895212753961,-13.698102282804792,-13.354774288464585,-13.938547520912806,-15.023283295636618,-13.9072793553159,-13.626904012921273,-13.324130044681043,-5.088789106862447,-5.499763525174361,-5.224316750973956,-5.324680016660707,-4.601886308269497,-5.17063189201118,-5.991825815993574,-5.3128278954052,-5.4579218536643745,-4.659754238432068,-5.127785436602414,-5.679645967182328,-5.266321344322912,-5.384365531122584,-4.628932137728264,-13.6773094413256,-13.763468784416245,-13.717297243156692,-5.026631964816117,-5.119072134732915,-5.06971335275448,-13.331334584545507,-13.406935568341282,-13.369267107182804,-13.433798281145087,-13.353400248279627,-13.385313657717987,-13.450751443145943,-13.537302591898284,-13.489186989487504,0.0,0.18380000000000002,0.46720000000000006,0.4264,3.4747e-05,0.00330598,0.0032610800000000004,0.00335796,7.8,0.9964000000000001,1.18358e-05,-0.1324,-0.0468,-0.2217,-0.2898,-0.1624,-0.2105,-0.3691,-0.0956,-0.228,2.451,2.686,2.239,23.29,29.79,17.38,1.971e-05,2.405e-05,1.625e-05,0.836,0.4657,0.5002,0.4332,1.035,,1.986e-06,7.262e-05,6.822e-05,9.334e-05,1.936,2.481,3.134,2.0,11.05,15.48,6.992,0.859
2,BH_OBS_2,BH,1A 0620-00          ,BH0001,29673.9,23.63,3822.529,False,False,False,2013-12-09T01:11:41,17.13,10.47,9.63,10.06,1.95,-13.642065152999546,-14.706195640080663,-13.602059991327963,-13.164816930150955,-12.95546023960759,-13.732593581247096,,-13.685922008220787,-13.258218303856834,-13.00533097817447,-13.68507994400758,,-13.641874714723352,-13.207608310501746,-12.979638717352293,-4.873868592738016,-4.762205006726077,-4.991399828238082,-4.95233580539844,-4.390512310146715,-4.964570261815451,-5.254300773397494,-5.0745847629157534,-5.039053804266168,-4.441291429466834,-4.916855856856948,-4.941953769604718,-5.031003673351687,-4.993533957750769,-4.41510365586255,-13.339159176967849,-13.413232714189364,-13.376213344258261,-4.731843423259606,-4.852756640456631,-4.788073583686384,-13.00256992620253,-13.063787955679752,-13.030770520137358,-13.083177715404087,-13.01399006814674,-13.044167989767578,-13.079720105367052,-13.147154181985004,-13.114469166811908,0.4,0.3546,0.5602,0.42919999999999997,0.00042634179999999995,0.00510126,0.00482852,0.007894179999999999,7.8,0.9964000000000001,1.18358e-05,0.04,0.1068,-0.0281,-0.0912,-0.1299,-0.0194,-0.1618,-0.0618,-0.1968,2.193,2.379,2.02,23.98,30.6,17.94,3.559e-05,4.25e-05,2.99e-05,0.846,0.592,0.6263,0.5576,0.8602,,1.225e-07,6.391e-05,6.046e-05,7.81e-05,1.743,3.44,4.313,2.799,13.14,17.89,8.83,0.814
3,BH_OBS_3,BH,1E 1740.7-2942      ,BH0002,11611.1,166.94,151803.0,False,False,False,2001-07-21T04:45:23,,,,158.52,,,,,-10.015742798294584,,,,,-10.021180613267157,,,,,-10.018453194954764,,,,,-2.066816520825386,,,,,-2.0722704402283454,,,,,-2.0695604052333,,-10.015742798294584,-10.021180613267157,-10.018453194954764,-2.066816520825386,-2.0722704402283454,-2.0695604052333,,,,,,,,,,0.0,0.154,0.987,0.942,0.006242,2.897,2.891,2.903,7.2,0.9928000000000001,0.0039601224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BH_OBS_4,BH,1E 1740.7-2942      ,BH0002,11611.1,166.94,151803.0,False,False,False,2001-07-21T11:42:23,,,,166.39,,,,,-9.825358807339551,,,,,-9.83061950468805,,,,,-9.827981190575443,,,,,-1.8658228924232336,,,,,-1.870954940112042,,,,,-1.8683813356508745,,-9.825358807339551,-9.83061950468805,-9.827981190575443,-1.8658228924232336,-1.870954940112042,-1.8683813356508745,,,,,,,,,,0.0,0.013,0.974,0.965,0.0002681,3.219,3.219,3.219,7.2,0.9928000000000001,0.0039601224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BH_OBS_5,BH,1E 1740.7-2942      ,BH0002,5023.0,166.94,151803.0,False,False,False,2002-08-17T13:17:17,67.98,6.57,4.65,67.51,1.15,-13.651695136951838,-14.86043573382415,-13.212752119668046,-10.586197483230649,-10.59328954139021,-13.842543231865774,,-13.34524606674707,-10.598944274228156,-10.606073993414164,-13.73423908328239,,-13.274006741075278,-10.59260909552927,-10.599634726650061,-4.853871964321762,-5.105573162035812,-4.647431613820691,-2.5106040782728707,-2.458545571252411,-5.044793462458058,-6.2618539112879406,-4.780677491580663,-2.5236031732746698,-2.4712118082251036,-4.936291440608582,-5.377268034835281,-4.708853238268114,-2.517126416391246,-2.464832514885056,-10.986952433754338,-10.99991723135935,-10.993434274005377,-2.878810465160855,-2.892780720263968,-2.8857677709227834,-10.685922008220787,-10.709075440617246,-10.694648630553376,-10.713992877920525,-10.694433686484697,-10.702677285794698,-10.70818731253288,-10.728623128105925,-10.715794932298206,0.0,0.1555,0.45575,0.3425,0.000289975,0.5609745,0.56067325,0.5615887500000001,7.2,0.9928000000000001,0.0039601224,0.9869,0.9888,0.985,0.9919,0.2586,0.9938,0.9913,0.3779,0.138,4.625,4.76,4.465,1561.0,1609.0,1510.0,1.822,2.383,1.401,1.591,0.7512,0.7705,0.7323,1055.0,987.1,1020.0,0.02714,0.02307,0.03205,2.033,1.601,1.686,1.523,1254.0,1290.0,1219.0,1.797
6,BH_OBS_6,BH,1E 1740.7-2942      ,BH0002,11611.1,166.94,151803.0,False,False,False,2001-07-20T18:19:53,,,,116.76,,,,,-10.268491816403975,,,,,-10.275970027064401,,,,,-10.272214825817095,,,,,-2.0991960651896306,,,,,-2.106682188383888,,,,,-2.10292299679058,,-10.268491816403975,-10.275970027064401,-10.272214825817095,-2.0991960651896306,-2.106682188383888,-2.10292299679058,,,,,,,,,,10.0,1.0,0.999,1.0,1.033,2.571,0.8292,4.403,7.2,0.9928000000000001,0.0039601224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BH_OBS_7,BH,1E 1740.7-2942      ,BH0002,14448.3,166.94,151803.0,False,False,False,2006-06-27T16:57:50,55.09,4.13,2.49,54.88,1.5,-13.9381706927053,-11.878440155812498,-13.877129077135564,-11.059732608553988,-11.064341613899366,-14.350275814070478,,-14.095392636184553,-11.075669015291322,-11.080242219498105,-14.097072903982736,,-13.972650392225244,-11.067627717852085,-11.072219150652625,-4.997833938243493,-3.464832514885056,-4.90622821850127,-2.6470460882899123,-2.5008630054626173,-5.372839047625225,-4.163802519221075,-5.121133663043275,-2.6629402736794754,-2.516698047641833,-5.141402655005307,-3.686765708305276,-5.00052146632069,-2.655018586072742,-2.5086383061657274,-11.427458308190074,-11.47556513718065,-11.46738199305328,-2.9373909437128645,-2.9749905394158302,-2.9557810618184366,-11.090818524022147,-11.136617651559213,-11.105850153232078,-11.119701008574248,-11.085921414610889,-11.095663207797505,-11.091568601033993,-11.123493495734118,-11.102537861986937,5.333333333333333,0.8569999999999999,0.9319999999999999,0.8206666666666665,0.1491486,0.42913500000000004,0.08422,0.9659863333333333,7.2,0.9928000000000001,0.0039601224,0.9906,0.9925,0.9888,0.9931,0.1399,0.9963,0.9913,0.3654,-0.0743,1.406,1.59,1.227,1271.0,1362.0,1185.0,0.004179,0.005822,0.003032,0.836,1.775,1.886,1.675,982.4,866.5,922.8,0.0002464,0.0002016,0.0003013,0.849,46.27,268.6,21.71,1247.0,1319.0,1184.0,0.836
8,BH_OBS_8,BH,1E 1740.7-2942      ,BH0002,9952.4,166.94,151803.0,False,False,False,2006-06-28T16:40:11,48.95,4.51,2.32,48.7,1.25,-13.859806321421368,-11.723078867934227,-13.686765708305275,-10.998699066979581,-11.00348832784582,-14.308388125785584,-12.789949150124862,-13.891773343625072,-11.016689514205884,-11.021363051615525,-14.028584976615004,-11.988429556402721,-13.777283528852417,-11.007667440952536,-11.012333735073726,-4.890421453095613,-3.4127381503074656,-4.698102282804792,-2.5890541413122254,-2.4421320384319776,-5.295592072613159,-4.367036831832739,-4.895171596346344,-2.6067758836387025,-2.459920911195827,-5.0422969584511685,-3.667965722972482,-4.782779344355482,-2.59773861754532,-2.4509967379742124,-11.358994545728235,-11.412896664140247,-11.38514362221754,-2.8788664528265087,-2.920692609726944,-2.899259979233516,-11.03574036980315,-11.104301273040694,-11.050414848673348,-11.068237111518823,-11.03390522055383,-11.045275209020938,-11.037062711569998,-11.0768596439748,-11.05134256785868,3.75,0.7072499999999999,0.79075,0.62225,0.12243745,0.36643400000000004,0.097963,0.667027,7.2,0.9928000000000001,0.0039601224,0.9869,0.99,0.985,0.9931,0.2661,0.995,0.99,0.4803,0.0556,1.479,1.697,1.268,1359.0,1471.0,1254.0,0.005561,0.00824,0.003791,1.181,1.744,1.872,1.632,1062.0,917.6,987.3,0.0003039,0.0002395,0.0003859,1.187,32.08,144.0,16.29,1327.0,1415.0,1242.0,1.18
9,BH_OBS_9,BH,1E 1740.7-2942      ,BH0002,15241.3,166.94,151803.0,False,False,False,2006-07-01T14:10:58,63.02,5.03,2.67,62.78,1.84,-14.404944910240696,-13.493630282904496,-13.802168306671097,-10.964570261815451,-10.96940027803405,-14.920456992597094,,-13.986741334716484,-10.978810700930062,-10.983384452442822,-14.584692707774433,,-13.884722408604098,-10.971428747307462,-10.976336081802206,-4.972242795309446,-3.2967946293045136,-4.795337488251781,-2.554240163511369,-2.4082677610481644,-5.31443738884177,-3.8250684064715577,-4.9714287473074625,-2.5681539543012746,-2.4220488722702447,-5.110362199593332,-3.485186705000715,-4.871923987331285,-2.561141340579438,-2.4151036558625503,-11.363877425696336,-11.378792321323429,-11.371495777514802,-2.8399170125370876,-2.87600940702984,-2.8575863792690286,-10.993962045002682,-11.029420694285148,-11.004452550524862,-11.014977917890464,-10.99012436628784,-10.99956592252068,-10.99610883376309,-11.020451625295905,-11.005111204635089,6.0,0.7126666666666667,0.22066666666666668,0.13999999999999999,0.19481839666666664,0.5249803333333333,0.135922,1.037799,7.2,0.9928000000000001,0.0039601224,0.9906,0.9925,0.9888,0.9944,0.2511,0.9963,0.9925,0.4441,0.0631,1.144,1.299,0.993,1116.0,1190.0,1046.0,0.003168,0.004188,0.002423,0.88,1.922,2.036,1.821,870.1,777.3,822.3,0.0002302,0.0001935,0.0002741,0.899,100.0,,59.62,1172.0,1205.0,1143.0,0.885
