index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
0,CV_OBS_0,CV,[DSH2013] 24          ,CV0001,9841.8,9.81,250.012,False,False,False,2001-09-05T00:24:13,3.53,2.36,1.38,2.49,0.0,-14.084705716977314,,-14.285586407712879,-13.553618187777557,-13.454940415305996,-14.91721462968355,,-14.692290076595194,-13.961777361631281,-13.717377887121938,-14.315154638355587,,-14.438779321066056,-13.706637445288555,-13.566550206238404,-5.632830511465319,-4.609594843519919,-5.587035728003337,-5.382370702242158,-4.96818772866963,-6.465339424171556,,-5.985059650207063,-5.757210190521324,-5.221125527997261,-5.863279432843593,,-5.737786294523583,-5.525783735923745,-5.07644514193245,-13.718744994490287,-14.07921164772543,-13.859641251707433,-5.051655509470115,-5.738190145778916,-5.535659515372333,,,,,,,,,,3.5,0.5975,0.4865,0.864,0.0007734,0.0013639,0.00103465,0.007132,3.0,0.5155000000000001,5.494375000000001e-07,0.2611,0.5103,-0.0194,0.326,0.0462,0.6465,-0.0069,0.4279,-0.2942,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CV_OBS_1,CV,[DSH2013] 24          ,CV0001,66285.9,9.81,250.012,False,False,False,2011-09-04T06:26:17,7.53,5.09,2.94,4.61,0.0,-14.278189384787453,-13.027797161620935,-14.37851213541937,-13.949620243738542,-13.743282254022512,-14.653060537301009,,-14.552531869050243,-14.197021144664738,-13.890759031411797,-14.421704694879173,,-14.454445492765934,-14.052321260063064,-13.808548985535104,-5.664542099310616,-3.75300930075845,-5.747875447494356,-5.682981898951889,-5.185619205530061,-5.97183558057553,,-5.921905849593589,-5.874193541860473,-5.302073555193495,-5.791558643561433,,-5.823908740944319,-5.768020973168496,-5.238222462491822,-13.576613208077163,-14.314473223198151,-14.197855945009886,-4.422165954745479,-5.765077968571807,-5.673664139071248,,,,,,,,,,0.5,0.47775,0.5165,0.56975,8.750500000000001e-05,0.00068145,0.000623525,0.0013698249999999999,3.0,0.5155000000000001,5.494375000000001e-07,0.0737,0.213,-0.0731,0.0025,-0.0725,0.2067,-0.1843,0.1305,-0.2492,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CV_OBS_2,CV,[DSH2013] 24          ,CV0001,52365.0,9.81,250.012,False,False,False,2011-08-29T18:50:48,5.2,4.21,2.38,2.38,0.0,-14.748848656824645,,-14.41172829315767,-14.114073660198569,-13.937794191180288,,,-14.626536278367631,-14.63921731012672,-14.238748925691338,,,-14.505984625242856,-14.296708621881338,-14.05853826065267,-5.686765708305276,-3.7609509068598084,-5.776763726897002,-5.969400278034049,-5.313900228004084,-6.081131256619016,,-5.987162775294828,-6.363913484896927,-5.483993769613952,-5.835647144215563,,-5.869344650977969,-6.118387127521651,-5.388276691992658,-14.206069993227315,-14.583817323870052,-14.373967752170982,-4.4363860360778435,-5.952865375897107,-5.814605184637486,,,,,,,,,,0.6666666666666666,0.5483333333333333,0.8356666666666667,0.7746666666666666,7.362333333333333e-05,0.0005692000000000001,0.0005197,0.0010405666666666667,3.0,0.5155000000000001,5.494375000000001e-07,-0.2661,-0.0556,-0.4878,-0.3648,-0.0899,-0.0893,-0.6015,0.1555,-0.3004,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CV_OBS_3,CV,[HPH2013] 100         ,CV0002,4903.5,37.03,4392.422,False,False,False,2002-08-11T18:17:21,0.0,0.0,1.09,0.0,0.0,-14.78277934435548,-13.81559251458768,-14.808828544271442,-14.243592127451041,-14.781202001888262,,,,,,,,,,,-5.745451922891026,-4.6399749108106025,-6.217814133507984,-6.154715873652009,-5.773400094792643,-7.301725423325633,,,,,-6.02300845469385,,,,,-14.286442259864007,,,-5.256523161372106,-8.00069542766165,-6.721978459029868,,,,,,,,,,,,,,,,,,,,,0.9981,1.0,-0.3067,-0.9994,-0.9994,-0.2067,-1.0,-0.278,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CV_OBS_4,CV,[HPH2013] 100         ,CV0002,4108.6,37.03,4392.422,False,False,False,2004-09-02T14:31:38,1.21,1.14,0.0,0.0,0.0,-14.744004273277598,-13.579054594078027,-14.4467239538629,-13.83061950468805,-13.873543886568196,,,-15.736600668665998,-15.245575210722741,-14.894489815230026,,,-14.71556926615548,-14.099414413350038,-14.1349552783069,-5.878112014896319,-4.327809748811747,-5.8735438865681955,-5.849243560139691,-5.431094585017121,,,-7.163675884293248,,-6.452348341640031,,,-6.142486585223311,,-5.692717952966654,-13.921630194565672,-15.392223396258307,-14.463239606956613,-4.960244924967605,-7.074172425375258,-6.259747872264152,,,,,,,,,,,,,,,,,,,,,0.1999,0.6215,-0.584,0.9994,-0.0612,1.0,-0.3167,0.6964,-0.5041,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CV_OBS_5,CV,[HPH2013] 100         ,CV0002,4132.7,37.03,4392.422,False,False,False,2004-10-04T21:01:31,0.95,0.0,0.0,1.03,0.0,-14.784362436564939,-13.620331965966345,-14.763714722551972,-13.988006885340743,-14.017638298366853,,,,-15.556111453222629,,,,,-14.277366077466187,-14.318668294030834,-5.9186526921958675,-4.369063880935808,-6.172630726946175,-5.747632485540101,-5.643400564275029,,,,,,,,,-6.037110012608209,-5.966576244513051,-14.02486241649714,-16.255081457558646,-14.695466389593483,-5.011539149464427,,-6.398352784529437,,,,,,,,,,,,,,,,,,,,,0.9994,1.0,0.2317,0.9994,-0.9994,1.0,-0.0593,0.0793,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CV_OBS_6,CV,[HPH2013] 100         ,CV0002,4117.4,37.03,4392.422,False,False,False,2006-09-24T18:33:33,1.08,0.0,1.03,0.0,0.0,-13.964170174747172,-13.036212172654444,-14.319755162957392,-13.728623128105925,-13.959397659885926,-15.532243948755967,,,,,-14.25352149006997,,,,-14.260348556290623,-5.187153463032929,-3.860750782428393,-5.728623128105926,-5.639785386704648,-5.186953034839892,,,,,-6.7667499904589,-5.4766437933452075,,,,-5.465719994794918,-13.561271000076417,-16.231213953091984,-14.6548616168899,-4.508747594010867,-7.465719994794918,-5.8690875578925255,,,,,,,,,,,,,,,,,,,,,0.9994,1.0,-0.2829,-0.9994,-0.9994,-0.2655,-1.0,-0.3542,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CV_OBS_7,CV,[HPH2013] 100         ,CV0002,3958.6,37.03,4392.422,False,False,False,2007-06-18T07:06:54,0.0,0.0,0.0,0.0,0.0,-14.706858516549069,-13.410273743745764,-14.688458041598805,-14.134244775928549,-14.05163594401163,,,,,,,,,,,-5.84103473961659,-4.214598975007612,-6.097344524782074,-6.045419837256243,-5.830325565941193,,,,,,,,,,,-13.927287003870834,,,-4.88186826181125,,,,,,,,,,,,,,,,,,,,,,,0.9994,1.0,-0.3042,-0.9994,-0.9994,0.1568,-1.0,0.0806,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CV_OBS_8,CV,[HPH2013] 100         ,CV0002,4073.5,37.03,4392.422,False,False,False,2007-07-05T13:16:36,0.95,0.0,0.0,1.11,1.31,-14.736600668665998,-12.556267758598404,-14.717604495257474,-13.996539467890493,-14.009306039320249,,-13.425505731714672,,-15.576262750017671,,,-12.802168306671097,,-14.27531461176264,-14.332547047110046,-5.870954940112042,-3.6959405337824007,-6.1263888030035325,-5.744968836654449,-5.632271453913024,,-4.565271458220242,,-7.023787622882623,,,-3.9419537696047184,,-6.023787622882623,-5.955460239607589,-13.219800820500557,-14.121417315625715,-13.474553494349115,-4.381691404740517,-5.262733072248382,-4.633186073586163,,,,,,,,,,,,,,,,,,,,,0.9994,1.0,0.1705,0.7958,-0.9994,1.0,-0.1081,0.0956,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,CV_OBS_9,CV,[HPH2013] 100         ,CV0002,4128.5,37.03,4392.422,False,False,False,2007-07-31T03:50:26,1.11,0.0,1.21,0.0,0.0,-13.744004273277598,-13.416574499593493,-14.73969005420508,-14.17672144304833,-13.779891911959945,-14.678401569534657,,,,-14.904830648568245,-13.997402019280091,,,,-14.03957679292217,-5.42033070644528,-4.241088107602026,-6.148435917736512,-6.034657164439378,-5.462306805632609,-6.441411416891801,,,,-6.763462738511306,-5.681727919788373,,,,-5.742081549685942,-13.788196236369053,-15.174963558778646,-14.415917661481629,-4.87757571039058,-6.9711848301531125,-6.108797172739704,,,,,,,,,,,,,,,,,,,,,0.9994,1.0,-0.2467,-0.9994,-0.9994,-0.4254,-1.0,-0.5215,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
