index,obs_id,class,src_n,src_id,livetime,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,gti_obs,flux_significance_b,flux_significance_m,flux_significance_s,flux_significance_h,flux_significance_u,flux_aper_hilim_s,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_lolim_u,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_b,flux_aper_s,flux_aper_u,flux_aper_m,flux_aper_h,flux_aper_b,photflux_aper_hilim_s,photflux_aper_hilim_u,photflux_aper_hilim_m,photflux_aper_hilim_h,photflux_aper_hilim_b,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_lolim_m,photflux_aper_lolim_h,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_m,photflux_aper_h,photflux_aper_b,flux_aper_hilim,flux_aper_lolim,flux_aper,photflux_aper_hilim,photflux_aper_lolim,photflux_aper,flux_powlaw_hilim,flux_powlaw_lolim,flux_powlaw,flux_brems_lolim,flux_brems_hilim,flux_brems,flux_bb_hilim,flux_bb_lolim,flux_bb,var_index,var_prob,ks_prob,kp_prob,var_sigma,var_mean,var_min,var_max,var_inter_index,var_inter_prob,var_inter_sigma,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_hs,hard_ms,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,powlaw_gamma,powlaw_gamma_hilim,powlaw_gamma_lolim,powlaw_nh,powlaw_nh_hilim,powlaw_nh_lolim,powlaw_ampl,powlaw_ampl_hilim,powlaw_ampl_lolim,powlaw_stat,bb_kt,bb_kt_hilim,bb_kt_lolim,bb_nh_hilim,bb_nh_lolim,bb_nh,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_stat,brems_kt,brems_kt_hilim,brems_kt_lolim,brems_nh,brems_nh_hilim,brems_nh_lolim,brems_stat
0,NS_OBS_0,NS,1A 1742-289         ,NS0001,35796.9,167.36,21.89294,False,False,False,2000-10-26T22:18:33,0.0,0.0,0.0,0.0,,-15.205790883653503,,-15.093395628275019,-14.874193541860473,-14.838631997765026,,,,,,,,,,,-6.3794475552705645,,-6.575445023393287,-6.155150199193361,-6.070274621621995,,,,,,,,,,,-14.977252108942997,,,-6.253093479525902,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.0806,0.9994,-0.9994,1.0,-0.1443,0.1755,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NS_OBS_1,NS,1A 1742-289         ,NS0001,13506.7,167.36,21.89294,False,False,False,2001-07-14T02:05:23,0.0,0.0,,0.0,,,,-14.940436582098732,-14.518557371497694,-14.519705539996993,,,,,,,,,,,,,-6.3872161432802645,-6.033999142371216,-5.913996294381618,,,,,,,,,,,-14.619849081155621,,,-6.069951378235957,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.0244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NS_OBS_2,NS,1A 1742-289         ,NS0001,37677.7,167.36,21.89294,False,False,False,2002-05-22T23:20:43,0.0,0.0,0.0,1.03,0.0,-15.78861244706314,-14.753255290276158,-15.678194516142462,-14.980468315468745,-14.975104039892514,,,,,,,,,,,-6.962175249411658,-5.562725202589877,-7.193480865919295,-6.5747919488613435,-6.466609291982449,,,,,,,,,-6.86359655186601,,-15.071348153346305,,,-6.152692686997728,,-7.562566556202029,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.4116,0.9994,-0.9994,1.0,0.1805,0.1493,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NS_OBS_3,NS,1A 1742-289         ,NS0001,12369.5,167.36,21.89294,False,False,False,2002-02-19T14:43:23,0.0,0.0,0.0,0.0,,-15.273354279759088,,-15.244582537189064,-14.64340056427503,-14.561457651213889,,,,,,,,,,,-6.419189027339054,,-6.711303739409744,-6.594141600682363,-6.340178841944295,,,,,,,,,,,-14.81528728075898,,,-6.49254893909803,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,-0.2492,-0.9994,-0.9994,0.2017,-1.0,0.0581,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NS_OBS_4,NS,1A 1742-289         ,NS0001,11855.5,167.36,21.89294,False,False,False,2002-03-23T12:42:56,0.0,0.0,0.0,0.0,,-15.2539109569438,,-15.239050048589103,-14.170503250279818,-14.161213855053406,,,,,,,,,,,-6.399789693590672,,-6.7115271994002175,-6.338944915146621,-6.193074223116268,,,,,,,,,,,-14.432209289466464,,,-6.373685300906055,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.0406,0.9994,-0.9994,1.0,-0.2929,0.0344,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NS_OBS_5,NS,1A 1742-289         ,NS0001,11589.4,167.36,21.89294,False,False,False,2002-04-19T10:59:51,0.0,0.0,0.0,0.0,0.0,-15.253443638589632,-14.251114559990484,-15.212397853817663,-14.596879478824182,-14.530177984021837,,,,,,,,,,,-6.387640052032226,-5.039386542352091,-6.681936665037238,-6.543785844642011,-6.309006967900131,,,,,,,,,,,-14.610475991798722,,,-5.6766488795967875,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,-0.2242,-0.9994,-0.9994,0.188,-1.0,0.0406,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NS_OBS_6,NS,1A 1742-289         ,NS0001,12452.1,167.36,21.89294,False,False,False,2002-05-07T09:39:15,0.0,0.0,,0.0,,,,-15.240936811839513,-14.629301907424423,-14.56177419239547,,,,,,,,,,,,,-6.710411047457403,-6.576262750017671,-6.340559218129682,,,,,,,,,,,-14.723906008240784,,,-6.514941401810894,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,-0.2405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NS_OBS_7,NS,1A 1742-289         ,NS0001,166689.2,167.36,21.89294,False,False,False,2002-05-25T15:34:27,0.0,0.0,0.0,0.0,,-16.4036228560024,,-16.361111575294924,-15.013452186585276,-15.037725395376686,,,,,,,,,-15.3257820544233,-15.338755391040666,-7.620694482249418,,-7.842543231865775,-7.189431470783587,-7.018317272628715,,,,,,,,,,,-15.307743699800076,,-15.633250277415105,-7.3035562368610005,,,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.3554,0.9994,-0.9994,1.0,0.0943,0.1305,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NS_OBS_8,NS,1A 1742-289         ,NS0001,158025.6,167.36,21.89294,False,False,False,2002-05-28T05:53:07,3.03,0.0,1.25,2.8,0.0,-15.882397308309915,-15.359916268626879,-16.15658033479508,-14.501551596826001,-14.512578788640525,-16.824488186636554,,,-14.844056982028164,-14.833569886156717,-16.12546020292899,,,-14.639785386704647,-14.639785386704647,-7.04895405186418,-6.108685600617857,-7.55579901113584,-6.451979305094469,-6.25328797748334,-8.003181978120484,,,-6.7801536139756395,-6.554395796726403,-7.304255724802677,,,-6.581201709409647,-6.374173286714289,-14.862618666942005,-15.234483437656833,-15.030685683430812,-6.44199983493852,-7.041123766431669,-6.833019595717516,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.8051,0.6833,-0.9994,0.8738,0.4379,-0.3329,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NS_OBS_9,NS,1A 1742-289         ,NS0001,24788.0,167.36,21.89294,False,False,False,2003-06-19T18:46:37,1.27,0.0,,1.3,0.0,,-14.126214539181799,-15.20453710560962,-14.488919154460882,-14.511449283499555,,,,-15.645315446045272,-15.833569886156717,,,,-14.760700520873108,-14.79236563261104,,-4.935542010773082,-6.677160727313679,-5.9083330424043154,-5.776504059037605,,,,-6.792904459580782,-6.740167300936516,,,,-6.156144577376839,-6.024200690320592,-14.44290202164774,-16.030351159519274,-15.07727454200674,-5.434202340515026,-7.066765871285192,-6.386211015216508,,,,,,,,,,,,,,,,,,5.2,0.7596,0.0022575110000000002,0.9994,1.0,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
