obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_lolim_b,photflux_aper_u,photflux_aper_h,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_b,photflux_aper_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_s,photflux_aper_hilim_u,photflux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper,flux_aper_m,flux_aper_lolim_u,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim,flux_aper_lolim_b,flux_aper_hilim,photflux_aper_lolim,flux_aper_lolim_m,flux_aper_b,photflux_aper,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_lolim_s,flux_aper_u,photflux_aper_hilim,var_inter_sigma,var_inter_index,var_prob,var_max,ks_prob,kp_prob,var_mean,var_sigma,var_index,var_min,var_inter_prob,hard_hm_lolim,hard_hm_hilim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hs,hard_ms
TUC_OBS_2333,TUC,CXOGLB J002432.5-720557,TC0267,2.41,-6.822752163744378,-7.180587688790674,-6.768737514280474,-7.093126465277929,-7.1712112518150475,-7.113960724433558,-8.60238686650679,-6.768530409569318,-7.464992198419705,-7.968612812108089,-8.64045291788106,-6.569602408613032,-7.409989016856238,-6.782779344355482,-7.9586073148417755,-16.102587223997052,-15.226652458019178,-16.005067263269957,-15.8290052979637,-16.161818038277513,-17.16689095295492,-16.731102464307547,-16.203464319170795,-15.58203035778526,-16.763210900590707,-16.161150909262744,-15.472163954835294,-7.812592097577447,-17.25924335544983,-15.479909671887155,-7.299123291623096,-15.877129077135566,-15.280917426098512,-17.33985363079587,-16.130526285880514,-6.83621864707058,3.320920000000001e-07,1.0,0.7660516666666665,1.0345467779999993,0.837886,0.8708179999999999,0.01209418721666667,0.10788363519999987,2.9956666666666667,0.0008367111199999998,0.25820000000000004,0.1655,1.0,1.0,0.1031,0.3279,-0.9363,0.9994,0.8307,-0.1899
TUC_OBS_84,TUC,CXOGLB J002403.9-720442,TC0010,11.17,-7.275478372881437,-5.809948582240794,-5.873219422987992,-7.28082270070072,-6.555486793665957,-5.856048883576037,-7.039767126871487,-5.7146677723561154,-6.72792621249999,-6.103584023526879,-6.030025269878285,-5.641113795594131,-5.934420285271552,-5.7293211638552926,-8.51547685865859,-14.661742769753745,-14.584525831890767,-14.629671992220487,-14.911226232689552,-15.39469495385889,-14.985479461242075,-16.702282415805385,-14.707965564005265,-15.627146155209878,-15.045034268941581,-14.769551078621724,-14.785161448258764,-6.17246918910466,-15.695724949522871,-14.667359589612536,-6.03450667147206,-15.226286674722976,-15.320572103387883,-14.803547458296613,-14.790216985151485,-5.930011664268164,3.5944000000000005e-07,3.2,0.4675,0.0006201499999999999,0.5862499999999999,0.526,0.000397275,3.8905e-05,0.5,0.000372155,0.5242000000000001,-1.0,-0.5653,-0.9138,-1.0,-0.5903,-0.8413,-0.9994,-0.9994,-0.722
TUC_OBS_2375,TUC,CXOGLB J002437.1-720517,TC0273,3.09,-7.3503731131594705,-6.7486051499598965,-6.746323637785566,-7.274664944171899,-6.744004273277597,-6.767003889607847,-7.264081883468702,-6.489053051327027,-6.924088238517222,-7.942501828136155,-7.395449967428738,-6.335170058856909,-6.9694002780340485,-6.791827473332878,-8.473761642634845,-15.775539888880262,-15.289374984939206,-15.441051554021962,-15.56177419239547,-15.57413985492216,-17.295677444598724,-16.87742775845581,-15.643400564275028,-15.650383683420385,-15.941156585331239,-15.865185629679539,-15.370080964496458,-7.262696014009972,-15.913996294381619,-15.482804102050025,-6.958054927854736,-15.393941250589686,-15.45817213393422,-16.0694075115574,-16.07084948434885,-6.690527399348532,1.0365333333333332e-07,1.0,0.49200000000000005,0.00012251,0.342,0.2995,8.320500000000001e-05,3.2485000000000003e-06,0.0,8.2385e-05,0.14233333333333334,-1.0,-0.4503,-0.4054,-1.0,0.4054,-0.3279,-0.9994,-0.9994,0.0387
TUC_OBS_1770,TUC,CXOGLB J002403.0-720426,TC0193,7.26,-6.4565528199183,-6.092642391868828,-6.731278069555548,-6.624885315307775,-6.581036169296378,-6.298863933907473,-6.9641701747471725,-5.9763360818022075,-6.731656086048934,-7.883499755584909,-6.593971055036385,-5.889410289700751,-6.421819390372223,-6.484126156288321,-6.903785414653594,-16.037630664329978,-14.556737012541303,-15.09816040794877,-15.03367989102966,-15.326150022657053,-17.253418370823514,-15.180192935409243,-15.22112552799726,-14.879097182385474,-15.217111913235431,-14.771599641296994,-14.898734215008664,-6.586365002801443,-15.558776325757387,-14.651111276928564,-6.430087945603452,-15.175483671992788,-14.703115524461452,-15.393296258666325,-16.134135376280188,-6.26242572767325,5.551749999999999e-07,3.75,0.4175,0.0003948,0.3075,0.2705,0.00027985,1.4564500000000001e-05,0.0,0.00027519999999999997,0.5895,-0.14300000000000002,0.4428,0.0481,-0.4703,-0.1181,-0.5703,0.1674,-0.2136,-0.3548
TUC_OBS_1788,TUC,CXOGLB J002403.3-720524,TC0195,3.74,-6.823908740944319,-6.7447274948966935,-6.531948208545762,-7.0835460514500745,-7.542269451754001,-6.556580538217182,-8.648658803717794,-6.4816176844546565,-7.4913892605137145,-7.397289055042442,-7.018226681372253,-6.325690111058522,-6.7288556820509235,-6.272296116314646,-7.948847477552619,-15.916139199133427,-14.718966632752274,-15.366531544420411,-15.14398142037868,-16.18569716531298,-17.26686827606379,-15.66334017654558,-15.538651566352014,-14.903785414653598,-15.56336036830734,-15.138107309608555,-14.926162555683641,-7.184156709336732,-17.247261247220568,-14.874844170419472,-6.74816718137136,-15.985963669347969,-14.642065152999544,-15.828273546346766,-16.13152000423682,-6.533758333158798,1.8776666666666665e-07,0.0,0.519,0.00017025,0.265,0.6765,0.000105885,7.091999999999998e-06,1.0,0.000103335,0.05366666666666667,0.5116,1.0,0.0281,-0.6989,-0.7302,-1.0,0.9994,-0.35100000000000003,-0.9994
TUC_OBS_545,TUC,CXOGLB J002408.2-720435,TC0052,12.82,-6.018679826740893,-5.631713115097869,-6.733822042841775,-6.113114641013992,-6.1928033392890525,-6.0471107350890705,-6.4296906145641195,-5.562566556202028,-6.2921744316677675,-7.849988182488885,-6.253988892248074,-5.506541949004811,-6.138346129786089,-6.476513667656772,-6.242224508988074,-16.112776668637473,-14.13679614097137,-14.851397345193904,-14.592405169489256,-14.905528871358356,-17.234927875586838,-14.520280764560427,-14.940815382368626,-14.3971806575673,-14.686799490424724,-14.261933285222533,-14.513764253416104,-6.115034801799268,-15.032686081712914,-14.194839098400564,-6.022623969345073,-14.812479279163535,-14.301464507437997,-15.061630402548193,-16.13686415865394,-5.924788925541298,8.442600000000001e-07,6.0,0.4,0.0007063,0.27175,0.305,0.0004765,2.8735e-05,0.0,0.00046595,0.9294,0.0319,0.3641,0.1943,-0.1355,-0.0069,-0.3304,0.2036,0.0325,-0.1724
TUC_OBS_2114,TUC,CXOGLB J002410.7-720418,TC0232,2.44,-7.015828933181841,-7.243592127451043,-6.7606450226338355,-7.261102597189562,-6.99097425791309,-7.237142806455624,-7.856360764725458,-6.807990407346329,-7.236422275533354,-7.979910217081211,-8.631614883734649,-6.59482445378201,-7.395337465754713,-6.668357149361025,-8.49874921094378,-15.748848656824643,-15.39913596369016,-16.0570499299229,-16.051528349742973,-15.83120797968582,-17.202914068321984,-16.769656378158707,-16.19505256245888,-15.6362259719909,-16.95585237912128,-16.700057099977233,-15.607341730562725,-7.449832819489822,-16.45099673797421,-15.679023322657175,-6.9713880849337695,-15.58569531187167,-15.508078287413847,-17.23844658552588,-16.059682778425778,-6.749214173312966,1.043e-07,0.0,0.7287243333333332,1.0343185528333323,0.4380083333333333,0.5195241666666665,0.012099990133333335,0.10781981319999985,2.539333333333333,0.0011061921633333327,0.264,-0.3522999999999999,0.7070009999999997,0.986894,-0.11387099999999993,0.761265,-0.3097680000000001,0.2898310000000002,0.5249510000000002,0.112538
TUC_OBS_775,TUC,CXOGLB J002412.5-720521,TC0078,2.54,-7.045419837256242,-7.04503426894158,-6.775534125926942,-7.272146804948667,-7.208730519089731,-6.808548985535103,-8.632572744940628,-6.6726410656136705,-7.492038312171923,-7.951746879012693,-7.732828271596986,-6.4752145506787775,-7.0515381299387165,-6.774949303861951,-8.504946529438563,-15.582161326166238,-15.485850865524563,-15.672436739812722,-16.15073418283844,-16.179290520337876,-17.127996696864983,-16.75930074358241,-15.923359556329654,-15.638296785407011,-17.188257474558608,-16.897352767743463,-15.629810855365367,-7.6629402736794745,-17.29057351916063,-15.786747947803605,-7.219956458879884,-15.997833938243492,-15.525346746637938,-16.58619748323065,-15.864046955898377,-6.790479623830196,1.3060000000000002e-07,0.0,0.7402236666666666,1.0349070931666657,0.7883160000000001,0.8767050000000001,0.012060180716666669,0.10786250519999988,2.6061666666666663,0.0007916729766666665,0.0,-0.1643,1.0,-0.0269,-1.0,-0.2142,-1.0,0.9994,-0.7083,-0.9994
TUC_OBS_1931,TUC,CXOGLB J002406.1-720542,TC0212,4.16,-6.857923538926714,-6.735418270761922,-6.7453776467853785,-7.128368695462448,-7.001522696963494,-6.719194071606332,-8.022733787572706,-6.480040819247932,-7.263046046216854,-7.987802525495597,-7.3041682271733075,-6.327163545828602,-6.912928794093465,-6.803271277376712,-8.169732199066358,-15.784429358934215,-14.724688645458189,-15.526221165353274,-15.163802519221074,-15.992252221999259,-17.24531789122604,-15.798329820353418,-15.724919101543144,-14.933301449577005,-15.631615479562695,-15.162222230446265,-14.949920060671673,-7.301386263228816,-16.857297754262387,-14.890421453095612,-6.9338381310042365,-15.732359017654085,-14.673459331483436,-16.13715334001706,-16.06906288049081,-6.674751234712463,1.42025e-07,0.75,0.479,0.00017549999999999998,0.136,0.152,0.000121,5.156e-06,0.0,0.0001197,0.09625000000000004,-0.2267,0.6877,0.2642,-0.594,0.0144,-0.7452,0.2836,-0.1661,-0.3985
TUC_OBS_614,TUC,CXOGLB J002411.0-720620,TC0058,13.76,-5.528561592610702,-5.5670307091255955,-5.094323801752185,-5.7569619513137065,-5.6790233226571765,-5.763210900590707,-6.544241796895864,-5.266000713461613,-5.924453038607469,-5.697651006721705,-7.21204576097507,-5.097616315567529,-6.033907598352182,-4.892450870255313,-6.3269790928711025,-14.119504101338228,-13.761702932124605,-14.524038410807574,-14.207485744678635,-14.607830850510267,-14.910305215244453,-14.613322716039162,-14.81219736128158,-14.043399411786824,-14.648214318765216,-14.231139999157042,-14.000499726051777,-6.159066271654169,-15.227604938917999,-13.929962133392243,-5.776763726897002,-14.362310180881598,-13.815024809301741,-16.04248848854552,-14.334699286097193,-5.2584229852195765,3.65764e-06,3.4,0.838,0.002943,0.9890000000000001,0.9840000000000001,0.001233,0.0006672000000000001,2.0,0.0007570000000000001,0.6222,-0.2105,0.6215,1.0,0.0344,0.8513,-0.278,0.2399,0.9994,0.1611
TUC_OBS_751,TUC,CXOGLB J002411.0-720444,TC0075,9.39,-7.3608124400642465,-7.429106963781607,-6.769282204030273,-7.279055868632087,-7.542269451754001,-6.7157949322982065,-8.673671666795414,-6.842845560093719,-7.496824217925821,-7.840716123503276,-7.335452037753452,-6.611543547299733,-6.923359556329657,-6.491604966866947,-8.507170979875529,-15.265520210574422,-15.849243560139689,-15.519274621011512,-16.195179321278836,-16.189490942255436,-16.476007526657,-16.760362390769682,-15.718058066559177,-15.641778964015682,-16.60736165993725,-17.003875381417643,-15.48298014359354,-7.777699818826206,-17.28950294426937,-16.011733965706856,-7.279179418229656,-16.01596270047243,-15.629527321544108,-16.130240405217588,-15.544378365481839,-6.779024190428719,1.5914199999999996e-06,6.0,0.7547584999999998,1.0350276831666658,0.7955993333333334,0.8413715000000007,0.011809295300000005,0.10751361499999987,2.672666666666666,0.0008178409766666665,0.8554,-0.1905,1.0,-0.4616,-1.0,-0.6077,-1.0,0.9994,-0.9994,-0.9994
TUC_OBS_1903,TUC,CXOGLB J002405.1-720435,TC0208,6.33,-6.844360366240224,-5.815308569182402,-6.246953438373471,-7.105905572677301,-6.295249095709329,-5.995248844408999,-6.543937775545047,-5.7281583934635005,-6.401975927665809,-6.6679657229724825,-6.1915189434340485,-5.659754238432067,-6.0823894742501325,-6.0372992682956585,-7.990549104201306,-15.415895029600547,-14.518414063632376,-14.750068243365805,-14.973027760256937,-15.021890182664677,-16.08212704480115,-16.700599182566876,-14.83743559347698,-15.637540593035045,-15.08082119437755,-14.6763354643919,-14.854112443905985,-6.270151896389563,-15.169433943792733,-14.590235895733654,-6.126312118307117,-14.915628294934304,-15.393511149557352,-14.946537395074545,-15.632085261206248,-6.020679302617976,4.2721999999999993e-07,4.4,0.4715,0.0005367999999999999,0.49125,0.528,0.00034017749999999995,4.287875e-05,0.5,0.0002912425,0.7352000000000001,-0.8488,-0.4029,-0.6765,-0.9338,-0.2017,-0.5066,-0.6471,-0.8232,-0.361
