obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_lolim_b,photflux_aper_u,photflux_aper_h,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_b,photflux_aper_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_s,photflux_aper_hilim_u,photflux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper,flux_aper_m,flux_aper_lolim_u,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim,flux_aper_lolim_b,flux_aper_hilim,photflux_aper_lolim,flux_aper_lolim_m,flux_aper_b,photflux_aper,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_lolim_s,flux_aper_u,photflux_aper_hilim,var_inter_sigma,var_inter_index,var_prob,var_max,ks_prob,kp_prob,var_mean,var_sigma,var_index,var_min,var_inter_prob,hard_hm_lolim,hard_hm_hilim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hs,hard_ms
BH_OBS_108,BH,CXOU J100517.1-07421,BH0022,11.12,-7.387428045934824,-6.531800413927388,-5.9722427953094455,-7.340934516317095,-7.531209737900388,-6.2582183038568315,-8.140486284264671,-6.351542405717478,-7.390656689417958,-6.7318902701915215,-6.553307533628472,-6.224608028303387,-6.3811155150045495,-5.710857164067668,-7.902751142443916,-15.452225294612177,-14.974694134735232,-14.895512888687605,-15.467627866432126,-15.997569570121643,-16.104504156849462,-16.380505825127123,-15.018634490921455,-15.678429010755721,-15.667480748626268,-15.3658251282374,-15.198175235371256,-6.818728228440539,-16.530660337682942,-15.127552352210989,-6.414110827602255,-16.049781233358136,-15.404614019190856,-15.190777078310578,-15.504059100041422,-6.198677256058493,5.171680000000001e-07,3.0,0.5539999999999999,0.00027319999999999997,0.767,0.951,0.0001437,1.764e-05,1.0,0.0001339,0.6361999999999999,-0.2155,1.0,-0.8151,-1.0,-0.8638,-1.0,0.9994,-0.9994,-0.9994
BH_OBS_15,BH,GX 339-4            ,BH0006,39.86,-4.422623108082987,-3.9909742579130896,-5.690795820329592,-4.4461169733561245,-4.5502131530142265,-4.7854210464295015,-4.5982549177629375,-3.975104039892515,-4.573651426212493,-6.004408675747647,-4.854492828590337,-3.9601894458516496,-4.8187282284405395,-5.510604078272871,-4.4723700991286615,-14.781989957015634,-12.464452720823331,-13.597738617545321,-12.87395175656201,-13.179076412118686,-15.267525822718804,-12.637894680706227,-13.629857152948894,-12.610833915635467,-12.895355792638115,-12.493089274448481,-12.854628294918882,-4.453482259818069,-13.203772685970561,-12.478077755116502,-4.430373313266866,-13.156891858000392,-12.586700235918748,-13.664742743565466,-14.953895212753961,-4.408855222930772,3.6087360000000014e-05,7.2,0.1998,0.014698099999999999,0.716,0.7124,0.0145625,0.00011878576,0.0,0.014447860000000003,0.9316,0.1106,0.1855,0.4441,0.3654,0.3154,0.2305,0.1487,0.406,0.2723
BH_OBS_59,BH,CXOU J100510.9-07453,BH0017,4.58,-7.341988603342887,-8.401647290130715,-5.463936026527022,-7.364161289840773,-6.92299567320665,-7.146058554119509,-7.857297754262384,-7.059184791349199,-7.176134690675489,-6.212309190597592,-8.605627889591638,-6.768020973168496,-7.304606495491146,-5.335922409814924,-7.943422515849332,-14.548827842487462,-15.869023308394382,-15.936291440608585,-16.525201181199368,-15.826231176863349,-16.169673188913738,-16.274706100077022,-15.983571377024889,-15.650896975351241,-17.20648899420714,-16.03904940187916,-15.126691026037236,-8.447185827078535,-16.507518989871127,-15.476542234570841,-7.511674949642281,-15.573001041243465,-15.408267761048164,-17.18561935538318,-14.849552664804962,-5.998184972729567,1.4263249999999996e-06,5.5,0.575437333333333,0.0005296122833333332,0.4835681666666665,0.46782883333333336,0.0003351847499999997,5.429415533333337e-05,1.0083333333333335,0.00030888457499999986,0.7609999999999999,-1.0,-0.2105,0.1855,-1.0,1.0,-0.0006,-0.9994,-0.9994,0.9994
BH_OBS_78,BH,CXOU J100515.4-07425,BH0019,17.39,-7.48372911727066,-6.787013815263332,-6.384930869331266,-7.345625426074098,-7.003838706631992,-6.73969005420508,-7.488517711373999,-6.606775883638703,-7.176199846250122,-7.305252951441421,-7.151872489432125,-6.47977856411804,-6.898596649444669,-6.270430273698031,-7.971140248872067,-15.908684840302778,-15.395881993807965,-15.475344287642224,-15.891908764418778,-15.84345084866822,-16.486468295751603,-16.349848976592984,-15.627087997029893,-15.67738081562271,-16.191883596045507,-15.914352711703145,-15.619354680809073,-7.273664076665701,-16.167938385409276,-15.581864501574767,-7.0552706396967055,-15.667359589612536,-15.89928491342692,-15.880414225038214,-15.617639684677675,-6.62640764480106,6.238000000000001e-07,7.0,0.6655,0.00014040000000000002,0.7815,0.6875,7.068e-05,1.18335e-05,1.5,6.0375e-05,0.951,-1.0,-0.3429,-0.589,-1.0,-0.0369,-0.604,-0.9994,-0.9994,-0.341
BH_OBS_141,BH,J1745-2900          ,BH0027,337.0,-5.474307475494988,-5.570732333566832,-5.460512204753498,-5.5760990814715825,-7.001348404001628,-6.99097425791309,-8.318354410629574,-5.437707135543525,-7.243811917201095,-6.030728543200221,-8.150794345893063,-5.335922409814924,-7.091203787547491,-5.346594509335499,-5.709075440617247,-14.597738617545321,-13.612076533026563,-15.801617869991706,-14.110474203328808,-15.874982691207997,-15.214119389937144,-13.856048883576035,-15.934279682050565,-13.70730099695607,-14.259163792942688,-13.866461091629784,-13.979863381950144,-6.032358435916989,-16.782763556563573,-13.71783122169536,-5.899353799854519,-15.638272163982409,-13.601539150391776,-16.70345504097288,-14.757066443104138,-5.596097766073352,0.000481169,7.0,0.24884966666666666,0.0027371894999999972,0.44620216666666673,0.4367766666666668,0.002157912799999999,0.000105375980415,0.05916666666666668,0.00200565485,0.8301999999999999,0.9288,1.0,1.0,0.925,0.3304,-1.0,0.9994,0.9994,-0.9994
BH_OBS_44,BH,CXOU J100506.7-07443,BH0014,11.41,-6.079407137915193,-5.550675906901274,-5.4466024898761205,-6.198596289982644,-6.032405227328111,-5.8297382846050425,-6.238673677578544,-5.484391050765519,-6.120158944013437,-5.747632485540102,-6.0268721464003026,-5.426780172885578,-5.913996294381617,-5.277777536030269,-6.363411816270157,-15.561457651213887,-14.129362036789196,-14.711750774428015,-14.575575756230489,-14.796695083861515,-15.680833225289486,-14.61636413163812,-14.7972393126068,-14.444180316938805,-14.683023760678454,-14.258533238230244,-14.484351306292368,-5.8825762307604155,-14.915066425063285,-14.187220292991036,-5.722881506203084,-14.70377371273884,-14.321208565633755,-14.911863911299449,-15.372792472014552,-5.610514959291854,1.7710400000000001e-06,7.6,0.47525,0.00087085,0.4595,0.41175,0.0004981499999999999,7.69775e-05,1.5,0.00042745,0.9936,-0.2655,0.1081,-0.1418,-0.4753,-0.0856,-0.3816,-0.075,-0.3111,-0.2386
BH_OBS_138,BH,J1745-2900          ,BH0027,337.0,-5.221559316428767,-5.206279443186477,-5.682971018347234,-5.28718199979215,-6.647046088289912,-6.7318902701915215,-7.3971806575673,-5.130768280269023,-6.869023308394383,-6.08401100736432,-8.19466191580816,-5.066462098028295,-7.032826577044459,-5.514846650096347,-5.370182803981483,-14.722620025332745,-13.224171185535386,-15.6903698325741,-13.68424370746458,-15.388276691992656,-15.791696542153685,-13.370284667352868,-15.9046856925169,-13.286257521590915,-13.768830237403689,-13.37273658343178,-13.610091109987431,-5.676827544978906,-15.916497380169732,-13.289797985344615,-5.592102176328609,-15.166406706001544,-13.220042948753091,-16.72121199276713,-15.00229521982496,-5.442449491108649,0.000481169,7.0,0.091,0.0036865,0.4145,0.53,0.0036765,9.975e-06,0.0,0.0036665,0.8301999999999999,0.9126,0.9788,0.995,0.9288,0.5678,-0.3604,0.9507,0.9669,0.0912
BH_OBS_147,BH,J1745-2900          ,BH0027,337.0,-5.338471259868017,-6.0074464821678655,-5.151501427835935,-5.585695311871668,-6.182566855888616,-5.96738123914928,-6.7053644956431535,-5.437588167050271,-6.369574320468235,-5.4077981113344755,-6.161308762362844,-5.199351644636011,-6.034388970369317,-4.297914278564175,-6.217670731003162,-13.549135307620233,-13.453333974929814,-14.799696817018413,-14.09388054245444,-14.977683662356462,-14.05466021996557,-14.3902988976206,-14.811755159867332,-13.691435586438761,-14.792796640691972,-14.399462705635534,-13.687484144336612,-6.497900773184713,-15.287437806751653,-13.700492701299513,-5.903298498389997,-14.773657912836368,-13.444180316938805,-14.915154546791694,-13.73639975984433,-4.899623940066888,0.000481169,7.0,0.5057086666666668,0.003467593200000001,0.47608433333333317,0.46003200000000005,0.00285177325,0.00021322223399999993,1.2113333333333332,0.002147558125000001,0.8301999999999999,0.6115,1.0,1.0,0.4291,0.12300000000000001,-1.0,0.9994,0.9994,-0.9994
BH_OBS_143,BH,J1745-2900          ,BH0027,337.0,-5.3879582553547305,-5.4278256863869405,-5.6721196106232865,-5.469672210221914,-6.4584503773616575,-7.024338466818942,-6.867634280972976,-5.325506282703651,-6.577634263067434,-6.072448993690008,-8.183156233729033,-5.247260306064672,-7.1219896913873155,-5.3951262294473645,-5.577410160148518,-14.625068446021812,-13.59482445378201,-15.865504144165325,-13.97685046594608,-15.172515324794478,-15.208469572955886,-13.782516055786092,-15.934590416994029,-13.661543506395395,-14.102647865655687,-13.821598658466243,-13.863776619956827,-5.797239312606799,-15.435433948706963,-13.690582774221859,-5.692664445360856,-15.051114136311613,-13.57170318601712,-16.786142685586476,-14.733447212130242,-5.459903692537383,0.000481169,7.0,0.526,0.0029100000000000003,0.953,0.998,0.002309,0.0004113,1.0,0.0014759999999999999,0.8301999999999999,0.38128999999999974,0.5539160000000003,1.0,0.945,0.19051699999999996,-0.485306,0.34694400000000003,0.9994,-0.17168200000000006
BH_OBS_119,BH,J1047+1234          ,BH0024,56.53,-4.981299501333757,-4.223008415143595,-4.7539940959239715,-5.0258108088818325,-4.896196279044043,-4.654038458186858,-4.960585880823863,-4.203981030652851,-4.927382523454764,-4.810790510417693,-4.706858516549068,-4.185819018959813,-4.679645967182328,-4.703993330686329,-5.075410614330582,-13.754734160542538,-12.945770090136604,-13.455435902503956,-13.32932748593076,-13.5431786519784,-13.864867348623227,-13.366834646316097,-13.480959961351655,-13.317133204337676,-13.360772570929734,-12.984221243610962,-13.300925777494006,-4.640938972613748,-13.576426480267266,-12.963770455913705,-4.611568405422199,-13.512296136836273,-13.272540079142091,-13.508218224415836,-13.80465394165158,-4.584092254443184,9.0646e-06,6.4,0.3932000000000001,0.0102054,0.775,0.7659999999999999,0.009110600000000002,0.000717498,0.6,0.008254599999999999,0.8138,-0.1768,-0.0493,-0.3279,-0.4316,-0.2355,-0.3217,-0.1124,-0.3798,-0.2786
