obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_lolim_b,photflux_aper_u,photflux_aper_h,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_b,photflux_aper_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_s,photflux_aper_hilim_u,photflux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper,flux_aper_m,flux_aper_lolim_u,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim,flux_aper_lolim_b,flux_aper_hilim,photflux_aper_lolim,flux_aper_lolim_m,flux_aper_b,photflux_aper,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_lolim_s,flux_aper_u,photflux_aper_hilim,var_inter_sigma,var_inter_index,var_prob,var_max,ks_prob,kp_prob,var_mean,var_sigma,var_index,var_min,var_inter_prob,hard_hm_lolim,hard_hm_hilim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hs,hard_ms
CV_OBS_380,CV,CXOGLB J002402.1-72054,CV0069,46.73,-4.8989406450918835,-4.384049948343598,-5.6861327796308485,-4.939302159646387,-4.998266287190999,-5.008729610804901,-5.080085519340568,-4.357337668557965,-5.03725194664136,-6.916497380169733,-5.110418197850376,-4.3322669474667315,-5.056604423491046,-5.398048595866479,-4.983384452442823,-14.290051983489239,-12.89928491342692,-13.762707662432542,-13.314899879139494,-13.60712725459792,-15.808548985535106,-13.139482322538251,-13.810509686300634,-13.095176300199055,-13.355294809961471,-12.95116991347165,-13.277945523158422,-4.867214095375451,-13.64994590642097,-12.924453038607465,-4.821391352496246,-13.568153954301277,-13.05492551152127,-13.864549300654485,-14.578067186721492,-4.77994423974866,7.288200000000001e-06,7.6,0.1885,0.00577475,0.474,0.50275,0.00568925,8.643500000000001e-05,0.0,0.005601749999999999,0.9992,0.0468,0.17800000000000002,0.2092,0.0618,0.0968,-0.0506,0.1124,0.1349,0.0225
CV_OBS_774,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.099578246542261,-3.671824338561677,-4.050739003236536,-4.146545158631933,-4.236572006437063,-4.237771715713524,-4.339513984215031,-3.637329070274333,-4.2850000325879565,-4.566751735175505,-4.395557933739277,-3.6051982228372887,-4.309538106753822,-3.8810742471742232,-4.199282921717615,-13.076652343502175,-12.124707174628993,-13.073657553374344,-12.551061912154578,-12.87876854485038,-13.789605511714335,-12.349498205121634,-13.145390361904203,-12.296794629304516,-12.596471125068405,-12.191316490871033,-12.487043588022402,-4.1401654677253665,-12.933301449577005,-12.156704917263491,-4.093912889325506,-12.830325565941193,-12.249800272170818,-13.231435890486429,-13.292933879904611,-3.939264396550681,2.16814e-05,5.8,0.14250000000000002,0.02845,0.45399999999999996,0.33875,0.027975999999999997,0.00041145,0.0,0.02756875,0.9572,0.0781,0.2367,0.2842,0.0806,0.1305,-0.0818,0.1587,0.1811,0.0225
CV_OBS_476,CV,CXOGLB J002404.9-72045,CV0077,19.64,-5.126446906486382,-5.186419011431808,-5.66111061646866,-5.278189384787454,-5.8938091027365855,-5.654430243943608,-6.950781977329817,-4.999565922520682,-6.158265221025259,-6.2241679778908585,-5.976576336428842,-4.874518734299406,-5.965371543374681,-5.515985037332437,-5.513427849481643,-15.064584313977667,-13.239652921470096,-14.395018370392568,-13.61979780618435,-14.770618475195185,-15.592728275945028,-13.635426894565072,-14.714667772356114,-13.45633169309471,-13.762456261857126,-13.461426266193145,-13.511329446038179,-5.712735874201022,-15.51489209568098,-13.33658178774732,-5.467052078329794,-14.489030505801075,-13.309798719542233,-14.711090764790487,-15.2405728285585,-5.261774551857496,2.51842e-06,4.0,0.5980000000000001,0.006926000000000001,0.254,0.4195,0.0033490000000000004,0.00076505,1.0,0.0028285000000000003,0.5824,0.5978,0.9425,0.8751,0.3342,0.0593,-0.8089,0.7945,0.6196,-0.441
CV_OBS_486,CV,CXOGLB J002405.3-72042,CV0079,10.2,-5.803823814960028,-7.207748428096735,-5.192699119065534,-6.092642391868828,-6.346208812612188,-6.127727153775795,-7.183900548238288,-5.977159389123473,-6.48454384064124,-6.181629927930141,-6.706205063994539,-5.6893066876566385,-6.295102614190093,-4.985479461242076,-7.333612633795858,-14.278976189508011,-14.0982148546964,-14.904787950498541,-14.381063294180596,-15.095455356556577,-15.486054109665952,-15.60642479673041,-15.090217275493151,-14.375924268854318,-15.611543547299735,-15.61672334959235,-14.093018846771145,-7.906718432432754,-15.77830441340772,-14.386263858738127,-6.429013652403067,-14.921448310039098,-14.087884270921144,-15.44130842687145,-14.513288930716831,-5.518505775218375,2.7705e-07,2.0,0.3949153333333332,0.008731758233333334,0.43736816666666656,0.39652599999999993,0.003628838399999999,0.0012900038008333324,0.16166666666666665,0.0029682689266666666,0.35775,0.3417,1.0,1.0,0.1168,0.1418,-1.0,0.9994,0.9994,-0.9994
CV_OBS_324,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.949620243738543,-4.200590520384873,-4.606424796730413,-6.0958256317158375,-5.100124803978988,-4.4165744995934935,-5.1897002589598324,-4.180653515919548,-5.142607189079099,-4.669789215428471,-4.46054750845054,-4.161528720928072,-4.437231456983482,-4.550984683652214,-6.317674381332193,-13.755228238504705,-13.07763790321521,-13.20224787134929,-13.45775484943932,-13.801893001126599,-13.867740310468955,-14.734474664780926,-13.22293584525757,-14.49935193662809,-13.488964674763727,-13.119529407196223,-13.429844829331168,-4.598695290319236,-13.850165303284216,-13.09739886933347,-4.5677909889163875,-13.758702612890007,-14.35320431122153,-13.246263777824991,-13.80799040734633,-4.539270497761278,4.7537200000000005e-06,5.8,0.28200000000000003,0.01032974,0.5766,0.6654,0.00960446,0.00015303939999999994,0.2,0.0094981,0.8863999999999999,-0.8688,-0.7227,-0.9388,-0.9725,-0.639,-0.7002,-0.7983,-0.9569,-0.6696
CV_OBS_535,CV,CXOGLB J002407.1-72054,CV0083,18.17,-5.186819467413988,-6.239803770544866,-4.545818221102785,-5.3658600515036285,-5.475541521651483,-4.73754891026957,-6.94200696091553,-4.917573699139228,-5.627927171627544,-5.244647844451014,-6.29379445811803,-4.627087997029894,-5.015022873584506,-4.3112301717811095,-6.5681485228974665,-13.738339011114595,-13.583359492661721,-13.578889870206568,-13.866461091629784,-14.240132886735573,-14.424690048951765,-14.688626204659691,-13.859806321421368,-13.912665858310579,-15.016531584835935,-15.1743791749965,-13.581118931465642,-6.442051910298558,-15.544103695579386,-13.87321942298799,-5.139661993429006,-14.078871436517142,-13.65935217997897,-14.901010360598825,-13.923983784933741,-4.79224000245237,3.372e-06,7.4,0.3611323333333334,0.0065584010999999946,0.4211944999999999,0.42420250000000026,0.0038576647999999988,0.0007782835383333335,0.03983333333333334,0.0032627562000000004,0.9916,-0.2199150000000002,0.389644,-0.2642,-1.0,-0.36514399999999997,-0.7949160000000002,0.10698799999999997,-0.9994,-0.548481
CV_OBS_421,CV,CXOGLB J002403.6-72045,CV0073,12.38,-5.875821944525326,-5.6651443103827095,-6.113712985103647,-5.998699066979582,-6.180653515919548,-6.114751892218614,-6.571865205971212,-5.548213564475709,-6.333669255698031,-6.605052451526361,-6.582694416755475,-5.461175011062096,-6.2816644210914925,-5.7741740085381075,-6.170953663146817,-15.207388364646471,-13.993533957750769,-14.862013267276465,-14.458058994698137,-14.917214629683551,-16.043349128869682,-14.414939541256462,-15.034939479388802,-14.243838114336363,-14.60115759697073,-14.195724232870909,-14.355102082639632,-6.171855892696214,-15.172630726946176,-14.08008551934057,-6.015959008628572,-14.764471553092449,-14.07544558139296,-15.326426203576947,-15.42998775209351,-5.801425381852718,2.179075e-06,2.0,0.4155,0.0007916500000000001,0.449,0.382,0.00052995,3.7025e-05,0.0,0.0005141,0.41525,0.1468,0.594,0.5539999999999999,0.0456,0.2167,-0.3879,0.3835,0.3136,-0.0937
CV_OBS_549,CV,CXOGLB J002407.7-72052,CV0084,8.88,-5.919012953089112,-5.836242476018044,-5.16803639756865,-6.119913474803679,-6.105019709072032,-5.587707490676952,-6.714934128349835,-5.47716468633947,-6.187635344918525,-5.839838617997958,-6.541966807503494,-5.2832456425673024,-5.843148098929988,-4.931443104927637,-7.061324664117228,-14.307003633886241,-13.93704216591549,-14.288977660039663,-14.434506370131135,-14.824405164674666,-15.00538523872299,-15.238160708339349,-14.502340314987437,-14.275427508075914,-14.802443786846464,-14.501413791182484,-14.179535809422314,-6.457149685817987,-15.338076133452779,-14.133476374467154,-6.020633757603839,-14.77780395369828,-14.119091667069192,-15.199401723036324,-14.499690291857597,-5.366668924401505,8.333400000000002e-07,5.4,0.474,0.001125,0.693,0.85,0.0008154999999999999,7.764e-05,0.0,0.0007691,0.8051999999999999,-0.1493,1.0,-0.1218,-1.0,-0.3354,-1.0,0.9994,-0.9994,-0.9994
CV_OBS_532,CV,CXOGLB J002406.3-72044,CV0082,53.28,-5.062582418522863,-4.449771646944906,-4.047449706101799,-5.1725661045992215,-5.371611069949689,-4.639785386704649,-5.678815972697686,-4.3910463007241365,-5.498529927899589,-4.120216219909584,-4.772884917410875,-4.339324211661476,-4.7011469235902945,-3.985059650207064,-5.330590132712217,-12.923723744595785,-13.021408673179927,-13.404283380056574,-13.259545723509314,-14.133830852366225,-13.058936011780098,-13.496754228534886,-13.465719994794917,-13.33866065999396,-13.343474424807608,-13.132650382811208,-13.190152197931615,-4.568777806744219,-14.313989708684714,-13.07345177536438,-4.494622076907364,-14.006828394969235,-13.22870655737094,-13.537302591898287,-12.986320302708807,-4.431544815832835,2.04492e-05,8.0,0.9786,0.0159188,0.9982,0.9958,0.006889000000000001,0.005937799999999999,7.6,0.00131574,1.0,0.17300000000000001,0.5515,-0.3716,-0.614,-0.6377,-0.8089,0.3735,-0.4959,-0.727
CV_OBS_578,CV,CXOGLB J002408.2-72043,CV0086,12.82,-5.87942606879415,-5.562725202589877,-5.90274269030658,-5.9601894458516504,-6.338281942305341,-5.928486194904911,-6.605023280445436,-5.501551596826,-6.448184177648986,-6.113622093241428,-6.104687975524214,-5.4480623046351635,-6.007800070204415,-5.761452112318673,-6.059782444400265,-14.613144470815275,-13.964570261815453,-14.704652851666381,-14.371298490437846,-15.052419250695676,-14.95703092660682,-14.238673677578545,-14.783834097714006,-14.133476374467154,-14.465035207605336,-14.079563593449242,-14.296571045422786,-5.9655881431041475,-15.208309350979881,-14.018181392829337,-5.86413618620013,-14.937794191180286,-14.053400374984868,-14.880744110722064,-14.747146969020108,-5.782310801450943,8.442600000000001e-07,6.0,0.4940000000000001,0.00076888,0.3846,0.2764,0.00046778,6.04184e-05,1.4,0.00042398,0.9294,0.3854,0.6427,0.1893,-0.0843,-0.3392,-0.6065,0.5197,0.0537,-0.4772
