obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_lolim_b,photflux_aper_u,photflux_aper_h,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_b,photflux_aper_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_s,photflux_aper_hilim_u,photflux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper,flux_aper_m,flux_aper_lolim_u,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim,flux_aper_lolim_b,flux_aper_hilim,photflux_aper_lolim,flux_aper_lolim_m,flux_aper_b,photflux_aper,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_lolim_s,flux_aper_u,photflux_aper_hilim,var_inter_sigma,var_inter_index,var_prob,var_max,ks_prob,kp_prob,var_mean,var_sigma,var_index,var_min,var_inter_prob,hard_hm_lolim,hard_hm_hilim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hs,hard_ms
NS_OBS_334,NS,J1748-2446          ,NS0057,18.31,-5.011485634166334,-6.139661993429006,-5.088568529384143,-5.252510507741327,-5.998266287190999,-5.96980521464325,-6.638455933253466,-5.2017638236320645,-6.195905375240134,-5.481526148747265,-6.435591401672177,-4.935542010773082,-6.17049238339127,-4.903089986991943,-5.898940645091884,-14.098923284273743,-13.12883586719705,-14.814174640387034,-13.77863793279643,-14.806791225758651,-14.813115609334075,-14.187822225841249,-14.984159525795697,-13.3585258894959,-14.656000930942838,-14.341893164493609,-13.475985757484214,-6.400772137226204,-15.292436423757223,-13.404063093730825,-5.624336386039115,-14.666351243485297,-13.090872058010738,-15.270693086620351,-14.271291734357597,-5.143694133566702,1.176452e-05,5.8,0.46691333333333374,0.007825455583333335,0.5035458333333332,0.5208008333333333,0.005154160799999998,0.0016521881550000006,0.6148333333333335,0.0037513867999999996,0.8356,0.7152,1.0,1.0,0.6864,0.3079,-1.0,0.9994,0.9994,-0.3848
NS_OBS_370,NS,SAXWFC J1744.9-2921.,NS0068,9.04,-5.432150549426893,-5.543785844642012,-5.100566086061514,-5.5347659050119855,-6.865822892423234,-6.290984583027883,-7.224310579909666,-5.3960981682683276,-7.054218919240684,-5.377817623576698,-7.134124036000556,-5.291919189531769,-6.553491969582326,-4.896196279044043,-5.679438319804762,-14.086504040382874,-13.314975214894286,-15.253365801062419,-13.810509686300634,-15.620959056974009,-14.837369787647974,-13.552376902239713,-15.462137798465953,-13.410497203736234,-13.946230310400688,-13.544241796895866,-13.671117477172253,-6.004277078004535,-15.847561792278361,-13.414652088905411,-5.857860919867865,-15.396422631848536,-13.309360988284032,-16.062336240362214,-14.27702404588339,-5.353578627858506,5.48475e-06,4.5,0.4145,0.0011525,0.653,0.479,0.0009882,0.00013619999999999998,0.0,0.00086695,0.794,0.9088,1.0,1.0,0.7014,-0.2904,-1.0,0.9994,0.9994,-0.9994
NS_OBS_86,NS,EXO 1745-248        ,NS0020,23.47,-5.8395314688809625,-5.506541949004811,-5.708369247123471,-6.04503426894158,-5.640354207325458,-6.112382699664264,-5.921905849593589,-5.377682339166156,-5.758702612890008,-6.403798209505245,-6.939302159646387,-5.27843668164252,-6.353106375832255,-5.472112434047295,-6.4486720119961545,-14.744968836654445,-13.922632094715846,-14.964570261815453,-14.41613951635182,-14.378823718224965,-15.567719732202917,-14.733298033115911,-15.21169018789295,-14.307417437725091,-14.632353403999483,-14.165515714665196,-14.247582750673521,-6.019278703518872,-14.544241796895866,-14.024200690320592,-5.836898284956025,-14.264960294966281,-14.09653017149283,-15.910801633194849,-15.0236364500943,-5.580143341402729,1.7364000000000002e-05,4.5,0.484,0.001619333333333333,0.161,0.284,0.0009479666666666666,0.00013277333333333333,0.3333333333333333,0.0008685,0.77225,-0.5528,0.0094,0.7214,-0.0006,0.8039,0.3267,-0.2761,0.4022,0.5934
NS_OBS_315,NS,XMMU J004245.2+41172,NS0046,4.71,-5.8623294627632445,-7.002569926202528,-3.7584750111431604,-6.083408717558002,-5.80271944187438,-5.642255674819625,-7.1053883355573895,-5.747389659432629,-6.050290644815956,-4.74031378440132,-6.435985663475147,-5.471083299722345,-5.832896674424168,-3.6013656754616084,-6.978511294209147,-12.852632892206213,-14.410832609453953,-14.508218224415836,-15.397940008672034,-14.750186064817495,-13.67007885344401,-15.40369943875239,-14.721484144003753,-14.286730926265735,-16.628193541492585,-15.929223537156565,-13.493476026815806,-7.701539930538548,-15.880426502853727,-14.698970004336019,-6.4463596637686456,-14.491604966866946,-14.004496429734994,-15.246839605964265,-12.982871708014184,-4.285658502724681,0.002420364927549997,5.994,0.46818166666666683,0.009393645266666662,0.5686325,0.5838491666666663,0.005424935333333335,0.0017468565450000004,0.4605,0.003777096706666666,0.8872396666666654,-1.0,0.2892,0.1218,-1.0,0.198,-1.0,-0.9994,-0.9994,-0.9994
NS_OBS_345,NS,J1748-2446          ,NS0057,18.31,-6.126970187938956,-6.57413985492216,-6.031644493551401,-6.332733880617727,-6.8437538096026564,-6.920456992597094,-6.485248199553558,-6.201832940284062,-6.981831494043254,-6.576693693935578,-7.506988822195208,-6.012780770091995,-7.124644014886261,-5.934219184004381,-6.772113295386326,-15.26232203263622,-14.261298699565295,-15.839231438138874,-14.764976840504776,-15.580589546765369,-15.586142250459318,-14.856672870007953,-15.879173295541523,-14.496073195806492,-15.098405472085005,-14.74521031260279,-14.55662747459512,-6.962972120244224,-15.134695310573472,-14.434034182553331,-6.5634000970254665,-15.312471038785365,-14.301725423325633,-16.429069692648937,-15.038029248347893,-6.3051974393352905,1.176452e-05,5.8,0.48902250000000025,0.008958767166666666,0.5640416666666667,0.5915183333333333,0.0051764508833333335,0.001946686275000001,0.7211666666666666,0.003615269196666665,0.8356,0.5589999999999999,1.0,1.0,0.614,1.0,-0.2655,0.9994,0.9994,0.2973
NS_OBS_38,NS,1A 1742-289         ,NS0001,167.36,-6.2326214758858205,-7.448672011996154,-5.235254152876732,-6.505567101273601,-7.038531444649212,-6.766496239658864,-7.3735472998425164,-6.388064374959877,-7.098443049237781,-5.654602098895159,-7.886395525718955,-6.106293706935286,-7.084991466357317,-4.99097425791309,-7.4087127349415,-14.242376254091608,-14.094851998143985,-15.574465779501734,-14.741266962787186,-15.711769748145748,-15.249943811522606,-15.019814763052663,-15.783646128576606,-14.33856594960608,-15.422508200162776,-15.029374223311706,-14.346532774836644,-7.826172964346419,-15.933467601497398,-14.348140730753052,-6.840793866353675,-15.568958054664115,-14.085339569410774,-16.863938322934814,-14.623415444597264,-5.625584924179536,0.002257511,5.2,0.46967333333333366,0.00894566025,0.5574351666666667,0.6181576666666664,0.005181783166666665,0.001796370689193334,0.6856666666666668,0.0036427942666666644,0.7596,0.594,1.0,1.0,0.3354,0.0643,-1.0,0.9994,0.9994,-0.9994
NS_OBS_311,NS,XMMU J004245.2+41172,NS0046,4.71,-6.4048345852097714,-7.464871590331586,-6.071560269232252,-6.612432220582813,-6.7996199442596765,-6.346925315805951,-6.467530998025188,-6.860120913598763,-7.0099469787560125,-6.4923455292398184,-7.103342975629586,-6.558933593360738,-6.561776465731685,-6.2786414773327195,-7.062482107982652,-15.60333617235473,-14.825358807339553,-15.162113198859904,-15.037204630142767,-15.637422257920939,-15.62194526690781,-15.531062194334538,-15.394077880365776,-14.986741334716484,-15.688882157337494,-15.939302159646386,-14.787546038959725,-7.3635121036466336,-15.138377156791881,-15.094312032288148,-6.718852957975573,-15.3658181886015,-14.752763450493234,-15.95011244432518,-15.097759373028127,-6.4750848524601325,0.00012713887810833317,5.965999999999999,0.47623,0.008377433233333334,0.6149816666666668,0.6087916666666667,0.005339900633333335,0.0016251532966666668,0.6481666666666668,0.0036347879833333323,0.8889063333333318,-0.19591799999999993,0.6041320000000004,0.7144329999999997,-0.02533400000000002,0.526457,-0.22405500000000014,0.24316799999999997,0.32850699999999994,0.174453
NS_OBS_323,NS,XTE J1709-267       ,NS0049,212.84,-5.367340286706087,-4.448428026325747,-4.910957217318718,-5.461551948289783,-4.933674074637962,-4.7975116829399065,-5.033623576911077,-4.411280220399943,-4.980883709552927,-5.202059667693194,-4.915781313260761,-4.37716452047848,-4.852632892206214,-4.762772040199143,-5.582196277360119,-14.027935494329103,-13.163549286279846,-13.629116983222394,-13.497436330892635,-13.653842697767992,-14.683317791997364,-13.798329820353418,-13.684239509334267,-13.675717544702305,-13.555369769957904,-13.237321436272564,-13.446329320049374,-4.826653451124216,-13.706637445288555,-13.198870812420294,-4.777706326524236,-13.606775883638704,-13.580209413893638,-13.747389659432626,-14.184426946540059,-4.733756540346932,0.005466799999999999,8.0,0.32325000000000004,0.005707,0.696,0.63,0.0042575,0.00029475,0.5,0.0040065,1.0,-0.594,-0.4004,-0.5191,-0.6889,-0.0668,-0.2367,-0.4997,-0.6084,-0.1537
NS_OBS_36,NS,1A 1742-289         ,NS0001,167.36,-6.342275045794892,-6.59607284972373,-5.2197919147121965,-6.643209539648284,-7.040958607678906,-6.757955760630449,-7.390772479939578,-6.534914712442568,-7.07046344228754,-5.556925355030644,-7.714737877167193,-6.246110668540165,-7.076957867415899,-4.981715691573469,-6.957567954931159,-14.233066906162716,-13.970616222314789,-15.58236226034777,-14.59468779724158,-15.684691020776986,-14.819891005027598,-14.77780395369828,-15.769582733727624,-14.191451448759596,-15.18098280131094,-14.788345599446814,-14.251240011707628,-7.026268991606657,-15.962058464384224,-14.20210951694165,-6.983635320543707,-15.571379327328062,-13.96018944585165,-16.54880217041666,-14.464171496242873,-5.630127629457181,0.002257511,5.2,0.47158500000000037,0.008868294416666665,0.5608151666666668,0.6048659999999998,0.005181783166666665,0.0017960399675266672,0.6856666666666668,0.003659557516666665,0.7596,0.4928,1.0,1.0,0.2192,0.0743,-1.0,0.9994,0.9994,-0.9994
NS_OBS_378,NS,SAXWFC J1747.0-2853.,NS0070,4.44,-6.269621531412357,-6.70818731253288,-6.038786353397391,-6.458670422333308,-7.161087972594001,-6.3057604751573555,-6.483577638912245,-6.335922409814925,-7.046466585771308,-6.565638480747971,-7.164769241075732,-6.138405855356134,-6.555799842452976,-5.978297726748036,-6.801068130067791,-15.294130603307822,-14.222790741854315,-15.136176688696937,-14.578999679178555,-15.668130368177279,-15.582558725159968,-14.753994095923971,-15.376494661034501,-14.398483216349991,-14.934420285271552,-14.762707662432542,-14.386923181609895,-6.928240692082148,-15.138853455715164,-14.407379178678017,-6.569065380620894,-15.673050005834002,-14.21402987486799,-16.02377435402294,-15.050797817179815,-6.35209241135462,2.4e-05,7.0,0.4988075000000002,0.008623446583333331,0.5520633333333335,0.5993825000000002,0.005121195966666667,0.0017375802783333339,0.7303333333333332,0.003469879863333332,0.9433333333333334,0.6677,1.0,0.7617869999999999,0.20074900000000007,0.5522159999999998,-0.32963999999999993,0.9994,0.43825199999999986,0.06799999999999998
