obs_id,class,src_n,src_id,significance,photflux_aper_hilim_h,photflux_aper_lolim_b,photflux_aper_u,photflux_aper_h,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_b,photflux_aper_m,photflux_aper_lolim_u,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_s,photflux_aper_hilim_u,photflux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_b,flux_aper_hilim_s,flux_aper,flux_aper_m,flux_aper_lolim_u,flux_aper_lolim_h,flux_aper_s,flux_aper_h,flux_aper_lolim,flux_aper_lolim_b,flux_aper_hilim,photflux_aper_lolim,flux_aper_lolim_m,flux_aper_b,photflux_aper,flux_aper_hilim_m,flux_aper_hilim_h,flux_aper_lolim_s,flux_aper_u,photflux_aper_hilim,var_inter_sigma,var_inter_index,var_prob,var_max,ks_prob,kp_prob,var_mean,var_sigma,var_index,var_min,var_inter_prob,hard_hm_lolim,hard_hm_hilim,hard_hs_hilim,hard_hs_lolim,hard_ms_hilim,hard_ms_lolim,hard_hm,hard_hs,hard_ms
TUC_OBS_456,TUC,CXOGLB J002405.3-720421,TC0045,10.2,-6.105573162035812,-6.0154726866562065,-6.6448543833838345,-6.218963061378868,-6.425505731714673,-6.6651443103827095,-6.759201228882668,-5.901010360598823,-6.556737012541305,-7.658549201644084,-7.250186414707062,-5.8147412347034155,-6.858863909879261,-6.748361779551788,-6.383734594718293,-15.958093791180074,-14.157765313652758,-15.494036481981876,-14.529420469937062,-15.163802519221074,-17.159062842437162,-14.446359663768645,-15.6929320493387,-14.281581358170344,-14.674288886533883,-14.358426746821824,-14.426243872581118,-6.4925192401489555,-15.366228653917446,-14.243896628414895,-6.34181682851206,-15.032498825277159,-14.168258166354358,-16.105075022640456,-16.05236307296082,-6.209531865495439,2.7705e-07,2.0,0.5066666666666667,0.0004814666666666668,0.5846666666666667,0.342,0.0002674333333333333,2.0481666666666667e-05,0.3333333333333333,0.0002607666666666667,0.35775,0.1805,0.5778,0.8126,0.4316,0.599,0.0256,0.3923,0.6384,0.3173
CV_OBS_707,CV,XMMSL2 J004231.9+41162,CV0110,174.76,-4.255394124585761,-3.674279141980588,-4.228806834586595,-4.3172233536855655,-4.165388579277312,-4.182566855888616,-4.266080848987609,-3.6369524054789055,-4.212823007529447,-4.557238217644367,-4.332547047110047,-3.6025814576486517,-4.2511145599904845,-4.064291252157337,-4.38933983691012,-13.241012453132381,-12.251424383069008,-12.922268820347607,-12.679023322657175,-12.882397308309915,-13.82155776816024,-12.601712694642599,-12.99097425791309,-12.529589509024069,-12.733044298788393,-12.324496615272045,-12.611078607569473,-4.150961605597816,-12.935542010773082,-12.285335007137466,-4.101033610694279,-12.83505262737816,-12.467755356373418,-13.072424345308885,-13.481100681263936,-3.9784055484553766,2.16814e-05,5.8,0.09925,0.0264425,0.24875,0.39375,0.026247500000000003,0.0001657825,0.0,0.025985,0.9572,-0.213,-0.0281,0.0269,-0.1955,0.138,-0.0631,-0.1199,-0.0849,0.0362
NS_OBS_51,NS,1A 1744-361         ,NS0004,11.5,-4.959793372425289,-4.57154122648442,-5.418719057271885,-5.016148281008529,-5.086875209610441,-5.272865576239512,-5.205581669125858,-4.532096053477201,-5.142185222028994,-6.1774459418483865,-5.4421320384319785,-4.495937117321309,-5.349304020239389,-5.269765426654605,-5.085498177172687,-14.552647506230493,-12.997402019280093,-14.09555495892309,-13.332988570702135,-13.754734160542538,-15.563322163992376,-13.227971834675145,-14.169347186202573,-13.159768405041893,-13.388027230148435,-13.076393356982539,-13.284278621700663,-4.9500555297415865,-13.817300096663956,-13.035127791362223,-4.897163403833139,-13.699839463048649,-13.10083635852278,-14.264880365918126,-14.809452277953115,-4.8506884940920845,1.1985188629999998e-05,4.611999999999999,0.27175,0.0063475,0.521,0.4245,0.004965,0.0002723475,0.0,0.00477075,0.7680730000000002,0.0481,0.23800000000000002,0.4741,0.2705,0.3504,0.133,0.1449,0.3748,0.2411
NS_OBS_401,NS,SAXWFC J1748.1-2446.,NS0072,19.47,-5.560351570436526,-5.5583048643592825,-6.150678883719881,-5.631527161559638,-6.2627278234644566,-6.842241113953136,-6.576426480267265,-5.483068191131988,-6.391794992295674,-6.625766344974992,-8.410497203736236,-5.418961051227833,-7.131708311982144,-5.9136401693252525,-5.716925025264528,-15.16500739626697,-13.701146923590295,-15.658367664221945,-14.1584553368073,-14.950007143079855,-15.84891309093092,-13.87321942298799,-15.947690900352676,-13.787279845582153,-14.243369428853947,-13.841034739616587,-14.080247443810553,-6.004094135670908,-15.134481480925224,-13.765482716487313,-5.913388209236777,-14.820735535660974,-13.715569266155482,-17.22650610772903,-15.37163483064041,-5.770937923587638,1.131475e-06,4.0,0.7156666666666668,0.001809633333333333,0.5703333333333332,0.5393333333333333,0.0007295,0.00014002666666666666,1.6666666666666667,0.0006505333333333334,0.69025,0.6065,0.7989,0.9888,0.8788,0.9038,0.4166,0.7083,0.9394,0.6883
PULSAR_OBS_118,PULSAR,PSR J0729-1448,PL0022,3.24,-6.152735898229237,-5.1888273049334455,-5.695356241613797,-6.4038066661189905,-5.768530409569318,-5.106016432788153,-6.633763876281708,-5.028260409112222,-6.01390037494487,-6.185980331881484,-5.407046428452135,-4.911155437272996,-5.226872075966665,-5.499489089473664,-6.874331046982941,-14.777349557852325,-13.838033383635926,-13.906228218501269,-14.119968078895702,-14.633950790199766,-15.558884053774467,-15.213366508952449,-14.027056991894431,-14.304705647060395,-14.320887187156744,-14.12107626603243,-13.985493461934604,-5.6727064701779994,-15.253677234910047,-13.95703092660682,-5.487595798084941,-14.388382889445666,-14.089567413373521,-14.207258214165252,-15.022873204092296,-5.2894172664445565,7.139691049999996e-06,5.9724999999999975,0.4465,0.0044365,0.527,0.177,0.002865,0.00038555,0.0,0.0025559999999999997,0.8974469999999996,-1.0,-0.1893,-0.7876,-1.0,-0.5166,-0.8838,-0.9994,-0.9994,-0.7258
TUC_OBS_608,TUC,CXOGLB J002410.7-720425,TC0057,23.78,-5.381638068890122,-5.2227182083289865,-6.6361556354332505,-5.429106963781606,-5.922632094715843,-6.1249387366083,-6.083072533887007,-5.180061430644606,-5.995678626217357,-7.649335974225892,-6.3598168080786595,-5.141222262694551,-6.223226197587893,-6.7975116829399065,-5.4825401734597685,-15.872062165923104,-13.44454278279535,-14.919373513078193,-13.779372246918598,-14.57202728639179,-17.171580871366686,-13.576754126063195,-15.017502630802287,-13.523168371487738,-13.829875490513055,-13.525929496784954,-13.734286189359976,-5.676022275204753,-14.659555885159884,-13.483332440900956,-5.622071172263863,-14.499214827082545,-13.47560387789616,-15.154096161101215,-16.075025790965242,-5.569235009710642,1.05845e-06,4.5,0.483,0.0019230999999999999,0.4775,0.5455,0.00112705,0.0001179275,0.75,0.00106155,0.7255,0.5028,0.6452,0.7889,0.6565,0.3966,0.1093,0.5771,0.7258,0.2536
NS_OBS_344,NS,J1748-2446          ,NS0057,18.31,-5.662540738709343,-5.671620396561263,-5.960222365563055,-5.754734160542537,-6.4222784754909785,-6.293965339285648,-7.136796140971371,-5.566390156676282,-6.646660904688695,-6.393810359981764,-6.845576026885352,-5.4817493486915,-6.4816176844546565,-5.753392365497949,-5.879755204453636,-14.925598444017307,-13.78277934435548,-15.130357655348403,-14.159070969666965,-15.199489123105634,-15.671575062708628,-14.004759798137185,-15.318035541005314,-13.883392256011753,-14.281884614694825,-13.974694134735232,-14.063565433002772,-6.0380239333062455,-15.722390785695907,-13.868381335650875,-5.900621536863612,-14.97757162881451,-13.78861244706314,-15.655804284128564,-15.17120513693316,-5.798643848789811,1.176452e-05,5.8,0.379,0.0007518333333333334,0.5666666666666667,0.397,0.0005502633333333333,3.086666666666667e-05,0.3333333333333333,0.0005374666666666666,0.8356,0.6102,0.8976,0.8276,0.5103,0.2092,-0.5489999999999999,0.7683,0.6821,-0.1799
TUC_OBS_652,TUC,CXOGLB J002416.9-720427,TC0061,38.28,-5.22767829327708,-4.692503962086787,-5.108295323760816,-5.366026844210326,-5.206978340154016,-4.9763360818022075,-5.4741780478433375,-4.612076533026563,-5.320299619128036,-5.463694127648966,-5.1859522790044,-4.544089759617257,-5.065350077099289,-4.915423722065669,-5.570086302236246,-14.266722466067419,-13.295163393788595,-13.737786294523584,-13.735460781274568,-13.939302159646386,-14.814741234703414,-13.931443104927634,-13.826813731587725,-13.727230413448241,-13.862740861363232,-13.443938840990468,-13.637966377285654,-5.139039451888429,-14.092965047516582,-13.363211310965625,-5.000747629654851,-13.825940192274976,-13.588885581449096,-13.947306058075032,-14.459545386328587,-4.896819100193474,1.98642e-06,4.2,0.45225,0.006,0.43925,0.4955,0.00394025,0.00054065,0.5,0.0035232500000000008,0.7998000000000001,-0.2692,0.1905,-0.1368,-0.5203,-0.1218,-0.4566,-0.0362,-0.3323,-0.2936
TUC_OBS_517,TUC,CXOGLB J002407.7-720527,TC0050,8.88,-5.919012953089112,-5.836242476018044,-5.196343923061047,-6.167898621005776,-6.105019709072032,-5.587707490676952,-6.704798499640544,-5.47716468633947,-6.358054397446567,-5.885766037297722,-6.541966807503494,-5.2832456425673024,-5.843148098929988,-4.931443104927637,-6.9925379529791005,-14.18865547614841,-13.93704216591549,-14.34533278426512,-14.434506370131135,-14.957039287063344,-15.18379722307091,-15.284901282262117,-14.554373389781613,-14.31385672069729,-14.802443786846464,-14.501413791182484,-14.179535809422314,-6.457149685817987,-15.29937581043955,-14.133476374467154,-6.020633757603839,-14.77780395369828,-14.095928139721797,-15.215010694788035,-14.40877404362689,-5.366668924401505,8.333400000000002e-07,5.4,0.474,0.001125,0.693,0.85,0.0008154999999999999,7.764e-05,0.0,0.0007691,0.8051999999999999,-0.1493,1.0,-0.1218,-1.0,-0.3354,-1.0,0.9994,-0.9994,-0.9994
TUC_OBS_99,TUC,CXOGLB J002404.6-720453,TC0012,8.61,-6.0224592940534665,-6.3400837999301505,-5.083864726094781,-6.239600779331536,-5.961379838050298,-5.676954264518298,-6.999340351214853,-5.641113795594131,-6.187681936548124,-5.48886342963522,-7.268008550981071,-5.385841290490825,-5.966978555317088,-4.837137006678074,-7.029704701739211,-14.061721407215488,-13.912218582190453,-13.903785414653598,-14.172275422973291,-14.832312091636496,-14.76951674555847,-15.2117414099256,-14.182632983712404,-14.314387275166217,-14.961240790715733,-14.8153085691824,-13.907981529247206,-6.990591600848132,-15.582785301167103,-14.162159138344476,-6.172114017210144,-14.54940432979971,-14.097160013882807,-15.182632983712404,-14.318129288194953,-5.340852334987295,4.2538e-07,2.0,0.6726500000000002,0.40216989916666657,0.6946108333333334,0.7842419999999994,0.007982478716666665,0.04380858933599999,2.424,0.002755373326666666,0.3426,-1.0,0.2992,-0.1393,-1.0,-0.0743,-1.0,-0.9994,-0.9994,-0.9994
