obs_id,class,src_n,src_id,significance,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_lolim_s,photflux_aper_lolim_m,photflux_aper_s,photflux_aper_lolim_u,photflux_aper_h,photflux_aper_hilim_u,photflux_aper_hilim_s,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_b,photflux_aper_hilim_h,flux_aper_hilim_b,flux_aper_hilim_h,flux_aper_lolim_m,flux_aper_u,photflux_aper_hilim,flux_aper_hilim_m,flux_aper_b,flux_aper_lolim_h,flux_aper_m,flux_aper_hilim_s,flux_aper_h,flux_aper_hilim,flux_aper_lolim_u,flux_aper_lolim,flux_aper_s,photflux_aper_lolim,flux_aper,photflux_aper,flux_aper_hilim_u,flux_aper_lolim_b,flux_aper_lolim_s,var_inter_index,var_max,var_inter_sigma,var_index,var_min,var_prob,ks_prob,var_mean,var_inter_prob,var_sigma,kp_prob,hard_hs_lolim,hard_ms_lolim,hard_ms,hard_hs,hard_hs_hilim,hard_hm,hard_hm_hilim,hard_hm_lolim,hard_ms_hilim
TUC_OBS_2089,TUC,CXOGLB J002408.5-720708,TC0229,3.95,-6.346980548900388,,-7.272702797196412,-7.5754450233932875,-6.904830648568245,,,-6.754734160542537,-6.708409174341999,-7.098323768673624,-6.876475019057268,-6.512296136836274,,-6.802995271976954,-7.108072465779324,-15.650722472532046,-15.53283603403091,-16.229147988357855,,-6.685176698349469,-15.530177984021835,,,-15.752026733638193,-15.504594436853807,,-15.551061912154578,,-16.447331783887805,-15.696587929403258,-7.32358076828164,-16.024453313965427,-6.990005514072412,,,-16.076755981369722,4.333333333333333,0.0001824,3.404333333333333e-07,0.0,0.000116,0.471,0.812,0.00012009999999999998,0.6999999999999998,6.214e-06,0.79,-1.0,-0.6015,-0.2498,-0.9994,-0.2555,-0.5721,-0.0306,-1.0,0.1355
TUC_OBS_1548,TUC,CXOGLB J002359.3-720448,TC0168,3.42,-6.027797161620937,,-7.3312414582490435,-7.0792507387242924,-6.650139917807668,,,-5.742321425130816,-6.396747338018353,-6.653255945395151,-6.442372511573173,-6.212327035312509,,-6.567672207738396,-6.976747540366287,-14.921180816901149,,-15.755228238504705,,-6.1407776150961695,-15.118387127521654,-15.123551213121658,,-15.329197715739054,-15.055714779311247,,-15.023802914672626,,-15.710931561409502,-15.308918507877033,-7.096302425945166,-15.243617494378526,-6.6739510320532585,,-15.514704561273911,-15.990124366287839,0.0,0.00024670000000000003,4.3566e-07,1.0,0.0001129,0.59,0.947,0.0001557,0.10325,4.737e-05,0.847,-1.0,-0.4878,-0.0962,-0.9994,-0.3766,-0.9994,-0.3604,-1.0,0.3616
TUC_OBS_1615,TUC,CXOGLB J002400.4-720448,TC0176,5.03,-6.0499760934766735,,-6.5107448316307375,-8.01434902630905,-6.345919764693428,,,-6.485983819599349,-6.232547281902227,-7.254690940059173,-6.9931062920521,-6.165134420099963,,-6.33357562748124,-7.3503731131594705,-15.064845552783833,,-16.829738284605046,,-6.4090400816962365,-15.704872914747806,-15.203148250950113,,-15.964570261815453,-15.0301183562535,,-15.237508995973993,,-15.651938643816587,-15.149292514625467,-6.805721600989366,-15.442492798094342,-6.6233391117846105,-15.490259984429615,-15.407268233606038,-15.314079207805465,2.6666666666666665,0.00034694999999999995,2.486666666666667e-07,0.0,0.00021645,0.48,0.9425,0.00024145,0.408,3.1385e-05,0.8859999999999999,-1.0,-0.9275,-0.7883,-0.9994,-0.8176,-0.9994,-0.1318,-1.0,-0.6065
TUC_OBS_217,TUC,CXOGLB J002409.1-720428,TC0023,5.64,-5.948847477552619,,-6.937794191180288,-7.087884270921147,-6.487715936718147,,,-5.733063088840827,-6.280171713745665,-6.661942124580244,-6.451119437362485,-6.117134080278372,,-6.395881993807964,-7.000477986871097,-14.892790030352133,,-15.764471553092449,,-6.102110212526911,-15.12761061158218,-15.072989131024348,,-15.338471259868017,-15.054629905509696,,-15.013646344755704,,-15.596879478824182,-15.276462238467946,-6.921557682839276,-15.213935097305956,-6.5827941132356695,,-15.386581054965427,-15.753501419204197,1.5,0.0002837,2.7504999999999996e-07,0.0,0.0001678,0.4970000000000001,0.665,0.000187,0.21899999999999997,2.617e-05,0.858,-1.0,-0.6065,-0.2623,-0.9994,-0.5278,-0.9994,-0.3716,-1.0,0.14800000000000002
TUC_OBS_931,TUC,CXOGLB J002404.3-720501,TC0095,12.45,-5.480040819247932,-6.171920409443255,-6.233810306689839,-6.422853015172475,-6.112776668637477,-6.6048484084954575,-6.048905443158338,-6.010105436281228,-6.022962664775318,-6.2959353205914335,-6.197910742118268,-5.533280628318401,-6.212752119668046,-5.5982549177629375,-5.95311480916229,-13.999132278468773,-14.094906031672128,-15.009749967072187,-15.537751784645007,-5.8548346826493445,-14.791021482723744,-14.053154886039374,-14.306360973838453,-14.886725307535649,-14.797784224198868,-14.185086818724926,-14.361536701652248,-16.003532109738284,-14.53500134184574,-14.88773023158273,-6.055033950825443,-14.437447826132178,-5.942151393853879,-15.318125877871351,-14.119701008574248,-15.0087296108049,1.6,0.0009097000000000002,1.5322800000000004e-06,0.25,0.0005188250000000001,0.44825,0.4762500000000001,0.0005380999999999999,0.3664,4.66975e-05,0.43125,-0.0793,-0.3741,-0.2186,0.0849,0.243,0.2986,0.4478,0.1368,-0.0581
TUC_OBS_328,TUC,CXOGLB J002402.1-720450,TC0034,3.14,-6.5066813917678985,,-7.472756883611911,-8.015022873584506,-6.944621668625,,,-6.7975116829399065,-6.713094647027625,-7.255394124585762,-6.993962045002682,-6.736363931411892,,-7.300595918184662,-7.355561410532162,-15.766749990458901,,-16.818156412055224,,-6.7905386053700125,-15.682563503464902,,,-15.952725132615821,-15.469160221383481,,-15.620815388286363,,-16.606424796730412,-15.700492701299513,-7.728716134741233,-15.984640244590786,-7.151638431500348,,,-16.228780098050468,0.0,,2.19225e-07,,,,,,0.04525,,,-1.0,-0.7601,-0.4085,-0.9994,-0.4366,-0.9994,-0.14300000000000002,-1.0,0.0406
TUC_OBS_1958,TUC,CXOGLB J002406.5-720451,TC0215,2.64,,,-7.004320939488378,,-6.6401645176601125,,,,-6.452594540332512,,,,,,,-15.411056357259984,,,,-6.452594540332512,,-15.688246138944244,,,-15.236122968504345,,-15.314840695927154,,-15.982674445438278,-15.412176828681044,-7.004320939488378,-15.52863493458198,-6.6401645176601125,,-16.834458923277626,-15.713319030645067,0.0,,1.01105e-07,,,,,,0.27,,,,,,,,,,,
TUC_OBS_436,TUC,CXOGLB J002404.9-720455,TC0043,19.64,-5.585360853262991,-7.574791948861343,-5.996970529446383,,-5.840132152907432,,-6.7295540919820365,-5.4990777608097,-5.725380380908762,-7.113565680371063,-6.812479279163537,-5.688458041598805,,-5.8236193077567275,-6.472112434047295,-14.166852888087215,-14.398918272215974,,,-5.788334928951813,-15.502932063601493,-14.27531461176264,-15.38795825535473,-15.803823814960024,-14.397289055042444,-14.64762450499948,-14.49460851253804,,-14.896107377462561,-14.512296136836273,-6.295057146888998,-14.66606529953058,-6.124083729140224,-15.051684859310653,-14.420330706445279,-14.668977828958173,4.0,0.0010068,2.51842e-06,1.0,0.00048330000000000004,0.5925,0.897,0.00051435,0.5824,6.491e-05,0.8809999999999999,-0.9176,-0.9838,-0.9069,-0.7758,-0.589,0.5334,0.8613,0.0443,-0.7964
TUC_OBS_1385,TUC,CXOGLB J002352.4-720533,TC0146,3.07,-6.578067186721492,,-7.487449007095789,,-7.010327752376129,-6.82102305270683,,-6.1221105746285165,-6.788612447063142,,-7.52753610339301,-6.796967112985289,-6.3439976793170425,-7.2594004871888425,-7.004628093971838,-15.54714066420415,-15.514988785421426,,-16.0007389288869,-6.5815594915441,,-15.848323769152953,,,-15.612076533026563,,-15.589813471342893,-17.343135508451084,-16.874453676328812,-15.83386602969489,-7.321335970088429,-16.012970899402227,-6.847619912952397,-15.709742730605482,,-16.310957660971827,0.0,,9.647e-08,,,,,,0.0,,,-0.9775,-1.0,-0.9994,-0.376,-0.0044,0.9994,1.0,0.2192,-0.5415
TUC_OBS_543,TUC,CXOGLB J002408.2-720435,TC0052,12.82,-5.661344334421298,-6.329290404776202,-6.463694127648966,-6.713768145971447,-6.304781081094849,-6.674689628288939,-6.192735644723892,-6.034892414150944,-6.188693159918664,-6.537751784645003,-6.412738150307466,-5.732593581247097,-6.239050048589102,-5.817585347565446,-6.088948979671874,-14.244125144327507,,-15.335452037753456,-15.640543979879013,-6.004119213331172,-15.03446905637714,-14.312471038785365,,-15.15939212099071,-15.001566281135533,,-14.698742059563287,-16.18462151503408,-14.89821255640969,-15.114469166811908,-6.261362116421082,-14.785162772345474,-6.112956887840481,-15.415555692834824,-14.39913596369016,-15.267445420148569,6.0,0.0007325,8.442600000000001e-07,1.25,0.000313525,0.6174999999999999,0.23375,0.000332825,0.9294,4.62825e-05,0.22275,-0.0793,-0.4766,-0.2873,0.1149,0.3067,0.3898,0.5578,0.1968,-0.0768
