obs_id,class,src_n,src_id,significance,photflux_aper_lolim_s,photflux_aper_hilim_u,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_hilim_b,photflux_aper_lolim_u,photflux_aper_lolim_h,photflux_aper_b,photflux_aper_u,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_m,photflux_aper_h,photflux_aper_hilim_h,flux_aper_hilim_u,flux_aper_hilim_m,flux_aper_lolim_b,flux_aper_m,flux_aper_lolim_u,flux_aper_h,flux_aper_s,flux_aper_hilim_s,flux_aper_lolim_s,flux_aper_lolim_m,flux_aper_hilim,photflux_aper,flux_aper_hilim_b,flux_aper_u,photflux_aper_lolim,flux_aper_b,flux_aper_hilim_h,flux_aper_lolim_h,flux_aper,flux_aper_lolim,photflux_aper_hilim,var_sigma,var_prob,kp_prob,var_inter_prob,var_index,var_max,ks_prob,var_inter_sigma,var_min,var_mean,var_inter_index,hard_ms_lolim,hard_ms,hard_ms_hilim,hard_hs_hilim,hard_hm_hilim,hard_hm,hard_hm_lolim,hard_hs,hard_hs_lolim,powlaw_ampl_hilim,flux_powlaw_hilim,powlaw_nh,powlaw_nh_hilim,powlaw_gamma_hilim,powlaw_stat,flux_powlaw,flux_powlaw_lolim,powlaw_nh_lolim,powlaw_gamma_lolim,powlaw_ampl_lolim,powlaw_gamma,powlaw_ampl,bb_ampl,bb_kt_hilim,flux_bb_hilim,bb_nh_hilim,bb_nh_lolim,bb_ampl_hilim,bb_nh,flux_bb_lolim,bb_stat,bb_kt,bb_ampl_lolim,bb_kt_lolim,flux_bb,brems_kt,brems_kt_hilim,brems_nh,brems_kt_lolim,brems_stat,brems_nh_hilim,brems_nh_lolim
NS_OBS_310,NS,XMMU J004245.2+41172,NS0046,4.71,-6.3257820544233,-4.20115632504565,-5.639923326336747,-6.161552215318079,-5.9536183792846,-5.70371476226871,-5.1711707138055525,-6.825503756882072,-5.935784406947029,-4.498602790280024,-7.4510182833919965,-6.6114910764619985,-6.629566144913132,-6.019166014203642,-5.827743530701321,-13.470227249730206,-14.725312237496153,-15.104589663055053,-15.213860271269622,-14.038296741267109,-14.284081483255003,-14.89251248329005,-14.796433585022074,-15.551737938414494,-16.061359751107183,-14.022007135355347,-6.3406312748426625,-14.095792197720817,-13.612985844771437,-7.207600024449099,-14.343547209521592,-14.048088922829665,-15.078516507452457,-14.693424441294216,-15.521394592250415,-5.219695285077292,5.8025e-05,0.54675,0.7090000000000001,0.7443028333333342,0.75,0.00039737499999999994,0.8185,1.8038046199999994e-06,0.000202425,0.00026809999999999996,4.656,-0.8185095238095238,-0.6888095238095236,0.19764761904761904,0.7937681818181819,0.8805958333333334,0.7112458333333332,0.1115958333333333,0.37227272727272726,-0.1819363636363636,0.007783728755555552,-13.14865520236061,270.9575834042434,294.96305166666673,2.0416153312629404,1.6596550000000005,-13.240085630365316,-13.378646891216576,224.7081666666667,1.4502616600790517,0.006857545764655166,1.7000916407867495,0.00895438058103449,0.013985353457142862,3.166099666666668,-13.135007124349498,125.10878833333327,103.23145000000004,0.01691039483333333,112.95085833333327,-13.368115454265054,2.340253333333336,1.97338,0.014550436642857132,1.540436000000002,-13.206603391047965,9.48336645977011,57.1986153096903,204.45950000000008,5.143852899024512,2.6577752727272737,233.7823666666669,192.56268333333344
CV_OBS_63,CV,[HPH2013] 108         ,CV0005,14.3,-6.07379690914931,-4.055959595284009,-5.433361959652363,-6.056949721679083,-5.616809442639684,-5.749229015424561,-4.896890597201405,-7.119624602750918,-6.0179753878898135,-4.2516346503407805,-7.045197731494115,-6.714576388703704,-6.111973773269224,-5.992039437657669,-6.158669328744949,-12.969466166573458,-14.760603462326815,-14.624664709861808,-14.717391064473421,-13.364913619900543,-14.369103492138022,-14.628603949243097,-14.437921865001195,-15.386523914943396,-15.650587884677151,-13.849713023350827,-5.884992981787038,-14.051855532379303,-12.754914428468652,-6.60094688152113,-14.152398281701059,-14.264373901781251,-15.483222746651695,-14.508628262916814,-15.417947912250538,-4.932608438559959,0.00032280000000000004,0.495,0.632,0.7366820000000005,0.0,0.001832,0.73,5.530452680000003e-06,0.001149,0.001459,4.479666666666667,-0.8461333333333334,-0.7035333333333332,-0.014150000000000015,0.14406666666666668,0.6735333333333333,0.33313333333333334,-0.33936666666666665,-0.6061,-0.7620166666666667,0.006960095429629626,-13.08214259867733,207.91608336878843,232.6869516666667,2.0405848075475244,1.6736700000000004,-13.167716232591795,-13.254119945788483,188.64023333333336,1.4544633267457183,0.0025129344034482766,1.6954523550724634,0.004935220796551725,0.0027288933963585445,2.389258833333336,-13.126398359341383,122.95625499999994,86.7259966666667,0.0038910073566335653,96.10079166666668,-13.297213744702495,2.3985729047619073,1.9858925000000005,0.002337628061344538,1.5826890000000011,-13.154816211796321,9.329864932854996,56.5747434165834,135.07395,5.135703447772868,2.5268072424242436,150.03026666666673,114.3580000000001
PULSAR_OBS_226,PULSAR,PSR J1745-2900,PL0081,107.91,-7.22873366476486,-5.126538795199676,-6.534383007383819,-6.324040447422519,-6.445289574645277,-4.595548841339731,-6.240518188164357,-4.852489188661383,-4.649990524444359,-5.4773230514686135,-6.895844658598732,-4.721198004514044,-6.473531931815802,-4.778700984236662,-4.724558066456958,-14.369931473186744,-14.854584392729366,-12.894448145124676,-14.990435077784845,-14.271022253211793,-12.847106191892799,-15.322155805308162,-15.22977320381225,-15.969750177567672,-15.398273310162784,-13.13752722543602,-5.080827232202288,-12.791694803393959,-13.857620457131407,-5.161758916125685,-12.846911297441286,-12.79043116164433,-12.896849631122434,-13.204865467578085,-13.260355857926129,-4.93589092143037,0.0058273445137719294,0.473453216374269,0.7319356725146197,0.75,2.8684210526315783,0.0355881543859649,0.7301140350877194,8.803350000000009e-05,0.006361222807017541,0.009333092982456138,5.5,-0.2156,0.18937894736842104,0.5645947368421053,0.9943249999999999,0.9865263157894737,0.9699491228070176,0.9326350877192986,0.9813166666666671,0.9309216666666669,0.003704791851851852,-12.750399193216577,1022.5413793103447,1228.9,3.3685862068965524,1.0013103448275862,-12.821025333483844,-13.021140304478637,850.4172413793104,2.234517241379311,0.00155112724137931,2.782068965517242,0.0029387765517241374,7.139965517241378e-05,1.321144827586207,-12.756313381637451,789.9413793103449,530.4241379310345,0.00015310468965517242,645.5965517241381,-12.987778313902048,1.052655172413793,1.1449482758620695,3.717600000000001e-05,1.0054758620689657,-12.814547433011404,8.49003448275862,38.86942857142857,898.9448275862071,3.7583793103448278,1.0052758620689657,1059.7655172413793,763.2137931034482
PULSAR_OBS_392,PULSAR,PSR J1856+0113,PL0108,15.97,-5.880902282721004,-5.985412023918028,-5.755241841703895,-5.362493899434939,-5.658549363053829,-4.779026205353214,-6.944621668625,-5.3365191216096575,-4.816652464883979,-5.622511616623868,-5.4809741498823525,-4.857939041006496,-5.417082527778736,-5.272122419099216,-5.216303861372311,-15.288704467917947,-14.014514191501078,-13.401450326836416,-14.0696076270187,-15.751656322410309,-13.473741510483729,-14.657216972646152,-14.553617754821866,-14.796847138311994,-14.13439301038819,-13.70429100987689,-5.272794982279873,-13.32451348356616,-15.27373195318231,-5.333936271832134,-13.361281339847297,-13.417436330431215,-13.538662311242883,-13.754644455180987,-13.808476377041133,-5.213358206346876,5.83925e-05,0.22183333333333333,0.32675000000000004,0.8282000000000002,0.16666666666666666,0.0034626666666666673,0.41616666666666663,4.7704200000000015e-06,0.0030672333333333335,0.003117283333333333,6.0,0.24673333333333333,0.3656,0.4874,0.6044333333333333,0.2579666666666667,0.16779999999999998,0.07433333333333332,0.5022000000000001,0.39703333333333335,2.9370000000000002e-05,-13.317978802551885,76.7,97.55000000000001,2.3785,1.0154999999999998,-13.365847148139682,-13.424169173985614,59.730000000000004,1.791,1.4599999999999999e-05,2.0705,2.0515000000000003e-05,9.641000000000001e-06,0.9439500000000001,-13.3569076650177,28.724999999999998,6.46985,1.433e-05,16.494999999999997,-13.483719950533475,1.3995000000000002,0.85095,6.577e-06,0.76675,-13.408632440586086,6.176,14.6615,62.03,3.8709999999999996,1.0510000000000002,77.46,49.275
TUC_OBS_575,TUC,CXOGLB J002409.2-720543,TC0054,6.1,-6.80580875925544,-5.827142124044859,-6.199048202377737,-6.422954920793647,-5.9959732259692675,-5.631028053980941,-7.003770868324783,-7.023419662748523,-5.797816448314352,-6.411751073312357,-7.142822214715884,-6.206151615588164,-6.57707980208509,-6.461648278164573,-6.199275715443685,-15.19795013312887,-15.026867282702538,-14.994535418926748,-15.22402913013192,-16.326178318086214,-14.789600537061796,-15.01110672380329,-14.80443648876754,-15.643080787527689,-15.669052232338496,-14.566904897215284,-6.196693317419846,-14.362310981469221,-15.555454390178543,-6.6866552423640515,-14.539016387682299,-14.484933856285053,-15.25574376639035,-14.817305829633625,-15.388006941616442,-5.858874508292412,3.1603499999999997e-05,0.49215,0.56425,0.7030000000000001,0.3,0.0005534100000000001,0.5232499999999999,3.4305999999999995e-07,0.0003531585,0.00037051499999999997,4.200000000000001,-0.6435666666666666,-0.4164,-0.02213333333333333,0.08806,0.4385555555555556,0.08467777777777778,-0.2675222222222222,-0.35117,-0.62437,0.006127884185185181,-13.078993633601371,222.23958340424343,246.8007700000001,2.087349927536231,1.4224160434173678,-13.185597731084908,-13.255114884030542,190.7996666666667,1.3828558333333334,0.007877059342241371,1.6896431884057967,0.011080054487068973,0.013666321800000008,2.416405166666668,-13.125855686696855,118.76812166666657,104.82498000000005,0.01654986961372549,104.64523333333332,-13.3002232713063,2.336033666666669,1.9693233333333335,0.013956304271428561,1.5824510000000016,-13.168647824398917,9.993159770114941,184.37716214285712,196.29185000000004,4.960845318564743,1.5823729999999991,235.576866666667,186.37781666666677
NS_OBS_48,NS,1A 1742-289         ,NS0001,167.36,-8.003181978120484,-5.31093480646301,-7.304255724802678,-7.0115734175381,-6.9018136923333655,-6.138206340084517,-6.277599659381374,-7.261724471068535,-6.337435676702148,-5.622611193254604,-6.936872793021061,-7.191010691006647,-6.826614661719072,-6.453670771156101,-6.256611265385977,-14.554672708070289,-15.556346269350213,-15.100404106359742,-15.443218141350867,-15.323284593801093,-14.560618033238837,-16.12546020292899,-15.731501307398059,-16.824488186636554,-15.511328372032974,-14.468481421695857,-6.730978423088583,-14.263353581483829,-14.749945018417645,-7.6202154911542355,-14.47505960079909,-14.252366376585258,-15.080982576115588,-14.86420398835591,-15.43605787398717,-6.082946445241945,0.0002534145307999026,0.2527989171347696,0.5178971995781996,0.7596,0.16026425438596487,0.006988530796037852,0.5638024878972882,0.002257511,0.0043180551073592885,0.004776882642980849,5.200000000000001,-1.0,-0.9993999999999998,0.03497000000000002,0.9873799999999999,1.0,0.9993999999999997,0.5074153846153846,0.9677899999999999,0.2907,0.007774669599999997,-13.704920373287013,1311.3249655172415,1469.528249999999,2.1355041666666663,1.8380333333333334,-14.041708095815828,-14.79305702174678,1116.020663793104,1.4014119169960464,0.01261846801465518,1.6964812318840574,0.012783976231034489,0.01422041580000001,8.75014083333333,-13.536930122936578,1080.396310344827,786.885913793103,0.016982330470868348,770.2905517241375,-13.889960637199392,2.2037560000000016,2.098140833333334,0.014584551342857128,1.5481080000000011,-13.513874688826014,10.28726752873563,70.85550520146523,1191.368293103448,4.977372687244041,2.742482255411255,1316.2962413793105,978.5075172413787
TUC_OBS_28,TUC,CXOGLB J002408.3-720431,TC0005,23.37,-5.595393051751843,-4.913156000797968,-5.442097455995844,-5.921538641088734,-5.345559470329242,-5.06729543944068,-5.271181700360549,-6.573253707207584,-5.152374608904698,-5.0373407077869885,-6.348131682809731,-5.276360667681866,-6.062743699064154,-6.149786149525882,-5.986659843631423,-14.103720567941233,-14.508772445642734,-14.065043589057899,-14.689301820537617,-14.486749297257466,-14.429823319959228,-14.168577309919897,-14.072097161148081,-14.321909511249862,-15.076237040194638,-14.079667270648066,-5.38632892391184,-13.846970129935858,-14.23741963746931,-5.571353362412899,-13.934445395879198,-14.251979710097007,-14.88687736078189,-14.201217171814504,-14.388399922492834,-5.246918436704392,0.00020233681515151514,0.5103651515151514,0.6090348484848485,0.6342,0.6045454545454545,0.0020472922727272727,0.6564666666666668,1.30106e-06,0.001203667272727273,0.001384999696969697,3.8,-0.7733181818181819,-0.676390909090909,-0.4741818181818182,-0.5136000000000001,0.20766363636363636,-0.2300909090909091,-0.4587545454545454,-0.7189909090909091,-0.827490909090909,3.950666666666667e-06,-13.9336554639384,5.128433333333333e-06,4.8020000000000005,2.8379999999999996,0.8069999999999999,-13.9756687843257,-14.017347743299547,3.184244333333333,2.3646666666666665,3.0163333333333332e-06,2.5356666666666663,3.2799999999999995e-06,0.0002889,0.2633666666666667,-14.164917821064485,1.4013333333333333,9.891471499999996,0.0004849000000000001,1.7793333333333335e-06,-14.337251766272772,4.224666666666667,0.2325,0.00016766666666666669,0.20743333333333336,-14.222053718305247,1.289,1.7533333333333336,1.7396666666666669e-06,0.9669333333333334,1.7156666666666667,1.1129666666666667,1.7988709166666652
CV_OBS_233,CV,[HPH2013] 192         ,CV0019,52.93,-4.5371443839982355,-3.8495946403366648,-5.399138561946336,-6.004508146240256,-5.476935945963178,-5.37291535964009,-3.5555790261713014,-6.636355282294904,-5.139825979096232,-3.332547699883401,-7.296496432728098,-5.646103893089569,-6.303755551935005,-5.811097845926524,-5.805290410012616,-13.069128491534014,-14.565228897538757,-13.82134333988477,-14.855831245566906,-12.72294569645953,-13.91396952769819,-14.043329952425529,-14.313391851412147,-14.157295747582817,-15.716994518373959,-13.583152132227418,-6.048535154360374,-13.990361301823041,-12.499916978767708,-6.818232619253017,-13.530437706298267,-13.992266092536513,-14.872431176913505,-14.628634944339096,-15.381210932041945,-4.505372805310501,0.0012072135,0.17833333333333334,0.34249999999999997,0.9945000000000003,0.0,0.014802833333333333,0.4028333333333333,0.00025103000000000007,0.0106775,0.012115166666666666,5.5,-0.8817333333333334,-0.7178916666666666,0.016325000000000006,0.22819166666666665,0.6573083333333334,0.29055000000000003,-0.38359999999999994,-0.3638416666666667,-0.6976916666666667,1.389e-06,-13.196611175016384,1.972e-06,1.092,10.565999999999999,2.8480000000000003,-13.220836576235499,-13.245116771747833,4.498050499999999,9.775,1.146e-06,10.0,1.219e-06,0.01323,0.1216,-13.856985199745905,0.9737,10.363196333333326,0.07648309547216711,2.888e-06,-14.112551499750044,22.33,0.1208,0.01162,0.1149,-13.970616222314789,0.08697,0.08775,1.6930000000000001e-06,0.08615,4.015,0.2558,3.9580030289743586
PULSAR_OBS_169,PULSAR,PSR J1509-585,PL0056,3.0,-7.67766860752704,-5.977412251629402,-7.198184831418562,-6.947437001810238,-6.855737226238008,-6.3291784034978065,-6.785276279871384,-6.664542099310617,-6.154901959985742,-6.103667816180709,-7.229516190568893,-6.330962199114843,-6.852014679316195,-6.451487743658965,-6.487063711289996,-14.905079069351148,-15.532706339489529,-14.686976889676762,-15.417482116395938,-15.606921640498456,-14.674907261981954,-15.743157046930534,-15.953504835665292,-16.48757134078578,-15.795066477645856,-14.687251948930184,-6.502531276290032,-14.479548698234094,-15.004411781167132,-6.731568299541498,-14.683920219116322,-14.466747121565263,-15.293225398919816,-14.903480136839086,-15.651312871088896,-6.560369508358656,0.0004183558809183651,0.3529994864943027,0.5412320611263736,0.887,0.21326288879249408,0.007019038256779888,0.6105488762667889,1.6889999999999998e-07,0.004101040698568718,0.004821332752106891,6.0,-0.17300000000000001,0.331,0.7027,0.9225,0.83885,0.7152,0.19365,0.6983,0.3616,0.005681738355555552,-13.712912822249002,425.2054138285584,486.6779508333332,2.1020563095238085,1.473257352941177,-13.998658286023785,-14.439964627223672,358.24985057471247,1.3633957575757574,0.010994273892241382,1.6673178985507249,0.012253498921551729,0.013807033700000006,7.196376666666665,-13.566961724004873,309.76538333333355,211.0266660919541,0.01639886938515406,244.56782385057474,-13.857394383707728,2.1089560000000023,2.104185833333333,0.013731548557142845,1.543468000000001,-13.517111133714485,9.88081885057471,180.21622404761897,439.51139655172426,4.921208370993074,1.6987599523809527,454.1301666666666,397.08735
NS_OBS_114,NS,GRS 1741.9-2853     ,NS0021,376.06,-7.26074419673149,-3.873533156987996,-5.915288728524423,-6.148970553667233,-5.749936172291561,-5.271189812475378,-4.736324767329304,-5.211557437781271,-5.0716969769776385,-4.01970965990855,-6.14619754086659,-5.6201492468653225,-5.753000597653374,-5.30368968535258,-5.394716762240983,-13.1380507081301,-14.71034530348087,-13.908673584496102,-14.69436286648305,-13.84795863405438,-13.295877088503987,-14.154144207069015,-14.320081999542479,-15.054366117139143,-14.57220762541534,-13.418935207771696,-5.379820799471728,-13.359326454646443,-13.533184428061716,-6.045949326175892,-13.309889670010257,-13.328227210389397,-13.69379754629678,-14.032162217581037,-14.160953207844068,-4.602973437180985,0.0012531333333333334,0.4781666666666667,0.457,1.0,0.6666666666666666,0.020078,0.5901666666666667,0.00867674,0.017087,0.018299666666666665,8.0,-0.8962166666666667,-0.8326249999999998,-0.10597499999999999,0.8009499999999999,0.9405583333333333,0.9034083333333331,0.366325,0.518125,-0.13751666666666668,0.0006724,-11.869666231504992,792.7,977.7,1.4809999999999999,0.997,-11.910801633194849,-12.031283622533214,643.7,0.7020000000000001,0.0001699,1.067,0.00032310000000000005,2.852e-05,2.187,-11.867420152340262,659.7,455.5,4.425e-05,547.2,-11.993106292052099,0.98,1.8880000000000001,1.863e-05,1.651,-11.90031935889075,54.32,783.5996371062276,898.0,19.96,1.0070000000000001,973.5,800.6
