,src_n,src_id,index,sepn,instrument,detect_stack_id,name,ra,dec,obsid,obi,src_rate_aper_m,src_rate_aper_lolim_m,src_rate_aper_hilim_m,src_cnts_aper_u,src_cnts_aper_lolim_u,src_cnts_aper_hilim_u,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,src_cnts_aper_h,src_cnts_aper_lolim_h,src_cnts_aper_hilim_h,sat_src_flag,src_rate_aper_s,src_rate_aper_lolim_s,src_rate_aper_hilim_s,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,src_rate_aper_b,src_rate_aper_lolim_b,src_rate_aper_hilim_b,theta,phi,region_id,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,src_cnts_aper_m,src_cnts_aper_lolim_m,src_cnts_aper_hilim_m,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_cnts_aper_s,src_cnts_aper_lolim_s,src_cnts_aper_hilim_s,src_rate_aper_h,src_rate_aper_lolim_h,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,src_rate_aper_u,src_rate_aper_lolim_u,src_rate_aper_hilim_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,src_cnts_aper_b,src_cnts_aper_lolim_b,src_cnts_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,livetime,detector,match_type,cnts_aper_b,cnts_aperbkg_b,cnts_aper_h,cnts_aperbkg_h,cnts_aper_m,cnts_aperbkg_m,cnts_aper_s,cnts_aperbkg_s,cnts_aper_u,cnts_aperbkg_u,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,mstr_flux_aper_b,mstr_flux_aper_lolim_b,mstr_flux_aper_hilim_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,acis_num,acis_hetg_num,acis_letg_num,hrc_num,hrc_hetg_num,hrc_letg_num
0,1A 0620-00          ,BH0001,0,0.0,ACIS,acisfJ0622444m002121_001, 2CXO J062244.5-002044,95.68557,-0.345644,95,0,0.00099825,0.00082614,0.0011704,5.3059,2.3737,8.0985,2.64e-06,2.286e-06,2.994e-06,3.905e-15,3.361e-15,4.419e-15,False,32.654,25.851,39.004,False,0.0015917,0.0013782,0.0018052,713.55,132.82,234.64,353.11,22.32,68184205.038,68226877.038,42672.0,2000-02-29T04:03:25,2000-02-29T15:54:37,51603.16904,50814.0,8.939e-06,8.083e-06,9.794e-06,0.0033685,0.0030461,0.003691,0.614,11.59,11,9.337e-15,7.312e-15,1.136e-14,41.859,34.642,49.077,5.733e-07,2.565e-07,8.751e-07,66.745,57.793,75.696,0.00077873,0.0006165,0.00093015,10.45,4.97,5.8,7.46,1.85,0.00012653,5.6607e-05,0.00019313,1.7e-14,1.529e-14,1.871e-14,3.49e-16,1.653e-16,5.327e-16,3.847e-15,3.163e-15,4.488e-15,1.852e-06,1.466e-06,2.212e-06,141.25,127.73,154.77,1.534e-06,1.269e-06,1.798e-06,0.0974,-0.0381,0.2255,-0.1761,-0.2954,-0.0606,-0.2673,-0.3679,-0.1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.104,0.722,0.39,0.0001275,0.003087,0.003007,0.004494,4.0,0.606,0.306,0.082,0.0001483,0.0006898,0.0006431,0.002975,0.0,0.383,0.504,0.36,0.0001157,0.0009226,0.000889,0.003104,1.0,0.523,0.988,0.985,0.0001977,0.001467,0.001259,0.001694,0.0,0.493,0.474,0.672,1.708e-05,0.0001187,0.0001158,0.0004187,41932.7,         ACIS-7,u          ,131,12,29,5,39,3,63,4,5,2,23.63,3822.529,False,False,False,1.7e-14,1.529e-14,1.871e-14,8.0,1.0,2.955e-05,8.0,1.0,7.28e-06,8.0,1.0,5.391e-06,8.0,1.0,6.448e-06,7.0,0.982,1.051e-05,3,0,0,0,0,0
1,1A 0620-00          ,BH0001,1,0.0,ACIS,acisfJ0622443m002022_001, 2CXO J062244.5-002044,95.68557,-0.345644,5479,0,0.0031369,0.0027983,0.0034556,5.3998,2.6307,8.1689,7.451e-06,6.751e-06,8.151e-06,1.152e-14,1.043e-14,1.261e-14,False,64.226,54.208,73.687,False,0.003445,0.0031058,0.0037631,1647.71,294.27,674.01,715.13,15.88,240915814.484,240955945.684,40131.2,2005-08-20T09:03:34,2005-08-20T20:12:26,53602.37748,50814.0,2.35e-05,2.189e-05,2.501e-05,0.0081586,0.0076013,0.0086832,0.568,9.06,17,2.361e-14,2.004e-14,2.697e-14,124.29,110.88,136.92,2.091e-06,1.019e-06,3.164e-06,136.5,123.06,149.1,0.0016209,0.0013681,0.0018597,15.08,6.6,9.85,10.64,1.95,0.00013628,6.6392e-05,0.00020617,4.741e-14,4.418e-14,5.045e-14,9.478e-16,4.288e-16,1.444e-15,1.238e-14,1.112e-14,1.364e-14,4.127e-06,3.484e-06,4.735e-06,323.27,301.18,344.05,5.416e-06,4.866e-06,5.966e-06,-0.1324,-0.2217,-0.0468,-0.2898,-0.3691,-0.2105,-0.1624,-0.228,-0.0956,4.273e-14,3.918e-14,4.663e-14,    2.451,    2.239,    2.686,,    23.29,    17.38,    29.79,,1.971e-05,1.625e-05,2.405e-05,,    0.836,3.242e-14,2.902e-14,3.542e-14,   0.4657,   0.4332,   0.5002,,1.986e-06,,    1.035,,7.262e-05,6.822e-05,9.334e-05,,    1.936,4.118e-14,3.683e-14,4.432e-14,    2.481,    2.000,    3.134,,    11.05,    6.992,    15.48,,1.868e-05,1.582e-05,2.237e-05,,    0.859,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.072,0.581,0.483,3.637e-05,0.008195,0.008151,0.008233,0.0,0.104,0.294,0.328,7.222e-06,0.001591,0.001579,0.001598,0.0,0.195,0.911,0.652,0.0001077,0.003129,0.002979,0.003244,0.0,0.067,0.053,0.013,8.823e-06,0.003478,0.003468,0.003488,0.0,0.481,0.497,0.656,1.362e-05,0.0001369,0.0001284,0.0002268,39623.0,         ACIS-7,u          ,304,25,59,9,116,9,129,7,5,3,23.63,3822.529,False,False,False,1.7e-14,1.529e-14,1.871e-14,8.0,1.0,2.955e-05,8.0,1.0,7.28e-06,8.0,1.0,5.391e-06,8.0,1.0,6.448e-06,7.0,0.982,1.051e-05,3,0,0,0,0,0
2,1A 0620-00          ,BH0001,2,0.0,ACIS,acisfJ0622443m002022_001, 2CXO J062244.5-002044,95.68557,-0.345644,14656,0,0.0052598,0.0047576,0.005762,5.4021,2.6318,8.1724,1.211e-05,1.085e-05,1.337e-05,2.065e-14,1.851e-14,2.28e-14,False,122.13,109.24,134.25,False,0.0042718,0.003828,0.0047156,2216.07,630.89,935.75,660.21,18.61,502938701.432,502968768.185,30066.753,2013-12-09T01:11:41,2013-12-09T09:32:48,56635.04979,50814.0,3.845e-05,3.62e-05,4.069e-05,0.013671,0.012878,0.014464,0.179,298.8,17,6.2e-14,5.518e-14,6.842e-14,156.18,141.27,171.09,1.143e-05,5.568e-06,1.729e-05,126.76,113.59,139.93,0.0041156,0.0036814,0.0045243,17.13,10.06,10.47,9.63,1.95,0.00018205,8.869e-05,0.00027541,1.048e-13,9.878e-14,1.108e-13,0.0,0.0,1.967e-15,2.281e-14,2.061e-14,2.5e-14,1.015e-05,9.14e-06,1.116e-05,405.67,382.14,429.21,9.311e-06,8.422e-06,1.02e-05,0.04,-0.0281,0.1068,-0.0912,-0.1618,-0.0194,-0.1299,-0.1968,-0.0618,9.316e-14,8.634e-14,9.941e-14,    2.193,    2.020,    2.379,,    23.98,    17.94,    30.60,,3.559e-05,2.990e-05,4.250e-05,,    0.846,7.683e-14,7.126e-14,8.323e-14,   0.5920,   0.5576,   0.6263,,1.225e-07,,   0.8602,,6.391e-05,6.046e-05,7.810e-05,,    1.743,9.033e-14,8.257e-14,9.683e-14,    3.440,    2.799,    4.313,,    13.14,    8.830,    17.89,,3.408e-05,2.996e-05,3.907e-05,,    0.814,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.086,0.183,0.445,4.811e-05,0.01267,0.01262,0.01272,0.0,0.236,0.514,0.073,0.0002995,0.003725,0.003548,0.005582,2.0,0.892,0.842,0.519,0.001753,0.004954,0.003847,0.0169,0.0,0.074,0.567,0.344,2.273e-05,0.003991,0.003964,0.004026,0.0,0.485,0.695,0.765,8.369e-06,0.0001663,0.0001636,0.0002429,29673.9,         ACIS-7,u          ,381,24,112,9,149,5,120,10,5,3,23.63,3822.529,False,False,False,1.7e-14,1.529e-14,1.871e-14,8.0,1.0,2.955e-05,8.0,1.0,7.28e-06,8.0,1.0,5.391e-06,8.0,1.0,6.448e-06,7.0,0.982,1.051e-05,3,0,0,0,0,0
3,1E 1740.7-2942      ,BH0002,1,0.003073585,ACIS,acisfJ1744024m295226_001, 2CXO J174354.8-294443,265.9785,-29.74529,2286,0,,,,,,,,,,,,,False,34008.0,33793.0,34222.0,False,,,,,151803.03,,,,112077922.575,112089682.575,11760.0,2001-07-21T04:45:23,2001-07-21T08:01:23,52111.19818,50814.0,,,,,,,7.905,1.73,17,9.584e-11,9.524e-11,9.644e-11,,,,,,,,,,2.9289,2.9105,2.9474,,158.52,,,,,,,,,,,,,,,,0.00852,0.008467,0.008574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.154,0.987,0.942,0.006242,2.897,2.891,2.903,,,,,,,,,,,,,,,,,,,,,,,,,11611.1,         ACIS-3,u          ,        NaN,        NaN,33265,4024,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
4,1E 1740.7-2942      ,BH0002,2,0.003073585,ACIS,acisfJ1742307m294009_001, 2CXO J174354.8-294443,265.9785,-29.74529,2290,0,,,,,,,,,,,,,False,36982.0,36760.0,37205.0,False,,,,,147854.4,,,,112102942.826,112114702.826,11760.0,2001-07-21T11:42:23,2001-07-21T14:58:23,52111.48776,50814.0,,,,,,,18.833,117.92,31,1.486e-10,1.477e-10,1.495e-10,,,,,,,,,,3.1851,3.1659,3.2042,,166.39,,,,,,,,,,,,,,,,0.01354,0.01346,0.01362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.013,0.974,0.965,0.0002681,3.219,3.219,3.219,,,,,,,,,,,,,,,,,,,,,,,,,11611.1,         ACIS-6,u          ,        NaN,        NaN,37153,5958,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
5,1E 1740.7-2942      ,BH0002,3,0.003073585,ACIS,acisfJ1743543m294508_001, 2CXO J174354.8-294443,265.9785,-29.74529,3671,1, 0.012232, 0.010370, 0.014094,   2.0021,  0.26114,   3.7430,1.158e-05,9.020e-06,1.400e-05,1.844e-14,1.437e-14,2.230e-14,False,6481.2,6385.2,6577.2,False,0.0058831,0.0045833,0.0071144, 21762.36,22584.38,   165.45,    83.80,,145977436.965,145982975.365,5538.4,2002-08-17T13:17:17,2002-08-17T14:49:35,52503.55367,50814.0,3.429e-03,3.379e-03,3.479e-03,   1.2838,   1.2649,   1.3027,0.58,10.8,54,2.555e-11,2.518e-11,2.593e-11,   61.442,   52.090,   70.793,4.195e-06,5.472e-07,7.842e-06,   29.551,   23.022,   35.736,1.2903,1.2712,1.3094,    67.98,67.51,     6.57,     4.65,     1.15,0.00039858,5.1989e-05,0.00074517,2.514e-11,2.477e-11,2.551e-11,0.000e+00,0.000e+00,1.379e-15,5.321e-14,4.516e-14,6.127e-14,0.00304,0.002995,0.003086,   6448.5,   6353.7,   6543.4,1.955e-05,1.657e-05,2.252e-05,   0.9869,   0.9850,   0.9888,   0.9919,   0.9913,   0.9938,   0.2586,   0.1380,   0.3779,2.020e-11,1.954e-11,2.061e-11,    4.625,    4.465,    4.760,,     1561,     1510,     1609,,    1.822,    1.401,    2.383,,    1.591,1.924e-11,1.868e-11,1.958e-11,   0.7512,   0.7323,   0.7705,,     1020,    987.1,     1055,,  0.02714,  0.02307,  0.03205,,    2.033,1.983e-11,1.932e-11,2.021e-11,    1.601,    1.523,    1.686,,     1254,     1219,     1290,,   0.1581,   0.1366,   0.1834,,    1.797,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.000,    0.216,    0.191,    0.000,    1.122,    1.122,    1.122,0.0,0.0,0.363,0.172,0.0,1.106,1.106,1.106,0.0,    0.267,    0.732,    0.244,0.0004666,  0.01084,  0.01037,  0.01131,0.0,    0.355,    0.512,    0.763,0.0006933, 0.005058, 0.004323, 0.007045,,,,,,,,,5023.0,         ACIS-7,u          ,       6207,       2434,6119,2367,         60,         53,         28,         14,          2,          9,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
6,1E 1740.7-2942      ,BH0002,4,0.003073585,ACIS,acisfJ1744307m294228_001, 2CXO J174354.8-294443,265.9785,-29.74529,2278,1,,,,,,,,,,,,,False,18292.0,18135.0,18450.0,False,,,,,49289.48,,,,112040393.223,112052153.223,11760.0,2001-07-20T18:19:53,2001-07-20T21:35:53,52110.76381,50814.0,,,,,,,8.1,267.67,62,5.343e-11,5.297e-11,5.389e-11,,,,,,,,,,1.5754,1.5619,1.589,,116.76,,,,,,,,,,,,,,,,0.00789,0.007822,0.007958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,1.0,0.999,1.0,1.033,2.571,0.8292,4.403,,,,,,,,,,,,,,,,,,,,,,,,,11611.1,        ACIS-01,u          ,        NaN,        NaN,18137,6009,        NaN,        NaN,        NaN,        NaN,        NaN,        NaN,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
7,1E 1740.7-2942      ,BH0002,5,0.003073585,ACIS,acisfJ1743415m293742_001, 2CXO J174354.8-294443,265.9785,-29.74529,7042,0,0.0015938,0.0012015,0.0019861,   2.5415,  0.42359,   4.5183,7.221e-06,4.238e-06,1.005e-05,7.997e-15,4.464e-15,1.153e-14,False,4019.6,3945.7,4093.5,False,0.00052961,0.00029560,0.00076362,  9064.98,10470.92,    35.10,     7.90,,267814670.431,267829304.031,14633.6,2006-06-27T16:57:50,2006-06-27T21:01:44,53913.70683,50814.0,3.100e-03,3.043e-03,3.156e-03,  0.27674,  0.27167,  0.28181,7.58,184.92,78,8.558e-12,8.401e-12,8.715e-12,   23.027,   17.359,   28.696,2.057e-04,6.858e-05,3.429e-04,   7.6520,   4.2709,   11.033,0.27821,0.27309,0.28332,    55.09,54.88,     4.13,     2.49,     1.50,0.00017591,2.9318e-05,0.00031272,8.468e-12,8.313e-12,8.623e-12,0.000e+00,0.000e+00,1.323e-12,1.065e-14,8.028e-15,1.327e-14,0.002213,0.002173,0.002254,   3998.5,   3925.2,   4071.7,9.988e-06,7.566e-06,1.241e-05,   0.9906,   0.9888,   0.9925,   0.9931,   0.9913,   0.9963,   0.1399,  -0.0743,   0.3654,7.837e-12,7.301e-12,8.113e-12,    1.406,    1.227,    1.590,,     1271,     1185,     1362,, 0.004179, 0.003032, 0.005822,,    0.836,7.897e-12,7.525e-12,8.099e-12,    1.775,    1.675,    1.886,,    922.8,    866.5,    982.4,,0.0002464,0.0002016,0.0003013,,    0.849,8.023e-12,7.591e-12,8.205e-12,    46.27,    21.71,    268.6,,     1247,     1184,     1319,, 0.006875, 0.006551, 0.007925,,    0.836,,,,,,,,,,,,,,,,,,,,,,,,,7.0,    0.998,    0.953,    0.881,   0.2066,   0.6445,   0.1574,    1.384,8.0,1.0,0.929,0.827,0.24,0.639,0.09213,1.509,1.0,    0.573,    0.914,    0.754,0.0008458, 0.003905, 0.003130, 0.004959,,,,,,,,,,,,,,,,,14448.3,        ACIS-02,u          ,       4000,       1641,3968,1569,         24,         48,          8,         24,          3,         16,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
8,1E 1740.7-2942      ,BH0002,6,0.003073585,ACIS,acisfJ1743415m293742_001, 2CXO J174354.8-294443,265.9785,-29.74529,7345,0,0.0026372,0.0020261,0.0032482,   1.9593,  0.25556,   3.6630,9.072e-06,5.063e-06,1.287e-05,9.363e-15,4.916e-15,1.381e-14,False,3162.4,3096.9,3227.8,False,0.00067245,0.00036083,0.00098408,  7908.85,7986.8,    54.41,    15.16,,267900011.497,267910091.497,10080.0,2006-06-28T16:40:11,2006-06-28T19:28:11,53914.69458,50814.0,3.540e-03,3.468e-03,3.613e-03,  0.31673,  0.31021,  0.32326,7.578,184.9,78,9.825e-12,9.623e-12,1.003e-11,   26.246,   20.165,   32.327,2.148e-04,4.295e-05,3.866e-04,   6.6925,   3.5911,   9.7939,0.31775,0.31117,0.32433,    48.95,48.7,     4.51,     2.32,     1.25,0.00019686,2.5678e-05,0.00036805,9.720e-12,9.520e-12,9.920e-12,1.027e-12,1.622e-13,1.892e-12,1.670e-14,1.283e-14,2.057e-14,0.002525,0.002473,0.002576,   3152.2,   3087.3,   3217.2,1.649e-05,1.273e-05,2.004e-05,   0.9869,   0.9850,   0.9900,   0.9931,   0.9900,   0.9950,   0.2661,   0.0556,   0.4803,8.904e-12,7.865e-12,9.210e-12,    1.479,    1.268,    1.697,,     1359,     1254,     1471,, 0.005561, 0.003791, 0.008240,,    1.181,8.885e-12,8.378e-12,9.182e-12,    1.744,    1.632,    1.872,,    987.3,    917.6,     1062,,0.0003039,0.0002395,0.0003859,,    1.187,9.010e-12,8.546e-12,9.249e-12,    32.08,    16.29,    144.0,,     1327,     1242,     1415,, 0.007836, 0.007588, 0.009181,,    1.180,,,,,,,,,,,,,,,,,,,,,,,,,8.0,    1.000,    0.945,    0.978,   0.2321,   0.7357,   0.2855,    1.278,7.0,0.997,0.955,0.976,0.2564,0.7218,0.09948,1.377,0.0,    0.483,    0.798,    0.451, 0.001133, 0.006547, 0.005339,  0.01085,0.0,    0.349,    0.465,    0.084,0.0001168, 0.001689, 0.001533, 0.002258,,,,,,,,,9952.4,        ACIS-02,u          ,       3152,       1158,3118,1098,         27,         39,          7,         21,          2,          9,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
9,1E 1740.7-2942      ,BH0002,7,0.003073585,ACIS,acisfJ1743415m293742_001, 2CXO J174354.8-294443,265.9785,-29.74529,7346,1,0.0021145,0.0016719,0.0025570,   4.7508,   2.1594,   7.3421,7.756e-06,4.848e-06,1.066e-05,2.602e-15,1.201e-15,3.936e-15,False,5255.5,5171.1,5339.9,False,0.00057596,0.00033806,0.00080133, 13519.23,12417.48,    58.55,     9.91,     8.89,268150258.459,268165695.259,15436.8,2006-07-01T14:10:58,2006-07-01T18:28:15,53917.59095,50814.0,3.845e-03,3.784e-03,3.906e-03,  0.34317,  0.33767,  0.34866,7.574,184.91,78,1.068e-11,1.05e-11,1.085e-11,   32.227,   25.482,   38.973,3.272e-04,1.496e-04,5.049e-04,   8.7783,   5.1525,   12.213,0.34482,0.33928,0.35036,    63.02,62.78,     5.03,     2.67,     1.84,0.00031170,0.00014168,0.00048172,1.056e-11,1.039e-11,1.073e-11,0.000e+00,0.000e+00,3.209e-14,1.304e-14,1.031e-14,1.577e-14,0.002747,0.002703,0.002791,   5230.3,   5146.6,   5314.0,1.343e-05,1.068e-05,1.602e-05,   0.9906,   0.9888,   0.9925,   0.9944,   0.9925,   0.9963,   0.2511,   0.0631,   0.4441,9.898e-12,9.345e-12,1.014e-11,    1.144,    0.993,    1.299,,     1116,     1046,     1190,, 0.003168, 0.002423, 0.004188,,    0.880,9.883e-12,9.540e-12,1.009e-11,    1.922,    1.821,    2.036,,    822.3,    777.3,    870.1,,0.0002302,0.0001935,0.0002741,,    0.899,1.001e-11,9.661e-12,1.023e-11,    100.0,    59.62,,,     1172,     1143,     1205,, 0.009387, 0.008587, 0.009613,,    0.885,,,,,,,,,,,,,,,,,,,,,,,,,9.0,    1.000,    0.256,    0.126,   0.2946,   0.7877,   0.2255,    1.565,9.0,1.0,0.218,0.12,0.2898,0.7819,0.177,1.543,0.0,    0.138,    0.188,    0.174,5.519e-05, 0.005341, 0.005266, 0.005397,,,,,,,,,,,,,,,,,15241.3,        ACIS-02,u          ,       5230,       1981,5187,1895,         34,         62,          9,         24,          5,         16,166.94,151803.0,False,False,False,,,,8.0,1.0,0.01374,8.0,1.0,0.00568,8.0,1.0,5.414e-05,6.0,0.974,5.472e-06,6.0,0.99,0.000321,7,0,0,1,0,0
