,src_n,src_id,index,sepn,instrument,detect_stack_id,name,ra,dec,obsid,obi,src_rate_aper_m,src_rate_aper_lolim_m,src_rate_aper_hilim_m,src_cnts_aper_u,src_cnts_aper_lolim_u,src_cnts_aper_hilim_u,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,src_cnts_aper_h,src_cnts_aper_lolim_h,src_cnts_aper_hilim_h,sat_src_flag,src_rate_aper_s,src_rate_aper_lolim_s,src_rate_aper_hilim_s,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,src_rate_aper_b,src_rate_aper_lolim_b,src_rate_aper_hilim_b,theta,phi,region_id,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,src_cnts_aper_m,src_cnts_aper_lolim_m,src_cnts_aper_hilim_m,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_cnts_aper_s,src_cnts_aper_lolim_s,src_cnts_aper_hilim_s,src_rate_aper_h,src_rate_aper_lolim_h,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,src_rate_aper_u,src_rate_aper_lolim_u,src_rate_aper_hilim_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,src_cnts_aper_b,src_cnts_aper_lolim_b,src_cnts_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,livetime,detector,match_type,cnts_aper_b,cnts_aperbkg_b,cnts_aper_h,cnts_aperbkg_h,cnts_aper_m,cnts_aperbkg_m,cnts_aper_s,cnts_aperbkg_s,cnts_aper_u,cnts_aperbkg_u,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,mstr_flux_aper_b,mstr_flux_aper_lolim_b,mstr_flux_aper_hilim_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,acis_num,acis_hetg_num,acis_letg_num,hrc_num,hrc_hetg_num,hrc_letg_num
0,[DSH2013] 24          ,CV0001,0,0.0,ACIS,acisfJ1336552m295344_001, 2CXO J133620.0-295106,204.0835,-29.85171,2064,0,0.00075508,0.00042741,0.0010685,0.0,0.0,1.061,1.37e-06,3.425e-07,2.329e-06,4.84e-15,1.21e-15,8.228e-15,False,9.1192,5.3526,12.688,False,0.00029555,7.3888e-05,0.00050244,27.88,10.91,16.22,,,116036653.256,116046621.256,9968.0,2001-09-05T00:24:13,2001-09-05T03:10:21,52157.01682,50814.0,8.386e-06,6.01e-06,1.076e-05,0.0018832,0.0013496,0.0024167,7.865,252.87,110,1.965e-14,1.092e-14,2.795e-14,7.4314,4.2064,10.516,0.0,0.0,2.457e-05,2.9088,0.72719,4.9449,0.00092658,0.00054386,0.0012892,3.53,2.49,2.36,1.38,0.0,0.0,0.0,0.00010781,2.713e-14,1.917e-14,3.508e-14,,,,3.641e-15,2.031e-15,5.181e-15,2.98e-06,1.749e-06,4.146e-06,18.534,13.283,23.785,1.829e-06,1.035e-06,2.588e-06,0.2611,-0.0194,0.5103,0.326,-0.0069,0.6465,0.0462,-0.2942,0.4279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.554,0.39,0.814,0.0008013,0.001898,0.001514,0.008859,,,,,,,,,4.0,0.641,0.583,0.914,0.0007455,0.0008298,0.0005553,0.005405,,,,,,,,,,,,,,,,,9841.8,         ACIS-2,u          ,19,34,9,21,7,4,3,9,0,2,9.81,250.012,False,False,False,1.259e-14,1.07e-14,1.449e-14,6.0,0.911,1.173e-06,6.0,0.957,5.497e-07,0.0,0.161,3.756e-07,0.0,0.033,9.945e-08,,,,3,0,0,1,0,0
1,[DSH2013] 24          ,CV0001,1,0.0,ACIS,acisfJ1336552m295344_001, 2CXO J133620.0-295106,204.0835,-29.85171,12992,0,0.00053497,0.00042678,0.00063716,0.0,0.0,2.0118,1.616e-06,1.067e-06,2.165e-06,3.787e-15,2.223e-15,5.27e-15,False,34.561,27.066,42.056,False,0.00019657,0.00012981,0.00026333,139.87,44.35,95.01,    16.00,,431504777.344,431571913.344,67136.0,2011-09-04T06:26:17,2011-09-05T01:05:13,55808.26826,50814.0,5.778e-06,4.988e-06,6.522e-06,0.0012334,0.0010643,0.0013925,8.173,253.08,110,8.865e-15,6.353e-15,1.123e-14,35.461,28.289,42.235,0.0,0.0,0.0001766,13.03,8.6047,17.455,0.00052139,0.00040832,0.00063447,7.53,4.61,5.09,2.94,0.0,0.0,0.0,3.035e-05,1.554e-14,1.286e-14,1.806e-14,0.000e+00,0.000e+00,9.380e-14,3.512e-15,2.802e-15,4.183e-15,1.706e-06,1.336e-06,2.075e-06,81.755,70.545,92.304,1.5e-06,1.197e-06,1.787e-06,0.0737,-0.0731,0.213,0.0025,-0.1843,0.2067,-0.0725,-0.2492,0.1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.656,0.827,0.717,0.0002619,0.001363,0.001175,0.003211,0.0,    0.242,    0.164,    0.533,2.391e-05,0.0006125,0.0005997,0.0007498,1.0,0.535,0.709,0.415,5.185e-05,0.0005359,0.0005108,0.001194,0.0,    0.478,    0.366,    0.614,1.236e-05,0.0002144,0.0002086,0.0003245,,,,,,,,,66285.9,         ACIS-2,u          ,89,264,40,182,35,33,14,49,1,17,9.81,250.012,False,False,False,1.259e-14,1.07e-14,1.449e-14,6.0,0.911,1.173e-06,6.0,0.957,5.497e-07,0.0,0.161,3.756e-07,0.0,0.033,9.945e-08,,,,3,0,0,1,0,0
2,[DSH2013] 24          ,CV0001,2,0.0,ACIS,acisfJ1336552m295344_001, 2CXO J133620.0-295106,204.0835,-29.85171,14332,0,0.00047571,0.00036273,0.00058869,0.0,0.0,1.9708,1.46e-06,8.296e-07,2.057e-06,0.0,0.0,1.783e-15,False,11.947,6.7879,16.834,False,0.00017396,9.8841e-05,0.00024513,81.3,12.36,64.2,    16.93,,431031047.581,431084100.381,53052.8,2011-08-29T18:50:48,2011-08-30T09:35:00,55802.78527,50814.0,4.09e-06,3.281e-06,4.854e-06,0.0008537,0.00068296,0.001015,8.173,253.13,110,5.05e-15,2.295e-15,7.69e-15,24.911,18.994,30.827,0.0,0.0,0.0001734,9.1094,5.1758,12.836,0.00022814,0.00012963,0.00032147,5.2,2.38,4.21,2.38,0.0,0.0,0.0,3.7637e-05,8.739e-15,5.771e-15,1.154e-14,,,,3.119e-15,2.363e-15,3.875e-15,7.614e-07,4.326e-07,1.073e-06,44.704,35.763,53.148,1.351e-06,1.03e-06,1.672e-06,-0.2661,-0.4878,-0.0556,-0.3648,-0.6015,-0.0893,-0.0899,-0.3004,0.1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.528,0.85,0.844,0.000127,0.001028,0.0009629,0.001923,,,,,,,,,0.0,0.486,0.678,0.513,3.663e-05,0.0004851,0.0004715,0.0009004,1.0,    0.631,    0.979,    0.967,5.724e-05,0.0001945,0.0001247,0.0002983,,,,,,,,,52365.0,         ACIS-2,u          ,53,235,18,166,25,31,10,38,1,20,9.81,250.012,False,False,False,1.259e-14,1.07e-14,1.449e-14,6.0,0.911,1.173e-06,6.0,0.957,5.497e-07,0.0,0.161,3.756e-07,0.0,0.033,9.945e-08,,,,3,0,0,1,0,0
3,[HPH2013] 100         ,CV0002,63,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,4360,0,   0.0000,   0.0000,0.00030241,0.0,0.0,1.1755,9.484e-07,4.992e-08,1.797e-06,0.0,0.0,1.649e-15,False,0.0,0.0,1.2675,False,0.00027223,1.4328e-05,0.00051581,,,,,,145477041.245,145482007.645,4966.4,2002-08-11T18:17:21,2002-08-11T19:40:08,52497.76205,50814.0,0.0,0.0,1.685e-06,0.00024302,0.0,0.00051162,2.335,73.56,248,0.0,0.0,5.707e-15,0.0,0.0,1.1534,0.000e+00,0.000e+00,2.291e-05,1.3349,0.070258,2.5293,0.0,0.0,0.0002922,0.0,0.0,     0.00,1.09,     0.00,   0.0000,   0.0000,0.00028538,0.0,0.0,1.655e-15,0.000e+00,0.000e+00,1.529e-14,0.000e+00,0.000e+00,1.553e-15,0.0,0.0,7.003e-07,1.1916,0.0,2.5087,0.000e+00,0.000e+00,6.056e-07,   0.9981,  -0.3067,   1.0000,-0.9994,-1.0,-0.2067,  -0.9994,  -1.0000,  -0.2780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4903.5,         ACIS-3,u          ,1,98,0,20,0,16,1,59,0,2,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
4,[HPH2013] 100         ,CV0002,64,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,4720,1,0.00035208,3.3531e-05,0.00065385,0.0,0.0,1.1859,0.0,0.0,1.324e-06,0.0,0.0,1.803e-15,False,0.0,0.0,2.1309,False,0.0,0.0,0.000354,,,,,,210522698.158,210527838.958,5140.8,2004-09-02T14:31:38,2004-09-02T15:57:19,53250.6053,50814.0,2.029e-06,3.529e-07,3.706e-06,0.00053465,9.2983e-05,0.00097632,2.259,87.15,248,7.954e-15,5.681e-16,1.477e-14,1.4465,0.13777,2.6864,0.000e+00,0.000e+00,4.701e-05,0.0,0.0,1.2217,0.0,0.0,0.00051864,1.21,0.0,     1.14,0.0,     0.00,   0.0000,   0.0000,0.00034362,7.329e-15,1.275e-15,1.338e-14,0.000e+00,0.000e+00,2.636e-14,1.925e-15,1.834e-16,3.575e-15,0.0,0.0,1.415e-06,2.1967,0.38203,4.0113,7.203e-07,6.860e-08,1.338e-06,   0.1999,  -0.5840,   0.6215,0.9994,-0.3167,1.0,  -0.0612,  -0.5041,   0.6964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4108.6,         ACIS-3,u          ,2,58,1,12,1,12,0,34,0,2,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
5,[HPH2013] 100         ,CV0002,65,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,4721,0,   0.0000,   0.0000,0.00033173,0.0,0.0,1.1874,0.0,0.0,1.206e-06,0.0,0.0,1.643e-15,False,1.479,0.073952,2.8841,False,0.0,0.0,0.00033055,,,,,,213310890.92,213316059.92,5169.0,2004-10-04T21:01:31,2004-10-04T22:27:40,53282.87605,50814.0,1.08e-06,0.0,2.273e-06,0.00030569,0.0,0.00061137,1.862,109.11,248,5.28e-15,2.779e-16,1.028e-14,0.0,0.0,1.1516,0.000e+00,0.000e+00,4.275e-05,0.0,0.0,1.2021,0.00035789,1.7894e-05,0.00069788,0.95,1.03,     0.00,0.0,     0.00,   0.0000,   0.0000,0.00032835,4.801e-15,0.0,9.602e-15,0.000e+00,0.000e+00,2.397e-14,0.000e+00,0.000e+00,1.723e-15,9.181e-07,0.0,1.788e-06,1.2633,0.0,2.5266,0.000e+00,0.000e+00,6.720e-07,   0.9994,   0.2317,   1.0000,0.9994,-0.0593,1.0,  -0.9994,  -1.0000,   0.0793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4132.7,         ACIS-2,u          ,1,84,1,22,0,11,0,48,0,2,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
6,[HPH2013] 100         ,CV0002,66,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,7140,0,   0.0000,   0.0000,0.00033270,0.0,0.0,1.1889,3.337e-06,0.0,6.499e-06,5.578e-15,2.936e-16,1.086e-14,False,0.0,0.0,1.2718,False,0.00031432,1.6543e-05,0.0006121,,,,,,275510012.742,275515136.742,5124.0,2006-09-24T18:33:33,2006-09-24T19:58:57,54002.7733,50814.0,3.422e-06,1.711e-07,6.502e-06,0.0003093,0.0,0.00060233,2.061,94.82,248,0.0,0.0,1.868e-14,0.0,0.0,1.1507,0.000e+00,0.000e+00,1.378e-04,1.2942,0.068115,2.5202,0.0,0.0,0.00034916,1.08,0.0,     0.00,1.03,     0.00,   0.0000,   0.0000,0.00034376,5.491e-15,0.0,1.098e-14,0.000e+00,0.000e+00,9.200e-14,0.000e+00,0.000e+00,4.789e-15,0.0,0.0,2.292e-06,1.2735,0.0,2.48,0.000e+00,0.000e+00,1.868e-06,   0.9994,  -0.2829,   1.0000,-0.9994,-1.0,-0.2655,  -0.9994,  -1.0000,  -0.3542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4117.4,        ACIS-23,u          ,1,72,0,19,0,13,1,35,0,3,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
7,[HPH2013] 100         ,CV0002,67,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,8191,0,   0.0000,   0.0000,0.00037511,0.0,0.0,1.1829,0.0,0.0,1.442e-06,0.0,0.0,1.964e-15,False,0.0,0.0,1.2751,False,0.0,0.0,0.00035383,,,,,,298537613.91,298542571.71,4957.8,2007-06-18T07:06:54,2007-06-18T08:29:32,54269.29646,50814.0,0.0,0.0,1.478e-06,0.0,0.0,0.00031086,2.389,38.47,248,0.0,0.0,7.341e-15,0.0,0.0,1.2099,0.000e+00,0.000e+00,6.101e-05,0.0,0.0,1.1766,0.0,0.0,0.00036413,0.0,0.0,     0.00,0.0,     0.00,   0.0000,   0.0000,0.00033958,0.0,0.0,8.879e-15,0.000e+00,0.000e+00,3.888e-14,0.000e+00,0.000e+00,2.049e-15,0.0,0.0,9.007e-07,0.0,0.0,1.2306,0.000e+00,0.000e+00,7.992e-07,   0.9994,  -0.3042,   1.0000,-0.9994,-1.0,0.1568,  -0.9994,  -1.0000,   0.0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958.6,         ACIS-3,u          ,0,96,0,19,0,13,0,58,0,1,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
8,[HPH2013] 100         ,CV0002,68,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,8192,0,   0.0000,   0.0000,0.00036360,2.3543,0.56054,4.148,0.0,0.0,1.346e-06,0.0,0.0,1.834e-15,False,1.4292,0.14292,2.7155,False,0.0,0.0,0.00034226,,,,,,300028596.069,300033693.669,5097.6,2007-07-05T13:16:36,2007-07-05T14:41:34,54286.5532,50814.0,1.108e-06,0.0,2.332e-06,0.00029256,0.0,0.00061592,2.322,47.84,248,5.305e-15,2.653e-16,1.008e-14,0.0,0.0,1.2068,1.143e-04,2.721e-05,2.014e-04,0.0,0.0,1.1711,0.00035085,3.5085e-05,0.00066662,0.95,1.11,     0.00,0.0,     1.31,0.00057795,0.00013761,0.0010183,4.65e-15,0.0,9.788e-15,1.577e-13,3.754e-14,2.778e-13,0.000e+00,0.000e+00,1.916e-15,9.467e-07,9.467e-08,1.799e-06,1.1918,0.0,2.509,0.000e+00,0.000e+00,7.475e-07,   0.9994,   0.1705,   1.0000,0.7958,-0.1081,1.0,  -0.9994,  -1.0000,   0.0956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.5,         ACIS-3,u          ,1,98,1,25,0,14,0,59,2,1,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
9,[HPH2013] 100         ,CV0002,69,0.003073585,ACIS,acisfJ0042424p411621_001, 2CXO J004237.0+411428,10.65458,41.24113,8193,0,   0.0000,   0.0000,0.00034512,0.0,0.0,1.1917,2.081e-06,3.619e-07,3.799e-06,1.006e-14,2.097e-15,1.803e-14,False,0.0,0.0,1.1929,False,0.00052849,9.1911e-05,0.00096506,,,,,,302241026.112,302246190.912,5164.8,2007-07-31T03:50:26,2007-07-31T05:16:31,54312.16002,50814.0,1.811e-06,1.724e-07,3.449e-06,0.00050052,6.8253e-05,0.00091004,2.206,60.26,248,0.0,0.0,6.657e-15,0.0,0.0,1.2057,0.000e+00,0.000e+00,5.740e-05,2.1819,0.37946,3.9843,0.0,0.0,0.00034146,1.11,0.0,     0.00,1.21,     0.00,   0.0000,   0.0000,0.00034362,9.129e-15,1.245e-15,1.66e-14,0.000e+00,0.000e+00,3.832e-14,0.000e+00,0.000e+00,1.821e-15,0.0,0.0,9.233e-07,2.0664,0.28178,3.7571,0.000e+00,0.000e+00,7.105e-07,   0.9994,  -0.2467,   1.0000,-0.9994,-1.0,-0.4254,  -0.9994,  -1.0000,  -0.5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4128.5,         ACIS-3,u          ,2,109,0,23,0,13,2,55,0,2,37.03,4392.422,False,False,False,,,,,,,,,,,,,,,,,,,107,0,0,63,0,0
