,src_n,src_id,index,sepn,instrument,detect_stack_id,name,ra,dec,obsid,obi,src_rate_aper_m,src_rate_aper_lolim_m,src_rate_aper_hilim_m,src_cnts_aper_u,src_cnts_aper_lolim_u,src_cnts_aper_hilim_u,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,src_cnts_aper_h,src_cnts_aper_lolim_h,src_cnts_aper_hilim_h,sat_src_flag,src_rate_aper_s,src_rate_aper_lolim_s,src_rate_aper_hilim_s,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,src_rate_aper_b,src_rate_aper_lolim_b,src_rate_aper_hilim_b,theta,phi,region_id,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,src_cnts_aper_m,src_cnts_aper_lolim_m,src_cnts_aper_hilim_m,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_cnts_aper_s,src_cnts_aper_lolim_s,src_cnts_aper_hilim_s,src_rate_aper_h,src_rate_aper_lolim_h,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,src_rate_aper_u,src_rate_aper_lolim_u,src_rate_aper_hilim_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,src_cnts_aper_b,src_cnts_aper_lolim_b,src_cnts_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,livetime,detector,match_type,cnts_aper_b,cnts_aperbkg_b,cnts_aper_h,cnts_aperbkg_h,cnts_aper_m,cnts_aperbkg_m,cnts_aper_s,cnts_aperbkg_s,cnts_aper_u,cnts_aperbkg_u,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,mstr_flux_aper_b,mstr_flux_aper_lolim_b,mstr_flux_aper_hilim_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,acis_num,acis_hetg_num,acis_letg_num,hrc_num,hrc_hetg_num,hrc_letg_num
0,1A 1742-289         ,NS0001,19,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,1561,0,   0.0000,   0.0000,3.9814e-05,,,,0.000e+00,0.000e+00,4.174e-07,0.000e+00,0.000e+00,6.226e-16,False,0.0,0.0,2.3649,False,   0.0000,   0.0000,3.3905e-05,,,,,,88985912.8,89022168.8,36256.0,2000-10-26T22:18:33,2000-10-27T08:22:49,51843.92955,50814.0,0.0,0.0,8.506e-07,0.0,0.0,5.2659e-05,0.694,229.19,7687,0.0,0.0,1.336e-15,   0.0000,   0.0000,   1.2393,,,,   0.0000,   0.0000,   1.2137,0.0,0.0,6.6065e-05,0.0,0.0,     0.00,     0.00,,,,,0.0,0.0,1.45e-15,,,,0.000e+00,0.000e+00,8.065e-16,0.0,0.0,6.996e-07,0.0,0.0,2.5583,0.000e+00,0.000e+00,2.658e-07,   0.9994,   0.0806,   1.0000,   0.9994,  -0.1443,   1.0000,  -0.9994,  -1.0000,   0.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35796.9,        ACIS-02,u          ,1,66,1,60,0,5,0,1,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
1,1A 1742-289         ,NS0001,20,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,1561,1,   0.0000,   0.0000,0.00010302,,,,,,,,,,False,0.0,0.0,2.1101,False,,,,,,,,,111463522.838,111477202.838,13680.0,2001-07-14T02:05:23,2001-07-14T05:53:23,52104.08707,50814.0,0.0,0.0,1.219e-06,0.0,0.0,0.00015562,0.692,245.31,7687,0.0,0.0,3.03e-15,   0.0000,   0.0000,   1.2755,,,,,,,0.0,0.0,0.00015622,0.0,0.0,     0.00,,,,,,0.0,0.0,3.022e-15,,,,0.000e+00,0.000e+00,1.147e-15,0.0,0.0,9.247e-07,0.0,0.0,2.1019,0.000e+00,0.000e+00,4.100e-07,   0.9994,   0.0244,   1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13506.7,        ACIS-01,u          ,1,25,1,22,0,3,0,0,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
2,1A 1742-289         ,NS0001,21,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,2943,0,   0.0000,   0.0000,4.1857e-05,   0.0000,   0.0000,   1.1641,0.000e+00,0.000e+00,1.091e-07,0.000e+00,0.000e+00,1.627e-16,False,1.952,0.0,3.7955,False,   0.0000,   0.0000,3.2246e-05,,,,,,138496842.634,138535019.134,38176.5,2002-05-22T23:20:43,2002-05-23T09:56:59,52416.97272,50814.0,0.0,0.0,3.415e-07,0.0,0.0,7.9302e-05,1.242,30.22,7687,0.0,0.0,1.046e-15,   0.0000,   0.0000,   1.2342,0.000e+00,0.000e+00,2.737e-06,   0.0000,   0.0000,   1.2149,5.1807e-05,0.0,0.00010074,0.0,1.03,     0.00,     0.00,     0.00,   0.0000,   0.0000,3.0897e-05,0.0,0.0,1.059e-15,0.000e+00,0.000e+00,1.765e-15,0.000e+00,0.000e+00,2.098e-16,1.369e-07,0.0,2.662e-07,0.0,0.0,3.5482,0.000e+00,0.000e+00,6.405e-08,   0.9994,   0.4116,   1.0000,   0.9994,   0.1805,   1.0000,  -0.9994,  -1.0000,   0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37677.7,         ACIS-3,u          ,3,226,3,207,0,18,0,1,0,2,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
3,1A 1742-289         ,NS0001,22,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,2951,0,   0.0000,   0.0000,0.00011360,,,,0.000e+00,0.000e+00,3.809e-07,0.000e+00,0.000e+00,5.329e-16,False,0.0,0.0,1.1876,False,   0.0000,   0.0000,0.00011357,,,,,,130517002.572,130529535.872,12533.3,2002-02-19T14:43:23,2002-02-19T18:12:16,52324.61346,50814.0,0.0,0.0,4.569e-07,0.0,0.0,0.00010092,1.22,42.7,7687,0.0,0.0,2.273e-15,   0.0000,   0.0000,   1.2295,,,,   0.0000,   0.0000,   1.2292,0.0,0.0,9.6011e-05,0.0,0.0,     0.00,     0.00,,,,,0.0,0.0,2.745e-15,,,,0.000e+00,0.000e+00,5.694e-16,0.0,0.0,2.546e-07,0.0,0.0,1.2484,0.000e+00,0.000e+00,1.944e-07,   0.9994,  -0.2492,   1.0000,  -0.9994,  -1.0000,   0.2017,  -0.9994,  -1.0000,   0.0581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12369.5,         ACIS-3,u          ,0,63,0,57,0,3,0,3,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
4,1A 1742-289         ,NS0001,23,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,2952,1,   0.0000,   0.0000,0.00011500,,,,0.000e+00,0.000e+00,3.983e-07,0.000e+00,0.000e+00,5.573e-16,False,0.0,0.0,2.0502,False,   0.0000,   0.0000,0.00011839,,,,,,133274575.509,133286588.009,12012.5,2002-03-23T12:42:56,2002-03-23T16:03:08,52356.52981,50814.0,0.0,0.0,6.411e-07,0.0,0.0,0.00019939,1.228,40.2,7687,0.0,0.0,6.753e-15,   0.0000,   0.0000,   1.1775,,,,   0.0000,   0.0000,   1.2281,0.0,0.0,0.00017293,0.0,0.0,     0.00,     0.00,,,,,0.0,0.0,6.899e-15,,,,0.000e+00,0.000e+00,5.767e-16,0.0,0.0,4.582e-07,0.0,0.0,2.3638,0.000e+00,0.000e+00,1.943e-07,   0.9994,   0.0406,   1.0000,   0.9994,  -0.2929,   1.0000,  -0.9994,  -1.0000,   0.0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11855.5,         ACIS-3,u          ,1,74,1,63,0,8,0,3,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
5,1A 1742-289         ,NS0001,24,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,2953,1,   0.0000,   0.0000,0.00010631,   0.0000,   0.0000,   1.2176,0.000e+00,0.000e+00,4.096e-07,0.000e+00,0.000e+00,5.579e-16,False,0.0,0.0,1.2511,False,   0.0000,   0.0000,0.00012142,,,,,,135601190.934,135612933.734,11742.8,2002-04-19T10:59:51,2002-04-19T14:15:34,52383.45823,50814.0,0.0,0.0,4.909e-07,0.0,0.0,0.00013317,1.233,37.88,7687,0.0,0.0,2.53e-15,   0.0000,   0.0000,   1.2321,0.000e+00,0.000e+00,9.133e-06,   0.0000,   0.0000,   1.2313,0.0,0.0,0.00013248,0.0,0.0,     0.00,     0.00,     0.00,   0.0000,   0.0000,0.00011507,0.0,0.0,2.95e-15,0.000e+00,0.000e+00,5.609e-15,0.000e+00,0.000e+00,6.132e-16,0.0,0.0,2.859e-07,0.0,0.0,1.2575,0.000e+00,0.000e+00,2.080e-07,   0.9994,  -0.2242,   1.0000,  -0.9994,  -1.0000,   0.1880,  -0.9994,  -1.0000,   0.0406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11589.4,         ACIS-3,u          ,0,86,0,76,0,7,0,3,0,1,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
6,1A 1742-289         ,NS0001,25,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,2954,0,   0.0000,   0.0000,0.00011446,,,,,,,,,,False,0.0,0.0,1.248,False,,,,,,,,,137151555.391,137164172.391,12617.0,2002-05-07T09:39:15,2002-05-07T13:09:32,52401.40226,50814.0,0.0,0.0,4.565e-07,0.0,0.0,0.00012385,1.235,35.38,7687,0.0,0.0,2.348e-15,   0.0000,   0.0000,   1.2393,,,,,,,0.0,0.0,0.00010022,0.0,0.0,     0.00,,,,,,0.0,0.0,2.743e-15,,,,0.000e+00,0.000e+00,5.742e-16,0.0,0.0,2.653e-07,0.0,0.0,1.2566,0.000e+00,0.000e+00,1.948e-07,   0.9994,  -0.2405,   1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12452.1,         ACIS-3,u          ,0,85,0,80,0,5,0,0,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
7,1A 1742-289         ,NS0001,26,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,3392,1,   0.0000,   0.0000,7.3515e-06,,,,0.000e+00,0.000e+00,2.395e-08,0.000e+00,0.000e+00,3.948e-17,False,0.0,0.0,4.2048,False,   0.0000,   0.0000,8.5705e-06,     2.21,     1.82,,,,138728066.698,138896968.918,168902.22,2002-05-25T15:34:27,2002-05-27T14:29:29,52419.64892,50814.0,0.0,0.0,9.587e-08,0.0,0.0,2.6033e-05,1.241,30.3,7687,4.723e-16,0.0,9.695e-16,   0.0000,   0.0000,   1.2254,,,,   0.0000,   0.0000,   1.1802,0.0,0.0,2.5225e-05,0.0,0.0,     0.00,     0.00,,,,,4.584e-16,0.0,9.168e-16,,,,0.000e+00,0.000e+00,4.354e-17,0.0,0.0,6.465e-08,0.0,0.0,3.753,0.000e+00,0.000e+00,1.437e-08,   0.9994,   0.3554,   1.0000,   0.9994,   0.0943,   1.0000,  -0.9994,  -1.0000,   0.1305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166689.2,         ACIS-3,u          ,9,956,9,889,0,52,0,15,0,0,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
8,1A 1742-289         ,NS0001,27,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,3393,0,   0.0000,   0.0000,1.2292e-05,   0.0000,   0.0000,   1.2195,4.963e-08,9.927e-09,8.934e-08,7.491e-17,1.498e-17,1.311e-16,False,15.612,9.8769,21.028,False,1.4602e-05,2.9204e-06,2.6284e-05,     5.25,     7.42,,,,138952386.613,139112507.364,160120.751,2002-05-28T05:53:07,2002-05-30T02:21:47,52422.24522,50814.0,4.225e-07,2.79e-07,5.581e-07,0.00011426,7.5454e-05,0.00015091,1.24,30.39,7687,2.292e-15,1.432e-15,3.151e-15,   0.0000,   0.0000,   2.2368,0.000e+00,0.000e+00,7.786e-07,   2.3075,  0.46151,   4.1535,9.8793e-05,6.2502e-05,0.00013307,3.03,2.8,     0.00,     1.25,     0.00,   0.0000,   0.0000,7.7172e-06,2.292e-15,1.467e-15,3.072e-15,0.000e+00,0.000e+00,4.366e-16,0.000e+00,0.000e+00,6.973e-17,2.623e-07,1.659e-07,3.532e-07,18.056,11.924,23.847,0.000e+00,0.000e+00,2.781e-08,   0.9994,   0.8051,   1.0000,   0.6833,   0.4379,   0.8738,  -0.9994,  -1.0000,  -0.3329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158025.6,         ACIS-3,u          ,24,929,21,849,1,62,2,18,0,3,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
9,1A 1742-289         ,NS0001,28,0.0,ACIS,acisfJ1745401m290028_001, 2CXO J174536.7-290107,266.4033,-29.01874,3549,0,   0.0000,   0.0000,5.5334e-05,   0.0000,   0.0000,   1.1596,,,,,,,False,2.8578,0.49701,5.0944,False,,,,,,,,,172435597.398,172460713.598,25116.2,2003-06-19T18:46:37,2003-06-20T01:45:14,52809.78238,50814.0,9.458e-07,1.819e-07,1.673e-06,0.00010692,1.4579e-05,0.00019925,1.055,318.98,7687,1.735e-15,2.263e-16,3.244e-15,   0.0000,   0.0000,   1.1846,0.000e+00,0.000e+00,1.160e-05,,,,0.00011529,2.0051e-05,0.00020552,1.27,1.3,     0.00,,     0.00,   0.0000,   0.0000,4.6780e-05,1.613e-15,1.467e-16,3.08e-15,0.000e+00,0.000e+00,7.478e-15,0.000e+00,0.000e+00,6.244e-16,6.98e-07,1.611e-07,1.235e-06,2.6502,0.36139,4.939,0.000e+00,0.000e+00,2.103e-07,   0.9994,   0.5640,   1.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24788.0,         ACIS-1,u          ,3,80,3,72,0,8,0,0,0,1,167.36,21.89294,False,False,False,8.459e-16,5.948e-16,1.084e-15,7.0,1.0,0.006093,8.0,1.0,0.004954,6.0,1.0,1.752e-05,5.0,0.798,9.235e-06,0.0,0.0,0.0002138,63,0,0,5,0,0
