,src_n,src_id,index,sepn,instrument,detect_stack_id,name,ra,dec,obsid,obi,src_rate_aper_m,src_rate_aper_lolim_m,src_rate_aper_hilim_m,src_cnts_aper_u,src_cnts_aper_lolim_u,src_cnts_aper_hilim_u,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,src_cnts_aper_h,src_cnts_aper_lolim_h,src_cnts_aper_hilim_h,sat_src_flag,src_rate_aper_s,src_rate_aper_lolim_s,src_rate_aper_hilim_s,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_start,gti_stop,gti_elapse,gti_obs,gti_end,gti_mjd_obs,mjd_ref,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,src_rate_aper_b,src_rate_aper_lolim_b,src_rate_aper_hilim_b,theta,phi,region_id,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,src_cnts_aper_m,src_cnts_aper_lolim_m,src_cnts_aper_hilim_m,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_cnts_aper_s,src_cnts_aper_lolim_s,src_cnts_aper_hilim_s,src_rate_aper_h,src_rate_aper_lolim_h,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,src_rate_aper_u,src_rate_aper_lolim_u,src_rate_aper_hilim_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,src_cnts_aper_b,src_cnts_aper_lolim_b,src_cnts_aper_hilim_b,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,apec_kt,apec_kt_lolim,apec_kt_hilim,apec_kt_rhat,apec_abund,apec_abund_lolim,apec_abund_hilim,apec_abund_rhat,apec_z,apec_z_lolim,apec_z_hilim,apec_z_rhat,apec_nh,apec_nh_lolim,apec_nh_hilim,apec_nh_rhat,apec_norm,apec_norm_lolim,apec_norm_hilim,apec_norm_rhat,apec_stat,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,livetime,detector,match_type,cnts_aper_b,cnts_aperbkg_b,cnts_aper_h,cnts_aperbkg_h,cnts_aper_m,cnts_aperbkg_m,cnts_aper_s,cnts_aperbkg_s,cnts_aper_u,cnts_aperbkg_u,significance,likelihood,pileup_flag,mstr_sat_src_flag,mstr_streak_src_flag,mstr_flux_aper_b,mstr_flux_aper_lolim_b,mstr_flux_aper_hilim_b,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u,acis_num,acis_hetg_num,acis_letg_num,hrc_num,hrc_hetg_num,hrc_letg_num
0,PSR J0007+7303,PL0001,1,0.0,ACIS,acisfJ0007077p730309_001, 2CXO J000701.5+730308,1.756555,73.05226,3835,0,0.0018541,0.0016303,0.0020778,18.834,13.585,23.773,5.378e-06,4.834e-06,5.921e-06,8.27e-15,7.433e-15,9.106e-15,False,114.88,102.42,127.34,False,0.0025781,0.0023172,0.0028389,755.18,197.22,243.84,347.86,88.49,166616787.427,166666926.827,50139.4,2003-04-13T10:26:27,2003-04-14T00:22:07,52742.43504,50814.0,1.94e-05,1.815e-05,2.065e-05,0.0067345,0.0062997,0.0071694,0.454,17.76,13,4.508e-14,4.021e-14,4.996e-14,91.747,80.677,102.82,4.085e-06,2.946e-06,5.156e-06,127.57,114.67,140.48,0.0023215,0.0020697,0.0025733,15.5,9.23,8.29,9.89,3.7,0.0003806,0.00027453,0.00048042,6.003e-14,5.615e-14,6.391e-14,3.605e-15,2.627e-15,4.532e-15,7.49e-15,6.586e-15,8.393e-15,5.945e-06,5.301e-06,6.59e-06,333.25,311.74,354.77,3.172e-06,2.79e-06,3.555e-06,0.3036,0.2305,0.3754,0.05,-0.0244,0.1218,-0.2586,-0.3292,-0.1843,5.04e-14,4.67e-14,5.453e-14,1.257,1.121,1.44,,1.815,,7.443,,6.546e-06,5.753e-06,7.878e-06,,0.931,3.526e-14,3.16e-14,3.845e-14,0.7137,0.6584,0.7702,,5.064e-07,,0.667,,1.414e-05,1.316e-05,1.808e-05,,3.025,5.473e-14,3.728e-14,7.163e-14,95.3,20.05,4544,,0.6618,,5.112,,1.562e-05,1.127e-05,1.706e-05,,0.936,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.056,0.854,0.732,3.84e-05,0.006943,0.006878,0.006981,1.0,0.609,0.981,0.998,0.0004301,0.002359,0.001754,0.003103,0.0,0.099,0.422,0.174,2.171e-05,0.001911,0.001883,0.001937,0.0,0.363,0.373,0.777,0.000335,0.00268,0.0024,0.004734,2.0,0.693,0.684,0.969,0.0001395,0.0003824,0.0002321,0.0006907,49484.3,         ACIS-7,u          ,327,202,111,81,90,53,126,68,18,5,15.5,755.179,False,False,False,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0
1,PSR J0023+0923,PL0002,0,0.0,ACIS,acisfJ0023174p092255_001, 2CXO J002316.8+092323,5.820373,9.389989,12464,0,0.00091122,0.00034171,0.0014807,0.0,0.0,2.7126,7.124e-06,4.61e-06,9.499e-06,1.37e-14,8.864e-15,1.827e-14,False,2.5405,0.60489,4.4762,False,0.0028919,0.0018712,0.0038558,88.91,,,224.77,,430980567.779,430991940.578,11372.799,2011-08-29T04:49:28,2011-08-29T07:59:01,55802.20102,50814.0,1.217e-05,8.578e-06,1.556e-05,0.0043578,0.0030719,0.0055723,0.904,206.75,6,7.038e-15,1.676e-15,1.24e-14,3.5573,1.334,5.7806,0.0,0.0,1.679e-05,11.289,7.305,15.053,0.00065077,0.00015495,0.0011466,3.49,1.31,1.6,2.91,0.0,0.0,0.0,0.00050028,2.366e-14,1.656e-14,3.036e-14,0.0,0.0,5.207e-15,4.243e-15,1.591e-15,6.895e-15,1.6e-06,3.81e-07,2.819e-06,17.013,11.992,21.754,1.561e-06,5.852e-07,2.536e-06,0.0862,-0.3467,0.4691,-0.6296,-0.8351,-0.3804,-0.6533,-0.8264,-0.4354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.926,0.868,0.994,0.000772,0.001322,0.0006536,0.003523,,,,,,,,,,,,,,,,,1.0,0.614,0.686,0.954,0.0002333,0.0008818,0.0006804,0.001472,,,,,,,,,3903.9,         ACIS-7,u          ,15,28,2,13,3,5,10,6,1,32,6.39,409.5469,False,False,False,1.737e-14,1.466e-14,2.009e-14,4.0,0.645,2.628e-06,5.0,0.813,1.261e-06,0.0,0.373,3.811e-07,0.0,0.326,9.136e-07,,,,2,0,0,0,0,0
2,PSR J0023+0923,PL0002,1,0.0,ACIS,acisfJ0023174p092255_001, 2CXO J002316.8+092323,5.820373,9.389989,14363,1,0.00063726,0.00036415,0.0008952,4.4906,1.9812,6.868,6.014e-06,4.756e-06,7.273e-06,1.262e-14,9.979e-15,1.526e-14,False,1.4591,0.085828,2.7465,False,0.0024259,0.0019181,0.0029336,179.68,,    30.22,183.17,    12.80,438828656.428,438841612.303,12955.875,2011-11-28T00:50:56,2011-11-28T04:26:52,55893.03538,50814.0,8.708e-06,7.099e-06,1.032e-05,0.0031351,0.0025558,0.0037145,0.186,304.1,6,0.0,0.0,1.723e-15,8.1517,4.6581,11.451,1.223e-05,5.394e-06,1.87e-05,31.031,24.536,37.526,0.00011406,6.7096e-06,0.00021471,5.41,1.1,2.4,4.78,1.84,0.00035106,0.00015488,0.00053691,1.618e-14,1.319e-14,1.917e-14,0.0,0.0,2.72e-15,2.802e-15,1.601e-15,3.936e-15,2.786e-07,1.639e-08,5.244e-07,40.104,32.693,47.514,1.088e-06,6.22e-07,1.529e-06,-0.5884,-0.8501,-0.2592,-0.9157,-0.9813,-0.8301,-0.7021,-0.8076,-0.5778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.214,0.457,0.528,0.000197,0.002856,0.002699,0.003823,,,,,,,,,2.0,    0.696,    0.761,    0.699,0.0002088,0.0005403,0.0003315,0.0007491,0.0,0.359,0.518,0.822,0.0002699,0.002239,0.002018,0.003415,0.0,    0.480,    0.456,    0.494,1.931e-05,0.0003087,0.0003011,0.0004341,12791.8,         ACIS-7,u          ,37,177,1,89,7,27,29,25,4,192,6.39,409.5469,False,False,False,1.737e-14,1.466e-14,2.009e-14,4.0,0.645,2.628e-06,5.0,0.813,1.261e-06,0.0,0.373,3.811e-07,0.0,0.326,9.136e-07,,,,2,0,0,0,0,0
3,PSR J0100-7211,PL0003,0,0.0,ACIS,acisfJ0102275m720039_001, 2CXO J010043.0-721133,15.17934,-72.1927,444,1, 0.028420, 0.026335, 0.030506,9.1895,5.0125,13.158,9.636e-05,8.916e-05,0.0001036,1.625e-13,1.503e-13,1.747e-13,FALSE,   69.958,   59.449,   79.849,False,0.027711,0.025637,0.029784,  1557.55,   141.37,   616.74,   721.81,    17.61,73471099.558,73479579.006,8479.448,2000-04-30T08:38:20,2000-04-30T10:59:39,51664.35995,50814.0,2.954e-04,2.804e-04,3.103e-04, 0.064340, 0.061082, 0.067599,13.546,104.9,1,1.418e-13,1.150e-13,1.686e-13,   237.94,   220.47,   255.40,5.744e-05,3.561e-05,7.812e-05,232.0,214.64,249.35,0.0083561,0.0071008,0.0095375,    19.75,     6.83,    13.62,13.39,2.7,0.0010976,0.00059871,0.0015716,4.610e-13,4.346e-13,4.874e-13,6.235e-14,3.817e-14,8.525e-14,1.619e-13,1.500e-13,1.737e-13,2.955e-05,2.509e-05,3.374e-05,   538.66,   511.38,   565.94,6.556e-05,6.075e-05,7.037e-05,  -0.3773,  -0.4478,  -0.3079,  -0.5309,  -0.5890,  -0.4716,  -0.1911,  -0.2405,  -0.1405,4.544e-13,4.28e-13,4.813e-13,3.601,3.374,3.852,,47.89,41.71,54.68,,0.0005857,0.0004905,0.0007069,,0.642,4.221e-13,3.949e-13,4.468e-13,0.4098,0.3858,0.4272,,1.527e-05,,3.761,,0.001572,0.0015,0.002073,,0.754,4.348e-13,4.015e-13,4.635e-13,1.1,0.9673,1.248,,24.67,20.46,29.31,,0.000571,0.000468,0.0007096,,0.581,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.053,    0.220,    0.457,4.348e-05,  0.06576,  0.06571,  0.06580,0.0,    0.083,    0.089,    0.124,2.256e-05, 0.009480, 0.009453, 0.009514,0.0,    0.076,    0.090,    0.228,1.775e-05,  0.02820,  0.02818,  0.02822,0.0,    0.076,    0.560,    0.405,2.693e-05,  0.02808,  0.02805,  0.02811,6.0,    0.914,    0.931,    0.996,0.0008964, 0.001417,0.0006526, 0.003343,8372.1,         ACIS-6,u          ,555,549,80,282,238,91,237,176,12,77,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
4,PSR J0100-7211,PL0003,1,0.0,ACIS,acisfJ0102357m720604_001, 2CXO J010043.0-721133,15.17934,-72.1927,6054,1, 0.017710, 0.015870, 0.019550,1.805,0.08595,3.438,0.0001058,9.361e-05,0.0001173,1.275e-13,1.129e-13,1.412e-13,FALSE,   39.587,   31.757,   46.983,False,0.01492,0.013239,0.016495,   996.51,    71.72,   493.77,   429.32,,221919360.569,221926618.169,7257.6,2005-01-12T12:16:01,2005-01-12T14:16:58,53382.51112,50814.0,2.140e-04,1.993e-04,2.287e-04, 0.037856, 0.035244, 0.040469,10.233,236.4,1,8.148e-14,6.422e-14,9.873e-14,   126.90,   113.72,   140.09,0.0002402,3.276e-05,0.0004367,106.91,94.867,118.2,0.0055245,0.0044318,0.0065566,    14.52,     5.35,     9.69,8.93,1.19,0.00025189,1.1995e-05,0.00047979,3.124e-13,2.897e-13,3.350e-13,0.000e+00,0.000e+00,2.510e-12,1.059e-13,9.491e-14,1.169e-13,2.212e-05,1.799e-05,2.626e-05,   271.27,   252.55,   289.99,5.584e-05,5.008e-05,6.160e-05,  -0.4272,  -0.5128,  -0.3404,  -0.6546,  -0.7139,  -0.5903,  -0.3123,  -0.3779,  -0.2442,3.068e-13,2.799e-13,3.343e-13,3.926,3.594,4.319,,48.76,38.69,60.21,,0.0004708,0.0003585,0.0006331,,0.533,2.778e-13,2.518e-13,3.015e-13,0.3676,0.3421,0.3924,,8.775e-06,,3.823,,0.001677,0.001544,0.002336,,1.096,3.049e-13,2.647e-13,3.317e-13,1.024,0.8557,1.212,,18.76,11.96,26.5,,0.0004014,0.0002994,0.0005649,,0.618,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.099,    0.510,    0.665,0.0002199,  0.04238,  0.04216,  0.04260,0.0,    0.211,    0.599,    0.405,0.0002384, 0.006348, 0.006060, 0.006561,0.0,    0.080,    0.640,    0.464,9.271e-05,  0.01961,  0.01952,  0.01973,0.0,    0.118,    0.717,    0.372,0.0001850,  0.01646,  0.01625,  0.01668,,,,,,,,,7165.7,         ACIS-0,u          ,268,67,40,42,124,13,104,12,2,9,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
5,PSR J0100-7211,PL0003,2,0.0,ACIS,acisfJ0102564m720056_001, 2CXO J010043.0-721133,15.17934,-72.1927,1543,0, 0.030830, 0.028420, 0.033240,28.976,20.028,37.925,9.832e-05,9.15e-05,0.0001051,1.506e-13,1.401e-13,1.611e-13,FALSE,   87.210,   74.315,   99.346,False,0.039464,0.036722,0.042205,  1471.43,   115.83,   655.68,   769.10,    22.81,108161092.997,108168606.597,7513.6,2001-06-05T20:44:53,2001-06-05T22:50:07,52065.8645,50814.0,3.124e-04,2.971e-04,3.278e-04, 0.081873, 0.077833, 0.085914,14.766,78.73,1,2.816e-13,2.212e-13,3.385e-13,   228.71,   210.83,   246.59,3.531e-05,2.424e-05,4.638e-05,292.76,272.42,313.1, 0.011756, 0.010018, 0.013392,    20.33,     7.05,    12.81,14.41,3.19,0.003906,0.0026997,0.0051123,5.837e-13,5.432e-13,6.242e-13,2.863e-14,1.813e-14,3.912e-14,1.567e-13,1.444e-13,1.690e-13,4.220e-05,3.604e-05,4.800e-05,   607.37,   577.40,   637.35,6.712e-05,6.188e-05,7.236e-05,  -0.2261,  -0.3029,  -0.1518,  -0.3985,  -0.4653,  -0.3342,  -0.1886,  -0.2367,  -0.1393,4.98e-13,4.644e-13,5.363e-13,2.829,2.619,3.061,,31.77,26.55,37.43,,0.000332,0.0002813,0.0003941,,1.052,4.099e-13,3.849e-13,4.344e-13,0.4313,0.4117,0.4523,,9.012e-07,,1.164,,0.001227,0.001171,0.001439,,1.309,4.655e-13,4.276e-13,4.997e-13,1.66,1.412,1.974,,17.01,13.49,20.75,,0.0003293,0.0002783,0.0003939,,1.034,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.080,    0.878,    0.941,0.0004182,  0.09194,  0.09149,  0.09241,0.0,    0.074,    0.093,    0.071,5.945e-05,  0.01659,  0.01652,  0.01667,0.0,    0.073,    0.912,    0.993,0.0002519,  0.03265,  0.03227,  0.03292,0.0,    0.132,    0.746,    0.530,0.0003917,  0.04272,  0.04233,  0.04311,1.0,    0.539,    0.361,    0.512, 0.001917, 0.008305, 0.006806,  0.02065,7418.5,         ACIS-7,u          ,676,1558,122,771,240,300,314,487,61,689,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
6,PSR J0100-7211,PL0003,3,0.0,ACIS,acisfJ0103053m720205_001, 2CXO J010043.0-721133,15.17934,-72.1927,445,1, 0.026437, 0.024322, 0.028551,10.803,6.6977,14.692,0.0001033,9.519e-05,0.0001115,1.67e-13,1.537e-13,1.803e-13,FALSE,   47.005,   37.925,   56.086,False,0.027691,0.025507,0.029876,  1228.12,    57.55,   561.55,   603.13,    24.42,73480654.682,73488677.082,8022.4,2000-04-30T11:17:35,2000-04-30T13:31:17,51664.47054,50814.0,2.968e-04,2.807e-04,3.130e-04, 0.060030, 0.056765, 0.063295,14.591,116.24,1,8.913e-14,6.077e-14,1.175e-13,   209.40,   192.65,   226.15,6.515e-05,4.039e-05,8.86e-05,219.34,202.04,236.64,0.0059344,0.0047880,0.0070808,    18.38,     5.18,    12.50,12.67,2.7,0.0013639,0.00084559,0.0018548,3.986e-13,3.714e-13,4.258e-13,0.000e+00,0.000e+00,8.360e-15,1.486e-13,1.367e-13,1.605e-13,2.284e-05,1.843e-05,2.725e-05,   475.49,   449.62,   501.35,6.567e-05,6.042e-05,7.093e-05,  -0.4797,  -0.5590,  -0.4016,  -0.6371,  -0.6977,  -0.5753,  -0.2236,  -0.2755,  -0.1718,3.913e-13,3.648e-13,4.19e-13,3.896,3.592,4.247,,45.54,38.3,53.72,,0.0005545,0.0004456,0.0007017,,1.118,3.531e-13,3.241e-13,3.755e-13,0.3484,0.3238,0.3662,,0.1879,,4.542,,0.00263,0.002496,0.003804,,1.324,3.707e-13,3.186e-13,4.001e-13,0.9193,0.7807,1.078,,20.63,15.84,26.05,,0.0005928,0.0004526,0.0008105,,1.139,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.074,    0.189,    0.260,0.0001812,  0.06467,  0.06449,  0.06485,0.0,    0.197,    0.780,    0.312,0.0002606, 0.008107, 0.007870, 0.008420,0.0,    0.094,    0.415,    0.530,0.0001085,  0.02724,  0.02713,  0.02734,0.0,    0.077,    0.138,    0.141,9.821e-06,  0.02930,  0.02929,  0.02931,0.0,    0.314,    0.637,    0.445,0.0001074, 0.001549, 0.001476, 0.001927,7920.8,         ACIS-6,u          ,501,721,63,394,211,105,227,222,12,43,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
7,PSR J0100-7211,PL0003,4,0.0,ACIS,acisfJ0104055m720105_001, 2CXO J010043.0-721133,15.17934,-72.1927,6060,0, 0.027914, 0.026091, 0.029737,0.0,0.0,8.8432,0.0001064,9.977e-05,0.0001129,1.856e-13,1.74e-13,1.971e-13,FALSE,   113.13,   91.522,   134.74,False,0.030532,0.028622,0.032442,,,,,,235056472.366,235076529.966,20057.6,2005-06-13T13:27:52,2005-06-13T19:02:10,53534.56102,50814.0,2.689e-04,2.568e-04,2.811e-04, 0.065506, 0.062522, 0.068490,18.724,85.11,1,1.016e-13,4.741e-14,1.558e-13,   441.10,   412.30,   469.91,6.191e-05,3.658e-05,8.724e-05,482.47,452.29,512.65,0.0071593,0.0057918,0.0085268,    22.10,     5.35,    15.38,16.16,2.44,0.0,0.0,0.00070404,4.491e-13,4.068e-13,4.914e-13,5.383e-13,3.883e-13,6.795e-13,1.677e-13,1.568e-13,1.787e-13,2.806e-05,2.281e-05,3.330e-05,   1035.1,   987.97,   1082.3,6.883e-05,6.435e-05,7.331e-05,  -0.4147,  -0.4966,  -0.3379,  -0.5796,  -0.6440,  -0.5166,  -0.2149,  -0.2567,  -0.1730,2.788e-13,2.641e-13,2.957e-13,3.58,3.34,3.843,,42.47,36.8,48.63,,0.0003273,0.0002763,0.0003912,,1.051,2.377e-13,1.766e-13,3.066e-13,0.3724,0.3499,0.3874,,0.2795,,4.255,,0.001385,0.00132,0.001873,,1.024,2.592e-13,2.397e-13,2.76e-13,0.98,0.8591,1.118,,22.67,18.78,26.93,,0.0003861,0.0003129,0.0004868,,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15802.1,         ACIS-7,u          ,978,3185,206,2016,366,530,406,639,49,815,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
8,PSR J0100-7211,PL0003,5,0.0,ACIS,acisfJ0104055m720105_001, 2CXO J010043.0-721133,15.17934,-72.1927,6757,0, 0.029939, 0.028326, 0.031553,47.608,34.383,60.171,0.000104,9.837e-05,0.0001097,1.737e-13,1.641e-13,1.833e-13,FALSE,   149.30,   129.28,   168.15,False,0.029718,0.028111,0.031325,,,   783.24,,,265902665.516,265922723.116,20057.6,2006-06-05T13:51:06,2006-06-05T19:25:23,53891.57715,50814.0,2.698e-04,2.597e-04,2.799e-04, 0.066912, 0.064432, 0.069392,18.629,92.45,1,9.407e-14,6.173e-14,1.249e-13,   592.91,   560.95,   624.87,0.000118,8.892e-05,0.0001472,588.52,556.69,620.35,0.0075392,0.0065281,0.0084908,    26.74,     7.62,    18.54,18.43,4.05,0.002404,0.0017362,0.0030384,4.384e-13,4.129e-13,4.639e-13,0.000e+00,0.000e+00,2.908e-14,1.778e-13,1.682e-13,1.874e-13,2.804e-05,2.425e-05,3.161e-05,   1325.1,   1276.0,   1374.2,7.361e-05,6.964e-05,7.758e-05,  -0.4460,  -0.5041,  -0.3916,  -0.5746,  -0.6215,  -0.5278,  -0.1711,  -0.2080,  -0.1355,3.785e-13,3.614e-13,3.945e-13,3.773,3.583,3.977,,50.1,45.28,55.26,,0.0005468,0.0004756,0.0006327,,0.957,3.408e-13,3.202e-13,3.555e-13,0.3675,0.3492,0.3865,,4.258,    1.036,7.73,,0.002158,0.001689,0.002792,,1.067,3.604e-13,3.391e-13,3.763e-13,0.9432,0.8551,1.041,,27.08,23.77,30.61,,0.0006055,0.0005101,0.0007275,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.072,    0.899,    0.929,8.118e-05,  0.03078,  0.03070,  0.03086,,,,,,,,,,,,,,,,,19803.6,         ACIS-7,u          ,1183,1889,185,1050,497,392,501,447,81,668,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
9,PSR J0100-7211,PL0003,6,0.0,ACIS,acisfJ0100384m721157_001, 2CXO J010043.0-721133,15.17934,-72.1927,4616,0,,,,45.668,37.861,52.986,8.862e-05,8.466e-05,9.258e-05,1.419e-13,1.356e-13,1.483e-13, TRUE,   169.40,   153.78,   184.04,False,0.043766,0.041807,0.045725,  7896.80,   928.86,  3430.14,  3828.60,   279.35,191617962.286,191635118.287,17156.0,2004-01-27T19:12:42,2004-01-27T23:58:38,53031.80049,50814.0,,,,,,,0.578,9.53,3,1.250e-13,1.135e-13,1.359e-13,,,,3.416e-05,2.832e-05,3.999e-05,681.02,650.54,711.5, 0.010890,0.0098862, 0.011831,,    11.21,    20.87,22.38,5.86,0.0029344,0.0024328,0.0034046,,,,1.807e-14,1.477e-14,2.118e-14,,,,2.638e-05,2.395e-05,2.866e-05,,,,6.256e-05,5.956e-05,6.556e-05,  -0.4060,  -0.4466,  -0.3654,  -0.5409,  -0.5740,  -0.5066,  -0.1711,  -0.2017,  -0.1405,3.764e-13,3.643e-13,3.885e-13,3.672,3.55,3.801,,46.17,42.86,49.63,,0.0004847,0.0004388,0.0005367,,1.099,3.622e-13,3.497e-13,3.737e-13,0.4049,0.3949,0.4148,,3.402e-07,,0.9595,,0.001389,0.001351,0.001534,,1.073,3.765e-13,3.627e-13,3.895e-13,1.113,1.04,1.19,,22.18,19.98,24.49,,0.0004545,0.0004072,0.0005099,,0.867,,,,,,,,,,,,,,,,,,,,,,,,,0.0,    0.062,    0.465,    0.323,0.0001554,  0.08015,  0.08000,  0.08031,0.0,    0.092,    0.433,    0.188,6.795e-05, 0.009216, 0.009130, 0.009278,0.0,    0.055,    0.135,    0.171,3.524e-05,  0.03317,  0.03313,  0.03320,0.0,    0.042,    0.681,    0.710,6.021e-05,  0.03778,  0.03770,  0.03783,2.0,    0.682,    0.983,    0.946,0.0007049, 0.002507, 0.001848, 0.003502,15559.6,         ACIS-7,u          ,1375,53,158,9,569,20,648,24,43,1,65.51,39513.42,False,False,False,4.466e-13,4.398e-13,4.535e-13,8.0,1.0,2.692e-05,4.0,0.629,1.531e-05,4.0,0.543,8.035e-06,5.0,0.995,5.47e-06,6.0,0.999,8.207e-05,21,0,0,1,0,0
