,A_NAME,A_ALT_NAME_1,A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_
0,CXOGLB J002404.6-720509,[GHE2001] W295,6.019454,-72.085944,             ,                  ,2CXO J002404.6-720509,6.019509,-72.085948,0.001
1,CXOGLB J002406.5-720451,[GHE2001] W279,6.027333,-72.080942,             ,                  ,2CXO J002406.4-720451,6.026713,-72.081007,0.012
2,CXOGLB J002406.5-720451,[GHE2001] W279,6.026892,-72.080833,             ,                  ,2CXO J002406.4-720451,6.026713,-72.081007,0.011
3,CXOGLB J002406.5-720451,[GHE2001] W279,6.027333,-72.080942,             ,                  ,2CXO J002406.5-720450,6.027229,-72.080783,0.01
4,CXOGLB J002406.5-720451,[GHE2001] W279,6.026892,-72.080833,             ,                  ,2CXO J002406.5-720450,6.027229,-72.080783,0.007
5,CXOGLB J002406.6-720453,[GHE2001] W277,6.027733,-72.081494,             ,                  ,2CXO J002406.6-720453,6.027839,-72.081529,0.003
6,CXOGLB J002407.2-720446,[GHE2001] W141,6.030192,-72.079567,AB           ,?                 ,2CXO J002407.2-720446,6.030276,-72.079591,0.002
7,CXOGLB J002407.2-720446,[GHE2001] W141,6.030138,-72.079514,AB           ,?                 ,2CXO J002407.2-720446,6.030276,-72.079591,0.005
8,CXOGLB J002351.9-720343,[GHE2001] W334,5.966621,-72.062172,             ,                  ,2CXO J002351.9-720343,5.966618,-72.062195,0.001
9,CXOGLB J002346.3-720401,[GHE2001] W344,5.943037,-72.067203,             ,                  ,2CXO J002346.3-720401,5.94313,-72.067209,0.002
10,CXOGLB J002331.5-720515,[GHE2001] W350,5.881425,-72.087661,             ,                  ,2CXO J002331.4-720515,5.881189,-72.087654,0.004
11,CXOGLB J002351.9-720429,[GHE2001] W103,5.966392,-72.074967,             ,                  ,2CXO J002351.9-720430,5.966427,-72.075,0.002
12,CXOGLB J002354.5-720355,[GHE2001] W331,5.977379,-72.065386,             ,                  ,2CXO J002354.5-720355,5.977498,-72.065538,0.009
13,CXOGLB J002336.3-720403,[GHE2001] W349,5.901496,-72.067492,             ,                  ,2CXO J002336.2-720403,5.901094,-72.067675,0.013
14,CXOGLB J002342.6-720359,[GHE2001] W346,5.927642,-72.066378,             ,                  ,2CXO J002342.5-720359,5.927407,-72.066465,0.007
15,CXOGLB J002339.1-720604,[GHE2001] W176,5.913283,-72.101508,             ,                  ,2CXO J002339.2-720604,5.913403,-72.101269,0.015
16,CXOGLB J002339.1-720604,[GHE2001] W176,5.913271,-72.101311,             ,                  ,2CXO J002339.2-720604,5.913403,-72.101269,0.004
17,CXOGLB J002345.9-720458,[GHE2001] W345,5.941325,-72.083033,             ,                  ,2CXO J002345.8-720459,5.941221,-72.08315,0.007
18,CXOGLB J002344.8-720602,[GHE2001] W126,5.936813,-72.100558,             ,                  ,2CXO J002344.8-720602,5.93685,-72.100621,0.004
19,CXOGLB J002344.8-720602,[GHE2001] W126,5.936621,-72.100547,             ,                  ,2CXO J002344.8-720602,5.93685,-72.100621,0.006
20,CXOGLB J002348.9-720719,[GHE2001] W342,5.954025,-72.121942,             ,                  ,2CXO J002348.9-720719,5.95413,-72.122025,0.005
21,CXOGLB J002341.1-720511,[GHE2001] W348,5.921421,-72.086603,             ,                  ,2CXO J002341.0-720512,5.920972,-72.086739,0.012
22,CXOGLB J002341.3-720402,[GHE2001] W347,5.922104,-72.067442,             ,                  ,2CXO J002341.2-720403,5.92173,-72.067607,0.012
23,CXOGLB J002349.2-720351,[GHE2001] W340,5.955283,-72.064289,             ,                  ,2CXO J002349.2-720351,5.955347,-72.064344,0.004
24,CXOGLB J002349.2-720537,[GHE2001] W341,5.955146,-72.093739,             ,                  ,2CXO J002349.2-720538,5.955211,-72.093934,0.012
25,CXOGLB J002350.3-720431,[GHE2001] W108,5.959879,-72.0754,MSP          ,                  ,2CXO J002350.3-720431,5.959967,-72.075434,0.003
26,CXOGLB J002352.2-720723,[GHE2001] W147,5.96765,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776,-72.123257,0.004
27,CXOGLB J002352.2-720723,[GHE2001] W147,5.967733,-72.123194,             ,                  ,2CXO J002352.2-720723,5.967776,-72.123257,0.004
28,CXOGLB J002352.3-720311,[GHE2001] W333,5.968042,-72.05315,             ,                  ,2CXO J002352.3-720311,5.967987,-72.05315,0.001
29,CXOGLB J002353.3-720707,[GHE2001] W188,5.972721,-72.118864,             ,                  ,2CXO J002353.4-720708,5.972677,-72.118945,0.005
30,CXOGLB J002353.3-720707,[GHE2001] W188,5.972462,-72.118839,             ,                  ,2CXO J002353.4-720708,5.972677,-72.118945,0.008
31,CXOGLB J002353.4-720511,[GHE2001] W65 ,5.973008,-72.086514,             ,                  ,2CXO J002353.5-720511,5.973032,-72.086527,0.001
