,NAME,ALT_NAME_1,RA,DEC,COUNTS,COUNTS_POS_ERR,COUNTS_NEG_ERR,LX,SOURCE_TYPE,SOURCE_TYPE_FLAG,DATASET_YEAR,SOURCE_NUMBER,NOTE_FLAGS,CLASS
1,CXOGLB J002403.8-720621,[GHE2001] W122,6.015979,-72.106003,349.6,20.7,18.7,2.02e+31,CV         ,                ,2002,122,D         ,"                    CV
"
2,CXOGLB J002411.0-720620,[GHE2001] W120,6.046208,-72.105567,228.7,17.2,15.1,1.5e+31,CV         ,                ,2002,120,          ,"                    CV
"
4,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,1024.3,34.0,32.0,5.68e+31,CV         ,                ,2002,25,D         ,"                    CV
"
6,CXOGLB J002409.2-720543,[GHE2001] W140,6.038412,-72.095519,128.5,13.4,11.3,7.7e+30,CV         ,?               ,2002,140,D         ,"                    CV
"
8,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.095008,2590.4,52.9,50.9,1.435e+32,CV         ,                ,2002,56,DHY       ,"                    CV
"
10,CXOGLB J002354.4-720530,[GHE2001] W107,5.977037,-72.091897,55.6,9.5,7.4,3.4e+30,MSP        ,                ,2002,107,          ,"          RADIO PULSAR
"
12,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032371,-72.0909,247.3,17.8,15.7,1.42e+31,CV         ,                ,2002,21,DH        ,"                    CV
"
14,CXOGLB J002411.1-720520,[GHE2001] W7  ,6.046271,-72.088944,103.2,12.1,10.1,6.4e+30,MSP        ,                ,2002,7,          ,"          RADIO PULSAR
"
17,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.030446,-72.088722,33.2,8.0,5.6,1.9e+30,MSP        ,?               ,2002,96,H?        ,"          RADIO PULSAR
"
18,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.04435,-72.087906,71.2,10.5,8.3,4.2e+30,CV         ,?               ,2002,71,H         ,"                    CV
"
21,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010542,-72.086458,651.7,27.6,25.5,3.68e+31,CV         ,                ,2002,53,Y         ,"                    CV
"
22,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022296,-72.086447,18.5,6.6,4.1,1.1e+30,MSP        ,?               ,2002,97,H         ,"          RADIO PULSAR
"
25,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.02065,-72.085022,15.8,6.2,3.8,1e+30,CV         ,?               ,2002,35,          ,"                    CV
"
27,CXOGLB J002405.6-720504,[GHE2001] W31 ,6.023608,-72.084467,82.7,11.2,9.0,4.8e+30,MSP        ,?               ,2002,31,DH        ,"          RADIO PULSAR
"
28,CXOGLB J002411.6-720503,[GHE2001] W6  ,6.048438,-72.084381,49.3,9.1,6.9,3e+30,MSP        ,?               ,2002,6,H?        ,"          RADIO PULSAR
"
31,CXOGLB J002406.0-720501,[GHE2001] W28 ,6.024992,-72.083714,91.6,11.5,9.5,5.4e+30,MSP        ,?               ,2002,28,          ,"          RADIO PULSAR
"
32,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035312,-72.083417,370.1,21.2,19.2,2.45e+31,CV         ,                ,2002,15,          ,"                    CV
"
34,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015346,-72.083072,305.0,19.5,17.4,1.96e+31,CV         ,                ,2002,44,Y         ,"                    CV
"
36,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017704,-72.082783,16661.4,131.0,129.1,1.1075e+33,CV         ,                ,2002,42,DHY       ,"                    CV
"
38,CXOGLB J002403.7-720456,[GHE2001] W106,6.015642,-72.082464,199.8,16.1,14.1,1.42e+31,MSP        ,                ,2002,106,C         ,"          RADIO PULSAR
"
41,CXOGLB J002406.0-720456,[GHE2001] W30 ,6.024983,-72.082272,875.9,31.6,29.6,5.1e+31,CV         ,                ,2002,30,DY        ,"                    CV
"
42,CXOGLB J002404.9-720455,[GHE2001] W36 ,6.020471,-72.082044,491.1,24.0,22.1,5e+31,CV         ,                ,2002,36,D?H?      ,"                    CV
"
