
#ATNF Pulsar Catalogue
#Catalogue Version: 1.65
INDEX;NAME;PSRJ;RAJ;DECJ;RAJD;DECJD;BINCOMP;ASSOC;SURVEY;PSR;
#;;;(hms);(dms);(deg);(deg);;;;TYPE;
1;J0002+6216;J0002+6216;00:02:58.1;+62:16:09.4;0.74237500;62.26927778;*;GRS:4FGL_J0002.8+6217[fermi21],XRS:1XSPS;FermiBlind;HE[wcp+18];
2;J0006+1834;J0006+1834;00:06:04.8;+18:34:59;1.52000000;18.58305556;*;*;ar4;*;
3;J0007+7303;J0007+7303;00:07:01.7;+73:03:07.4;1.75708333;73.05205556;*;GRS:4FGL_J0007.0+7303[fermi21],XRS:RX_J0;FermiBlind;NRAD;
4;J0011+08;J0011+08;00:11:34;+08:10;2.89166667;8.16666667;*;*;ar327;*;
5;B0011+47;J0014+4746;00:14:17.7;+47:46:33.4;3.57395833;47.77594444;*;*;gb1,gb2,gb3,lotaas;*;
6;J0021-0909;J0021-0909;00:21:51.4;-09:09:58.7;5.46445833;-9.16630556;*;*;fast_uwb;*;
7;J0023+0923;J0023+0923;00:23:16.8;+09:23:23.8;5.82032559;9.38996257;UL[hrm+11];GRS:4FGL_J0023.4+0920[fermi21],OPT:[bvr+;FermiAssoc;HE;
8;J0024-7204aa;J0024-7204aa;00:24:05.6;-72:04:52.6;6.02362500;-72.08128333;*;GC:47Tuc,XRS:[bhc+17];misc;*;
9;J0024-7204ab;J0024-7204ab;00:24:08.1;-72:04:47.6;6.03400625;-72.07988944;*;GC:47Tuc,XRS:[bhc+17];misc;*;
10;B0021-72C;J0024-7204C;00:23:50.3;-72:04:31.5;5.95981083;-72.07541800;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
11;B0021-72D;J0024-7204D;00:24:13.8;-72:04:43.8;6.05783717;-72.07884789;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
12;B0021-72E;J0024-7204E;00:24:11.1;-72:05:20.1;6.04627200;-72.08893033;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
13;B0021-72F;J0024-7204F;00:24:03.8;-72:04:42.8;6.01606446;-72.07856064;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
14;B0021-72G;J0024-7204G;00:24:07.9;-72:04:39.7;6.03316792;-72.07769528;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
15;B0021-72H;J0024-7204H;00:24:06.7;-72:04:06.8;6.02793000;-72.06855742;He[fck+03];GC:47Tuc,XRS:[bgh+06];pksgc;*;
16;B0021-72I;J0024-7204I;00:24:07.9;-72:04:39.6;6.03306125;-72.07768931;UL[fck+03];GC:47Tuc,XRS:[bgh+06];pksgc;*;
17;B0021-72J;J0024-7204J;00:23:59.4;-72:03:58.7;5.99753208;-72.06633078;UL[fck+03];GC:47Tuc,XRS:[bgh+06];pksgc;*;
18;B0021-72L;J0024-7204L;00:24:03.7;-72:04:56.9;6.01571708;-72.08247861;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
19;B0021-72M;J0024-7204M;00:23:54.4;-72:05:30.7;5.97704125;-72.09187667;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
20;B0021-72N;J0024-7204N;00:24:09.1;-72:04:28.8;6.03828333;-72.07469186;*;GC:47Tuc,XRS:[bgh+06];pksgc;*;
21;J0024-7204O;J0024-7204O;00:24:04.6;-72:04:53.7;6.01938558;-72.08160194;UL[fck+03];GC:47Tuc,XRS:[bgh+06];pksgc;*;
22;J0024-7204P;J0024-7204P;00:24:20;-72:04:10;6.08333333;-72.06944444;UL[clf+00];GC:47Tuc;pksgc;*;
23;J0024-7204Q;J0024-7204Q;00:24:16.4;-72:04:25.1;6.06871208;-72.07365678;He[rvh+15];GC:47Tuc,XRS:[bgh+06],OPT:[rvh+15];pksgc;*;
24;J0024-7204R;J0024-7204R;00:24:07.5;-72:04:50.3;6.03160458;-72.08066539;UL[clf+00];GC:47Tuc,XRS:[bgh+06];pksgc;*;
25;J0024-7204S;J0024-7204S;00:24:03.9;-72:04:42.3;6.01658083;-72.07843139;He[rvh+15];GC:47Tuc,XRS:[bhc+17],OPT:[rvh+15];pksgc;*;
26;J0024-7204T;J0024-7204T;00:24:08.5;-72:04:38.9;6.03562125;-72.07748111;He[cpf+15];GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];pksgc;*;
27;J0024-7204U;J0024-7204U;00:24:09.8;-72:03:59.6;6.04098583;-72.06658006;He[egh+01];GC:47Tuc,XRS:[bgh+06],OPT:[cpf+15];pksgc;*;
28;J0024-7204V;J0024-7204V;00:24:05.6;-72:04:52.6;6.02362500;-72.08128333;*;GC:47Tuc;pksgc;*;
29;J0024-7204W;J0024-7204W;00:24:06.0;-72:04:49.0;6.02524167;-72.08030222;MS[egc+02];GC:47Tuc,XRS:[bgh+06];pksgc;*;
30;J0024-7204X;J0024-7204X;00:24:22.3;-72:01:17.4;6.09327354;-72.02151150;*;GC:47Tuc;pksgc;*;
31;J0024-7204Y;J0024-7204Y;00:24:01.4;-72:04:41.8;6.00584417;-72.07828786;He[cpf+15];GC:47Tuc,OPT:[cpf+15];pksgc;*;
32;J0024-7204Z;J0024-7204Z;00:24:06.0;-72:05:01.4;6.02517083;-72.08374444;*;GC:47Tuc,XRS:[bhc+17];misc;*;
33;J0026+6320;J0026+6320;00:26:50.5;+63:20:00.8;6.71067083;63.33357500;*;*;misc;*;
34;J0030+0451;J0030+0451;00:30:27.4;+04:51:39.7;7.61428258;4.86103090;*;GRS:4FGL_J0030.4+0451[fermi21];misc,lotaas;HE[btlb00,aaa+09e];
35;J0033+57;J0033+57;00:33;+57;8.25000000;57.00000000;*;*;gb350,lotaas;*;
36;J0033+61;J0033+61;00:33;+61;8.25000000;61.00000000;*;*;gb350,lotaas;*;
37;J0034-0534;J0034-0534;00:34:21.8;-05:34:36.7;8.59097592;-5.57686722;He[bkb+95];GRS:4FGL_J0034.3-0534[fermi21];pks70;HE[aaa+10b];
38;B0031-07;J0034-0721;00:34:08.8;-07:21:53.4;8.53695958;-7.36483583;*;*;mol1,pks70,lotaas;*;
39;J0034+69;J0034+69;00:34;+69:43;8.50000000;69.71666667;*;*;gbncc;*;
40;J0038-2501;J0038-2501;00:38:10.2;-25:01:30.7;9.54276667;-25.02520278;*;*;gbncc;*;
41;J0039+35;J0039+35;00:39:06;+35:45;9.77500000;35.75000000;*;*;lotaas;*;
42;B0037+56;J0040+5716;00:40:32.3;+57:16:24.8;10.13495792;57.27356472;*;*;gb2,gbncc,lotaas;*;
43;J0043-73;J0043-73;00:43:25;-73:11;10.85416667;-73.18333333;*;EXGAL:SMC;misc;*;
44;J0045-7042;J0045-7042;00:45:25.6;-70:42:07.1;11.35704167;-70.70197222;*;EXGAL:SMC;misc;*;
45;J0045-7319;J0045-7319;00:45:35.1;-73:19:03.0;11.39650000;-73.31750000;MS[bbs+95];EXGAL:SMC;misc;*;
46;B0045+33;J0048+3412;00:48:33.9;+34:12:08.0;12.14160282;34.20223077;*;*;gb2,gb3,lotaas;*;
47;J0050+03;J0050+03;00:50:31;+03:48;12.62916667;3.80000000;*;*;ar327;*;
48;J0051+0423;J0051+0423;00:51:30.1;+04:22:49;12.87541667;4.38027778;*;*;gb4,lotaas;*;
