,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
0,CV,CV0001,[DSH2013]_24___________,204.083083,-29.852333,M83XMM__________,XMM-NEWTON___,2CXO_J133620.0-295106_,204.083487,-29.85171,3,0.043
1,CV,CV0002,[HPH2013]_100__________,10.65449,41.24118,M31CFCXO________,CHANDRA______,2CXO_J004237.0+411428_,10.654579,41.24113,33,0.005
2,CV,CV0003,[HPH2013]_101__________,10.65535,41.28613,M31CFCXO________,CHANDRA______,2CXO_J004237.3+411709_,10.655445,41.286063,0,0.006
3,CV,CV0004,[HPH2013]_103__________,10.65972,41.27525,M31CFCXO________,CHANDRA______,2CXO_J004238.3+411630_,10.659826,41.275199,0,0.006
4,CV,CV0005,[HPH2013]_108__________,10.66259,41.22381,M31CFCXO________,CHANDRA______,2CXO_J004239.0+411325_,10.662678,41.223761,33,0.005
5,CV,CV0006,[HPH2013]_123__________,10.67158,41.26253,M31CFCXO________,CHANDRA______,2CXO_J004241.1+411544_,10.671665,41.262484,33,0.005
6,CV,CV0007,[HPH2013]_124__________,10.67162,41.27113,M31CFCXO________,CHANDRA______,2CXO_J004241.2+411615_,10.671723,41.271083,0,0.005
7,CV,CV0008,[HPH2013]_125__________,10.67172,41.28372,M31CFCXO________,CHANDRA______,2CXO_J004241.2+411701_,10.67181,41.2837,0,0.004
8,CV,CV0009,[HPH2013]_131__________,10.67555,41.253,M31CFCXO________,CHANDRA______,2CXO_J004242.1+411510_,10.675659,41.252951,0,0.006
9,CV,CV0010,[HPH2013]_142__________,10.67815,41.26247,M31CFCXO________,CHANDRA______,2CXO_J004242.7+411544_,10.678273,41.262422,104,0.006
10,CV,CV0011,[HPH2013]_143__________,10.67817,41.27079,M31CFCXO________,CHANDRA______,2CXO_J004242.7+411614_,10.678239,41.270734,33,0.005
11,CV,CV0012,[HPH2013]_145__________,10.67915,41.25285,M31CFCXO________,CHANDRA______,2CXO_J004243.0+411510_,10.679268,41.252825,0,0.006
12,CV,CV0013,[HPH2013]_146__________,10.67963,41.26783,M31CFCXO________,CHANDRA______,2CXO_J004243.1+411603_,10.679678,41.267771,11,0.004
13,CV,CV0014,[HPH2013]_150__________,10.68213,41.21194,M31CFCXO________,CHANDRA______,2CXO_J004243.7+411242_,10.682241,41.211877,20,0.006
14,CV,CV0015,[HPH2013]_157__________,10.68278,41.29307,M31CFCXO________,CHANDRA______,2CXO_J004243.8+411734_,10.682873,41.293036,0,0.005
15,CV,CV0016,[HPH2013]_160__________,10.68316,41.29876,M31CFCXO________,CHANDRA______,2CXO_J004243.9+411755_,10.683206,41.298743,11,0.002
16,CV,CV0017,[HPH2013]_169__________,10.68497,41.26952,M31CFCXO________,CHANDRA______,2CXO_J004244.3+411608_,10.684755,41.269,102,0.033
17,CV,CV0018,[HPH2013]_176__________,10.68766,41.25587,M31CFCXO________,CHANDRA______,2CXO_J004245.0+411520_,10.687728,41.255816,127,0.004
18,CV,CV0019,[HPH2013]_192__________,10.69645,41.2722,M31CFCXO________,CHANDRA______,2CXO_J004247.1+411619_,10.696541,41.272151,25,0.005
