,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,V__V344_Ori,,,06:15:18.9472,+15:30:59.371,0,CataclyV
1,V__V344_Pav,,,19:16:09.6825,-62:35:51.870,0,CataclyV
2,V__V345_Pav,,,19:35:42.9075,-59:08:22.712,0,CataclyV
3,V__V3462_Sgr,,,18:30:19.9947,-32:37:58.822,0,CataclyV
4,V__V347_Pav,,,18:44:48.2635,-74:18:34.218,0,CataclyV
5,V__V348_Pup,,,07:12:32.9098,-36:05:38.581,0,CataclyV
6,V__V349_Aqr,,,22:38:43.8306,+01:08:20.710,0,CataclyV
7,V__V349_Pav,,,20:08:55.8720,-65:27:43.502,0,CataclyV
8,V__V351_Pup,,,08:11:38.3927,-35:07:30.278,0,N
9,V__V351_UMa,,,12:44:26.2805,+61:35:14.611,0,N
10,V__V355_UMa,,,13:39:41.1393,+48:47:27.466,0,CataclyV
11,V__V356_Aql,,,19:17:13.6819,+01:43:21.721,0,N
12,V__V357_Mus,,,11:26:12.20,-65:31:08.6,0,N
13,V__V358_Aqr,,,23:16:03.6189,-05:27:08.916,0,CataclyV
14,V__V358_Lyr,,,18:59:32.95,+42:24:12.2,0,Candidate_CV
15,V__V359_Cen,,,11:58:15.3250,-41:46:08.544,0,CataclyV
16,V__V3608_Sgr,,,18:35:24.5802,-35:32:04.882,0,CataclyV
17,V__V363_Aur,,,05:33:33.4591,+36:59:32.474,0,CataclyV
18,V__V363_Lyr,,,19:08:51.5883,+43:00:31.277,0,CataclyV
19,V__V363_Sgr,,,19:11:16.3,-29:50:00,0,N
20,V__V364_Peg,,,21:12:29.67,+12:32:04.4,0,CataclyV
21,V__V3645_Sgr,,,18:35:49.31,-18:41:44.3,0,N
22,V__V365_Car,,,11:03:16.7648,-58:27:25.045,0,N
23,V__V366_Sct,,,18:29:42.8,-12:18:55,0,Candidate_CV
24,V__V3661_Oph,,,17:35:50.50,-29:34:24.0,0,N
25,V__V3662_Oph,,,17:39:46.08,-24:57:55.5,0,N
26,V__V3665_Oph,,,17:14:02.61,-28:49:23.7,0,N
27,V__V367_Peg,,,22:45:00.7447,+16:55:13.253,0,CataclyV
28,V__V368_Aql,,,19:26:34.4601,+07:36:13.812,0,N
29,V__V368_Per,,,02:47:32.70,+34:58:27.4,0,CataclyV
30,V__V368_Sct,,,18:45:43.53,-08:33:00.9,0,N
31,V__V369_Lyr,,,19:11:55.0,+32:12:07,0,N
32,V__V369_Peg,,,23:03:41.8138,+17:17:55.005,0,CataclyV
33,V__V370_Peg,,,23:54:39.19,+28:22:49.7,0,CataclyV
34,V__V372_Per,,,02:56:39.66,+37:08:23.5,0,CataclyV
35,V__V373_Cen,,,12:26:05.0941,-45:49:30.736,0,CataclyV
36,V__V373_Sct,,,18:55:26.71,-07:43:05.5,0,N
37,V__V3774_Sgr,,,18:41:41.20,-32:54:36.1,0,CataclyV
38,V__V378_Peg,,,23:40:04.2918,+30:17:47.379,0,N
39,V__V378_Ser,,,17:49:24.57,-12:59:59.2,0,CataclyV
40,V__V3793_Sgr,,,18:11:51.9357,-36:40:02.568,0,CataclyV
41,V__V381_Vel,,,10:16:59.0109,-41:03:44.236,0,CataclyV
42,V__V382_Nor,,,16:19:44.74,-51:34:53.1,0,N
43,V__V382_Sco,,,17:51:56.13,-35:25:05.4,0,N
44,V__V382_Vel,,,10:44:48.39,-52:25:30.7,2,N
45,V__V383_Vel,,,10:21:41.76,-49:49:23.7,0,CataclyV
46,V__V386_Ser,,,16:10:33.6288,-01:02:23.209,0,CataclyV
47,V__V388_Peg,,,21:57:32.3260,+08:55:15.074,0,CataclyV
48,V__V3888_Sgr,,,17:48:41.4736,-18:45:34.788,0,N
49,V__V3889_Sgr,,,17:58:21.32,-28:21:52.7,0,N
50,V__V390_Nor,,,16:32:11.51,-45:09:13.4,0,N
51,V__V3909_Sgr,,,18:14:21.9598,-27:51:05.333,0,CataclyV
52,V__V391_Cam,,,05:32:33.8649,+62:47:52.125,0,CataclyV
53,V__V391_Hya,,,10:58:27.5779,-29:19:02.147,0,N
54,V__V391_Lyr,,,18:21:11.9687,+38:47:43.198,0,CataclyV
55,V__V3914_Sgr,,,18:14:49.0316,-30:43:29.160,0,CataclyV
56,V__V392_Hya,,,10:58:56.4235,-29:14:40.761,0,CataclyV
57,V__V392_Per,,,04:43:21.3695,+47:21:25.869,0,CataclyV
58,V__V393_Hya,,,11:00:17.4526,-29:51:59.014,0,CataclyV
59,V__V393_Pav,,,19:57:11.5514,-57:38:22.431,0,CataclyV
60,V__V394_CrA,,,18:00:26.0351,-39:00:34.394,0,N
61,V__V394_Lyr,,,18:28:47.22,+35:49:29.3,0,CataclyV
62,V__V3941_Sgr,,,18:25:58.2582,-29:25:48.952,0,CataclyV
63,V__V395_Hya,,,12:01:24.3821,-31:59:26.830,0,N
64,V__V396_Hya,,,13:12:46.4403,-23:21:32.601,0,N
65,V__V3964_Sgr,,,17:49:42.615,-17:23:36.18,0,N
66,V__V400_Per,,,03:07:38.2681,+47:07:39.489,0,N
67,V__V4019_Sgr,,,18:25:27.2984,-25:40:07.269,0,Candidate_CV
68,V__V402_And,,,00:11:07.2580,+30:32:36.028,0,CataclyV
69,V__V4021_Sgr,,,18:38:14.26,-23:22:47.0,0,N
70,V__V4027_Sgr,,,18:02:29.1511,-28:45:21.099,0,N
71,V__V4049_Sgr,,,18:20:38.06,-27:56:26.0,0,CataclyV
72,V__V405_Aur,,,05:57:59.2933,+53:53:44.925,0,CataclyV
73,V__V405_Peg,,,23:09:49.1426,+21:35:17.176,0,CataclyV
74,V__V405_Vul,,,19:53:04.92,+21:14:49.0,0,CataclyV
75,V__V406_Hya,,,09:05:54.7498,-05:36:08.482,0,CataclyV
76,V__V406_Vir,,,12:38:13.7338,-03:39:32.965,0,CataclyV
77,V__V4065_Sgr,,,18:19:38.20,-24:43:55.9,0,N
78,V__V4077_Sgr,,,18:34:39.41,-26:26:02.9,0,CataclyV
79,V__V4092_Sgr,,,17:53:41.99,-29:02:08.4,0,N
80,V__V410_Cas,,,00:23:27.6301,+61:46:29.051,0,CataclyV
81,V__V411_Car,,,10:31:19.18,-59:58:24.7,0,Candidate_CV
82,V__V4121_Sgr,,,18:07:54.77,-28:49:26.8,0,CataclyV
83,V__V4135_Sgr,,,17:59:45.08,-32:16:20.8,0,CataclyV
84,V__V4140_Sgr,,,19:58:49.7022,-38:56:13.225,0,CataclyV
85,V__V415_Lyr,,,19:08:03.88,+31:23:55.7,0,CataclyV
86,V__V4157_Sgr,,,18:09:34.9,-25:51:58,1,N
87,V__V4160_Sgr,,,18:14:13.83,-32:12:28.5,0,N
88,V__V4169_Sgr,,,18:23:26.9493,-28:21:59.691,0,N
89,V__V4171_Sgr,,,18:23:41.34,-22:59:28.7,0,N
90,V__V418_Ser,,,15:14:53.6390,+02:09:34.601,0,CataclyV
91,V__V419_Lyr,,,19:10:13.91,+29:06:14.0,0,CataclyV
92,V__V425_Cas,,,23:03:46.6580,+53:17:14.863,0,N
93,V__V426_Oph,,,18:07:51.6921,+05:51:47.802,0,CataclyV
94,V__V4327_Sgr,,,18:12:49.82,-29:29:04.9,0,N
95,V__V433_Ara,,,17:00:05.9941,-57:51:52.473,0,CataclyV
96,V__V4332_Sgr,,,18:50:36.6959,-21:23:28.927,0,CataclyV
97,V__V4334_Sgr,,,17:52:32.6935,-17:41:08.016,0,CataclyV
98,V__V4338_Sgr,,,17:59:18.2490,-29:09:52.556,0,CataclyV
99,V__V434_Gem,,,07:48:13.5314,+29:05:09.080,0,N
100,V__V435_CMa,,,07:13:45.846,-21:12:31.28,0,N
101,V__V436_Car,,,07:44:57.9398,-52:57:13.721,0,CataclyV
102,V__V436_Cen,,,11:14:00.0570,-37:40:47.764,0,CataclyV
103,V__V4361_Sgr,,,18:23:42.47,-18:07:14.8,0,CataclyV
104,V__V441_Sgr,,,18:22:08.09,-25:28:53.7,0,N
105,V__V442_Cen,,,11:24:51.9051,-35:54:36.726,0,CataclyV
106,V__V443_Sct,,,18:49:38.95,-06:11:15.9,0,N
107,V__V444_Sct,,,18:47:09.91,-08:20:53.6,0,N
108,V__V4444_Sgr,,,18:07:36.1994,-27:20:13.214,0,N
109,V__V445_Pup,,,07:37:56.8797,-25:56:58.836,0,N
110,V__V446_Her,,,"18:12:31.4708,01:28:52.5444,21:29:58.36,13:42:09.75,18:57:21.5917,13:26:52.135","+67:04:45.823,-23:39:43.961,+12:10:01.4,+28:22:47.5,+13:14:29.319,-47:29:35.63",-1,N
111,V__V447_Lyr,,,19:00:19.91,+44:27:45.0,0,CataclyV
112,V__V450_Cyg,,,20:58:47.6345,+35:56:30.433,0,N
113,V__V452_Cas,,,00:52:18.0062,+53:51:50.149,0,CataclyV
114,V__V452_Lyr,,,19:10:26.32,+43:28:55.2,0,CataclyV
115,V__V453_Nor,,,16:00:47.43,-48:46:07.6,0,CataclyV
116,V__V455_And,,,23:34:01.4485,+39:21:40.866,0,CataclyV
117,V__V458_Vul,,,19:54:24.61,+20:52:52.6,0,N
118,V__V459_Vul,,,19:48:08.81,+21:15:29.9,0,N
119,V__V463_Sct,,,18:34:03.13,-14:45:12.4,0,N
120,V__V4633_Sgr,,,18:21:40.4868,-27:31:37.297,0,N
121,V__V4642_Sgr,,,17:55:09.8859,-19:46:01.041,0,N
