,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,ASASSN-18jy,2018/05/11,16.88,6:42:32.29,-55:20:55.9,0,Candidate
1,ASASSN-18jz,2018/05/13,17.48,7:49:50.06,-7:1:36,0,Candidate
2,ASASSN-18ka,2018/05/12,15.39,6:47:20.57,-43:50:46.2,0,Candidate
3,ASASSN-18kc,2018/05/12,15.47,13:8:28.87,-9:58:58.1,0,Candidate
4,ASASSN-18kf,2018/05/15,15.53,14:59:0.88,-74:32:20.1,0,Candidate
5,ASASSN-18kg,2018/05/15,16.77,21:29:16.2,49:51:55.9,0,Candidate
6,ASASSN-18kj,2018/05/16,16.77,19:3:23.42,-29:21:12.3,0,Candidate
7,ASASSN-18kk,2018/05/16,17.34,16:16:8.13,-22:36:11.9,0,Candidate
8,ASASSN-18kt,2018/05/20,16.14,17:51:27.41,3:15:31.6,0,Candidate
9,ASASSN-18ku,2018/05/20,15.9,19:56:29.52,9:48:32.1,0,Candidate
10,ASASSN-18kv,2018/05/20,13.47,15:55:5.71,-28:31:57.2,0,Candidate
11,ASASSN-18kw,2018/05/17,15.41,15:2:18.87,-15:47:49.4,0,Candidate
12,ASASSN-18kx,2018/05/17,16.66,7:50:25.8,-59:30:3.2,0,Candidate
13,ASASSN-18lc,2018/05/24,12.67,10:6:37.11,-18:25:11.7,0,Candidate
14,ASASSN-18lf,2018/05/23,16.23,13:51:48.66,-18:13:46.7,0,Candidate
15,ASASSN-18li,2018/05/26,,21:54:52.77,-12:35:3.3,0,Candidate
16,ASASSN-18lj,2018/05/23,16.34,19:8:36.87,-67:28:22.3,0,Candidate
17,ASASSN-18lm,2018/06/2,15.06,15:24:24.94,-35:21:3.7,0,Candidate
18,ASASSN-18ln,2018/06/1,15.9,1:31:47.45,-86:16:9.2,0,Candidate
19,ASASSN-18lo,2018/06/1,16.09,10:55:28.7,-71:38:40.1,0,Candidate
20,ASASSN-18lq,2018/06/4,15.17,23:52:6.83,-56:2:6.6,0,Candidate
21,ASASSN-18lt,2018/06/4,17.05,10:24:51.4,-29:19:58,0,Candidate
22,ASASSN-18lu,2018/06/5,16.38,19:31:49.29,43:14:37.9,0,Candidate
23,ASASSN-18lx,2018/06/5,15.32,19:35:57.87,-16:22:16.1,0,Candidate
24,ASASSN-18ly,2018/06/5,16.78,19:40:17.02,-18:43:45.1,0,Candidate
25,ASASSN-18md,2018/06/10,16.9,11:8:0.63,-32:12:11.8,0,Candidate
26,ASASSN-18me,2018/06/6,17.78,11:37:27.49,-45:43:53.3,0,Candidate
27,ASASSN-18mf,2018/06/11,16.52,18:36:6.64,-50:47:42.5,0,Candidate
28,ASASSN-18mg,2018/06/11,16.05,18:27:50.27,-51:35:50.5,0,Candidate
