,Name,Disc. Date,Mag.,R.A.,Dec.,num_obs,Type
0,Gaia16aas,2016,,02:57:56.800,-46:31:42.67,0,Candidate_CV
1,Gaia16aav,2016,18.78,19:16:36.24,-69:28:33.96,0,Candidate
2,Gaia16abq,2016,18.88,17:14:46.56,+06:23:02.976,0,Candidate
3,Gaia16acm,2016,17.9,14:30:30.24,-35:44:11.04,0,Candidate
4,Gaia16acy,2016,17.22,12:59:36.48,-38:06:23.76,0,Candidate
5,Gaia16acz,2016,15.9,01:46:44.664,+48:26:49.56,0,Candidate
6,Gaia16adb,2016,16.94,12:09:30.24,+76:09:11.88,0,Candidate
7,Gaia16ade,2016,18.51,"12:56:15.1946,12:56:15.12","-08:24:28.684,-08:24:28.728",-1,Candidate_CV
8,Gaia16adh,2016,16.43,00:38:27.05,+25:09:24.84,0,known_CV
9,Gaia16ads,2016,15.64,07:46:22.56,-77:47:16.8,0,Candidate
10,Gaia16adz,2016,18.32,"11:25:57.420,11:25:57.36","-48:52:47.46,-48:52:47.28",-1,Candidate_CV
11,Gaia16aeb,2016,17.65,20:49:12.72,+65:01:08.4,0,Candidate
12,Gaia16aei,2016,18.27,10:45:40.32,-50:40:45.12,0,Candidate
13,Gaia16afh,2016,17.16,18:58:38.64,+46:02:07.08,0,known_CV
14,Gaia16afp,2016,18.38,04:25:38.808,-26:13:27.84,0,Candidate
15,Gaia16afr,2016,,09:33:45.49,-41:18:44.4,0,Candidate_CV
16,Gaia16afs,2016,17.95,09:59:43.2,-40:12:09.36,0,Candidate
17,Gaia16aga,2016,17.01,14:41:44.88,-05:07:06.24,0,Candidate
18,Gaia16agl,2016,17.59,17:34:29.76,+14:34:38.64,0,Candidate
19,Gaia16ags,2016,17.16,05:25:21.936,-10:50:15.36,0,Candidate
20,Gaia16agx,2016,17.51,20:36:48.72,+29:31:27.12,0,Candidate
21,Gaia16ahh,2016,17.67,00:44:37.008,+41:42:26.28,0,N
22,Gaia16ahi,2016,16.78,23:27:16.32,+41:31:48.72,0,known_CV
23,Gaia16ahl,2016,16.79,01:01:08.904,+43:23:25.8,0,known_CV
24,Gaia16ahx,2016,16.02,20:01:55.68,-14:36:14.76,0,Candidate
25,Gaia16aid,2016,14.07,08:10:57.36,+27:15:12.6,0,Candidate
26,Gaia16ajt,2016,18.09,07:42:39.6,+09:10:43.536,0,Candidate
27,Gaia16akd,2016,17.17,04:06:37.632,-24:54:50.4,0,Candidate
28,Gaia16ake,2016,18.12,06:48:40.56,+08:27:43.632,0,Candidate
29,Gaia16akn,2016,15.52,20:59:44.64,-51:05:24.36,0,Candidate
30,Gaia16akq,2016,16.53,20:26:56.64,-60:18:27.72,0,Candidate
31,Gaia16akr,2016,16.49,19:25:54.72,-46:19:03.36,0,Candidate
32,Gaia16ald,2016,15.82,17:53:51.36,-64:17:39.84,0,Candidate
33,Gaia16alp,2016,15.4,06:38:59.112,-60:16:24.96,0,Candidate
34,Gaia16als,2016,18.0,05:21:41.592,-04:11:10.464,0,Candidate
35,Gaia16alx,2016,18.13,06:37:55.392,-22:04:26.04,0,Candidate
36,Gaia16ami,2016,16.92,10:16:47.76,-28:48:10.08,0,Candidate
37,Gaia16amn,2016,18.24,05:48:02.016,+39:44:02.4,0,Candidate
38,Gaia16anp,2016,16.05,20:08:56.16,-51:14:03.84,0,Candidate
