,type,SRC_ID,A_NAME,A_RA,A_DEC,A_DATABASE_TABLE,A_OBSERVATORY,B_NAME,B_RA,B_DEC,num_obs,XOFFSET_
0,BH,BH0001,1A_0620-00___________,95.685,-0.345833,INTREFCAT_______,INTEGRAL_____,2CXO_J062244.5-002044_,95.685571,-0.345644,3,0.036
1,BH,BH0002,1E_1740.7-2942_______,265.978333,-29.745278,INTREFCAT_______,INTEGRAL_____,2CXO_J174354.8-294443_,265.978511,-29.745287,13,0.009
2,BH,BH0003,GINGA_1354-645_______,209.54125,-64.734722,INTREFCAT_______,INTEGRAL_____,2CXO_J135809.6-644405_,209.540413,-64.734813,3,0.022
3,BH,BH0004,GRO_J1655-40_________,253.500417,-39.845833,INTREFCAT_______,INTEGRAL_____,2CXO_J165400.1-395044_,253.500574,-39.845791,2,0.008
4,BH,BH0005,GRS_1758-258_________,270.302917,-25.740556,INTREFCAT_______,INTEGRAL_____,2CXO_J180112.3-254436_,270.301629,-25.743379,0,0.183
5,BH,BH0006,GX_339-4_____________,255.70625,-48.789722,INTREFCAT_______,INTEGRAL_____,2CXO_J170249.3-484723_,255.705811,-48.789749,5,0.017
6,BH,BH0007,IGR_J17091-3624______,257.281667,-36.406944,INTREFCAT_______,INTEGRAL_____,2CXO_J170907.5-362425_,257.281583,-36.40705,0,0.008
7,BH,BH0008,IGR_J17464-3213______,266.566667,-32.233056,INTREFCAT_______,INTEGRAL_____,2CXO_J174616.1-321400_,266.567165,-32.233511,10,0.037
8,BH,BH0009,SAX_J1819.3-2525_____,274.84,-25.406944,INTREFCAT_______,INTEGRAL_____,2CXO_J181921.6-252425_,274.840069,-25.407185,5,0.015
9,BH,BH0010,XTE_J1550-564________,237.744583,-56.476667,INTREFCAT_______,INTEGRAL_____,2CXO_J155058.6-562835_,237.744462,-56.476433,14,0.015
10,BH,BH0011,XTE_J1650-500________,252.504167,-49.9625,INTREFCAT_______,INTEGRAL_____,2CXO_J165000.9-495744_,252.503942,-49.962294,2,0.015
11,BH,BH0012,XTE_J1859+226________,284.673333,22.658056,INTREFCAT_______,INTEGRAL_____,2CXO_J185841.4+223929_,284.67287,22.658311,1,0.03
12,BH,BH0013,XTE_J1908+094________,287.22125,9.384722,INTREFCAT_______,INTEGRAL_____,2CXO_J190853.0+092305_,287.221128,9.384731,4,0.007
13,BH,BH0014,CXOU_J100506.7-074433,151.278252,-7.742774,NGC3115CXO______,CHANDRA______,2CXO_J100506.7-074434_,151.278289,-7.742803,8,0.003
14,BH,BH0015,CXOU_J100508.7-074443,151.286453,-7.74551,NGC3115CXO______,CHANDRA______,2CXO_J100508.7-074444_,151.286466,-7.745583,1,0.004
15,BH,BH0016,CXOU_J100510.0-074529,151.291894,-7.758287,NGC3115CXO______,CHANDRA______,2CXO_J100510.0-074529_,151.291914,-7.75833,1,0.003
16,BH,BH0017,CXOU_J100510.9-074533,151.295447,-7.759294,NGC3115CXO______,CHANDRA______,2CXO_J100510.9-074533_,151.295434,-7.759416,10,0.007
17,BH,BH0018,CXOU_J100514.2-074233,151.309383,-7.709196,NGC3115CXO______,CHANDRA______,2CXO_J100514.2-074233_,151.309418,-7.709184,10,0.002
