,type,SRC_ID,A_NAME,B_DEC,B_NAME,B_RA,DEC,RA,num_obs,XOFFSET_
0,PULSAR,PL0001,PSR_J0007+7303_,73.052259,2CXO_J000701.5+730308_,1.756555,73.052056,1.757083,1,0.015
1,PULSAR,PL0002,PSR_J0023+0923_,9.389989,2CXO_J002316.8+092323_,5.820373,9.389963,5.820326,2,0.003
2,PULSAR,PL0003,PSR_J0100-7211_,-72.192701,2CXO_J010043.0-721133_,15.179341,-72.192667,15.179292,20,0.002
3,PULSAR,PL0004,PSR_J0101-6422_,-64.375178,2CXO_J010111.0-642230_,15.296214,-64.375047,15.296318,1,0.008
4,PULSAR,PL0005,PSR_J0146+6145_,61.750834,2CXO_J014622.4+614503_,26.593348,61.750778,26.593417,1,0.004
5,PULSAR,PL0006,PSR_J0205+6449_,64.828178,2CXO_J020537.9+644941_,31.40807,64.828148,31.40801,4,0.002
6,PULSAR,PL0007,PSR_J0248+6021_,60.359713,2CXO_J024818.6+602134_,42.077716,60.359644,42.077571,1,0.006
7,PULSAR,PL0008,PSR_J0357+3205_,32.089093,2CXO_J035752.3+320520_,59.467935,32.090278,59.46875,4,0.082
8,PULSAR,PL0009,PSR_J0358+5413_,54.220487,2CXO_J035853.7+541313_,59.723885,54.220496,59.723849,9,0.001
9,PULSAR,PL0010,PSR_J0359+5414_,54.248739,2CXO_J035926.0+541455_,59.858627,54.248806,59.858375,9,0.01
10,PULSAR,PL0011,PSR_J0418+5732_,57.539719,2CXO_J041833.8+573222_,64.640939,57.539697,64.641113,4,0.006
11,PULSAR,PL0012,PSR_J0437-4715_,-47.252399,2CXO_J043715.8-471508_,69.315921,-47.252531,69.316234,16,0.015
12,PULSAR,PL0013,PSR_J0501+4516_,45.276135,2CXO_J050106.7+451634_,75.278167,45.276089,75.278167,2,0.003
13,PULSAR,PL0014,PSR_J0525-6607_,-66.076702,2CXO_J052600.9-660436_,81.503755,-66.07675,81.50375,4,0.003
