,NAME,PSRJ,RAJ,DECJ,RAJD,num_obs,DECJD,BINCOMP,ASSOC_MOD,ASSOC,SURVEY,PSR,Unnamed: 11
0,J1732-3131,J1732-3131,17:32:33.5,-31:31:23,263.13975,0,-31.52305556,,GRS,GRS:4FGL_J1732.5-3131[fermi21],FermiBlind,HE,
1,J1732-3426,J1732-3426,17:32:07.1,-34:26:05,263.02991667,0,-34.43472222,,NA,,"pksmb,htru_pks",,
2,J1732-35,J1732-35,17:32:30,-35:05,263.125,0,-35.08333333,,NA,,htru_pks,,
3,J1732-3729,J1732-3729,17:32:20.8,-37:29:05,263.08670833,0,-37.48472222,,NA,,"pksmb,htru_pks",,
4,B1729-41,J1732-4128,17:32:50.0,-41:28:48,263.20833333,0,-41.48,,NA,,"mol2,pksmb,htru_pks",,
5,J1732-4156,J1732-4156,17:32:48.8,-41:56:29.6,263.20358333,0,-41.94155556,,NA,,pksmb,,
6,J1732-5049,J1732-5049,17:32:47.7,-50:49:00.1,263.19902805,0,-50.81671992,He[eb01b],GRS,GRS:4FGL_J1732.7-5050[fermi21],"pkssw,htru_pks",HE,
7,B1730-22,J1733-2228,17:33:26.4,-22:28:37,263.36015701,0,-22.4770089,,NA,,"jb1,mol2,pks70,pkssw,pksmb,htru_pks",,
8,J1733-2533,J1733-2533,17:33:25.8,-25:33:11,263.35775,0,-25.55305556,,NA,,pksmb,,
9,J1733-2837,J1733-2837,17:33:33.9,-28:37:33,263.39125,0,-28.62583333,,NA,,pksmb,,
10,J1733-3030,J1733-3030,17:33:58.8,-30:30:49,263.495375,0,-30.51361111,,NA,,"pksmb,htru_pks",,
11,J1733-3322,J1733-3322,17:33:55.2,-33:22:03,263.48004167,0,-33.3675,,NA,,"pksmb,htru_pks",,
12,B1730-37,J1733-3716,17:33:26.7,-37:16:55.2,263.36151,0,-37.28200833,,NA,,"pks1,pksmb,htru_pks",,
13,J1733-4005,J1733-4005,17:33:58.6,-40:05:39.7,263.49433333,0,-40.09436111,,NA,,"pksmb,htru_pks",,
14,J1733-5515,J1733-5515,17:33:00.4,-55:15:40,263.25166667,0,-55.26111111,,NA,,htru_pks,,
15,B1732-02,J1734-0212,17:34:45.6,-02:12:39.1,263.69025447,0,-2.21085393,,NA,,gb2,,
16,J1734-2415,J1734-2415,17:34:41.6,-24:15:20,263.67333333,0,-24.25555556,,NA,,"pksmb,htru_pks",,
17,J1734-2859,J1734-2859,17:34:00.1,-28:59:53.4,263.500475,0,-28.99816667,,NA,,htru_pks,,
18,J1734-3058,J1734-3058,17:34:50.8,-30:58:41.4,263.71182917,0,-30.97816667,,NA,,htru_pks,,
19,J1734-3333,J1734-3333,17:34:26.9,-33:33:20,263.61208333,0,-33.55555556,,NA,,"pksmb,htru_pks",HE[oklk10],
20,J1735-0243,J1735-0243,17:35:48.1,-02:43:48,263.95041667,0,-2.73,,NA,,gb350,,
21,B1732-07,J1735-0724,17:35:04.9,-07:24:52.1,263.77072083,0,-7.41448056,,NA,,"misc,mol2,gb2,pks70,pkssw,htru_pks",,
22,J1735-3258,J1735-3258,17:35:56.9,-32:58:21.8,263.98716667,0,-32.97272778,,NA,,pksmb,,
23,J1735+6320,J1735+6320,17:35:06.5,+63:20:00.0,263.77734167,0,63.33335,,NA,,lotaas,,
24,J1736+05,J1736+05,17:36:54,+05:48,264.225,0,5.8,,NA,,"ar4,pkssw,lotaas",,
25,J1736-2457,J1736-2457,17:36:45.4,-24:57:50,264.18933333,0,-24.96388889,,NA,,"pksmb,htru_pks",,
