obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,src_n,src_id,significance,class
BH_OBS_0,XRB,0.9958137140637139,XRB,0.9963397300258433,XRB,XRB,1,1,1A 0620-00          ,BH0001,23.63,XRB
BH_OBS_1,XRB,0.9883451042876681,XRB,0.9123531698081205,XRB,XRB,1,1,1A 0620-00          ,BH0001,23.63,XRB
BH_OBS_10,XRB,0.8322063537663322,XRB,0.9803045187147614,XRB,XRB,1,1,GINGA 1354-645      ,BH0003,20.86,XRB
BH_OBS_100,XRB,0.9426509208889325,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_101,XRB,0.976090911990166,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_102,XRB,0.9733066602419606,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_103,XRB,1.0,XRB,1.0,XRB,XRB,1,1,CXOU J100516.5-07420,BH0021,16.75,XRB
BH_OBS_104,XRB,0.8661840287692341,XRB,0.9698005103078041,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_105,XRB,0.8325791655194557,XRB,0.9696446026809389,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_106,XRB,0.9035803244179799,XRB,0.9979128090403258,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_107,XRB,0.9076105898133467,XRB,1.0,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_108,XRB,0.9911074776052552,XRB,0.9819373458372513,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_109,XRB,0.905190676835486,XRB,1.0,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_11,XRB,0.6168133715199524,CV,0.9989709172259507,XRB,XRB,1,1,GINGA 1354-645      ,BH0003,20.86,XRB
BH_OBS_110,XRB,0.7792373105713126,CV,0.9666168992245268,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_111,XRB,0.9963982102908276,XRB,0.9986991338266507,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
BH_OBS_112,XRB,0.8164582347669384,XRB,1.0,XRB,XRB,1,1,CXOU J100517.1-07421,BH0022,11.12,XRB
