src_id,class,significance,photflux_aper_hilim_u,photflux_aper_hilim_b,photflux_aper_lolim_h,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_hilim_s,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_s,photflux_aper_u,photflux_aper_h,photflux_aper_lolim_s,photflux_aper_lolim_u,photflux_aper_hilim_h,photflux_aper_b,photflux_aper_hilim,flux_aper_lolim_b,flux_aper_hilim_h,flux_aper_hilim,flux_aper_h,flux_aper_hilim_m,flux_aper_lolim_m,flux_aper,flux_aper_lolim_h,flux_aper_hilim_u,flux_aper_hilim_s,photflux_aper,flux_aper_lolim_s,flux_aper_u,flux_aper_hilim_b,flux_aper_lolim_u,flux_aper_lolim,flux_aper_b,flux_aper_s,flux_aper_m,photflux_aper_lolim,kp_prob,var_index,var_mean,var_inter_prob,var_min,var_sigma,var_inter_index,var_inter_sigma,var_max,var_prob,ks_prob,hard_hm_hilim,hard_hm,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_hs,hard_ms_hilim,hard_hm_lolim
TC0008,TC,10.04,-5.650322924678826,-5.641151545541866,-6.813433094740537,-6.590848910386403,-6.4075272830036045,-6.082562663896544,-7.061747916038164,-6.035499654525443,-6.199649918735132,-5.901985310383616,-6.3984867253950455,-6.579801106511779,-6.3860654458373025,-6.217499820765419,-5.7801641851629375,-5.856942113181548,-14.704697680522376,-14.3765661372647,-14.511903375039056,-14.576410632084599,-15.163418383503249,-15.699379983912033,-14.688185914049008,-15.003565940321147,-15.061142008311222,-14.915890624742394,-6.117425931326878,-15.391000975058125,-15.20879659564461,-14.287074386947836,-15.482705930548462,-15.012004511286174,-14.43164499127054,-15.010917484208406,-15.228458760963335,-6.4728797106659925,0.33665625000000005,0.28125,0.00054183,0.6692,0.00036009937500000003,0.00042479040625000003,4.0,1.2517200000000001e-06,0.00360298125,0.48703125,0.38934375,0.5108555555555555,0.21654444444444448,-0.4499333333333333,0.12444444444444445,-0.5706222222222223,-0.7655666666666667,-0.1700444444444444,-0.016722222222222232,-0.14997777777777774
PL0062,PL,85.97,-5.055369298143722,-3.429106963781608,-3.612432220582811,-4.771086594005312,-4.7342390832823895,-5.915781313260761,-4.813891620186793,-3.4528408786725824,-6.127727153775795,-5.298432014944073,-3.6001532872870774,-6.592609095529268,-5.900319358890751,-3.5880437620695984,-3.4408118109952244,-3.8801129285462768,-11.69015699528393,-11.669789215428471,-12.038278089153645,-11.681727919788376,-13.248259126189101,-13.327625021253919,-12.058595414963074,-11.694218848745015,-12.650334015903368,-14.521433504406154,-3.895365963586573,-15.079094395835972,-12.869344650977972,-11.666351243485297,-13.33161408331,-12.080141559269038,-11.677987561417599,-14.711080394338277,-13.285000032587956,-3.9111812762626545,0.5396666666666666,0.0,0.061262999999999984,0.8803999999999998,0.061246333333333326,1.9386666666666665e-05,5.6,2.103632e-05,0.061287333333333326,0.042,0.422,0.8838,0.8732,0.9913,0.9975,0.9144,0.8601,0.9944,0.9613,0.8626
BH0011,BH,86.04,-6.2424521465307565,-6.0968557295904615,-7.119701008574247,-7.21838821750685,-6.930331903088405,-6.471597562046383,-7.697186836244553,-6.5132862240175164,-6.687188173787912,-6.150268645255113,-6.642636969384857,-7.134363112300371,-6.743378724499145,-6.4206737962447455,-6.251811972993798,-6.3551873496664895,-14.702020755840636,-14.249260248764653,-14.545357095779073,-14.464832514885053,-15.707743928643525,-16.245430153806414,-14.738844230722703,-14.911863911299449,-15.04662099831554,-15.285083752006415,-6.6762612675915,-15.984221243610964,-15.09736126389833,-14.296966695266313,-15.545679970443127,-15.081615763033724,-14.448794056252096,-15.506960411682348,-15.861715737257967,-7.0400051616715835,0.13699999999999998,0.0,0.0001938,1.0,0.0001908,9.944e-06,8.0,0.000239636,0.0002776,0.473,0.025,0.92,0.6608,-0.3267,0.4866,-0.6046,-0.8913,0.0937,-0.1905,0.268
PL0064,PL,11.99,-5.1359638172742255,-4.557050130422138,-5.185020316239243,-5.332453660488484,-5.272377422030862,-5.019269623464054,-5.402195157595707,-4.62967199222049,-5.0744816418225716,-5.4077121840478695,-5.116622510251661,-5.141763664570487,-6.2923446764688125,-5.060780364145182,-4.591929714112816,-4.930753824931472,-13.081497860363829,-13.129128104932256,-13.390249827570054,-13.188023055663047,-13.896880746454285,-14.036259381142116,-13.439493195295794,-13.256176778396249,-14.555486793665954,-13.799696817018411,-4.998084648206068,-13.923723744595785,-14.80106813006779,-13.008906891951113,-15.4207882197685,-13.495315780740249,-13.043687469158805,-13.857297754262385,-13.959002307576512,-5.07907251232225,0.5565,0.5,0.0042645,0.6360855000000001,0.003999249999999999,0.00028768,3.9498333333333338,6.445442961166665e-05,0.00486425,0.344,0.7065,0.3467,0.2511,-0.14300000000000002,0.0518,-0.2948,-0.3854,-0.0475,-0.2005,0.1543
PL0061,PL,9.04,-4.9527251326158215,-4.7804154737857445,-6.598082749482424,-5.552686891176431,-5.4719836588108,-5.0619308137766135,-5.652084813498309,-4.876801924968001,-5.1187294960706415,-5.091086259979028,-6.242679903453327,-5.184156709336733,-5.2952490957093294,-6.0581905269911625,-4.825940192274975,-5.0899244119150335,-13.711527199400216,-14.410050398674292,-13.949860080724376,-14.602929450040591,-14.110866444033274,-14.291069464193384,-14.020934443002002,-14.958212681028247,-14.282163132513075,-13.825068406471555,-5.167249737730063,-13.947306058075032,-14.428291168191311,-13.614393726401687,-14.66655272550325,-14.10688211423776,-13.660151216962365,-13.882066164960358,-14.191653964259606,-5.261674579617937,0.19540000000000005,0.0,0.00209382,0.6215245000000005,0.00205466,4.0604e-05,3.704000000000001,7.751902783e-05,0.0021877,0.2934,0.2788,-0.4853,-0.6533,-0.9238,-0.7826,-0.466,-0.5565,-0.8607,-0.3679,-0.7976
TC0005,TC,23.37,-4.913156000797968,-5.067295439440679,-6.573253707207584,-6.062743699064156,-5.921538641088734,-5.345559470329242,-6.348131682809732,-5.2763606676818675,-5.442097455995842,-5.037340707786988,-6.149786149525883,-5.595393051751843,-5.271181700360549,-5.986659843631424,-5.152374608904699,-5.246918436704392,-14.0650435890579,-14.251979710097013,-14.079667270648065,-14.429823319959226,-14.508772445642734,-15.07623704019464,-14.201217171814505,-14.886877360781892,-14.103720567941231,-14.072097161148081,-5.38632892391184,-14.321909511249864,-14.237419637469307,-13.846970129935857,-14.486749297257465,-14.38839992249283,-13.934445395879196,-14.168577309919893,-14.689301820537615,-5.571353362412901,0.6090348484848485,0.6045454545454546,0.001384999696969697,0.6342,0.0012036672727272727,0.00020233681515151517,3.799999999999999,1.3010599999999999e-06,0.0020472922727272727,0.5103651515151516,0.6564666666666668,0.2076636363636364,-0.2300909090909091,-0.8274909090909092,-0.5136000000000001,-0.6763909090909092,-0.7733181818181819,-0.7189909090909091,-0.4741818181818182,-0.4587545454545454
PL0090,PL,33.38,-5.189095719331299,-4.049878652488626,-4.205233202059179,-5.08613318810376,-5.055172003656784,-5.929223537156565,-5.119472221801195,-4.075927570089636,-6.037678027270416,-5.391473966422807,-4.1912490276504055,-6.182500738132242,-5.817585347565446,-4.178486471595227,-4.0626827522375075,-4.463684022019435,-12.278849156250315,-12.265520210574422,-12.646318763081926,-12.2786841193941,-13.634886568372426,-13.700274846024366,-12.660850383927158,-12.293026323823822,-14.562249437179613,-14.752272167090275,-4.483814053098461,-15.012244383261475,-14.551695434454686,-12.25289906863501,-14.845067050560331,-12.6751365963126,-12.265680319140992,-14.859806321421368,-13.666351243485297,-4.505639721604796,0.2164,0.2,0.011607524,0.6425560000000005,0.011579168,3.14944e-05,4.073,7.50257869916667e-05,0.0116898,0.2468,0.3498,0.7901,0.7745,0.9638,0.9788,0.797,0.7439,0.9719,0.8476,0.7589
NS0062,NS,92.0,-4.985479461242076,-4.607400935565643,-5.130004376635989,-5.410909031961099,-5.309803115084625,-5.315862404472211,-5.588521973190674,-4.7236846061131255,-5.417521893822944,-5.041675068355947,-5.034633550413568,-5.5779127786587415,-5.110530216030494,-4.963858244693621,-4.658646457705352,-4.958319976067023,-13.129848743793847,-13.073305307295186,-13.313383882426045,-13.143212084093804,-13.92864473347472,-14.206508372171974,-13.377140370990212,-13.239020864590868,-13.917573699139226,-14.104059672333387,-5.023925967152168,-14.363221977267964,-13.977984260182279,-13.013106969584449,-14.047837425785534,-13.460755454650288,-13.065584628944139,-14.203193531757298,-14.03149172736855,-5.110997836107003,0.7766666666666666,3.6,0.008224838333333335,1.0,0.0013526261999999999,0.0053308805,8.0,5.69e-05,0.023954874,0.6302566666666667,0.72955,0.5003000000000001,0.39426,0.27971999999999997,0.5238,0.011259999999999996,-0.15328,0.41024,0.17752,0.27096
NS0034,NS,103.56,-5.005287014568429,-4.827397068790139,-5.279427279635738,-5.412176828681043,-5.349886835556428,-6.234405944680555,-5.4847886956722,-4.9229956732066515,-6.468521082957745,-5.239426746055607,-5.210207832269325,-7.070581074285707,-5.783570169123749,-5.150457747994984,-4.872571222148401,-5.132156718357332,-13.375821074251974,-13.36875921976449,-13.658643042000636,-13.425505731714672,-13.920095532333276,-14.05843887976393,-13.713482903921197,-13.490797477668895,-14.772370350428991,-15.09615066190332,-5.228471310845097,-15.93218548883816,-14.997402019280093,-13.280337316981953,-15.54136215097435,-13.777099447814633,-13.325414397697086,-15.330218384791465,-13.98171569157347,-5.352597467511472,0.043333333333333335,0.6666666666666666,0.0028870000000000002,1.0,0.0026656666666666677,0.0003054196666666667,8.0,0.0222536,0.0040490000000000005,0.3753333333333333,0.32566666666666666,0.3254,0.2274,0.8114,0.9525,0.8345,0.7152,0.8932,0.9225,0.1243
TC0019,TC,4.44,-5.705686190078298,-6.056244451456551,-7.219736442499433,-7.031893568961445,-6.60489473362849,-6.4326153423468675,-7.986163482379425,-6.772899919087273,-6.816623948100758,-6.190848419798062,-6.332409506347124,-7.477916778789745,-7.031428094408359,-6.327960154642224,-6.277284914434648,-6.183375945843794,-16.25979591493541,-14.770045969092624,-14.950836489022008,-14.453460123085087,-15.199668720836694,-16.552604084841555,-15.391690156609455,-15.701146923590295,-15.017731778100494,-15.232983476884652,-6.535034809611057,-16.268113933264026,-15.090609335194236,-14.886920648454792,-15.655804284128564,-16.4082132094749,-15.127526071618448,-15.606804873507421,-15.63768539589572,-7.38951612106208,0.57375,1.0,0.000143825,0.1042,0.00011650499999999997,3.943425e-05,0.6,1.2529340000000002e-06,0.000274025,0.6739999999999999,0.5670000000000001,0.60025,0.14397500000000002,-0.31075,0.611175,-0.188,-0.5968,0.339475,0.35885,-0.33635
