photflux_aper_u,photflux_aper_lolim_s,photflux_aper_hilim_h,photflux_aper_lolim_h,photflux_aper_m,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_h,photflux_aper_lolim_u,photflux_aper_b,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_lolim_b,photflux_aper_lolim_m,photflux_aper_hilim_u,photflux_aper_lolim,photflux_aper_hilim,flux_aper_lolim,flux_aper_hilim,flux_aper_lolim_u,flux_aper_hilim_b,flux_aper_lolim_s,flux_aper_h,flux_aper_lolim_h,flux_aper_lolim_m,flux_aper_hilim_s,photflux_aper,flux_aper_hilim_u,flux_aper_m,flux_aper_hilim_h,flux_aper_lolim_b,flux_aper_u,flux_aper,flux_aper_s,flux_aper_b,flux_aper_hilim_m,var_index,var_inter_index,var_mean,var_prob,kp_prob,var_max,var_min,var_inter_sigma,var_inter_prob,var_sigma,ks_prob,hard_hm_hilim,hard_hm,hard_hs_hilim,hard_hs_lolim,hard_hm_lolim,hard_ms,hard_hs,hard_ms_lolim,hard_ms_hilim,class
-4.0,-5.0,-5.428291168191311,-5.0,-5.0,-5.340654364253823,-5.648203693102976,-5.717151397165356,-5.0,-5.6294869104014085,-5.0,-5.881735273910521,-6.884722408604098,-5.0,-4.47134035476501,-7.583692412940117,-5.039671949469857,-15.714938024064839,-14.0379433552334,-14.0,-14.089322245257295,-14.0,-14.336770365467133,-15.291069464193384,-14.0,-14.514136670402666,-6.069050968832477,-13.64685345378602,-14.0,-14.060580596670682,-15.344573412254084,-13.0,-14.749482414389515,-14.0,-14.366834646316097,-14.472756883611913,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9994,1.0,-0.0019,0.2655,-0.9994,0.9994,-1.0,0.1018,XRB
-3.7340036295049206,-6.0968557295904615,-5.643782865780264,-6.911155437272996,-6.00590291041179,-5.0901231820096084,-5.231583911783669,-5.911155437272996,-4.848017604542527,-5.274660184090263,-5.4770344045080135,-5.728390698621168,-5.630042392653947,-6.983802646487561,-3.4501388115280567,-5.454430653800246,-4.127455658906158,-14.79052251870109,-13.806068808825051,-14.859806321421368,-13.790484985457368,-14.929223537156565,-14.214955041668455,-15.214955041668455,-15.585528050370698,-14.064089863569492,-4.408133246213083,-13.412738150307465,-14.740406121114054,-13.947690900352676,-14.330497165895656,-13.683819901106546,-14.054373876285913,-14.30962669308394,-13.975104039892516,-14.471468939364588,0.0,8.0,0.001196,0.431,0.48,0.0019309999999999998,0.0010400000000000001,7.3510000000000004e-06,1.0,0.0001857,0.696,0.619,0.1711,-0.1418,-0.8626,-0.3354,-0.6671,-0.5809,-0.9126,-0.268,XRB
-4.0,-5.893129455521346,-5.9044819576768495,-5.0,-5.975925012692572,-5.1293620367891934,-5.4671182805926035,-6.190979279516327,-5.0,-5.254300773397494,-5.624336386039115,-5.770062314092066,-5.443335737877432,-6.3804892791615035,-5.726304412069907,-5.9748252622971885,-5.504261452760897,-14.659045542076381,-14.162553614439235,-14.0,-13.912573542963715,-14.706195640080665,-13.0,-13.0,-15.016689514205884,-14.280171713745663,-5.714703796202175,-13.0,-14.612076533026563,-14.213816654432366,-14.233512793760307,-13.0,-14.419559743948762,-14.437231456983481,-14.039719535563355,-14.406381691870465,1.5,1.6,0.001372,0.6075,0.7235,0.002525,0.00123625,5.879600000000001e-07,0.4202,0.000245,0.627,0.2792,-0.1574,-0.2155,-0.8389,-0.5953,-0.4072,-0.5659,-0.6814,-0.0868,CV
-4.0,-5.0,-5.2473370568790285,-5.589729035747816,-5.6399749108106025,-4.984221243610959,-6.3983745204460565,-5.385630160451711,-5.0,-5.090069740247169,-5.0,-5.489454989793388,-5.240709966975696,-5.891096872332687,-5.726767165956955,-5.716608302702872,-5.365651727402925,-13.83392528264292,-13.526663903522156,-14.0,-13.379031564355712,-14.0,-13.553152289844189,-13.757210190521324,-14.43842163169904,-14.0,-5.536614730783938,-13.0,-14.195383583012744,-13.414764936634224,-13.64130390042619,-13.0,-13.653210342308366,-14.0,-13.490663041982355,-14.04774046340918,2.6666666666666665,4.5,0.001741,0.7033333333333333,0.65,0.0025066666666666666,0.0010129333333333333,1.05845e-06,0.7255,0.0006624999999999999,0.7953333333333333,0.534,0.3036,1.0,0.8189,0.0418,0.9994,0.9994,0.7002,1.0,CV
-4.0,-5.4034029043735385,-5.718739312944988,-6.9974020192800905,-5.506960411682348,-4.775208043507319,-4.969805214643249,-5.9974020192800905,-5.0,-4.8941493256148565,-5.134540677338037,-5.33856594960608,-5.070121476343217,-5.807990407346329,-3.8975662943186635,-5.549270661268524,-4.493232576068418,-14.210983673206625,-13.521548946852848,-14.0,-13.452471423540215,-14.049927370249842,-14.272458742971445,-15.272458742971445,-14.465719994794917,-13.616184634019568,-5.314903466260073,-13.148680487351255,-14.164626547529993,-14.005243055412373,-13.747389659432626,-13.0,-13.95409053296499,-13.780939667551136,-13.571379327328062,-13.996108833763088,0.0,8.0,0.002238,0.3815,0.303,0.0031704999999999997,0.0020905,7.3510000000000004e-06,1.0,0.00020175,0.1495,-0.1455,-0.5134,-0.564,-0.9413,-0.8001,-0.4622,-0.7908,-0.6852,-0.1768,XRB
-5.9722427953094455,-6.553307533628472,-7.387428045934824,-5.0,-5.0,-6.224608028303387,-6.2582183038568315,-5.0,-6.7318902701915215,-6.351542405717478,-6.3811155150045495,-7.531209737900388,-6.531800413927388,-5.0,-5.710857164067668,-6.818728228440539,-6.198677256058493,-15.667480748626268,-15.198175235371256,-14.0,-14.974694134735232,-15.190777078310578,-13.0,-14.0,-14.0,-14.895512888687605,-6.414110827602255,-15.452225294612177,-14.0,-15.404614019190856,-15.3658251282374,-13.0,-15.467627866432126,-15.018634490921455,-15.127552352210989,-16.049781233358136,1.0,3.0,0.0001437,0.5539999999999999,0.951,0.00027319999999999997,0.0001339,5.171680000000001e-07,0.6361999999999999,1.764e-05,0.767,1.0,0.9994,-0.8151,-1.0,-0.2155,-0.9994,-0.9994,-1.0,-0.8638,XRB
-4.5300307905000405,-4.709520186669327,-4.639406586434752,-4.747632485540102,-4.793174123968151,-5.0,-4.6104795341536216,-4.688670047696207,-4.6401645176601125,-5.0,-4.657182685364266,-4.747146969020106,-5.0,-4.848323769152953,-4.442252258358532,-4.730020323354676,-4.595679532778268,-13.098694280637098,-13.011610513454631,-13.895854449445991,-12.645891560852599,-13.485983819599351,-12.861697301833718,-12.920818753952375,-13.44745345204434,-13.391687957302674,-4.6570347900855,-13.701146923590295,-13.392437756816411,-12.809668301829708,-12.704872914747806,-13.787812395596044,-13.052536868647215,-13.436281660034323,-12.673459331483436,-13.343614280941312,3.6,8.0,0.011212399999999999,0.7814,0.9642,0.0181426,0.007040199999999998,4.5132e-05,1.0,0.0036127400000000006,0.8846,0.203,0.1212,0.0418,-0.1205,0.0394,-0.1599,-0.0387,-0.2367,-0.0831,CV
-4.0,-5.277119389313061,-5.137332049771412,-5.550830267834799,-5.099305225547601,-4.464452720823332,-4.904133546521457,-5.291154361951821,-5.0,-4.548213564475709,-5.0517827064400285,-4.982132281036495,-4.658961368322477,-5.25987426303427,-3.9613798380502967,-5.148460368501179,-4.4589227310480615,-13.809332203929351,-13.378740607616749,-14.0,-13.178486471595225,-14.09799710864927,-13.556111453222627,-13.81559251458768,-13.915066425063285,-13.725149679983337,-4.997859867046264,-13.212752119668044,-13.75448733218585,-13.402304814074487,-13.375408540873153,-13.0,-13.644510167096614,-13.872571222148402,-13.263125638351578,-13.637517525248823,0.5,8.0,0.00331025,0.45299999999999996,0.597,0.0048814999999999996,0.0028295000000000004,7.3510000000000004e-06,1.0,0.0004872,0.62175,0.0331,-0.2136,-0.0181,-0.5453,-0.4528,-0.0837,-0.2998,-0.3154,0.1718,XRB
-4.0,-8.37345434097287,-6.252277537964492,-6.880744110722064,-5.0,-6.051684859310652,-6.720105019988363,-6.454692883534176,-5.0,-6.227751660028146,-7.0117086580925125,-5.0,-6.553618187777557,-5.0,-6.373865021364613,-6.983664597930505,-6.2880873724673565,-15.5002318383225,-14.849312623057154,-14.0,-14.587203571283455,-17.205093893483195,-14.813891620186794,-15.291069464193384,-14.0,-15.55191233330766,-6.5849264417879425,-15.545917729268911,-14.0,-14.600845666041785,-15.127028369261556,-13.0,-15.074378545209171,-15.84345084866822,-14.771599641296994,-14.0,0.0,7.6,0.0001955,0.483,0.16699999999999998,0.0002818,0.0001919,9.3956e-05,0.9972,1.049e-05,0.221,0.0,0.0,0.8876,0.2242,0.0,0.0,0.6184,0.0,0.0,XRB
-4.0,-4.3338565727084415,-4.208239195987095,-4.328549445787505,-4.294307303462297,-3.6434005642750287,-4.180851057192866,-4.264241462556261,-5.0,-3.677160727313679,-4.250650239402523,-4.243059763953275,-3.7162466166674735,-4.352421445787545,-3.5451551399914902,-4.180574524562126,-3.8555565674058183,-12.701579250800906,-12.593766488625677,-14.0,-12.220764368324135,-13.061930813776614,-12.465212641370508,-12.529589509024069,-12.985899678480383,-12.908684840302778,-4.128835867197051,-13.576754126063195,-12.927750102386485,-12.409158165218393,-12.293623644160311,-13.902048929005849,-12.644077467440793,-12.978810700930062,-12.254534831329273,-12.876475019057267,0.0,5.8,0.024817500000000003,0.13524999999999998,0.37475,0.0256975,0.0244375,2.16814e-05,0.9572,0.0003573175,0.265,0.1293,0.04,0.0918,-0.1255,-0.0518,-0.0587,-0.0187,-0.1605,0.0481,CV
