,SRC_ID,A_NAME,"A_NAME_ALT
",A_RA,A_DEC,A_SOURCE_TYPE,A_SOURCE_TYPE_FLAG,B_NAME,B_RA,B_DEC,XOFFSET_,SRC_ID,src_pred
0,TC0001,CXOGLB J002353.9-720350,[GHE2001] W125,5.974829,-72.06392199999999,QLX          ,?                 ,2CXO J002353.9-720350,5.974991999999999,-72.063947,0.003,TC0001,CV
1,TC0002,CXOGLB J002400.9-720453,[GHE2001] W58 ,6.003946,-72.08144399999999,QLX          ,                  ,2CXO J002400.9-720453,6.004075,-72.081474,0.003,TC0002,CV
2,,,,,,,,,,,,TC0004,CV
3,TC0004,CXOGLB J002404.9-720451,[GHE2001] W37 ,6.020679,-72.080925,QLX          ,?                 ,2CXO J002404.9-720451,6.020771,-72.08095300000001,0.002,TC0005,CV
4,TC0005,CXOGLB J002408.3-720431,[GHE2001] W17 ,6.034604,-72.075397,QLX          ,?                 ,2CXO J002408.3-720431,6.03472,-72.075417,0.002,TC0006,CV
5,TC0006,CXOGLB J002350.3-720431,[GHE2001] W108,5.959879,-72.0754,MSP          ,                  ,2CXO J002350.3-720431,5.959967,-72.075434,0.003,TC0007,CV
6,TC0007,CXOGLB J002354.4-720530,[GHE2001] W107,5.977037,-72.091897,MSP          ,                  ,2CXO J002354.5-720530,5.977162,-72.091909,0.002,TC0008,CV
7,TC0008,CXOGLB J002359.4-720358,[GHE2001] W63 ,5.997513,-72.066325,MSP          ,                  ,2CXO J002359.4-720358,5.997605,-72.066351,0.002,TC0009,CV
8,TC0009,CXOGLB J002403.7-720456,[GHE2001] W106,6.015708,-72.082461,MSP          ,                  ,2CXO J002403.8-720457,6.015882,-72.082523,0.005,TC0010,CV
9,TC0010,CXOGLB J002403.9-720442,[GHE2001] W77 ,6.016279,-72.078464,MSP          ,                  ,2CXO J002403.9-720442,6.016468,-72.078497,0.004,TC0011,CV
10,TC0011,CXOGLB J002404.1-720420,[GHE2001] W142,6.017708,-72.07229699999999,MSP          ,?                 ,2CXO J002404.2-720420,6.017691,-72.072303,0.001,TC0012,CV
11,TC0012,CXOGLB J002404.6-720453,[GHE2001] W39 ,6.019225,-72.08161899999999,MSP          ,                  ,2CXO J002404.6-720453,6.01947,-72.081622,0.005,TC0013,CV
12,TC0013,CXOGLB J002405.2-720446,[GHE2001] W34 ,6.021679,-72.07964399999999,MSP          ,?                 ,2CXO J002405.2-720446,6.021793,-72.07968100000001,0.003,TC0014,PULSAR
13,TC0014,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022296,-72.08644699999999,MSP          ,?                 ,2CXO J002405.3-720511,6.022355,-72.08645200000001,0.001,TC0015,CV
14,TC0015,CXOGLB J002405.6-720504,[GHE2001] W31 ,6.0236540000000005,-72.084556,MSP          ,?                 ,2CXO J002405.6-720504,6.023683999999999,-72.08450699999999,0.003,TC0016,CV
15,TC0016,CXOGLB J002406.0-720449,[GHE2001] W29 ,6.025238,-72.080286,MSP          ,                  ,2CXO J002406.0-720449,6.025354,-72.08031899999999,0.003,TC0017,CV
16,TC0017,CXOGLB J002406.0-720501,[GHE2001] W28 ,6.0251,-72.083792,MSP          ,?                 ,2CXO J002406.0-720501,6.02525,-72.083766,0.003,TC0018,CV
17,TC0018,CXOGLB J002406.7-720406,[GHE2001] W74 ,6.027946,-72.068578,MSP          ,                  ,2CXO J002406.7-720406,6.027986,-72.068586,0.001,TC0019,CV
18,TC0019,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.0304459999999995,-72.088722,MSP          ,?                 ,2CXO J002407.3-720519,6.030437,-72.08878,0.004,TC0020,CV
19,TC0020,CXOGLB J002407.6-720450,[GHE2001] W198,6.031583,-72.080656,MSP          ,                  ,2CXO J002407.5-720450,6.0315900000000005,-72.080686,0.002,TC0021,CV
20,TC0021,CXOGLB J002407.9-720439,[GHE2001] W19 ,6.033096,-72.07768100000001,MSP          ,                  ,2CXO J002407.9-720439,6.033218,-72.07772299999999,0.003,TC0022,CV
21,TC0022,CXOGLB J002408.5-720438,[GHE2001] W105,6.035446,-72.07743599999999,MSP          ,                  ,2CXO J002408.5-720438,6.03566,-72.077473,0.005,TC0023,CV
22,TC0023,CXOGLB J002409.1-720428,[GHE2001] W13 ,6.038204,-72.07467199999999,MSP          ,                  ,2CXO J002409.2-720428,6.038371,-72.074688,0.003,TC0024,CV
23,TC0024,CXOGLB J002409.8-720359,[GHE2001] W11 ,6.040983,-72.066581,MSP          ,                  ,2CXO J002409.8-720359,6.041056,-72.066585,0.001,TC0026,CV
24,,,,,,,,,,,,TC0027,CV
25,TC0026,CXOGLB J002411.1-720520,[GHE2001] W7  ,6.046271,-72.088944,MSP          ,                  ,2CXO J002411.1-720520,6.046403,-72.088955,0.003,TC0028,CV
26,TC0027,CXOGLB J002411.6-720503,[GHE2001] W6  ,6.048533,-72.084378,MSP          ,?                 ,2CXO J002411.6-720503,6.0485690000000005,-72.084413,0.002,TC0029,CV
27,TC0028,CXOGLB J002412.6-720440,[GHE2001] W5  ,6.052646,-72.078039,MSP          ,?                 ,2CXO J002412.6-720441,6.052663,-72.078073,0.002,TC0030,CV
28,TC0029,CXOGLB J002413.8-720443,[GHE2001] W67 ,6.057737,-72.078839,MSP          ,                  ,2CXO J002413.9-720443,6.057943,-72.078849,0.004,TC0031,PULSAR
29,TC0030,CXOGLB J002416.4-720425,[GHE2001] W104,6.068675,-72.07365300000001,MSP          ,                  ,2CXO J002416.5-720425,6.068847,-72.073677,0.003,TC0032,CV
30,TC0031,CXOGLB J002417.5-720357,[GHE2001] W91 ,6.07305,-72.066017,MSP          ,?                 ,2CXO J002417.5-720357,6.073174,-72.06604899999999,0.003,TC0033,CV
