obs_id,class,src_n,src_id,significance,photflux_aper_lolim_m,photflux_aper_lolim_b,photflux_aper_m,photflux_aper_hilim_m,photflux_aper_lolim_h,photflux_aper_s,photflux_aper_hilim_h,photflux_aper_hilim_s,photflux_aper_lolim_s,photflux_aper_b,photflux_aper_h,photflux_aper_hilim_b,flux_aper_hilim_m,flux_aper_b,photflux_aper,flux_aper_lolim_s,flux_aper_s,flux_aper_m,flux_aper_hilim_b,flux_aper_lolim_b,flux_aper_lolim,photflux_aper_lolim,flux_aper_h,flux_aper_hilim_h,photflux_aper_hilim,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper,flux_aper_hilim,flux_aper_hilim_s,var_prob,var_min,var_max,var_inter_sigma,var_index,var_mean,var_inter_prob,kp_prob,var_sigma,ks_prob,var_inter_index,hard_ms,hard_ms_lolim,hard_hm,hard_hm_lolim,hard_ms_hilim,hard_hs_hilim,hard_hs_lolim,hard_hs,hard_hm_hilim
CV_OBS_317,CV,1RXS J134210.2+282250 ,CV0045,21.74,-4.848323769152953,-4.03412975933318,-4.793174123968151,-4.747146969020106,-4.747632485540102,-4.657182685364266,-4.639406586434752,-4.6104795341536216,-4.709520186669327,-4.016756042407606,-4.688670047696207,-3.9938675301988966,-13.343614280941312,-12.673459331483436,-4.6570347900855,-13.485983819599351,-13.436281660034323,-13.392437756816411,-12.645891560852599,-12.704872914747806,-13.098694280637098,-4.730020323354676,-12.861697301833718,-12.809668301829708,-4.595679532778268,-13.44745345204434,-12.920818753952375,-13.052536868647215,-13.011610513454631,-13.391687957302674,0.7814,0.007040199999999998,0.0181426,4.5132e-05,3.6,0.011212399999999999,1.0,0.9642,0.0036127400000000006,0.8846,8.0,-0.1599,-0.2367,0.1212,0.0394,-0.0831,0.0418,-0.1205,-0.0387,0.203
CV_OBS_318,CV,1RXS J134210.2+282250 ,CV0045,21.74,-4.949620243738543,-4.198939470152144,-4.884722408604098,-4.831207979685819,-4.903089986991943,-4.636012170251509,-4.766496239658865,-4.586867949565128,-4.6916490514132745,-4.163232952605795,-4.829444941478791,-4.132179091954427,-13.472112434047297,-12.718739312944988,-4.32323325220017,-13.452471423540215,-13.3981572102179,-13.525346746637938,-12.687188173787911,-12.752517739322945,-13.040233797887394,-4.375676642990778,-12.910094888560602,-12.848936746646247,-4.277004316110906,-13.590404980603184,-12.98171569157347,-12.987238678050351,-12.940474447261307,-13.352323686759132,0.2784,0.0100548,0.014107,4.5132e-05,1.2,0.0110124,1.0,0.4432,0.0009992039999999998,0.4802,8.0,-0.2761,-0.3542,0.0637,-0.0356,-0.193,-0.1243,-0.3067,-0.2161,0.1618
CV_OBS_316,CV,1RXS J134210.2+282250 ,CV0045,21.74,-4.508498233762674,-3.765229704839084,-4.471468939364589,-4.437350327788083,-4.338755391040666,-4.300856312605516,-4.267284659650007,-4.2701874928390655,-4.3338565727084415,-3.744727494896694,-4.300509154727797,-3.725380380908762,-13.05784307153251,-12.328179439816749,-4.134801237453895,-13.123262702859336,-13.08868255767597,-13.091997798827446,-12.308653235865178,-12.348528147800955,-12.724320169897293,-4.169321530810207,-12.511872503752544,-12.47846965872129,-4.103198302335079,-13.129069641651304,-12.550367349529926,-12.69093648803367,-12.660978096477628,-13.058587959626449,0.371,0.0226178,0.02995,4.5132e-05,1.0,0.0252306,1.0,0.8545999999999999,0.00199679798,0.6706000000000001,8.0,-0.1961,-0.248,0.1974,0.14300000000000002,-0.1443,0.0531,-0.0531,0.0012,0.2517
CV_OBS_321,CV,1WGA J1617.0-2258     ,CV0049,2.54,-7.248566918180653,-6.499214827082543,-6.85078088734462,-6.654430243943608,-7.701802132890185,-6.962972120244224,-6.691008970999836,-6.720105019988363,-7.565111879132683,-6.274251667004452,-6.9419537696047176,-6.133417322936452,-15.230844309285601,-15.023787622882624,-6.5993929434193115,-16.37458464784559,-15.772627557710367,-15.427128397799521,-14.876475019057267,-15.248720896016655,-15.65666231720649,-6.993859265572098,-15.355659901173675,-15.09415017335768,-6.4037548804697195,-15.825068406471555,-16.240256632402275,-15.202815585685356,-14.992397295464597,-15.529442514782724,0.547,0.00014580000000000002,0.00028879999999999997,,1.0,0.0001828,,0.725,3.977e-05,0.929,,0.0874,-0.3042,-0.0212,-0.4528,0.4878,0.4928,-0.3879,0.0712,0.3716
CV_OBS_322,CV,1WGA J1617.0-2258     ,CV0050,8.01,-6.065047292182142,-5.3584267468218245,-5.965371543374681,-5.884722408604098,-5.856048883576037,-6.051391450123564,-5.682145510668532,-5.957030926606821,-6.171984935776023,-5.298691114771924,-5.757955760630449,-5.249106079617874,-14.490931954982841,-13.78120200188826,-5.740348792293178,-14.976747540366286,-14.856360764725457,-14.57186520597121,-13.731656086048934,-13.837137006678073,-14.252835631754309,-5.830904815479068,-13.893809102736585,-13.813043664534588,-5.667832301030643,-14.671416550285796,-13.993106292052099,-14.172488570473465,-14.104700134613488,-14.761953896871205,0.32175000000000004,0.0008452500000000001,0.00110665,,0.0,0.0008634000000000001,,0.42675,3.5755e-05,0.4875,,0.0962,-0.0556,0.2399,0.1056,0.2467,0.4616,0.1893,0.3298,0.3666
CV_OBS_324,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.1897002589598324,-4.200590520384873,-5.142607189079099,-5.100124803978988,-6.317674381332193,-4.437231456983482,-5.949620243738543,-4.4165744995934935,-4.46054750845054,-4.180653515919548,-6.0958256317158375,-4.161528720928072,-13.758702612890007,-13.09739886933347,-4.5677909889163875,-13.246263777824991,-13.22293584525757,-13.801893001126599,-13.07763790321521,-13.119529407196223,-13.488964674763727,-4.598695290319236,-14.49935193662809,-14.35320431122153,-4.539270497761278,-13.850165303284216,-14.734474664780926,-13.45775484943932,-13.429844829331168,-13.20224787134929,0.28200000000000003,0.0094981,0.01032974,4.7537200000000005e-06,0.2,0.00960446,0.8863999999999999,0.6654,0.00015303939999999994,0.5766,5.8,-0.6696,-0.7002,-0.7983,-0.8688,-0.639,-0.9388,-0.9725,-0.9569,-0.7227
CV_OBS_325,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.236122968504345,-4.335358024443875,-5.193413065672197,-5.154467882506425,-6.34591976469343,-4.533725678210708,-6.0448897690294485,-4.5121548798885645,-4.5579908408590475,-4.314258261397736,-6.165706487557304,-4.2953348145454715,-13.793984123236655,-13.072783669408734,-4.589665550992624,-13.220908796154498,-13.197294672925649,-13.830325565941193,-13.054137675510384,-13.093449480898547,-13.456776548513565,-4.634748320608433,-14.271971045579484,-14.15113378850522,-4.551142862365545,-13.87321942298799,-14.452225294612177,-13.42247143604848,-13.392006999438467,-13.176265011601267,0.2596,0.005093779999999999,0.00529818,4.7537200000000005e-06,0.2,0.005110679999999999,0.8863999999999999,0.29100000000000004,2.9734000000000007e-05,0.3368,5.8,-0.6396,-0.6702,-0.8095,-0.8663,-0.609,-0.94,-0.9688,-0.9544,-0.7514
CV_OBS_323,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.126795690722959,-4.210137369953618,-5.082862247243557,-5.0453234130813565,-6.134659094375416,-4.464832514885057,-5.8458804744841535,-4.4426131179404935,-4.488250288655016,-4.189633046318375,-5.966576244513051,-4.17134010346468,-13.695940533782403,-13.097127214553918,-4.571985139663046,-13.273272790973428,-13.249954687988234,-13.734946211495984,-13.078209514341813,-13.118159031675072,-13.488244941879904,-4.60247224553673,-14.355364496231847,-14.230401151612554,-4.544226590772653,-13.780677491580665,-14.531357331608488,-13.457518162435072,-13.429543460625052,-13.227751660028147,0.2488,0.00928358,0.009586719999999998,4.7537200000000005e-06,0.0,0.009417299999999998,0.8863999999999999,0.6138,0.00013754,0.5966,5.8,-0.6134,-0.6452,-0.7683,-0.8351,-0.5803,-0.92,-0.9575,-0.9394,-0.6989
CV_OBS_326,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.241466577762713,-4.279096829186543,-5.219034970391683,-5.197636825690453,-6.278849156250316,-4.473789996158335,-6.108741383095862,-4.46344155742847,-4.4843910507655185,-4.269621531412357,-6.18309616062434,-4.260269471435284,-13.845576026885354,-13.111202932543321,-4.58762346349629,-13.231287919622336,-13.220619988508346,-13.865822892423234,-13.101988261202498,-13.121248479826994,-13.462510842264473,-4.604215261869253,-14.543482142194733,-14.465973893943865,-4.5716626904712,-13.888737486340935,-14.644165504115064,-13.447013174863772,-13.432526623039744,-13.210278306019076,0.2312,0.007587279999999998,0.00767364,4.7537200000000005e-06,0.4,0.007626659999999999,0.8863999999999999,0.8715999999999999,3.6551e-05,0.7213999999999999,5.8,-0.6946,-0.7089,-0.8032,-0.8376,-0.6814,-0.955,-0.9688,-0.9619,-0.7689
CV_OBS_327,CV,1WGA J1740.6-5340     ,CV0051,64.73,-5.20205218659463,-4.2665619729089395,-5.172093660864965,-5.132760122578706,-6.477947199131178,-4.464452720823332,-6.214670164989233,-4.452225294612178,-4.4769041617474326,-4.25515960321462,-6.322940822607839,-4.243972787026559,-13.785959573267471,-13.107126593111234,-4.509671333420626,-13.236048173966674,-13.222283261390373,-13.81608747377095,-13.09550084460218,-13.119872677783375,-13.409250092070305,-4.529947280360006,-14.677160727313678,-14.562090964460502,-4.490931954982838,-13.856079791019992,-14.845576026885354,-13.390370912624535,-13.373015855196757,-13.209714835966759,0.1468,0.00788364,0.008028579999999999,4.7537200000000005e-06,0.0,0.00789774,0.8863999999999999,0.5664,2.20312e-05,0.5134000000000001,5.8,-0.6643320000000004,-0.6914800000000005,-0.7988219999999994,-0.8505779999999988,-0.6345410000000007,-0.965,-0.98,-0.9731,-0.7425240000000006
