obs_id,class,src_n,src_id,significance,photflux_aper_m,photflux_aper_hilim_h,photflux_aper_s,photflux_aper_hilim_m,photflux_aper_lolim_m,photflux_aper_h,photflux_aper_b,photflux_aper_lolim_s,photflux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_lolim_b,photflux_aper_lolim_h,flux_aper_b,photflux_aper_lolim,flux_aper_lolim,flux_aper,flux_aper_hilim_s,photflux_aper_hilim,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_m,flux_aper_lolim_b,flux_aper_m,flux_aper_hilim,flux_aper_lolim_h,flux_aper_h,flux_aper_lolim_m,flux_aper_hilim_h,photflux_aper,flux_aper_hilim_b,var_index,var_min,var_inter_index,kp_prob,var_mean,var_max,var_inter_sigma,var_prob,var_inter_prob,ks_prob,var_sigma,hard_ms,hard_hm,hard_hs_lolim,hard_hm_hilim,hard_ms_hilim,hard_hm_lolim,hard_ms_lolim,hard_hs,hard_hs_hilim
PULSAR_OBS_0,PULSAR,PSR J0007+7303,PL0001,15.5,-5.498666821354433,-5.18111458540599,-5.2693792021127175,-5.449160394934214,-5.5543957967264035,-5.225848141045289,-4.7121982700697735,-5.31569335392837,-4.6850799440075805,-5.227604938918,-4.74112337062787,-5.275642195773574,-13.221631656644124,-5.167222929389301,-13.645868501580793,-13.603887869388522,-14.04067235402783,-5.077046299040212,-14.082494490447454,-14.12883586719705,-14.076082776886894,-13.250650239402525,-14.125518182300535,-13.565747351923731,-13.395665926897086,-13.34601609262593,-14.18137827362411,-13.301377570297902,-5.119415043935019,-13.194431182451446,0.6,0.00262942,,0.7300000000000001,0.0028550800000000003,0.0034891400000000004,,0.364,,0.6628000000000001,0.000192942,-0.2586,0.3036,-0.0244,0.3754,-0.1843,0.2305,-0.3292,0.05,0.1218
PULSAR_OBS_1,PULSAR,PSR J0023+0923,PL0002,6.39,-5.806597096937582,-5.5499049241283975,-5.147276089208794,-5.595850750790305,-6.232695682546726,-5.795880017344076,-4.914709421769934,-5.336299074610351,-4.80799040734633,-5.022322112326005,-5.066613958096946,-6.419075024324381,-13.625985259708088,-5.548084676406987,-14.241224318867529,-14.01196750941144,-13.738261452647462,-5.02499120264425,-13.863279432843592,-14.052370252615646,-14.161465729488132,-13.780939667551136,-14.372326968233384,-13.834862553746634,-14.775725985705742,-14.152550737500825,-14.798329820353418,-13.906578314837766,-5.3476569449372855,-13.517698232776553,3.5,0.000667,2.25,0.9740000000000001,0.0011019,0.0024975,1.295925e-06,0.77,0.53925,0.777,0.00050265,-0.6533,0.0862,-0.8351,0.4691,-0.4354,-0.3467,-0.8264,-0.6296,-0.3804
PULSAR_OBS_2,PULSAR,PSR J0023+0923,PL0002,6.39,-5.963371104637838,-6.280337316981952,-5.220836576235501,-5.81559251458768,-6.206209615309181,-6.555018887912056,-5.060081579630944,-5.322758154053346,-4.9863203027088066,-5.138286412428566,-5.148802823825839,-7.785421046429501,-13.791021482723744,-5.446423028290193,-14.305043997750182,-14.199255435594894,-13.816445466381138,-5.115245406155901,-13.898940645091884,-14.000912977374112,-14.404944910240696,-13.879755204453636,-14.552531869050245,-14.067434921317275,-14.77572598570576,-14.152550737500844,-14.7956086680807,-14.763714722551972,-5.246898225208954,-13.717377887121938,0.5,0.0013374,2.25,0.6357499999999999,0.001486,0.0021053,1.295925e-06,0.43725,0.53925,0.5479999999999999,0.0001737525,-0.7021,-0.5884,-0.9813,-0.2592,-0.5778,-0.8501,-0.8076,-0.9157,-0.8301
PULSAR_OBS_15,PULSAR,PSR J0100-7211,PL0003,65.51,-4.1434523551432525,-4.501276029252097,-4.118444170206688,-4.108406795651035,-4.181642122041645,-4.598082749482425,-3.593971055036385,-4.1723722952325675,-3.5655907924125,-4.0731432910503065,-3.6243363860391145,-4.723078867934227,-12.415442639474325,-4.049489107014002,-12.891854591033995,-12.809724343443039,-12.905528871358356,-3.8630005595202763,-12.959397659885926,-13.020770406977846,-12.744968836654445,-12.472756883611913,-12.780415473785744,-12.607901272836006,-13.23995467203419,-12.938924676370206,-12.818728228440538,-12.76904044425143,-3.9461305546156233,-12.364918563989127,0.0,0.0290325,5.4,0.35625,0.02933,0.030345,2.7561000000000006e-05,0.10575,0.8332,0.32299999999999995,0.00030715,-0.0325,-0.4735,-0.6015,-0.3779,0.0381,-0.5765,-0.0993,-0.4997,-0.4004
PULSAR_OBS_11,PULSAR,PSR J0100-7211,PL0003,65.51,-4.173795576500747,-4.544850478820172,-4.074894273190337,-4.140501441812224,-4.209926051573695,-4.609241471261283,-3.6078308505102634,-4.117418546445548,-3.5841922723644566,-4.036164969297852,-3.6345120151091,-4.684659523372711,-12.339324211661475,-4.107182175690424,-12.678867800907295,-12.638649975647732,-12.788345599446814,-3.990030979666277,-12.827689031478045,-12.870954940112044,-12.777283528852415,-12.367036831832738,-12.810790510417695,-12.602494503101981,-12.881074247174224,-12.80106813006779,-12.846795099915715,-12.733533104559758,-4.044235305099873,-12.314706218613214,0.0,0.0268015,5.4,0.4545,0.027059500000000004,0.027885000000000004,2.7561000000000006e-05,0.1305,0.8332,0.46425,0.00027563,-0.1149,-0.4622,-0.6115,-0.3929,-0.0543,-0.5303,-0.17300000000000001,-0.5484,-0.4841
PULSAR_OBS_7,PULSAR,PSR J0100-7211,PL0003,65.51,-4.1622222304462655,-4.47755576649368,-3.9730583720409705,-4.134836780493913,-4.1914514487595955,-4.5519123333076585,-3.5704091977766983,-4.00100002778168,-3.5511391543925592,-3.9473060580750317,-3.5904049806031844,-4.641874714723351,-12.347656944937285,-4.017448375640823,-12.62955723220142,-12.539914400822532,-12.705313375720555,-3.9297034818022345,-12.731422028117153,-12.7594507517174,-12.747875447494357,-12.390619055749292,-12.775466937393913,-12.467882883751194,-13.324130044681047,-12.993106292052099,-12.80465394165158,-12.807432546663456,-3.9713474263668815,-12.308564847855935,0.2059999999999999,0.03038841099999999,5.4,0.5566991666666666,0.03075994726666667,0.03104196466666668,2.7561000000000006e-05,0.1887553333333333,0.8332,0.6382199999999996,0.00023363733899999986,-0.2149,-0.4147,-0.644,-0.3379,-0.17300000000000001,-0.4966,-0.2567,-0.5796,-0.5166
PULSAR_OBS_9,PULSAR,PSR J0100-7211,PL0003,65.51,-4.180324480005707,-4.526365283474765,-4.0761862789088115,-4.160459107031032,-4.2011422682525135,-4.581558922398809,-3.5761055110648403,-4.096638663744682,-3.559714917719453,-4.056604423491047,-3.599208465314269,-4.653513236781307,-12.380227527621214,-4.266802734893431,-12.991045157347074,-12.963850370254145,-12.852323675758901,-4.206302721640743,-12.871600731282193,-12.891434976267163,-12.773142429711275,-12.411451389474605,-12.79317412396815,-12.938522388857482,-13.074377141220516,-12.896958233272594,-12.813891620186794,-12.786674257916854,-4.235524972565592,-12.343256729438304,0.0,0.032611999999999995,5.4,0.4732,0.032768200000000004,0.0330686,2.7561000000000006e-05,0.1594,0.8332,0.4708,0.000169086,-0.11336299999999999,-0.4130290000000002,-0.6001709999999998,-0.32925600000000016,-0.05489100000000002,-0.5003590000000002,-0.16254999999999994,-0.5558859999999997,-0.5159900000000004
PULSAR_OBS_16,PULSAR,PSR J0100-7211,PL0003,65.51,-4.1962015920103255,-4.581367312645933,-4.0761862789088115,-4.187086643357143,-4.206139798657331,-4.598427154323553,-3.6110112148752864,-4.087034379295896,-3.6043242147300636,-4.0656530732617435,-3.6176226965318863,-4.617262734238668,-12.350081281264579,-4.03112496250819,-12.640164517660113,-12.61253898367965,-12.8153085691824,-3.9972725273101695,-12.825940192274976,-12.836540448230009,-12.800244822746524,-12.356744774975226,-12.809388202186394,-12.586666700960091,-12.861697301833718,-12.842543231865776,-12.818728228440538,-12.825358807339553,-4.013837600723522,-12.343422708603885,0.0,0.02283454,5.4,0.3014,0.02284238,0.0228988,2.7561000000000006e-05,0.08580000000000003,0.8332,0.3598,8.836199999999999e-06,-0.1374,-0.4322,-0.5539999999999999,-0.4141,-0.1218,-0.4503,-0.153,-0.5384,-0.5215
PULSAR_OBS_18,PULSAR,PSR J0100-7211,PL0003,65.51,-4.216596718877437,-4.521433504406157,-4.009794384815193,-4.179273237176166,-4.257431965633858,-4.598944274228156,-3.5846927077744324,-4.052272273036683,-3.5584619612978394,-3.9734667354767033,-3.6126101736612712,-4.699621935129297,-12.370590400897283,-4.088405652067259,-12.819902811019904,-12.765128541437294,-12.762456261857126,-3.973017556808395,-12.79997073344623,-12.84345084866822,-12.805763251276169,-12.406713932979542,-12.843148098929989,-12.715562497982528,-13.041197296600494,-12.883724412419456,-12.884056823060947,-12.773142429711275,-4.051704426973,-12.337242168318427,0.0,0.02653825,5.4,0.4592500000000001,0.026836000000000002,0.027157999999999998,2.7561000000000006e-05,0.1395,0.8332,0.5827500000000001,0.000270125,-0.2349,-0.4097,-0.659,-0.3229,-0.1755,-0.5003,-0.2929,-0.5896,-0.5191
PULSAR_OBS_3,PULSAR,PSR J0100-7211,PL0003,65.51,-4.183361055101538,-4.4718549217468935,-4.016103208673695,-4.1526124489726035,-4.21645371772965,-4.529442514782727,-3.5295895090240688,-4.0498299401918,-3.5082182244158338,-3.9846402445907856,-3.5522219907053785,-4.600499338685388,-12.336299074610352,-4.0078796672016574,-12.750522804981319,-12.703532261199884,-12.757707095017071,-3.923629026263266,-12.789146634685107,-12.823041019413091,-12.760200181552902,-12.361910278015495,-12.790753151246625,-12.661682981145905,-12.939302159646386,-12.848323769152953,-12.82390874094432,-12.773142429711275,-3.963123691137952,-12.312114475151295,1.2,0.02640912,5.4,0.442,0.026587400000000004,0.0269974,2.7561000000000006e-05,0.2404,0.8332,0.37799999999999995,0.000201424,-0.1911,-0.3773,-0.589,-0.3079,-0.1405,-0.4478,-0.2405,-0.5309,-0.4716
