obs_id,true_class,level_a_prob,level_a_class,level_b_prob,level_b_class,th_class,truth,is_ok,class,src_n,src_id,significance
NS_OBS_341,NS,0.9373688669651873,['XRB'],0.9795530008804673,NS,NS,1,1,NS,J1748-2446          ,NS0057,18.31
CV_OBS_392,CV,0.9680978960525809,['CV'],0.9911604144337263,CV,CV,1,1,CV,CXOGLB J002402.5-72051,CV0070,22.52
PULSAR_OBS_185,PULSAR,0.8631036947283103,['PULSAR'],0.8512365327260522,PULSAR,PULSAR,1,1,PULSAR,PSR J1635-4735,PL0065,15.74
PULSAR_OBS_314,PULSAR,0.873667534953687,['PULSAR'],0.8830858899960681,PULSAR,PULSAR,1,1,PULSAR,PSR J1824-2452,PL0094,5.53
CV_OBS_572,CV,0.9440950391581552,['CV'],0.9939052565897094,CV,CV,1,1,CV,CXOGLB J002408.2-72043,CV0086,12.82
NS_OBS_125,NS,0.7715410221082278,['XRB'],0.9721363932550032,NS,NS,1,1,NS,H 1658-298          ,NS0024,31.12
CV_OBS_226,CV,0.9699063690341994,['CV'],0.9854977009361988,CV,CV,1,1,CV,[HPH2013] 192         ,CV0019,52.93
CV_OBS_304,CV,0.997137176339454,['CV'],1.0,CV,CV,1,1,CV,[HPH2013] 50          ,CV0037,9.94
NS_OBS_9,NS,0.9867513611868942,['XRB'],0.9967250673854449,NS,NS,1,1,NS,1A 1742-289         ,NS0001,167.36
NS_OBS_88,NS,0.9617719204019209,['XRB'],0.9044565816708527,NS,NS,1,1,NS,EXO 1745-248        ,NS0020,23.47
CV_OBS_194,CV,0.9986802030456853,['CV'],0.9973604060913707,CV,CV,1,1,CV,[HPH2013] 176         ,CV0018,11.31
CV_OBS_383,CV,0.9420395406354101,['CV'],0.9573705281362728,CV,CV,1,1,CV,CXOGLB J002402.1-72054,CV0069,46.73
BH_OBS_155,BH,0.9767141842379652,['XRB'],0.9964711948458583,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
CV_OBS_513,CV,0.974289025849749,['CV'],0.9779521031767032,CV,CV,1,1,CV,CXOGLB J002406.0-72045,CV0081,25.99
BH_OBS_189,BH,0.9629214527795747,['XRB'],0.9961902420608094,BH,BH,1,1,BH,SAXWFC J1819.4-2524.,BH0030,2.24
CV_OBS_386,CV,0.9571737673916503,['CV'],0.9639513754912467,CV,CV,1,1,CV,CXOGLB J002402.1-72054,CV0069,46.73
BH_OBS_102,BH,0.94380127524156,['XRB'],0.9831131580174843,BH,BH,1,1,BH,CXOU J100516.5-07420,BH0021,16.75
NS_OBS_163,NS,0.8960661141754866,['XRB'],0.8818554404699545,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
PULSAR_OBS_57,PULSAR,0.9563344886673965,['PULSAR'],0.6546433131534417,PULSAR,PULSAR,1,1,PULSAR,PSR J0437-4715,PL0012,113.03
NS_OBS_236,NS,0.9425144780013557,['XRB'],1.0,NS,NS,1,1,NS,XMMU J004245.2+41172,NS0044,49.26
BH_OBS_169,BH,0.9845366566711746,['XRB'],0.7844134719741072,BH,BH,1,1,BH,J1745-2900          ,BH0027,337.0
