obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,hard_hs,hard_hm,flux_aper_hilim_s,hard_ms,flux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_u,flux_aper_hilim_u,flux_aper_b,photflux_aper_b,var_inter_prob_b,var_inter_sigma_b,flux_aper_lolim_b,photflux_aper_lolim_b,var_inter_sigma_s,var_inter_prob_m,var_inter_sigma_m,var_inter_prob_s,var_inter_index_b,var_inter_sigma_h,var_inter_prob_h,photflux_aper_h,photflux_aper_lolim_h,flux_aper_h,photflux_aper_m,flux_aper_lolim_h,flux_aper_m,var_max_b,var_mean_b,var_min_b,var_sigma_b,ks_prob_b,kp_prob_b,var_prob_b,photflux_aper_s,var_inter_index_h,var_inter_index_m,flux_aper_lolim_m,photflux_aper_lolim_m,flux_aper_s,photflux_aper_lolim_s,flux_aper_lolim_s,var_inter_index_s
CV_0_obs_0,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4903.5,11.31,304.4646,CV,,6.21645371772965,14.167171870460647,6.109802613789971,6.322119418488409,-0.9994,0.9994,14.861697301833718,-0.9994,14.231287919622336,14.89859664944467,4.583359492661719,13.834458923277626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_1,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3974.2,11.31,304.4646,CV,5.909741947068683,6.069866354158882,14.11565785235294,5.768785352037399,,-0.9994,,14.634699251362013,,14.212256228353533,,3.6836102489268048,12.923359556329657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_2,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.705754283861882,6.072219150652625,14.388701637703571,5.507379277956808,6.132414673452963,-0.9994,0.9994,14.24420134302617,-0.9994,14.144662595530459,14.723538195826755,3.7162466166674735,12.95233580539844,,,,,,,,,,,,,,,,,,,,,,,,,,,5.808269606637143,,,,,14.532243948755967,,15.762707662432542,
CV_0_obs_3,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.847100403606253,5.934047019686131,14.06833876031552,5.82623117686335,6.1024828705994745,-0.9994,0.9994,14.692290076595194,-0.9994,14.076082776886894,14.693574972449312,3.7269987279362624,12.978397283971757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_4,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.394264106123253,5.727694155597914,13.890759031411797,5.830913642512977,5.903089986991944,0.4247,0.9994,14.696587929403258,-0.9994,13.904133546521457,14.47573373123302,3.771599641296995,13.000434511774017,14.159517512786557,5.647817481888637,,,15.004628093971837,6.411280220399943,,,,,,,,6.007534852191957,7.329754146925876,14.19422736806433,,15.495257363728312,,,,,,,,,,,,,,,,,
CV_0_obs_5,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39875.5,11.31,304.4646,CV,6.35144484433733,6.841637507904751,15.040195683491662,6.746661994673894,6.685922008220787,-0.9994,-0.3073,15.382370702242158,0.0837,15.122455892284057,15.311936303053656,4.95506845385084,14.620694482249418,15.331241458249043,6.631341287607773,,,16.67366413907125,7.953504835665291,,,,,,,,,,,6.943095148663527,,15.569119053547109,,,,,,,,,,,16.382056565171027,7.7559704109699785,,,,
CV_0_obs_6,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,36675.6,11.31,304.4646,CV,6.560667306169737,,15.534319788401723,6.531209737900389,,,,15.442011851775087,,,,4.6522797829659615,12.84496777120903,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8201610719768135,,,,,,,,
CV_0_obs_7,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39784.9,11.31,304.4646,CV,6.324130044681043,6.901702463505302,15.144420277498282,6.462432742847325,7.008818242332127,-0.9994,0.9994,15.081497860363827,-0.9994,15.566710314804974,15.667965722972482,4.434506370131138,12.374996398985136,15.425274416405927,6.585695311871668,,,16.767766478885267,7.3453422453504755,,,,,,,,,,,,,,,,,,,,,6.732828271596986,,,,,15.333294863880102,7.774174008538107,16.081497860363825,
CV_0_obs_8,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3906.9,11.31,304.4646,CV,5.917573699139228,6.06013145554049,14.002395212539545,5.788345599446817,6.1385850813640035,-0.9994,0.9994,14.630413109263655,-0.9994,14.135133085671473,14.729787145103757,3.8486301497525397,13.07355465218161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CV_0_obs_9,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3763.1,11.31,304.4646,CV,5.608888386297197,6.005155150446602,14.590404980603184,5.838332587562264,5.917573699139228,-0.9994,-0.5721,14.695940533782402,-0.9994,14.201902067937514,14.59260909552927,3.8548035938858183,13.106071873457394,,5.909741947068683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
