obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,photflux_aper_hilim_m,hard_hs,hard_hm,flux_aper_hilim_s,hard_ms,flux_aper_hilim_h,flux_aper_hilim_m,photflux_aper_hilim_u,flux_aper_hilim_u,photflux_aper_b,flux_aper_b,var_inter_prob_b,var_inter_sigma_b,flux_aper_lolim_b,photflux_aper_lolim_b,var_inter_sigma_s,var_inter_prob_m,var_inter_sigma_m,var_inter_prob_s,var_inter_index_b,var_inter_prob_h,var_inter_sigma_h,photflux_aper_h,photflux_aper_lolim_h,flux_aper_h,photflux_aper_m,flux_aper_m,flux_aper_lolim_h,var_max_b,var_mean_b,var_min_b,var_sigma_b,kp_prob_b,ks_prob_b,var_prob_b,photflux_aper_s,var_inter_index_h,var_inter_index_m,flux_aper_lolim_m,photflux_aper_lolim_m,flux_aper_s,photflux_aper_lolim_s,flux_aper_lolim_s,var_inter_index_s
CV_0_obs_0,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,4903.5,11.31,304.4646,CV,5.157480660084737,6.21645371772965,14.167171870460647,6.109802613789971,6.322119418488409,-0.9994,0.9994,14.861697301833718,-0.9994,14.231287919622336,14.89859664944467,4.583359492661719,13.834458923277626,5.328494187004609,14.257985669532372,0.9036799999999989,0.0004971640000000002,14.432908994124189,5.749406632688951,1.9703539000000002e-05,0.8667299999999998,9.155630000000001e-05,0.6944400000000006,5.12,0.88799,9.391659999999984e-05,6.347206250657713,6.574668302500586,14.417341037530372,6.428915005885886,15.01852377682062,14.612006826096469,0.016752769999999997,0.012982600000000004,0.011005210000000003,0.001464002,0.5367999999999999,0.5354899999999998,0.3997900000000002,6.263299015742847,5.02,5.25,14.806582202338907,6.127359664706668,15.06077096861154,6.531683668414828,15.322478544851542,4.18
CV_0_obs_1,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3974.2,11.31,304.4646,CV,5.909741947068683,6.069866354158882,14.11565785235294,5.768785352037399,5.704276237732517,-0.9994,-0.8755839999999993,14.634699251362013,-0.20075600000000016,14.212256228353533,14.29508757544589,3.6836102489268048,12.923359556329657,6.08061476418289,14.34104564568225,1.0,0.00047250800000000044,15.292519076378483,6.496534202266368,2.5344239000000017e-05,0.99997,8.25132000000001e-05,0.7014100000000005,6.0,1.0,0.00012514209999999991,6.302247142589194,6.740995699065297,14.442780494935349,5.823890539216279,14.444446919771933,14.699491707243013,0.0288084,0.007547430000000001,0.002850117000000001,0.005172452000000001,0.5532899999999998,0.50609,0.6307000000000001,6.001950155560368,5.67,5.42,14.728190974137192,6.065110044793614,14.860366513832037,6.612715647169897,15.450570213975176,4.28
CV_0_obs_2,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.705754283861882,6.072219150652625,14.388701637703571,5.507379277956808,6.132414673452963,-0.9994,0.9994,14.24420134302617,-0.9994,14.144662595530459,14.723538195826755,3.7162466166674735,12.95233580539844,5.967848330287635,14.581954860940249,1.0,5.4981500000000036e-05,15.154641819099714,6.845034840497834,4.939619999999999e-05,0.99997,2.8861975999999997e-05,0.7122600000000007,8.0,1.0,2.110922399999999e-05,6.305416746292749,6.868738714634479,14.325001444762012,6.17771220607409,14.815068578959092,14.85196909258685,0.02566677000000001,0.011487548999999994,0.006323680000000001,0.004880569999999998,0.5562599999999999,0.5430800000000001,0.5114199999999999,5.808269606637143,7.98,6.08,14.843132580860301,6.166192108066265,14.532243948755967,6.999908653313384,15.762707662432542,4.02
CV_0_obs_3,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.847100403606253,5.934047019686131,14.06833876031552,5.82623117686335,6.1024828705994745,-0.9994,0.9994,14.692290076595194,-0.9994,14.076082776886894,14.693574972449312,3.7269987279362624,12.978397283971757,5.977582798275649,14.328837156991908,1.0,0.0004736840000000005,15.160116035712155,6.746909609070137,2.5460000000000017e-05,0.99997,8.25132000000001e-05,0.7014300000000006,6.0,1.0,0.00011767699999999992,6.12765256622317,6.804704356324624,14.307221461419482,6.154403585657414,14.775122447498049,14.637386695276517,0.027018300000000002,0.007739160000000002,0.003760172000000002,0.005022345999999999,0.5659799999999998,0.5225,0.6037600000000001,6.106214185672326,5.77,5.59,14.84532224219721,6.175837595187375,14.895338463597176,6.656518023897948,15.470799915548062,4.28
CV_0_obs_4,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3907.5,11.31,304.4646,CV,5.394264106123253,5.727694155597914,13.890759031411797,5.830913642512977,5.903089986991944,0.4247,0.9994,14.696587929403258,-0.9994,13.904133546521457,14.47573373123302,3.771599641296995,13.000434511774017,5.647817481888637,14.159517512786557,1.0,0.0004736840000000005,15.004628093971837,6.411280220399943,2.5210039000000014e-05,0.99997,8.28311000000001e-05,0.7014100000000005,6.0,1.0,0.00011346099999999991,6.007534852191957,7.329754146925876,14.19422736806433,6.011641131909551,14.58941402630842,15.495257363728312,0.029888800000000004,0.007716409999999998,0.0036763730000000023,0.005502518,0.57297,0.5648900000000001,0.62633,6.112524187737215,5.77,5.61,14.703878685281925,6.080550425615092,14.913429429570918,6.714077579750779,15.559174635801298,4.31
CV_0_obs_5,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39875.5,11.31,304.4646,CV,6.35144484433733,6.841637507904751,15.040195683491662,6.746661994673894,6.685922008220787,-0.9994,-0.3073,15.382370702242158,0.0837,15.122455892284057,15.311936303053656,4.95506845385084,14.620694482249418,6.631341287607773,15.331241458249043,0.901219999999999,0.0005107719999999999,16.67366413907125,7.953504835665291,6.396493000000001e-05,0.8599199999999994,0.00015228879999999983,0.6898100000000005,5.12,0.8869699999999999,0.00014835211999999977,7.094909166030502,7.738596465004124,15.327941195113588,6.943095148663527,15.569119053547109,15.576624747157544,0.016826669999999995,0.013089928999999993,0.010619430000000001,0.0012997482999999998,0.5410799999999998,0.5354,0.4320100000000003,7.02486589695589,5.09,5.26,16.382056565171027,7.7559704109699785,15.642076656267061,6.8268686415856505,15.58815989309844,4.28
CV_0_obs_6,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,36675.6,11.31,304.4646,CV,6.560667306169737,5.58840787428522,15.534319788401723,6.531209737900389,5.706636968720112,0.502016,0.01567199999999996,15.442011851775087,0.3791910000000003,13.757982124306578,14.294026822569647,4.6522797829659615,12.84496777120903,6.848375571538318,15.654733261248214,0.9018699999999992,0.0005183960000000001,16.18867881410162,7.469274992408001,4.808973899999998e-05,0.8606699999999995,0.00014829989999999986,0.6944200000000005,5.16,0.88717,0.00012814269999999995,5.74663349752615,5.961280614314187,13.896764001932445,5.822272799485595,14.440410613023394,14.057615874253964,0.016127119999999984,0.013163324999999997,0.011262,0.0011706880999999996,0.50779,0.4666399999999999,0.3328800000000002,6.8201610719768135,5.18,5.2,14.653319704932171,6.024606396334353,15.628550016994547,6.800110788684036,15.620854417634973,4.42
CV_0_obs_7,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,39784.9,11.31,304.4646,CV,6.324130044681043,6.901702463505302,15.144420277498282,6.462432742847325,7.008818242332127,-0.9994,0.9994,15.081497860363827,-0.9994,15.566710314804974,15.667965722972482,4.434506370131138,12.374996398985136,6.585695311871668,15.425274416405927,0.903639999999999,0.00047376000000000037,16.767766478885267,7.3453422453504755,4.768460000000005e-05,0.8593699999999995,8.16922000000001e-05,0.6944400000000006,5.13,0.88638,0.00014398751999999973,7.1377511153906585,7.850300544037039,15.637141282221169,7.2261503048376925,15.975658136940412,16.2867253619583,0.02402996999999999,0.013084669999999991,0.009130300000000001,0.0029026,0.51752,0.4881499999999999,0.4964900000000001,6.732828271596986,5.2,5.43,14.836234194110808,6.1538074176084505,15.333294863880102,7.774174008538107,16.081497860363825,4.25
CV_0_obs_8,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3906.9,11.31,304.4646,CV,5.917573699139228,6.06013145554049,14.002395212539545,5.788345599446817,6.1385850813640035,-0.9994,0.9994,14.630413109263655,-0.9994,14.135133085671473,14.729787145103757,3.8486301497525397,13.07355465218161,6.076873028074654,14.234301441036282,1.0,0.0004736840000000005,15.068975625266853,6.413305524109168,2.5460000000000017e-05,0.99997,8.25132000000001e-05,0.7014300000000006,6.0,1.0,0.0001263430999999999,6.296767500719531,6.833252864167219,14.29829767463556,6.270915491330392,14.872517684736763,14.641912735216042,0.027347100000000006,0.007601078,0.0030035920000000015,0.004838689999999999,0.5601899999999999,0.5383600000000002,0.6298100000000003,6.016825924416022,5.77,5.59,14.834145566298918,6.152703941196101,14.848606367862642,6.664505233005961,15.476360280753049,4.28
CV_0_obs_9,CV_0,33,[HPH2013]_176__________, 2CXO J004245.0+411520,10.68773,41.25582,3763.1,11.31,304.4646,CV,5.608888386297197,6.005155150446602,14.590404980603184,5.838332587562264,5.917573699139228,-0.9994,-0.5721,14.695940533782402,-0.9994,14.201902067937514,14.59260909552927,3.8548035938858183,13.106071873457394,5.909741947068683,14.84738794061463,1.0,0.0004713320000000004,15.367800692427481,6.459308986392658,2.5116339000000012e-05,0.99997,8.25132000000001e-05,0.7014100000000005,6.0,1.0,0.00012032999999999991,6.206929018434275,6.753430745182385,14.34022321634193,6.03524249658106,14.646830145108678,14.464878913662238,0.026464600000000008,0.0075181829999999995,0.002573325,0.004686032999999999,0.6235399999999999,0.6114400000000001,0.6481100000000004,6.122928799763127,5.58,5.39,14.763507596873946,6.096894827262802,14.899062149021175,6.646925267114721,15.478671545783486,4.29
