,NAME,ALT_NAME_1,RA,DEC,LX,SOURCE_TYPE,SOURCE_TYPE_FLAG,SOURCE_NUMBER,RA_ERROR,DEC_ERROR,CLASS
0,CXOGLB J002403.8-720621,[GHE2001] W122,6.016025,-72.106017,1.22e+31,CV         ,                ,122,0.015,0.08,"                    CV
"
1,CXOGLB J002403.8-720621,[GHE2001] W122,6.015979,-72.106003,2.02e+31,CV         ,                ,122,0.005,0.03,"                    CV
"
2,CXOGLB J002411.0-720620,[GHE2001] W120,6.046208,-72.105567,1.5e+31,CV         ,                ,120,0.006,0.03,"                    CV
"
3,CXOGLB J002411.0-720620,[GHE2001] W120,6.046246,-72.105536,1.88e+31,CV         ,                ,120,0.012,0.04,"                    CV
"
4,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029738,-72.096053,5.68e+31,CV         ,                ,25,0.003,0.01,"                    CV
"
5,CXOGLB J002407.1-720545,[GHE2001] W25 ,6.029675,-72.096033,3.98e+31,CV         ,                ,25,0.008,0.04,"                    CV
"
6,CXOGLB J002409.2-720543,[GHE2001] W140,6.038412,-72.095519,7.7e+30,CV         ,?               ,140,0.007,0.04,"                    CV
"
7,CXOGLB J002409.2-720543,[GHE2001] W140,6.038517,-72.095497,2.6e+30,CV         ,?               ,140,0.036,0.19,"                    CV
"
8,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008829,-72.095008,1.435e+32,CV         ,                ,56,0.002,0.01,"                    CV
"
9,CXOGLB J002402.1-720542,[GHE2001] W56 ,6.008796,-72.094986,1.952e+32,CV         ,                ,56,0.004,0.02,"                    CV
"
10,CXOGLB J002354.4-720530,[GHE2001] W107,5.977037,-72.091897,3.4e+30,MSP        ,                ,107,0.013,0.08,"          RADIO PULSAR
"
11,CXOGLB J002354.4-720530,[GHE2001] W107,5.976946,-72.091839,1.8e+30,MSP        ,                ,107,0.027,0.12,"          RADIO PULSAR
"
12,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032371,-72.0909,1.42e+31,CV         ,                ,21,0.007,0.03,"                    CV
"
13,CXOGLB J002407.7-720527,[GHE2001] W21 ,6.032267,-72.090875,1.62e+31,CV         ,                ,21,0.012,0.05,"                    CV
"
14,CXOGLB J002411.1-720520,[GHE2001] W7  ,6.046271,-72.088944,6.4e+30,MSP        ,                ,7,0.009,0.04,"          RADIO PULSAR
"
15,CXOGLB J002411.1-720520,[GHE2001] W7  ,6.04625,-72.088939,6.9e+30,MSP        ,                ,7,0.011,0.07,"          RADIO PULSAR
"
16,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.030163,-72.088756,2e+30,MSP        ,?               ,96,0.023,0.0,"          RADIO PULSAR
"
17,CXOGLB J002407.3-720519,[GHE2001] W96 ,6.030446,-72.088722,1.9e+30,MSP        ,?               ,96,0.021,0.08,"          RADIO PULSAR
"
18,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.04435,-72.087906,4.2e+30,CV         ,?               ,71,0.014,0.08,"                    CV
"
19,CXOGLB J002410.6-720516,[GHE2001] W71 ,6.044187,-72.087819,2.6e+30,CV         ,?               ,71,0.041,0.14,"                    CV
"
20,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010487,-72.086458,1.69e+31,CV         ,                ,53,0.01,0.05,"                    CV
"
21,CXOGLB J002402.5-720511,[GHE2001] W53 ,6.010542,-72.086458,3.68e+31,CV         ,                ,53,0.003,0.02,"                    CV
"
22,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022296,-72.086447,1.1e+30,MSP        ,?               ,97,0.022,0.08,"          RADIO PULSAR
"
23,CXOGLB J002405.3-720511,[GHE2001] W97 ,6.022271,-72.086436,1.5e+30,MSP        ,?               ,97,0.022,0.12,"          RADIO PULSAR
"
24,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.020883,-72.085058,6.6e+30,CV         ,?               ,35,0.018,0.07,"                    CV
"
25,CXOGLB J002404.9-720506,[GHE2001] W35 ,6.02065,-72.085022,1e+30,CV         ,?               ,35,0.017,0.1,"                    CV
"
26,CXOGLB J002405.6-720504,[GHE2001] W31 ,6.023654,-72.084556,1.9e+30,MSP        ,?               ,31,0.026,0.08,"          RADIO PULSAR
"
27,CXOGLB J002405.6-720504,[GHE2001] W31 ,6.023608,-72.084467,4.8e+30,MSP        ,?               ,31,0.009,0.05,"          RADIO PULSAR
"
28,CXOGLB J002411.6-720503,[GHE2001] W6  ,6.048438,-72.084381,3e+30,MSP        ,?               ,6,0.011,0.06,"          RADIO PULSAR
"
29,CXOGLB J002411.6-720503,[GHE2001] W6  ,6.048533,-72.084378,2.1e+30,MSP        ,?               ,6,0.032,0.09,"          RADIO PULSAR
"
30,CXOGLB J002406.0-720501,[GHE2001] W28 ,6.0251,-72.083792,4.5e+30,MSP        ,?               ,28,0.02,0.13,"          RADIO PULSAR
"
31,CXOGLB J002406.0-720501,[GHE2001] W28 ,6.024992,-72.083714,5.4e+30,MSP        ,?               ,28,0.012,0.05,"          RADIO PULSAR
"
32,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035312,-72.083417,2.45e+31,CV         ,                ,15,0.005,0.02,"                    CV
"
33,CXOGLB J002408.4-720500,[GHE2001] W15 ,6.035246,-72.083414,2.71e+31,CV         ,                ,15,0.009,0.04,"                    CV
"
34,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015346,-72.083072,1.96e+31,CV         ,                ,44,0.005,0.03,"                    CV
"
35,CXOGLB J002403.6-720459,[GHE2001] W44 ,6.015271,-72.083061,1.15e+31,CV         ,                ,44,0.014,0.05,"                    CV
"
36,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017704,-72.082783,1.1075e+33,CV         ,                ,42,0.001,0.01,"                    CV
"
37,CXOGLB J002404.2-720458,[GHE2001] W42 ,6.017675,-72.082772,6.844e+32,CV         ,                ,42,0.002,0.01,"                    CV
"
