obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,photflux_aper_hilim_b,photflux_aper_hilim_m,photflux_aper_hilim_h,flux_aper_hilim_b,photflux_aper_hilim_s,hard_hm,hard_hs,hard_ms,flux_aper_hilim_s,flux_aper_hilim_m,flux_aper_hilim_h,var_inter_sigma_b,var_inter_prob_b,photflux_aper_hilim_u,var_inter_sigma_m,var_inter_prob_m,var_inter_prob_s,var_inter_sigma_s,photflux_aper_b,var_inter_sigma_h,var_inter_index_b,var_inter_prob_h,flux_aper_b,photflux_aper_lolim_b,flux_aper_lolim_b,photflux_aper_m,flux_aper_m,photflux_aper_h,photflux_aper_lolim_m,flux_aper_h,photflux_aper_lolim_h,photflux_aper_s,flux_aper_lolim_m,flux_aper_hilim_u,flux_aper_lolim_h,flux_aper_s,var_inter_index_h,photflux_aper_lolim_s,flux_aper_lolim_s,kp_prob_b,var_max_b,var_min_b,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_index_s,var_inter_index_m,var_inter_sigma_u
CV_0_obs_0,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,4103.7,52.93,16618.73,CV,5.458920232223371,5.973466735476704,5.686132779630847,14.027797161620935,5.698752911363789,0.9994,0.9994,-0.9994,14.564474148501345,14.564633493387339,13.93292914395463,0.0004766,1.0,3.9262816496538773,1.936289240000001e-05,0.14137000000000025,0.989,2.546e-05,5.7432556342662515,2.0833985e-05,6.0,0.9989299999999994,14.303027999365904,6.9442284703720905,15.344668367588973,6.2544733250923965,14.863268110012685,5.962899014821457,7.287263309649012,14.2209087961545,7.041263291011466,5.96347016584727,15.827760549169914,13.17750501472125,15.451364940185249,14.824817792364229,7.71,6.5806528067607495,15.442198460603406,0.5938299999999997,0.008532379999999999,0.0015207569999999998,0.00222143,0.001519099,0.4849200000000002,0.5461,5.0,3.06,0.0006006776599999991
CV_0_obs_1,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.461551948289783,5.698319050706424,5.5968794788241825,13.717604495257474,5.4362816600343224,0.9994,-0.9994,-0.9994,14.264321274094096,14.288192770958808,13.738975166007602,0.0004766,1.0,3.4377071355435254,1.933289240000001e-05,0.14465000000000025,0.989,2.546e-05,5.743240836285654,2.0377944999999997e-05,6.0,0.9988899999999994,14.007696736869095,6.913225496429484,15.413885054480227,6.0335697931380095,14.594475853810152,5.873343891456125,7.340542206453758,14.025994124527772,7.011800929118611,5.736344630579449,15.813796370142546,12.64839692758087,15.337818378176225,14.552653858041397,7.71,6.527179119851544,15.438572510055378,0.5311599999999997,0.007966949999999999,0.0016573859999999998,0.00222507,0.0013028909999999998,0.46409999999999996,0.5079600000000002,5.0,3.06,0.000626127579999999
CV_0_obs_2,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.575281662668433,6.002176919254275,5.6010189333418685,14.039148846280314,5.643209539648284,0.9994,0.06,-0.9994,14.526221165353276,14.59328954139021,13.876475019057269,0.0004766,1.0,3.6765416331505323,1.936289240000001e-05,0.14169000000000026,0.989,2.546e-05,5.863458798523051,2.0377944999999997e-05,6.0,0.9988899999999994,14.304676245775513,6.912571275510271,15.33656597950468,6.20327468064028,14.814553173846546,5.879755204453635,7.298247937949327,14.15508812608786,6.879755204453635,5.917938917547022,15.82902201629637,12.947306058075032,15.456056057517094,14.803177927647386,7.71,6.542785279676094,15.420025067521895,0.6001499999999999,0.007798209999999997,0.0015479829999999997,0.00220178,0.0011522559999999995,0.48320000000000024,0.5441199999999999,5.0,3.06,0.000606754659999999
CV_0_obs_3,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.6,52.93,16618.73,CV,5.306536872780469,6.114695332411032,5.522589312092748,13.797511682939906,5.508918586576812,0.9994,-0.0837,-0.9994,14.219826756357406,14.705974905904677,13.817015032996418,0.0004766,1.0,3.876475019057268,1.936289240000001e-05,0.16806000000000032,0.989,2.546e-05,5.547293773488971,1.8162454999999998e-05,6.0,0.9988999999999993,14.03819936080832,6.13353543402826,14.624519285381428,6.383886472041135,14.993780050784267,5.768020973168496,7.33754909142255,14.062482107982653,6.387852161673513,5.809948582240794,15.827778481792578,13.06414020196212,14.68235445677884,14.509199047989146,7.71,6.540938824821674,15.285449312805579,0.55602,0.004257890000000001,0.001680287,0.002039859999999999,0.0005900280000000003,0.48251000000000027,0.5727299999999996,5.0,3.06,0.000599476959999999
CV_0_obs_4,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.708409174341999,5.815308569182402,6.059533322336471,14.543785844642011,5.757458571701616,-0.9994,-0.9994,-0.2823,14.623423042943488,14.404283380056576,14.146119349875457,0.0004766,1.0,3.8218867476853684,1.933289240000001e-05,0.1496000000000002,0.989,2.546e-05,5.983705290098419,2.0322114999999997e-05,6.0,0.9989299999999994,14.8039731692973,6.944430989157411,15.770053161898238,6.104190849830869,14.680477550934546,6.309278817188923,7.359518563029578,14.419306912334875,7.1598261263749405,6.002612466008561,15.935542010773082,13.072989131024348,15.534267131979318,14.857813665212781,7.71,6.574467791248476,15.435095521457509,0.6281599999999997,0.008142050000000007,0.00221401,0.0028381570000000026,0.001374484,0.4876100000000001,0.5208000000000002,5.0,3.06,0.000603786819999999
CV_0_obs_5,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3907.5,52.93,16618.73,CV,5.677160727313679,5.830619504688051,6.0602811176458955,14.603277721496227,5.784626847216578,-0.9994,-0.9994,-0.2798,14.650528200785613,14.414764936634224,14.149108815864077,0.0004766,1.0,3.8904214530956134,1.933289240000001e-05,0.1446900000000003,0.989,2.546e-05,5.958662052678513,2.0322114999999997e-05,6.0,0.9989599999999994,14.856057795711967,6.943981123451465,15.863543449117046,6.1094113322945125,14.693574972449312,6.309862980624318,7.1094113322945125,14.41771767232218,7.136848040908742,6.057782236600072,15.693574972449312,13.077949597832827,15.566111380782935,14.890680474797126,7.71,6.564296202958244,15.478982917916014,0.6328899999999996,0.008093710000000006,0.00231632,0.0028257870000000028,0.0011922249999999994,0.48998,0.5166100000000002,5.0,3.06,0.0005916328199999991
CV_0_obs_7,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3906.9,52.93,16618.73,CV,5.868702203402377,6.127902025725773,6.004145520125434,14.089962876446949,5.788612447063142,0.9994,-0.9994,-0.9994,14.654430243943608,14.702020755840637,14.146180154143236,0.0004766,1.0,3.9333014495770047,1.933289240000001e-05,0.13597000000000026,0.989,2.546e-05,6.089929390660159,2.585953499999999e-05,6.0,0.9989699999999995,14.392013493000702,6.962147977374762,15.106895852188407,6.411059610533331,14.99143328452679,6.203225183587717,7.281302597354613,14.412226131627099,6.939265129107322,6.049022113977615,15.835788091895525,13.12372441132212,15.128110530315563,14.883800568515253,7.71,6.549176683127367,15.402084178472897,0.5968799999999997,0.006448599999999998,0.0017837609999999987,0.002394477000000002,0.0010321859999999994,0.4800200000000001,0.5364900000000001,5.0,3.06,0.0005917141399999991
CV_0_obs_8,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3904.0,52.93,16618.73,CV,5.321481620959886,5.848017604542526,5.535063570878267,13.393941250589686,5.763462738511306,0.4884,0.9944,-0.3548,14.629301907424423,14.411392195257314,13.337147766735203,0.0004766,1.0,3.9427143555817854,2.1716811599999998e-05,0.24150000000000002,0.989,2.546e-05,5.569280112136718,5.0635866799999994e-05,6.0,0.9988399999999994,13.60712725459792,6.285335007137463,14.084178212379602,6.137391636035058,14.700928739972591,5.788345599446817,7.37203094522475,13.582694416755475,6.469544156415324,6.025882546732115,15.94473041558027,13.118102026426989,14.202455485638273,14.895674014924618,7.71,7.077200515113709,15.78836760300194,0.7494900000000001,0.007840390000000001,0.0015046850000000004,0.00220622,0.0013624,0.8386299999999999,0.5750200000000001,5.0,3.06,0.0004753595579999995
CV_0_obs_9,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.3,52.93,16618.73,CV,5.878768544850379,6.17134010346468,6.061930813776614,14.082967377837607,5.800793520838343,0.9994,-0.9994,-0.9994,14.666754301038036,14.709297756712145,14.150764908685277,0.0004766,1.0,3.9083330424043154,1.933289240000001e-05,0.13597000000000026,0.989,2.546e-05,6.096041537277867,2.585953499999999e-05,6.0,0.9989699999999995,14.38280640479451,6.927606795339933,15.090812933129218,6.435447060308707,14.996803869585294,6.3046448512800115,7.284001994270634,14.40972063228776,6.934155256996061,6.0577019524868785,15.81009178618769,13.159454812363162,15.111854180892117,14.913455735496077,7.71,6.555997783779764,15.406916371865846,0.5986299999999998,0.006275769999999995,0.0016409909999999994,0.002348537000000001,0.0010429149999999995,0.4861400000000001,0.5364700000000001,5.0,3.06,0.000599193739999999
CV_0_obs_10,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.696539999999999,41.27215,3971.9,52.93,16618.73,CV,5.882728704344236,6.203217588298692,6.067374055978218,14.08692825969075,5.824198367151721,0.9994,-0.9994,-0.9994,14.689944262249108,14.721932669111338,14.156206801674088,0.0004766,1.0,3.9637704559137052,1.933289240000001e-05,0.13597000000000026,0.989,2.546e-05,6.096791904678579,2.585953499999999e-05,6.0,0.9989699999999995,14.386431284560516,6.931605739537388,15.097434509622195,6.446501914453498,14.999308582204648,6.309119991635126,7.2903366441224735,14.410744790527362,6.93018928796219,6.07984865260367,15.810781906439642,13.214812579970639,15.110632601150215,14.913133819152078,7.71,6.601714115115146,15.461174093271984,0.6008399999999998,0.006294079999999995,0.0016412109999999996,0.002348887000000001,0.0010364829999999995,0.4858700000000002,0.5362000000000001,5.0,3.06,0.0005840913649999991
