,true_class,pred_class,p_cv,p_pl,prob_margin,truth,src_n
PL_9_obs_0,PL,PL,0.49215402939520164,0.5078459706047984,0.01569194120959677,True,W32
CV_15_obs_0,CV,CV,0.5091915735796444,0.4908084264203556,0.018383147159288793,True,CXOGlb_J002405.2-720446
CV_7_obs_0,CV,CV,0.5121415629551507,0.4878584370448494,0.024283125910301295,True,Cl__NGC_104_MAM_M54898
CV_8_obs_0,CV,CV,0.5121415629551507,0.4878584370448494,0.024283125910301295,True,CXOGlb_J002404.9-720455
CV_9_obs_0,CV,PL,0.48400813191973935,0.5159918680802607,0.0319837361605213,False,CXOGlb_J002407.9-720454
CV_116_obs_0,CV,CV,0.5176106999108748,0.4823893000891252,0.035221399821749655,True,RX_J0021.8-7221
CV_60_obs_0,CV,CV,0.5231689065426806,0.47683109345731944,0.04633781308536111,True,Tuc_1
PL_63_obs_0,PL,PL,0.474383905959232,0.525616094040768,0.05123218808153601,True,CXOGlb_J002405.6-720504
PL_34_obs_0,PL,CV,0.5277350799079528,0.4722649200920473,0.05547015981590547,False,CXOGlb_J002403.6-720459
PL_35_obs_0,PL,CV,0.5277350799079528,0.4722649200920473,0.05547015981590547,False,CXOGlb_J002403.1-720447
CV_23_obs_0,CV,PL,0.47107032100094115,0.5289296789990588,0.0578593579981177,False,CXOGlb_J002402.8-720449
CV_31_obs_0,CV,PL,0.4657805144277869,0.5342194855722131,0.06843897114442621,False,CXOGlb_J002404.9-720506
PL_0_obs_0,PL,CV,0.5383032098462504,0.4616967901537496,0.07660641969250076,False,CXOGlb_J002401.4-720441
CV_1_obs_0,CV,CV,0.5488954420126407,0.4511045579873592,0.09779088402528152,True,CXOGlb_J002408.2-720435
PL_51_obs_0,PL,PL,0.451000833688476,0.548999166311524,0.09799833262304802,True,CXOGlb_J002402.5-720511
PL_58_obs_0,PL,PL,0.4508627989598216,0.5491372010401784,0.09827440208035676,True,CXOGlb_J002410.6-720516
PL_4_obs_0,PL,CV,0.550371434060043,0.44962856593995704,0.10074286812008593,False,CXOGlb_J002403.7-720423
CV_2_obs_0,CV,CV,0.5517779602034514,0.4482220397965487,0.1035559204069027,True,CXOGlb_J002411.8-720443
CV_114_obs_0,CV,CV,0.5518520835726114,0.4481479164273886,0.10370416714522279,True,CXOGlb_J002359.3-720438
CV_44_obs_0,CV,CV,0.5519855785570704,0.4480144214429296,0.10397115711414084,True,Cl__NGC_104_AGBWF_2-48
CV_28_obs_0,CV,CV,0.5643235892324917,0.4356764107675082,0.12864717846498352,True,CXOGlb_J002407.7-720527
PL_59_obs_0,PL,PL,0.4353484203826936,0.5646515796173064,0.12930315923461277,True,CXOGlb_J002410.7-720425
PL_61_obs_0,PL,PL,0.42604171025415993,0.5739582897458401,0.14791657949168013,True,CXOGlb_J002402.1-720542
PL_39_obs_0,PL,PL,0.4228291265097099,0.5771708734902902,0.15434174698058029,True,CXOGlb_J002416.9-720427
PL_37_obs_0,PL,PL,0.42165863688919386,0.5783413631108061,0.15668272622161222,True,CXOGlb_J002409.2-720543
PL_40_obs_0,PL,PL,0.420098795981803,0.579901204018197,0.159802408036394,True,CXOGlb_J002407.1-720545
CV_61_obs_0,CV,CV,0.5824250111758736,0.41757498882412636,0.16485002235174728,True,CXOGlb_J002403.8-720621
CV_35_obs_0,CV,CV,0.5855348691181972,0.4144651308818029,0.17106973823639426,True,CXOGlb_J002411.0-720620
CV_3_obs_0,CV,CV,0.5883160222913049,0.41168397770869514,0.17663204458260973,True,J0024-7204W
CV_26_obs_0,CV,CV,0.6014854254589811,0.39851457454101896,0.20297085091796213,True,J0024-7204Z
CV_6_obs_0,CV,PL,0.3896441509920396,0.6103558490079605,0.2207116980159209,False,J0024-7204O
PL_74_obs_0,PL,PL,0.3852184043131144,0.6147815956868856,0.22956319137377124,True,J0024-7204R
CV_25_obs_0,CV,PL,0.37229656116545984,0.6277034388345402,0.2554068776690803,False,B0021-72L
CV_48_obs_0,CV,CV,0.6382527032080172,0.36174729679198286,0.2765054064160343,True,J0024-7204S
CV_58_obs_0,CV,CV,0.6512241027040987,0.3487758972959013,0.3024482054081974,True,B0021-72F
PL_3_obs_0,PL,PL,0.3399468420057119,0.660053157994288,0.3201063159885761,True,B0021-72I
CV_4_obs_0,CV,CV,0.6622630345824778,0.3377369654175222,0.32452606916495563,True,B0021-72G
PL_38_obs_0,PL,PL,0.3177090167572656,0.6822909832427344,0.3645819664854688,True,J0024-7204T
CV_20_obs_0,CV,PL,0.3177090167572656,0.6822909832427344,0.3645819664854688,False,J0024-7204Y
PL_32_obs_0,PL,CV,0.6944427067175004,0.30555729328249964,0.38888541343500077,False,B0021-72D
PL_33_obs_0,PL,CV,0.6944427067175004,0.30555729328249964,0.38888541343500077,False,B0021-72N
CV_14_obs_0,CV,CV,0.7086126993840065,0.29138730061599355,0.41722539876801296,True,B0021-72E
PL_5_obs_0,PL,PL,0.2874231506256712,0.7125768493743289,0.42515369874865766,True,J0024-7204Q
CV_17_obs_0,CV,CV,0.7324715967547915,0.2675284032452085,0.46494319350958296,True,B0021-72H
CV_16_obs_0,CV,CV,0.7329069950112649,0.267093004988735,0.4658139900225299,True,J0024-7204U
PL_86_obs_0,PL,CV,0.7643535104945993,0.23564648950540062,0.5287070209891986,False,B0021-72C
CV_21_obs_0,CV,CV,0.8344431386404615,0.1655568613595386,0.6688862772809229,True,B0021-72M
CV_42_obs_0,CV,CV,0.8439562255638405,0.15604377443615955,0.687912451127681,True,B0021-72J
