obs_id,src_id,num_obs,src_n,name,ra,dec,livetime,significance,likelihood,class,hard_hm,hard_hs,hard_ms,var_inter_prob_b,var_inter_index_b,flux_aper_lolim_m,flux_aper_lolim_h,flux_aper_lolim_s,var_inter_sigma_m,var_inter_sigma_s,var_inter_index_m,var_inter_index_s,var_inter_index_h,flux_aper_hilim_u,var_mean_b,var_sigma_b,ks_prob_b,var_prob_b,var_inter_sigma_u
CV_0_obs_0,CV_0,25,CSS120424:125906+242634, 2CXO J004247.1+411619,10.69654,41.27215,4103.7,52.93,16618.73,CV,0.6449208333333332,-0.6816208333333332,-0.8586458333333334,1.0,6.0,16.182055605729808,14.966082533123924,15.299561427711403,2.710297500000002e-05,2.5460000000000004e-05,4.997916666666667,5.0,4.995833333333334,13.180831952473632,0.002782869333333332,0.0007312531333333338,0.7451545833333334,0.61572875,9.076243464000001e-05
CV_1_obs_0,CV_1,12,W32, 2CXO J002405.6-720449,6.023632,-72.08036,31673.8,20.78,1834.511,CV,-0.15740833333333332,-0.4041333333333333,-0.3252083333333333,0.9920000000000003,6.0,14.93928169661932,14.58696931637263,14.715844035294161,1.141e-06,9.066999999999998e-07,0.0,5.0,5.0,14.414468793217415,0.0018923699166666667,0.0005432358583333333,0.6369858333333334,0.6003275,9.789e-07
CV_2_obs_0,CV_2,8,CXOGlb_J002405.2-720446, 2CXO J002405.2-720446,6.021793,-72.07968000000002,5544.8,9.72,548.7565,CV,0.42230475,-0.597737,-0.635236125,0.019,0.0,15.878542783601628,15.186185634769389,15.152628644076701,1.8030000000000002e-07,1.158e-06,4.0,0.0,0.0,14.725441648126623,0.000975601875,0.000229099025,0.651185,0.6058725,1.0810000000000001e-06
CV_3_obs_0,CV_3,13,Cl__NGC_104_MAM_M54898, 2CXO J002406.0-720456,6.025117,-72.08228000000003,65237.5,25.99,3275.906,CV,0.02603846153846154,-0.2741692307692307,-0.3109769230769231,1.0,8.0,14.553452412424758,14.127576756380815,14.376189610227048,1.3049999999999998e-06,9.191999999999997e-07,8.0,6.0,6.0,14.427745856109949,0.003526190615384616,0.0003316542307692308,0.3938,0.2477776923076923,7.858000000000001e-07
CV_4_obs_0,CV_4,13,CXOGlb_J002404.9-720455, 2CXO J002404.9-720455,6.020589,-72.0821,31673.8,19.64,2291.21,CV,0.6531538461538463,0.14435861538461536,-0.5215419230769232,1.0,8.0,15.39102948651674,14.047572470832156,14.999315243049248,2.49e-07,5.081000000000002e-07,4.0,0.0,8.0,14.832035705494214,0.0028330985384615384,0.0005427957461538462,0.677423076923077,0.6193107692307692,1.0980000000000001e-06
CV_5_obs_0,CV_5,16,W5, 2CXO J174804.4-244638,267.0184,-24.77734,36257.2,39.09,6002.773,CV,0.5904088125,0.9094639999999999,0.7248797499999999,0.9320000000000003,5.0,14.421066896612686,13.319768448272088,16.038291461022233,4.918e-07,1.5030000000000002e-07,0.0,0.0,5.0,14.696089627381998,0.0045680387499999996,0.0013022332500000002,0.7833575,0.64754125,5.840194006250003e-05
CV_6_obs_0,CV_6,13,CXOGlb_J002407.9-720454, 2CXO J002407.9-720454,6.033178,-72.08191,68771.4,16.47,1195.218,CV,0.05564615384615383,-0.45742307692307693,-0.3904307692307692,0.303,0.0,15.366602179836,14.869926119133906,15.044792896749644,2.2749999999999997e-07,3.0000000000000004e-07,0.0,0.0,5.0,14.877446324445206,0.0011310748461538461,0.0002687183923076923,0.6726923076923076,0.6246969230769229,7.811e-07
CV_7_obs_0,CV_7,13,RX_J0021.8-7221, 2CXO J002404.2-720457,6.017843,-72.08276,59044.6,120.12,89709.0,CV,0.2673384615384615,-0.2262923076923077,-0.4663307692307692,1.0,8.0,13.303568421435084,12.535515695691656,12.926855654046262,7.417000000000002e-05,2.7989999999999998e-05,8.0,8.0,8.0,13.199955399439023,0.06364923076923078,0.016905869999999996,0.7957692307692307,0.5203846153846154,1.4939999999999998e-05
CV_8_obs_0,CV_8,13,Tuc_1, 2CXO J002404.2-720457,6.017843,-72.08276,59044.6,120.12,89709.0,CV,0.2673384615384616,-0.2262923076923077,-0.4663307692307692,1.0,8.0,13.303568421435083,12.535515695691656,12.92685565404626,7.417000000000002e-05,2.7989999999999998e-05,8.0,8.0,8.0,13.199955399439023,0.06364923076923076,0.01690587,0.7957692307692307,0.5203846153846154,1.4939999999999998e-05
CV_9_obs_0,CV_9,13,CXOGlb_J002405.6-720504, 2CXO J002405.6-720504,6.0236839999999985,-72.08451,5307.0,7.44,164.8993,CV,0.18200769230769234,-0.4313692307692307,-0.6195230769230768,1.0,7.0,16.439983544825655,15.65883092863954,15.804518382189814,3.4259999999999996e-07,4.4510000000000014e-07,5.0,5.0,3.0,14.986031370630911,0.0005586684615384613,0.0002276741692307692,0.7865953846153846,0.7175161538461536,6.229999999999999e-07
CV_10_obs_0,CV_10,17,CXOGlb_J174804.0-244640, 2CXO J174804.0-244640,267.0171,-24.77796,30499.4,31.92,4878.009,CV,0.6436681764705882,0.9680764705882351,0.8898244705882351,0.7449999999999998,5.0,14.64380029655605,13.370781752973814,16.543181597341384,4.88e-07,6.917e-07,5.0,0.0,3.0,14.807276620425952,0.0039773223529411764,0.00021474538137058823,0.46492529411764694,0.23537823529411764,1.188948464705881e-06
CV_11_obs_0,CV_11,17,CXOGlb_J174804.2-244641, 2CXO J174804.2-244642,267.0176,-24.77846,30499.4,31.23,4015.702,CV,0.672070588235294,0.9404529411764705,0.7772470588235293,0.032000000000000015,0.0,14.702664891437088,13.47376431205694,16.53641042090403,6.325e-07,4.3529999999999993e-07,3.0,5.0,0.0,14.891459983922852,0.0026843142352941177,0.0003321198235294118,0.39617823529411766,0.4021964705882354,9.369000000000001e-06
