obs_id,src_id,num_obs,sepn,name,src_n,ra,dec,livetime,significance,likelihood,photflux_aper_s,photflux_aper_lolim_s,photflux_aper_hilim_s,flux_aper_s,flux_aper_lolim_s,flux_aper_hilim_s,streak_src_flag,likelihood_b,likelihood_h,likelihood_m,likelihood_s,likelihood_u,gti_elapse,photflux_aper_b,photflux_aper_lolim_b,photflux_aper_hilim_b,flux_aper_h,flux_aper_lolim_h,flux_aper_hilim_h,photflux_aper_u,photflux_aper_lolim_u,photflux_aper_hilim_u,src_rate_aper_hilim_h,flux_significance_b,flux_significance_h,flux_significance_m,flux_significance_s,flux_significance_u,flux_aper_b,flux_aper_lolim_b,flux_aper_hilim_b,flux_aper_u,flux_aper_lolim_u,flux_aper_hilim_u,flux_aper_m,flux_aper_lolim_m,flux_aper_hilim_m,photflux_aper_h,photflux_aper_lolim_h,photflux_aper_hilim_h,photflux_aper_m,photflux_aper_lolim_m,photflux_aper_hilim_m,hard_hm,hard_hm_lolim,hard_hm_hilim,hard_hs,hard_hs_lolim,hard_hs_hilim,hard_ms,hard_ms_lolim,hard_ms_hilim,flux_powlaw,flux_powlaw_lolim,flux_powlaw_hilim,powlaw_gamma,powlaw_gamma_lolim,powlaw_gamma_hilim,powlaw_gamma_rhat,powlaw_nh,powlaw_nh_lolim,powlaw_nh_hilim,powlaw_nh_rhat,powlaw_ampl,powlaw_ampl_lolim,powlaw_ampl_hilim,powlaw_ampl_rhat,powlaw_stat,flux_bb,flux_bb_lolim,flux_bb_hilim,bb_kt,bb_kt_lolim,bb_kt_hilim,bb_kt_rhat,bb_nh,bb_nh_lolim,bb_nh_hilim,bb_nh_rhat,bb_ampl,bb_ampl_lolim,bb_ampl_hilim,bb_ampl_rhat,bb_stat,flux_brems,flux_brems_lolim,flux_brems_hilim,brems_kt,brems_kt_lolim,brems_kt_hilim,brems_kt_rhat,brems_nh,brems_nh_lolim,brems_nh_hilim,brems_nh_rhat,brems_norm,brems_norm_lolim,brems_norm_hilim,brems_norm_rhat,brems_stat,flux_apec,flux_apec_lolim,flux_apec_hilim,var_index_b,var_prob_b,ks_prob_b,kp_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_index_h,var_prob_h,ks_prob_h,kp_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_index_m,var_prob_m,ks_prob_m,kp_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_index_s,var_prob_s,ks_prob_s,kp_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,var_index_u,var_prob_u,ks_prob_u,kp_prob_u,var_sigma_u,var_mean_u,var_min_u,var_max_u,var_inter_index_b,var_inter_prob_b,var_inter_sigma_b,var_inter_index_h,var_inter_prob_h,var_inter_sigma_h,var_inter_index_m,var_inter_prob_m,var_inter_sigma_m,var_inter_index_s,var_inter_prob_s,var_inter_sigma_s,var_inter_index_u,var_inter_prob_u,var_inter_sigma_u
CV_0_obs_0,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,4103.7,52.93,16618.73,0.0,0.0,2.001e-06,0.0,0.0,2.726e-15,False,,,,,,5132.135,0.0,0.0,3.4760000000000003e-06,6.0130000000000005e-15,3.537e-16,1.167e-14,0.0,0.0,0.00011850000000000001,0.00051917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38e-15,0.0,0.0,6.645e-14,0.0,0.0,2.725e-15,0.0,0.0,2.06e-06,0.0,0.0,1.063e-06,0.9994,-0.0518,1.0,0.9994,-0.3554,1.0,-0.9994,-1.0,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_1,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3907.5,52.93,16618.73,0.0,0.0,3.662e-06,0.0,0.0,5.441e-15,False,,,,,,4887.6,0.0,0.0,3.455e-06,0.0,0.0,1.824e-14,0.0,0.0,0.000365,0.00037103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.916e-14,0.0,0.0,2.247e-13,0.0,0.0,5.15e-15,0.0,0.0,2.53e-06,0.0,0.0,2.003e-06,0.9994,-0.253,1.0,-0.9994,-1.0,0.183,-0.9994,-1.0,0.0668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_2,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3907.5,52.93,16618.73,0.0,0.0,2.274e-06,0.0,0.0,2.977e-15,False,,,,,,4887.6,0.0,0.0,2.659e-06,6.997e-15,3.499e-16,1.3290000000000001e-14,0.0,0.0,0.0002106,0.00072024,0.0,1.11,0.0,0.0,0.0,0.0,0.0,9.138e-15,0.0,0.0,1.129e-13,0.0,0.0,2.5510000000000002e-15,1.319e-06,1.3189999999999998e-07,2.506e-06,0.0,0.0,9.95e-07,0.9994,0.1993,1.0,0.06,-0.3879,0.8001,-0.9994,-1.0,-0.0319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_3,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3904.6,52.93,16618.73,1.5490000000000001e-06,0.0,3.0980000000000002e-06,3.0960000000000002e-15,0.0,6.028e-15,False,,,,,,4884.6,2.836e-06,7.353e-07,4.9369999999999995e-06,8.66e-15,2.0780000000000002e-15,1.524e-14,0.0,0.0,0.0001329,0.0011192,1.35,1.32,0.0,1.0,0.0,9.158e-15,2.374e-15,1.594e-14,0.0,0.0,8.627000000000001e-14,0.0,0.0,1.968e-15,1.7059999999999998e-06,4.094e-07,3.002e-06,0.0,0.0,7.679000000000001e-07,0.9994,0.4054,1.0,-0.0837,-0.5378,0.4254,-0.9994,-1.0,-0.4154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_4,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3907.5,52.93,16618.73,0.0,0.0,1.748e-06,0.0,0.0,2.38e-15,False,,,,,,4887.6,0.0,0.0,1.957e-06,0.0,0.0,7.143000000000001e-15,0.0,0.0,0.00015069999999999998,0.00036983,0.0,0.0,1.06,0.0,0.0,0.0,0.0,2.859e-15,0.0,0.0,8.453e-14,2.087e-15,1.1599999999999999e-16,3.9420000000000006e-15,0.0,0.0,8.719e-07,7.867e-07,4.37e-08,1.53e-06,-0.9994,-1.0,-0.0131,-0.9994,-1.0,0.0394,-0.2823,-0.6927,0.5215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_5,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3907.5,52.93,16618.73,0.0,0.0,1.642e-06,0.0,0.0,2.236e-15,False,,,,,,4887.6,0.0,0.0,2.103e-06,0.0,0.0,7.094e-15,0.0,0.0,0.00012869999999999998,0.00036743,0.0,0.0,1.11,0.0,0.0,0.0,0.0,2.493e-15,0.0,0.0,8.357e-14,2.025e-15,2.0249999999999999e-16,3.8479999999999994e-15,0.0,0.0,8.704000000000001e-07,7.773000000000001e-07,7.773e-08,1.4769999999999998e-06,-0.9994,-1.0,0.0019,-0.9994,-1.0,0.0593,-0.2798,-0.6814,0.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_7,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3906.9,52.93,16618.73,0.0,0.0,1.6269999999999998e-06,0.0,0.0,2.216e-15,False,,,,,,4887.0,0.0,0.0,1.3530000000000002e-06,0.0,0.0,7.142e-15,0.0,0.0,0.00011659999999999999,0.0003693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.129000000000001e-15,0.0,0.0,7.521e-14,0.0,0.0,1.986e-15,0.0,0.0,9.904999999999999e-07,0.0,0.0,7.449e-07,0.9994,-0.2467,1.0,-0.9994,-1.0,0.1243,-0.9994,-1.0,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_8,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3904.0,52.93,16618.73,0.0,0.0,1.7240000000000001e-06,0.0,0.0,2.348e-15,False,,,,,,4884.0,2.696e-06,5.184e-07,4.77e-06,2.6139999999999996e-14,6.2740000000000006e-15,4.6010000000000004e-14,0.0,0.0,0.0001141,0.0010907999999999998,1.27,1.26,1.03,0.0,0.0,2.471e-14,8.238e-15,4.0369999999999996e-14,0.0,0.0,7.619e-14,1.9910000000000002e-15,0.0,3.878e-15,1.6280000000000001e-06,3.392e-07,2.9169999999999998e-06,7.287999999999999e-07,0.0,1.419e-06,0.4884,-0.0131,0.8314,0.9944,0.0081,1.0,-0.3548,-0.7377,0.4766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_9,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3971.3,52.93,16618.73,0.0,0.0,1.5819999999999998e-06,0.0,0.0,2.154e-15,False,,,,,,4967.4,0.0,0.0,1.3219999999999998e-06,0.0,0.0,7.067e-15,0.0,0.0,0.00012350000000000002,0.00036247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.261e-15,0.0,0.0,6.927e-14,0.0,0.0,1.953e-15,0.0,0.0,8.670999999999999e-07,0.0,0.0,6.74e-07,0.9994,-0.2605,1.0,-0.9994,-1.0,0.0943,-0.9994,-1.0,-0.0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
CV_0_obs_10,CV_0,25,0.1579536, 2CXO J004247.1+411619,CSS120424:125906+242634,10.69654,41.27215,3971.9,52.93,16618.73,0.0,0.0,1.499e-06,0.0,0.0,2.042e-15,False,,,,,,4968.0,0.0,0.0,1.31e-06,0.0,0.0,6.979000000000001e-15,0.0,0.0,0.0001087,0.0003616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.186e-15,0.0,0.0,6.098e-14,0.0,0.0,1.897e-15,0.0,0.0,8.563e-07,0.0,0.0,6.263e-07,0.9994,-1.0,1.0,-0.9994,-1.0,0.1143,-0.9994,-1.0,-0.0381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0004766,,,,,,,5.0,0.9890000000000001,2.546e-05,,,
